date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,11.52,0.1259634441752918,-0.4632,7.9739,0.3481,204710400,11.0017,0.2713,27.7385,1.4133,0.4158,1.8135,4.807112426463262,0.0658,-5.288407428249859,0.0813,0.0122,0.0414,0.1169
2003-06-30,-0.019097222222222123,-0.16802788365613885,11.3,0.24392743671210412,0.5246,7.7542,0.357,200801000,13.2541,0.2621,15.4023,1.327,0.3938,1.6936,6.836274938632771,0.0525,-5.256274620146314,0.0944,0.0237,0.0328,0.0931
2003-09-30,0.007964601769911492,-0.0140671793518176,11.39,0.07144429766622633,0.4479,8.1665,0.3585,202445860,18.7919,0.2633,14.8988,1.3644,0.3881,1.6934,3.6633501909969115,0.0379,-5.1538764487453586,0.0659,0.0066,0.0234,0.0655
2003-12-31,0.12642669007901663,0.010007443863861959,12.83,-0.1889646825833425,0.1504,8.115,0.3491,229233610,46.6775,0.292,18.0555,1.5539,0.4038,1.5379,,0.0176,-5.467621872726255,0.0205,-0.017,0.0106,0.0302
2004-03-31,-0.10989867498051444,-0.12275024382307621,11.42,0.20777479892761394,-0.6319,7.7969,0.3382,204418000,30.7256,0.2495,23.0902,1.3517,0.3823,1.679,6.287067903873005,0.0232,-5.084748603351955,0.0817,0.0182,0.0139,0.0405
2004-06-30,0.14535901926444836,0.1323685420086497,13.08,0.19622213047068537,0.3244,7.8637,0.34,234812160,41.2312,0.2746,47.911,1.541,0.3924,1.7,6.124180553332959,0.0193,-4.6759135472370765,0.0718,0.016,0.0116,0.0342
2004-09-30,-0.09021406727828744,-0.06719593103448665,11.9,0.0935494578446559,-0.2706,8.4868,0.3442,213843000,34.0081,0.2382,-26.3061,1.3939,0.359,1.804,4.23992037491963,0.0211,-4.535893155258765,0.0612,0.0079,0.0128,0.0375
2004-12-31,0.023529411764705827,-0.06380401583001126,12.18,0.02230752113929684,1.1659,8.6024,0.3433,219069480,21.2194,0.234,21.6964,1.4166,0.3278,1.4941,2.0779099948254403,0.0354,-4.89919937729345,0.0361,0.0025,0.021,0.0612
2005-03-31,-0.03448275862068965,-0.008631153738401093,11.76,0.16728547854785478,-1.7244,7.9583,0.3288,211538880,22.1785,0.2161,-19.0799,1.3707,0.3354,1.7208,5.6826432925056904,0.0319,-4.694963308872581,0.064,0.0122,0.0189,0.0564
2005-06-30,-0.06037414965986387,-0.06947128799350412,11.05,0.3191918147995039,0.4826,8.053,0.3344,198789500,16.6867,0.1947,-24.7496,1.2755,0.3051,1.7071,7.8875718358928575,0.0384,-4.5479155086158976,0.0734,0.0221,0.0232,0.0702
2005-09-30,0.13393665158371026,0.10247592792056585,12.53,0.21348775238290457,0.4356,8.1855,0.3395,225915900,15.923,0.2156,42.1327,1.4143,0.3231,1.7277,6.526683143432312,0.0467,-4.440155296727676,0.066,0.0156,0.0277,0.0823
2005-12-30,0.07342378292098962,0.057571063997901635,13.45,-0.02189706333776732,0.8273,7.846,0.3249,243310500,18.49,0.2256,424.6256,1.5865,0.3112,1.5914,,0.044,-4.929353233830846,0.0345,-0.0015,0.0255,0.0769
2006-03-31,0.09888475836431228,0.06156974775213891,14.78,0.15535514113930501,-1.0455,7.9146,0.3175,267636240,20.6445,0.2424,19.8337,1.7229,0.3482,1.6353,5.4785442423079305,0.0431,-4.951071349679699,0.0545,0.0105,0.0246,0.0768
2006-06-30,0.06833558863328822,0.08738772825992296,15.79,0.15451441197147736,0.2025,8.1375,0.3279,289320170,29.3309,0.2589,35.3389,1.7853,0.3608,1.62,5.55639192939233,0.0319,-4.806691044043006,0.0576,0.0105,0.0183,0.057
2006-09-29,-0.07409753008233058,-0.1257823253411356,14.62,0.3050991785213384,-0.2739,8.3847,0.3315,268116180,22.7429,0.2322,-46.3467,1.6017,0.3352,1.6912,7.9163871078476085,0.0372,-4.453296253885163,0.0688,0.0201,0.0217,0.0658
2006-12-29,0.08344733242134068,0.02172627485570887,15.84,-0.30169694332644403,0.8057,9.0947,0.3324,291709440,43.7345,0.2487,-40.8442,1.7445,0.3357,1.4874,,0.0209,-5.215519113814075,0.0025,-0.0192,0.0121,0.0367
2007-03-30,-0.17108585858585854,-0.1728907915586471,13.13,0.2822612666269605,-0.8728,8.6038,0.3324,242905000,26.0963,0.2031,-57.7108,1.4012,0.305,1.6104,7.696768566602695,0.0286,-4.99627027027027,0.0637,0.0181,0.0167,0.0504
2007-06-29,0.15308453922315307,0.09502815711315611,15.14,0.23485374318294497,0.636,9.0068,0.3386,280771300,25.5991,0.2264,61.2102,1.5455,0.3083,1.5388,7.182545110682002,0.0326,-4.3760043138312215,0.0598,0.014,0.0191,0.0571
2007-09-28,0.021136063408190242,0.005570809279694824,15.46,0.15248542346081628,-0.0688,9.3118,0.3475,287061280,36.0493,0.225,33.1326,1.5232,0.3069,1.5293,5.887984006163439,0.0235,-4.036514433433864,0.0507,0.0091,0.0137,0.0399
2007-12-31,0.05239327296248374,0.09063791985846376,16.27,0.07900943396226415,0.6589,9.4601,0.3606,302914860,20.0367,0.2277,41.7238,1.5733,0.2963,1.4625,4.279117961015853,0.0446,-3.895477494897411,0.0441,0.0046,0.0261,0.0738
2008-03-31,0.17516902274124163,0.27436815349446275,19.12,0.4273917717189485,-1.5048,10.0587,0.3512,360316400,19.8215,0.2576,-60.537,1.7502,0.3476,1.6738,10.26263851656406,0.051,-3.1202971610506767,0.0687,0.0229,0.0303,0.0852
2008-06-30,0.19299163179916304,0.22527404863454892,22.81,0.4664532160948103,-0.2082,10.4448,0.3471,432568840,18.6436,0.2917,-18.6943,1.9791,0.3807,1.7329,10.972818438704232,0.0596,-2.491246572453069,0.0647,0.0232,0.0358,0.1025
