date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,12.53,0.4703967183959152,0.306,4.7656,0.4785,787736040,13.5725,3.0923,-21.3461,2.3707,3.6844,1.1282,7.611042548146578,0.1264,-4.1438569701597,0.6452,0.324,0.0942,0.1835
2003-06-30,0.08938547486033528,-0.059545186573581446,13.65,0.3396418794346053,0.3695,4.871,0.5089,860646150,11.9922,2.7898,-29.9793,2.4678,3.2129,1.0233,6.505926702729763,0.144,-3.9682003457518515,0.6128,0.2342,0.104,0.2107
2003-09-30,-0.07252747252747255,-0.09455925364920165,12.66,0.19239142570056939,-0.7064,5.1938,0.5397,798529500,10.2534,2.2739,-9.191,2.1456,2.5674,0.9184,5.054554819364485,0.1591,-3.7307966706302023,0.5206,0.1514,0.1133,0.216
2003-12-31,0.12559241706161137,0.00917317084645669,14.25,0.3440654805064421,0.4239,5.4472,0.5308,804911250,8.4217,2.044,29.1845,2.0604,2.2556,1.0295,6.92252115932982,0.1937,-4.200725856422059,0.5856,0.2522,0.1341,0.2505
2004-03-31,0.17333333333333326,0.16048176449077148,16.72,0.15682991386748169,-0.0152,2.9001,0.5174,953190480,11.3169,2.4499,229.1323,2.4031,2.7105,1.2114,3.428064905556573,0.1637,-4.3625041660088755,0.5863,0.2223,0.1121,0.2139
2004-06-30,0.06698564593301441,0.053995168677215745,17.84,0.16512151963823898,0.1691,3.2288,0.5445,1022963440,12.5139,2.5768,14407.9357,2.3957,2.7549,1.1247,3.7248661841242203,0.1551,-4.0920458310807275,0.5125,0.1954,0.1054,0.1985
2004-09-30,0.11603139013452916,0.13904952637832996,19.91,0.34087647476471744,0.0851,6.561,0.5172,1126985640,12.4494,2.7217,20.0082,2.5948,2.8996,1.0176,7.638602758485631,0.1706,-4.760334958660166,0.5707,0.2087,0.1115,0.2102
2004-12-31,0.050226017076845805,-0.03710741051787128,20.91,0.39843492832989197,-0.8098,7.2486,0.5124,1190991780,12.8785,2.6905,-42.2352,2.4584,2.9819,1.1047,8.73508478121615,0.16,-5.865339372871238,0.5285,0.2106,0.1036,0.2013
2005-03-31,0.1970349115255859,0.22288651640787444,25.03,0.5235581010336033,0.4305,7.4617,0.4863,1432541990,13.4976,2.9236,520.735,2.8634,3.1844,0.9927,10.147676199289968,0.1673,-6.944385232296053,0.623,0.244,0.1075,0.2155
2005-06-30,0.1578106272473032,0.14871348891366293,28.98,0.5730353906753134,-0.1967,7.7643,0.4813,1633747500,13.3304,2.9978,-49.8747,3.1513,3.2525,1.0053,10.832671685152633,0.1862,-7.457773835920177,0.6638,0.2295,0.1164,0.2406
