date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,2.35,0.0407378069480593,0.0,3.3235,0.6608,623008500,15.0485,1.0616,0.0,0.707,1.4648,5.0237,1.7453716742623016,0.0331,0.20670665006978237,0.3194,0.0712,0.0311,0.0472
2003-06-30,0.18723404255319145,0.038303381119274726,2.79,0.045264229942288105,0.0,3.3095,0.6564,739656900,16.7343,1.1878,0.0,0.843,1.5566,4.2042,1.8359042192786246,0.0354,0.15502998755233677,0.3031,0.0691,0.0331,0.0502
2003-09-30,0.4229390681003585,0.4009072869786294,3.97,0.05016785485270265,0.0,3.3846,0.6587,1052486700,22.9299,1.575,0.0,1.1729,1.9185,4.3472,1.9545991237400295,0.0365,0.24404963977217004,0.2795,0.0654,0.034,0.0517
2003-12-31,0.040302267002518814,-0.07611697921263585,4.13,0.04018301698904614,0.0,3.4668,0.674,1094904300,23.4189,1.5826,0.0,1.1912,1.8615,3.6794,1.7704225129037887,0.0366,0.33980234619591865,-0.4234,0.0651,0.0343,0.0514
2004-03-31,-0.014527845036319518,-0.027379413878881292,4.07,0.05279695220851722,0.0,3.5008,0.6672,1078997700,21.6015,1.5224,0.0,1.1625,1.7401,3.493,2.039291624942466,0.0389,0.4213345403794651,0.1436,0.0831,0.0362,0.054
2004-06-30,-0.0024570024570026226,-0.01544747971280129,4.06,0.05997510467353174,0.0,3.4585,0.6738,1076346600,19.9878,1.4476,0.0,1.1738,1.6063,2.7539,2.160332784330163,0.0424,0.40813247331296443,0.2851,0.0763,0.0391,0.0583
2004-09-30,0.17980295566502474,0.20282109190882555,4.79,0.0969408924597337,0.0,3.6113,0.7022,1269876900,19.1679,1.662,0.0,1.3263,1.7728,3.8398,2.8065743373633127,0.0531,0.7845799856663271,0.3187,0.1148,0.0486,0.0706
2004-12-31,0.28392484342379964,0.19659141582908257,6.15,0.07027973083074324,0.0,3.708,0.7221,1630426500,21.9648,2.076,0.0,1.6585,2.2457,4.3845,2.4214536838867904,0.0596,0.743600769491909,-0.3215,0.1007,0.0544,0.0765
2005-03-31,0.3008130081300812,0.32666461301236976,8.0,0.0933608941160495,-0.0051,3.786,0.6858,2120880000,24.9565,2.5669,-1566.381,2.113,2.7382,6.0849,2.820097119830393,0.0657,0.8145826260797405,0.2619,0.1182,0.0601,0.0855
2005-06-30,0.24124999999999996,0.2321528616663597,9.93,0.11219870996944664,-0.1436,3.7167,0.6768,2632542300,26.6376,3.0943,-66.7463,2.6716,3.3671,5.3247,3.0631195324746066,0.0741,0.6494059069820075,0.292,0.1277,0.0677,0.0993
2005-09-30,0.26183282980866057,0.23037210614551618,12.53,0.12148919316510128,0.0503,3.8666,0.6735,3321828300,31.5355,3.8002,-127.3218,3.2405,3.8295,1.9218,3.25105791575205,0.0783,0.6258307872203991,0.2708,0.1303,0.0707,0.1047
2005-12-30,-0.13487629688747005,-0.15072901581055803,10.84,0.10109689489725097,-0.028,3.9829,0.6436,2873792400,25.3184,3.2074,-85.7157,2.7215,3.1539,1.7343,3.0099540711513972,0.0797,0.5965071102561201,0.3088,0.1296,0.0717,0.109
2006-03-31,0.039667896678966766,0.0023528860667933957,11.27,0.1293312210026027,-0.0398,4.1046,0.6114,2987789700,24.2826,3.2985,-69.9045,2.7456,3.3795,1.8401,3.4560368804258825,0.0799,0.36254762174191846,0.3223,0.1564,0.0719,0.1147
2006-06-30,-0.08251996450754212,-0.06346782488090738,10.34,0.1545584851571046,0.0382,3.9795,0.5494,2741237400,20.4155,2.8597,500.1345,2.5982,3.1855,2.2403,3.720077090983559,0.0801,0.15785145788540605,0.3095,0.1434,0.0725,0.1253
2006-09-29,0.10541586073500966,0.05373106547620464,11.43,0.13715061672513296,-0.0158,4.1272,0.5962,3030207300,21.8907,3.0837,-251.1152,2.7693,3.411,2.9838,3.56876457199537,0.0819,0.28192825619554146,0.2955,0.1341,0.0737,0.1288
2006-12-29,0.17760279965004386,0.11588174208441204,13.46,0.11185838438094088,0.1887,4.2441,0.6013,3568380600,25.258,3.4216,78.5779,3.1714,3.7062,4.2798,3.268273061710252,0.0847,0.37657953302402775,0.2776,0.111,0.0762,0.1273
2007-03-30,0.07652303120356607,0.07471809823077752,14.49,0.162057259250877,0.0468,4.4032,0.6156,3841443900,25.6176,3.6209,56.1688,3.2907,3.9446,4.7532,4.0069111281014065,0.0871,0.4881407717551205,0.3469,0.1811,0.0796,0.1308
2007-06-29,0.17874396135265688,0.12068757924265992,17.08,0.19230130889064917,0.2974,4.2585,0.6032,4528078800,28.3077,4.1278,33.0225,4.0107,4.4569,4.2449,4.292503964819796,0.0944,0.2910150503564558,0.3063,0.1585,0.0849,0.1393
2007-09-28,0.004683840749414628,-0.01088141337908079,17.16,0.15650107502546112,0.0039,4.4415,0.5971,4549287600,27.5565,3.9616,31.958,3.8635,4.3067,3.8193,3.9547110269052115,0.0977,0.414382709064162,0.2872,0.1286,0.0859,0.1431
2007-12-31,0.02272727272727276,0.06097191962325278,17.55,0.16433605095165785,0.1966,4.5276,0.6184,4652680500,25.8452,3.9179,31.9433,3.7874,3.9318,4.6977,4.09158622620816,0.1032,0.550978838972502,0.2835,0.1455,0.0909,0.1496
2008-03-31,0.3225071225071225,0.4217062532603436,23.21,0.24442684168835577,0.0292,4.9,0.6,6153203100,30.4828,4.8196,43.64,4.7367,5.0828,3.7731,5.191152020133992,0.1111,0.7264908905737241,0.3437,0.1985,0.0972,0.1597
2008-06-30,0.9931064196467039,1.0253888364820898,46.26,0.47414280864546793,-0.0924,4.9301,0.5804,12263988600,44.342,8.662,326.0658,9.3831,8.9379,3.0097,7.252265705992714,0.1459,0.7359662027083098,0.4513,0.2727,0.1252,0.2122
2008-09-30,-0.45892779939472544,-0.3701465379506337,25.03,0.718852551770963,0.4458,5.6486,0.6124,6634251560,15.5857,3.9432,42.866,4.4301,4.1352,3.3918,9.55832029116533,0.2135,1.2933311199311832,0.4626,0.3234,0.1812,0.3035
2008-12-31,-0.03276068717538954,0.19282145612169577,24.21,0.4539062735749419,0.3997,5.6963,0.5882,6416908920,12.7977,3.6169,30.9412,4.2491,3.5642,3.0038,7.627299121491905,0.2515,1.0653607593981558,0.4486,0.3024,0.2,0.3334
2009-03-31,0.08921933085501858,0.2058869255218467,26.37,0.3334050016974086,-0.0207,6.0205,0.5412,6989421240,13.3131,3.9511,36.0023,4.379,4.0441,2.722,6.720376350040457,0.2282,1.2544708208200654,0.5018,0.2752,0.1903,0.338
2009-06-30,0.36253318164580955,0.21031538557592072,35.93,0.32364644426424277,-0.0947,5.47,0.4902,9523318360,19.6312,5.7529,49.2072,6.5664,6.0669,3.1969,6.311322058635708,0.1786,0.5757360819763669,0.4196,0.2471,0.1642,0.3184
2009-09-30,0.0812691344280546,-0.06858069765754758,38.85,0.32143261287767344,-0.1254,5.7842,0.4966,10297270200,27.1159,7.1012,244.6372,6.715,6.9565,3.2065,6.467819314626714,0.1382,0.5977166744638788,0.3872,0.222,0.1256,0.2545
