date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2008-09-30,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,,,0.0,1.9552772808586762,21.5134,36.313,0.1733,0,0.0,0.0,0.0,0.0,0.8734,0.1425,39.96929618777362,0.1372,-159.14311270125225,0.5351,0.1055,0.0746,0.4307
2009-03-31,,,0.0,4.95169946332737,2.0697,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3476,0.0,0.4852,0.29,0.189,1.0908
2009-06-30,,,0.0,3.7209302325581395,3.9946,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503,0.31,0.0,0.0
2009-09-30,,,0.0,-5.613595706618963,8.6654,106.6565,0.5731,0,0.0,0.0,0.0,0.0,1.1403,0.4549,,0.0558,-22.991155334438915,0.6478,-0.5702,0.0538,0.094
2009-12-31,,,0.0,3.0554561717352415,1.9177,109.7119,0.5873,0,0.0,0.0,0.0,0.0,1.2945,0.8016,86.8472670512751,0.0339,-21.15312327252626,0.6272,0.2911,0.0327,0.0565
2010-03-31,inf,inf,125.6,2.084078711985689,9.22,111.7942,0.5912,227210400,125.1847,9.376,17.0796,3.6357,10.6948,1.1287,72.40323216354425,0.0179,-19.595909342178,0.5886,0.1892,0.0172,0.0293
2010-06-30,-0.0883757961783439,0.030246170422598834,114.5,0.22792022792022792,0.6284,124.0678,0.9085,207130500,1534.3,8.3564,17.0155,0.9512,8.4839,2.8974,25.22389994043602,0.0008,-1.4870093974571585,0.3599,0.055,0.0007,0.0009
2010-09-30,-0.013973799126637505,-0.12117174464166573,112.9,-0.8957088538837589,0.0222,116.1868,0.6273,278072700,171.227,8.5188,37.7303,1.3,10.5414,2.7559,,0.0056,-30.942346731628096,0.2226,-0.1234,0.0055,0.0075
2010-12-31,-0.10451727192205501,-0.2065502796846233,101.1,-1.3214285714285714,-0.6713,127.791,0.6422,249009300,-88.2385,6.4182,50.7457,0.9404,7.9435,3.8407,,-0.0075,-28.500609013398293,0.177,-0.2277,-0.0074,-0.0117
