date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,23.99,0.21700309681502747,0.4995,11.1315,0.4037,2048698020,13.1918,0.7853,7.0571,2.0801,0.9351,1.6969,7.400045088508762,0.0906,-2.6710227405794047,0.1078,0.0303,0.0639,0.1577
2003-06-30,0.1504793664026679,0.0015487049687511745,27.6,0.14418269342573428,0.6546,9.0369,0.3145,2356984800,22.5764,0.8863,8.5677,3.0326,1.0771,1.5117,5.428616246322209,0.0612,-5.7776528724326095,0.113,0.0177,0.0425,0.1184
2003-09-30,0.06956521739130428,0.04753343626957519,29.52,0.507756374351606,1.6852,9.8385,0.3271,2392714080,26.1784,0.8997,7.4702,2.9612,1.0701,1.615,10.644163745790102,0.0551,-5.0201100500900635,0.1576,0.0626,0.0369,0.1153
2003-12-31,0.28285907859078585,0.16643983237563117,37.87,0.4148830293655647,2.3262,10.2953,0.3542,3077959990,28.526,1.2153,7.11,3.5848,1.3456,1.5934,9.862578577653677,0.0677,-4.484663557956125,0.1446,0.0646,0.044,0.1294
2004-03-31,0.12701346712437292,0.11416189828181114,42.68,1.8407041442824252,2.4678,12.0407,0.3574,3485206120,14.3897,1.3225,5.8624,3.4709,1.4571,1.3563,22.57104876127945,0.1449,-6.4842821979206215,0.1709,0.2089,0.0925,0.26
2004-06-30,0.06794751640112462,0.05495703914532595,45.58,0.7299790755183565,0.6669,12.3775,0.3726,3733184320,12.82,1.3881,6.2816,3.5858,1.4925,1.3858,14.445877651860963,0.1608,-5.632203555381911,0.1651,0.0814,0.1039,0.2847
2004-09-30,-0.06691531373409385,-0.043897177490293045,42.53,0.7572525597269625,0.8674,12.9787,0.3845,3498517800,11.1631,1.2604,6.6122,3.1944,1.3445,1.4778,15.069287330498357,0.1709,-4.550206661804036,0.1699,0.0849,0.111,0.2934
2004-12-31,0.15189278156595346,0.06455935397123637,48.99,1.0392705052435385,2.3203,14.5887,0.4338,4037118930,11.0033,1.3468,7.5914,3.2644,1.4242,1.6744,18.709888483551712,0.2005,-2.900239057361632,0.1709,0.1163,0.1287,0.3146
2005-03-31,-0.07593386405388852,-0.05008225917159997,45.27,0.7820940391751608,0.5883,14.8844,0.4292,3747993840,13.3856,1.2252,9.9654,2.9569,1.2788,1.6179,16.41047618071885,0.1483,-3.0280703449608657,0.1582,0.0836,0.0964,0.2236
2005-06-30,0.005964214711729534,-0.0031329236219107184,45.54,0.7754492074885565,0.713,15.2089,0.4303,3800404080,13.3581,1.2181,9.9852,2.9403,1.2638,1.573,16.48130149302168,0.1436,-2.921439869625653,0.1671,0.0808,0.0955,0.2222
2005-09-30,0.02503293807641635,-0.00642778558672806,46.68,0.8995940713358211,0.6738,16.1225,0.4513,3902961480,13.1191,1.2186,10.693,2.8319,1.2588,1.6936,18.27072641176128,0.1464,-1.938740117927067,0.1779,0.0921,0.0982,0.2227
2005-12-30,0.02913453299057411,0.01328181406748612,48.04,0.7037643207855974,1.6448,16.8915,0.4075,4025319640,14.9307,1.2252,13.0269,2.7858,1.2975,2.0856,16.465621199300323,0.118,-3.2772016087646643,0.1551,0.0717,0.0817,0.1909
2006-03-31,0.05453788509575349,0.01722287448358012,50.66,0.4445545021461252,0.8336,15.6478,0.3494,4116479620,17.1021,1.1905,12.4893,3.102,1.3687,1.2769,12.654129315457718,0.0951,-10.352338875419964,0.1273,0.0389,0.0655,0.1736
2006-06-30,-0.06790367153572835,-0.04885153190909361,47.22,0.9002386174648702,1.1231,16.9563,0.3659,3821042400,15.3147,1.0437,10.5495,2.7157,1.2114,1.3454,18.74221928488785,0.0974,-10.195254572417202,0.1602,0.0733,0.0652,0.1825
2006-09-29,0.05569673867005512,0.0040119434112500935,49.85,1.0921114557061316,1.1596,18.1145,0.3717,4053004400,15.4048,1.0558,10.1148,2.7,1.2074,1.364,21.312513174285737,0.1008,-9.978598838925514,0.1736,0.0893,0.0667,0.1809
2006-12-29,0.008826479438314898,-0.05289457812731692,50.29,1.034956677621751,1.1783,18.5479,0.3943,4115834180,14.217,1.0241,11.4775,2.6519,1.1492,1.3096,21.05033294957318,0.1113,-9.101683732069109,0.159,0.0849,0.0726,0.1896
2007-03-30,0.10081527142573077,0.09901033845294221,55.36,0.7974143015547219,0.7974,18.475,0.3375,4615972160,14.452,1.1225,12.9844,2.9472,1.3653,1.3439,18.416536293963613,0.1128,-15.98205826267375,0.1633,0.0636,0.0744,0.2048
2007-06-29,0.0964595375722544,0.038403155462257435,60.7,1.0089659577488113,1.003,18.6995,0.3394,4982802300,15.0994,1.1892,14.3555,3.1518,1.4244,1.3371,20.818017986874338,0.105,-15.818197322418351,0.1822,0.0778,0.0709,0.2097
2007-09-28,-0.07528830313014827,-0.09085355725864369,56.13,1.0881081917641877,1.4143,20.18,0.3483,4612819530,13.9402,1.0706,12.4738,2.7212,1.2868,1.375,22.457255723475956,0.1021,-15.322276438592862,0.1916,0.0807,0.0694,0.202
2007-12-31,-0.13629075360769652,-0.0980461067117165,48.48,1.1129734357477903,3.0326,20.8426,0.3629,3896773920,11.5768,0.8992,7.455,2.2544,1.1235,1.4263,23.059391948690934,0.1029,-15.344803991092201,0.0907,0.0884,0.0699,0.1966
2008-03-31,-0.01773927392739273,0.08145985682582839,47.62,0.8270732799363216,1.0273,21.3496,0.3464,3732598460,11.1254,0.8596,6.9417,2.1744,1.0621,1.3285,20.08631061704225,0.1021,-17.08151002130564,0.1606,0.062,0.069,0.1947
2008-06-30,-0.058588828223435516,-0.02630641138804965,44.83,0.9783657158605484,0.6889,22.4397,0.3535,3522696570,10.7301,0.8009,6.9358,1.9665,0.9859,1.3817,22.39112609879253,0.0966,-15.556319118339506,0.1729,0.0678,0.0655,0.1871
2008-09-30,-0.0689270577738121,0.019854203670279694,41.74,2.041429752273126,1.2949,23.4388,0.3654,3288903300,8.2243,0.7501,6.6779,1.7573,0.9542,1.2333,33.02688352735371,0.1146,-17.784123358081096,0.1823,0.1458,0.0785,0.2183
2008-12-31,-0.18303785337805462,0.0425442899190307,34.1,-0.00881378980370431,1.6972,21.7171,0.3544,2689944400,8.7648,0.6077,7.1579,1.5595,0.8725,1.2554,,0.0892,-20.8381927894123,0.064,-0.0006,0.0614,0.1706
2009-03-31,-0.1460410557184751,-0.029373461051646968,29.12,0.47438688326559375,0.0452,21.4694,0.3611,2302693120,8.28,0.5394,7.7584,1.3496,0.834,1.2668,15.162982113947367,0.0832,-20.567555263291013,0.1381,0.0412,0.0579,0.1621
2009-06-30,0.16208791208791218,0.009870116018023345,33.84,0.8715389245585875,0.8539,22.8217,0.3831,2685407040,9.9644,0.6654,8.6653,1.4755,0.943,1.2303,21.210316163488468,0.0802,-19.58138010988457,0.1879,0.0756,0.0568,0.1528
2009-09-30,0.26152482269503524,0.11167499060943306,42.69,0.7497052069757338,2.1882,24.0191,0.4029,3433172490,20.5702,0.8909,8.9685,1.7741,1.119,1.1344,20.203909160773446,0.049,-18.18554855075167,0.1638,0.0645,0.0349,0.0888
2009-12-31,0.20660576247364723,0.15171869437730698,51.51,0.693739217677503,3.5653,24.6112,0.4217,4145473290,18.4818,1.1092,7.6853,2.0608,1.2923,1.1844,19.730293040283474,0.0656,-16.721132220827794,0.1366,0.0584,0.0468,0.1136
2010-03-31,0.11454086585129099,0.06581870701844565,57.41,-1.1118846752395775,-0.561,66.9424,0.4467,9807981810,125.7433,2.4003,20.3908,1.5,2.7033,1.5777,,0.0116,-18.218109236073307,0.054,-0.086,0.008,0.0182
2010-06-30,-0.12001393485455485,-0.0013919682536121109,50.52,0.27576407119289037,1.1193,39.9466,0.474,8908494720,164.0606,1.6102,14.8772,1.3427,1.7404,1.5846,15.899154415915724,0.0054,-14.113397150893748,0.0897,0.0193,0.0037,0.0082
2010-09-30,0.2129849564528899,0.10578701093786166,61.28,0.7294732042939446,0.9071,41.0778,0.4664,10790917760,92.1513,1.549,18.7439,1.5554,1.7045,1.6161,26.20698776549831,0.0116,-16.08704540808214,0.129,0.052,0.0081,0.0172
2010-12-31,0.09122062663185385,-0.010812381130714463,66.87,0.8136033536045344,1.5911,41.7411,0.4669,11123623890,56.1232,1.4837,20.0859,1.5734,1.6535,1.7561,27.948521475571138,0.0189,-19.562120146440872,0.299,0.0918,0.0132,0.0282
2011-03-31,0.14550620607148182,0.09128564962289273,76.6,0.9229695542179185,0.4303,42.9544,0.4687,13488647200,28.9766,1.5691,19.7606,1.8262,1.6999,1.7293,30.2822961932782,0.0431,-18.14789996138382,0.1385,0.0672,0.0301,0.0644
2011-06-30,-0.05939947780678848,-0.05548499285904008,72.05,1.1399682218691318,0.6569,43.8179,0.4729,12687428600,20.563,1.4361,20.7854,1.6729,1.5283,1.5681,34.015133719252475,0.0553,-17.665197737546283,0.1409,0.0757,0.0388,0.0824
2011-09-30,-0.3185287994448299,-0.17524980698336304,49.1,0.9153561955286094,0.5772,42.0477,0.4308,8646117200,13.3345,0.9517,15.587,1.2174,1.1594,1.2432,29.776604300388826,0.0581,-26.372577970606272,0.1295,0.059,0.0398,0.0883
2011-12-30,0.3767820773930752,0.2652585699955662,67.6,0.9791512430444439,2.6126,42.1918,0.443,11427577200,16.9397,1.2187,15.8101,1.617,1.434,1.5284,30.833909916402064,0.0625,-22.43577230001124,0.1204,0.0915,0.0416,0.0952
