date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2005-09-30,,,0.0,0.0,0.0,7.1568,0.2333,0,0.0,0.0,0.0,0.0,0.0,1.8481,0.0,0.0,-18.76236735243309,0.0,0.0,0.0,0.0
2005-12-30,,,0.0,0.19255417193561525,-1.4528,7.337,0.2528,0,0.0,0.0,0.0,0.0,8.5541,3.1908,5.792478494806892,0.0293,-18.625872164763422,0.3949,0.0897,0.0258,0.1064
2006-03-31,inf,inf,25.75,0.3029222639587445,0.0612,7.6418,0.2628,1147754750,49.3488,5.507,-17.6841,3.1874,9.6,4.3022,7.446989925721031,0.0187,-18.159334126040427,0.4414,0.1318,0.017,0.0662
2006-06-30,-0.06990291262135925,-0.050850772994724514,23.95,-0.2997667010633048,0.4384,7.7786,0.2484,1068170000,107.9504,3.3456,-23.5492,3.0804,6.1736,5.7264,,0.0078,-18.737286995515696,0.2092,-0.1205,0.0071,0.0279
2006-09-29,0.019624217118998012,-0.03206057813980701,24.42,0.3247775715291557,0.8548,7.7458,0.2562,1090694880,43.4245,2.5063,-206.1025,3.0043,4.4913,5.391,7.710038473595211,0.0196,-18.34788644098155,0.4338,0.1313,0.0178,0.0707
2006-12-29,0.08558558558558557,0.023864528019953757,26.51,0.4254006108531024,0.7522,8.103,0.2673,1189609740,32.6206,2.5989,12.0831,3.0712,4.5005,4.6052,9.09972293577519,0.028,-18.588871061193565,0.4443,0.1657,0.0254,0.0971
2007-03-30,0.37231233496793664,0.3705074019951481,36.38,0.4482083333333333,0.3174,8.5873,0.2094,1640701620,37.5377,3.3219,14.8069,3.9804,5.9402,4.9308,9.614109359877682,0.0283,-27.896161777423004,0.4444,0.1489,0.0255,0.1093
2007-06-29,0.11214953271028032,0.05409315060028336,40.46,0.453002129750983,0.6507,9.4379,0.2268,1898383200,23.9719,3.5112,15.4288,4.119,5.8005,4.8709,10.127414459813012,0.0441,-25.782523444160272,0.4367,0.1403,0.0396,0.1814
2007-09-28,0.12975778546712802,0.1141925313386326,45.71,0.49997973739666074,0.3891,9.879,0.2365,2150289820,24.2573,3.6273,21.0445,4.4103,5.7392,5.4389,10.805567004662308,0.0483,-25.677118319799327,0.4179,0.1468,0.0433,0.1869
2007-12-31,-0.011813607525705516,0.026431039370274502,45.17,0.5408527535999358,1.1597,10.4163,0.2463,2140967660,22.4707,3.381,17.2591,4.1221,5.2563,5.2016,11.56899362491936,0.0511,-24.705915861428753,0.4556,0.1653,0.0457,0.1892
2008-03-31,-0.17976533097188407,-0.08056620021866295,37.05,0.6429242360653117,0.323,11.1022,0.26,1770656550,16.7147,2.6663,14.1683,3.1873,4.4183,7.0686,12.992568885121957,0.0558,-23.664267330668956,0.4525,0.1835,0.0499,0.1971
2008-06-30,-0.09338731443994586,-0.06110489760455999,33.59,0.7160702564000557,1.3661,12.2166,0.2763,1623572650,13.551,2.3444,10.0299,2.6435,4.0313,5.0126,14.34535699280644,0.0616,-23.8691010654805,0.4589,0.1934,0.0549,0.2048
2008-09-30,0.01905328966954431,0.1078345511136361,34.23,0.7502666192676858,0.7126,12.9142,0.2898,1663612230,12.4965,2.3309,9.3068,2.5441,4.0097,4.7844,15.085223047340948,0.0668,-24.24820476944919,0.4517,0.2007,0.0594,0.2099
