date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,28.6,0.07096884298819382,0.6133,14.192,0.4705,16955853200,24.8255,2.3025,11.5111,2.0187,2.7176,0.8281,4.760590945103416,0.0532,-11.665446596341138,0.1643,0.0297,0.0375,0.0786
2003-06-30,0.21118881118881114,0.06225814975489441,34.64,0.19031514841213165,0.3233,14.3932,0.4686,20536739680,29.2546,2.8256,13.9421,2.403,3.2602,0.8572,7.853049182827,0.0544,-11.786891384504319,0.2457,0.0671,0.0389,0.0828
2003-09-30,-0.04012702078521942,-0.06215880190694851,33.25,0.5144664260219136,0.5043,14.7261,0.4731,19765928000,26.4604,2.7388,12.8936,2.2566,3.1512,0.8853,13.059695926847914,0.056,-11.571768853959197,0.3317,0.1501,0.0406,0.0863
2003-12-31,0.20090225563909775,0.08448300942394307,39.93,0.6662596017285641,0.8754,15.5061,0.4919,23947618200,27.6851,3.2058,17.4291,2.6049,3.6075,0.9678,15.955928574040836,0.0644,-10.75132557441558,0.335,0.1858,0.0465,0.0963
2004-03-31,-0.14876033057851235,-0.16161189942107412,33.99,0.0604871229636002,0.4805,15.3486,0.5016,20214124920,23.6422,2.6702,15.5852,2.2128,3.0845,0.9457,4.573663018816385,0.0639,-10.891059141629169,0.1825,0.0219,0.0463,0.0932
2004-06-30,0.08414239482200644,0.07115191756620778,36.85,0.3207749654453146,0.1477,15.4811,0.4911,21914989800,23.5139,2.8376,18.3696,2.3774,3.2864,0.9946,10.575282472126053,0.0688,-11.382056404151282,0.2588,0.1028,0.0504,0.1015
2004-09-30,0.03690637720488465,0.05992451344868545,38.21,0.5775145385927448,0.6211,15.8883,0.5036,22735599570,23.4629,2.8771,18.0012,2.4023,3.3494,1.0152,14.376213343974685,0.0702,-11.303878712709048,0.3346,0.1547,0.0516,0.1037
2004-12-31,0.017272965192357933,-0.07006046240235915,38.87,0.7339468031326261,0.8935,16.7312,0.5071,23331406540,23.0775,2.8957,18.2848,2.342,3.3436,0.938,16.663857205555857,0.072,-11.313770112721203,0.3066,0.1916,0.0526,0.104
2005-03-31,-0.05505531258039621,-0.029203707698107657,36.73,0.12081854564675677,0.2517,16.5303,0.5136,21846783620,20.866,2.672,19.1638,2.2177,3.1187,0.9137,6.709460049753784,0.0734,-11.37200442506145,0.1893,0.0405,0.0539,0.1056
2005-06-30,0.00789545330792285,-0.0012016850257174014,37.02,0.5051089843953208,0.4312,16.6216,0.5198,22027307220,19.0382,2.6615,16.8275,2.2238,3.0968,0.9171,13.75097508432937,0.0813,-11.036770748776073,0.2482,0.1536,0.0605,0.1171
2005-09-30,0.11615343057806582,0.08469270691492141,41.32,0.5173766317101481,0.6853,16.7777,0.5187,24527634640,21.8606,2.9349,18.209,2.4557,3.3571,0.9868,13.989139211375134,0.0783,-10.801850398078173,0.3246,0.1341,0.0585,0.1128
2005-12-30,-0.07768635043562441,-0.0935390693587124,38.11,0.41945602113114994,1.0798,16.7832,0.5126,22453687910,24.0403,3.6186,15.4214,2.2537,4.1907,0.9684,12.585540179570645,0.0652,-10.96776712079989,1.8358,1.8656,0.0482,0.0936
2006-03-31,0.07976908947782732,0.04245407886565395,41.15,0.23081165938308795,0.2766,16.7626,0.5177,24244798150,24.2933,4.1016,16.5042,2.4546,4.7252,0.9299,9.336267777315916,0.07,-11.086576111585405,0.2481,0.0909,0.0518,0.1006
2006-06-30,0.031105710814094804,0.05015785044072954,42.43,0.2916476214516206,0.4997,16.8763,0.5145,25000816750,28.7696,4.4852,16.6118,2.5266,5.1598,0.8968,10.533871579949098,0.0607,-11.311468454325597,0.2922,0.1062,0.0453,0.0879
2006-09-29,0.046193730850813124,-0.005491064407991901,44.39,0.714446867714522,1.0306,17.4219,0.5154,25994606440,26.5522,5.3136,15.2909,2.5502,5.987,0.9202,16.76141124187337,0.0673,-10.98368158252447,0.2965,0.2583,0.0501,0.0974
2006-12-29,0.02815949538184276,-0.03356156218378906,45.64,0.668025556259742,1.0499,17.9527,0.5203,26537514920,23.6942,4.0251,15.8717,2.5319,4.5327,0.8732,16.426789220262922,0.0758,-11.000029237100849,0.3258,0.213,0.0561,0.1083
2007-03-30,0.0030674846625766993,0.0012625516897881446,45.78,0.3815285436388242,0.3233,17.9814,0.5245,26612234460,22.0482,3.9437,15.6726,2.532,4.3771,0.755,12.450394985541928,0.081,-11.162776295485862,0.2412,0.1347,0.06,0.115
2007-06-29,-0.012887723896898283,-0.07094410600689524,45.19,0.6412075905299623,0.5146,18.4137,0.5377,26274912080,18.6214,3.7947,15.4014,2.4398,4.2212,0.8406,16.340620594851387,0.0939,-10.620330494365636,0.2941,0.2088,0.0704,0.1326
2007-09-28,0.02190750165965926,0.006342247531163843,46.18,5.072498444752835,0.4853,23.2159,0.5927,26878376300,6.7857,3.7867,19.3787,1.9786,3.218,2.3931,51.60252082146082,0.2443,0.39344712946815913,0.2739,1.6531,0.1844,0.3252
2007-12-31,-0.028150714595062735,0.010093932300917284,44.88,0.7360144476910102,0.7394,23.1214,0.5944,26024116800,6.4995,3.5669,21.5431,1.9176,3.1237,2.9879,19.673052997924458,0.2234,0.7208636567447315,0.2936,0.2134,0.175,0.2948
2008-03-31,-0.17713903743315512,-0.077939906679934,36.93,0.32921189758080693,0.5658,23.6758,0.5635,21479189670,5.4049,2.8761,15.9223,1.5555,2.4311,3.7346,13.266684907675305,0.2051,1.0178484540566934,0.2175,0.1057,0.1679,0.2902
2008-06-30,-0.03980503655564579,-0.007522619720259922,35.46,0.20709879440888482,0.8725,30.0141,0.5746,20687683140,5.5211,2.3519,12.314,0.9516,3.1413,0.8056,11.865027813996587,0.1482,-21.413793753610246,0.2269,0.0478,0.1202,0.2108
2008-09-30,-0.1528482797518331,-0.06406701830774131,30.04,0.5364942227274357,0.4422,26.753,0.5582,17563937400,14.8595,1.6988,10.1584,0.8718,2.3233,0.8509,18.031972070482368,0.0402,-20.7581860317949,0.2818,0.1209,0.0319,0.0564
2008-12-31,0.06890812250332891,0.2944902658004142,32.11,0.742514525440404,0.9029,24.5135,0.5345,18833959950,14.399,1.6096,9.5313,1.0187,2.0951,0.7935,20.292826261557497,0.0479,-21.166321424613628,0.298,0.1649,0.037,0.0677
2009-03-31,-0.12955465587044535,-0.012887061203617226,27.95,0.25074100565618923,0.0699,25.9741,0.5506,16428143550,12.5982,1.2638,9.6693,0.8346,1.7346,0.9699,12.151744619990167,0.0484,-20.457016276802623,0.244,0.0606,0.037,0.0683
2009-06-30,0.1549194991055457,0.002701703035656866,32.28,0.4147727571986116,0.9717,25.1747,0.5383,18973183320,12.9157,1.4419,10.5114,0.9923,1.8738,0.9291,15.396256347218065,0.0534,-20.940199295981923,0.2553,0.0956,0.0412,0.0757
2009-09-30,0.14560099132589827,-0.004248840759703915,36.98,0.21306117617660403,0.3406,25.2293,0.5386,27858439240,22.7045,2.1372,16.0938,1.4522,2.5725,0.9652,11.048850438308186,0.0446,-15.90919348287223,0.2378,0.0503,0.0344,0.064
2009-12-31,-0.03948080043266614,-0.0943678685290064,35.52,0.2340728006083248,0.6863,25.5694,0.5592,26758565760,31.7044,2.0588,17.0545,1.3839,2.4981,0.7773,11.604515243092933,0.0307,-15.364949066687197,0.2266,0.0527,0.024,0.0438
2010-03-31,0.12556306306306286,0.07684090423021753,39.98,0.16757690394412697,-0.0065,24.9438,0.5585,30146759080,38.6002,2.3179,19.9515,1.5947,2.7627,0.7383,9.720389377828369,0.0291,-15.272277818594622,0.2321,0.0404,0.0228,0.0408
2010-06-30,-0.013006503251625714,0.10561546334931703,39.46,0.3821582187737202,0.8433,24.2644,0.5521,29775608420,39.3857,2.303,21.0726,1.617,2.7721,0.6866,14.47785030498051,0.0288,-15.7744007569804,0.2503,0.0901,0.0225,0.0405
2010-09-30,0.047643182970096364,-0.05955476254493187,41.34,0.3527485429379215,0.2856,25.2899,0.5514,31237785540,36.2387,2.4086,22.7846,1.6257,2.843,0.7538,14.201708124825998,0.0324,-15.735193500531343,0.2275,0.0823,0.0252,0.0458
2010-12-31,-0.007014997581035467,-0.10904800534360377,41.05,0.29439441491738555,0.9278,25.858,0.5537,31080104400,34.1915,2.3779,19.9487,1.5796,2.8377,0.7301,13.122850996603157,0.033,-16.109561395167,0.2076,0.0647,0.0258,0.0467
2011-03-31,0.052862362971985426,-0.001358193476603653,43.22,0.32792519108200885,-0.1036,26.2077,0.5621,32701980800,31.6879,2.4662,22.0363,1.6367,2.9428,0.7805,13.943408000094554,0.0371,-15.685134277860012,0.2435,0.075,0.029,0.052
