date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-12-31,,,0.0,0.0,0.0,4.5378,0.5589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5806441479646556,0.0,0.0,0.0,0.0
2005-09-30,,,0.0,0.10660142426493076,0.0,8.8916,0.5975,0,0.0,0.0,0.0,0.0,-0.2342,2.5131,4.61809349622399,0.0481,0.6736860500677181,0.0467,0.0372,0.0277,0.0481
2005-12-30,,,0.0,0.04216969903077708,0.0,3.3259,0.2781,0,0.0,0.0,0.0,0.0,0.7107,2.0784,1.7764218376121657,0.0178,-3.3320863798673694,0.0112,0.0178,0.0106,0.0244
2006-03-31,,,0.0,0.10073349633251834,-0.0361,2.5202,0.2727,0,0.0,0.0,0.0,0.0,0.484,2.1281,2.4047320305210436,0.037,-2.87041564792176,0.1446,0.0608,0.0213,0.0776
2006-06-30,,,0.0,-0.07134010403765172,-0.1114,2.5915,0.2749,0,0.0,0.0,0.0,0.0,0.376,2.1646,,0.023,-2.96556849145405,0.0812,-0.0386,0.0129,0.0473
2006-09-29,,,0.0,-0.06930693069306931,0.1559,2.5292,0.267,0,0.0,0.0,0.0,0.0,0.3459,1.9631,,-0.0014,-3.041089108910891,0.1032,-0.0369,-0.0008,-0.003
2006-12-29,,,0.0,0.0370442581399883,0.1486,2.1315,0.2398,0,0.0,0.0,0.0,0.0,0.3247,1.9278,1.3450744055101869,-0.0001,-2.8855527393254046,0.103,0.0238,-0.0001,-0.0004
2007-03-30,,,0.0,-0.04630541871921182,-0.1438,2.0935,0.2344,0,0.0,0.0,0.0,0.0,0.3473,1.8944,,-0.0308,-2.9394088669950738,0.0887,-0.0277,-0.0166,-0.07
2007-06-29,,,0.0,-0.10417690417690417,0.0466,2.0137,0.2294,0,0.0,0.0,0.0,0.0,0.3523,1.8802,,-0.0385,-2.9454545454545453,0.0761,-0.0578,-0.0205,-0.0886
2007-09-28,,,0.0,-0.09385749385749385,0.3174,2.2702,0.2642,0,0.0,0.0,0.0,0.0,0.3158,1.801,,-0.0439,-2.7036855036855036,0.0848,-0.0526,-0.0238,-0.0965
2007-12-31,,,0.0,-0.27884331661257006,-0.1008,2.1127,0.2492,0,0.0,0.0,0.0,0.0,0.3187,1.5464,,-0.113,-2.9541654371987804,0.059,-0.1585,-0.0612,-0.2386
2008-03-31,,,0.0,-0.0009779951100244498,-0.1466,2.2097,0.2587,0,0.0,0.0,0.0,0.0,0.353,1.773,,-0.1031,-2.8850855745721273,0.0756,-0.0005,-0.056,-0.2205
2008-06-30,,,0.0,-0.1678048780487805,-0.0307,2.1273,0.2549,0,0.0,0.0,0.0,0.0,-0.0158,0.7501,,-0.1134,-2.786341463414634,0.0037,-0.0851,-0.0638,-0.2486
2008-09-30,,,0.0,-0.1848780487804878,0.0614,1.84,0.2336,0,0.0,0.0,0.0,0.0,-0.0364,0.7337,,-0.1357,-2.8809756097560975,0.06,-0.0906,-0.0777,-0.3177
2008-12-31,,,0.0,-1.2806246949731577,-0.0854,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.7228,0.0,0.0375,-3.5174,-0.4148,-1.7757
2009-12-31,,,0.0,0.0,0.0,-2.9784,-0.5485,0,0.0,0.0,0.0,0.0,0.3122,3.3382,-0.0,3.5568,-5.0189430736351275,0.0,0.0,-0.5988,1.0916
2010-06-30,,,0.0,0.057025492328138215,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0658,0.0,0.1283,0.0392,-0.5161,0.9409
2010-09-30,,,0.0,-0.12368133866860677,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.1492,-0.0816,0.0,0.0
2010-12-31,inf,inf,19.0,-0.9496653215088321,0.0,-15.2236,-0.5738,1422891000,-26.847,1.5148,0.0,-2.2585,1.8118,2.9159,18.068787727187214,0.517,-13.248941767148713,0.2835,-0.1204,-0.0965,0.1682
2011-03-31,0.46842105263157885,0.41420049618298976,27.9,0.12917115177610333,-0.1582,0.0,0.0,2089403100,-48.8178,1.7319,-167.1522,0.0,1.7319,0.0,0.0,0.4175,0.0,0.1156,0.0381,-0.0779,0.1358
2011-06-30,0.0035842293906810548,0.007498714338429457,28.0,0.8486091526727343,0.0,8.2117,0.4121,2096892000,180.7665,1.572,-167.7513,3.2733,1.825,2.0196,12.789220076839843,0.0208,-3.5692825381564717,0.1879,0.1545,0.0149,0.0362
2011-09-30,-0.4428571428571429,-0.29957815039567603,15.6,1.2491316703504893,0.0,9.2908,0.4632,1170265200,8.6048,0.7869,-93.6212,1.5908,0.9833,2.4407,16.61292337512219,0.1196,-2.2381593505472095,0.2127,0.2125,0.0865,0.1976
2011-12-30,0.5384615384615385,0.42693803106402956,24.0,0.0,0.0,10.0243,0.4538,1809216000,10.3206,1.5585,-144.7372,2.4058,1.7886,2.7366,,0.1496,-1.8040963599702855,0.0,0.0,0.108,0.2356
2012-03-30,0.4520833333333334,0.3321167318336041,34.85,1.0932435009216297,-0.5974,10.7798,0.4456,2629223400,10.4708,1.9802,-55.9409,3.1004,2.2282,3.3835,16.633703840756503,0.1944,-0.735644981708287,0.311,0.1981,0.141,0.3138
2012-06-29,-0.3073170731707317,-0.27443746800576035,24.14,13.069058091049294,-0.5483,39.9725,0.6752,3049219960,2.2945,2.2954,-32.097,0.8714,2.6911,3.5712,110.32771668145361,0.4466,1.207308770207578,0.1235,2.6666,0.3751,0.6114
2012-09-28,-0.061723280861640514,-0.11935968759479273,22.65,-0.02451941938014908,0.6456,25.6898,0.5547,2564908650,2.0903,1.8999,-160.3067,0.816,2.5171,5.1075,,0.2545,-2.652749445872078,0.1108,-0.0061,0.2262,0.3694
2012-12-31,-0.19426048565121407,-0.18420953567837478,18.25,-0.8092938258712962,-0.2262,25.0794,0.5229,2066958500,1.8227,1.1282,-49.2132,0.7171,1.6135,4.6531,,0.2301,-4.026205654346713,-0.0124,-0.1929,0.2029,0.3764
2013-03-29,0.08547945205479444,-0.014787697395859598,19.81,-0.5030136696170919,-0.4059,23.7916,0.4482,2245760650,2.2661,1.2022,-54.7746,0.8329,1.7488,7.1315,,0.1965,-5.372028403828342,0.1148,-0.1212,0.1719,0.3553
