date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2009-12-31,,,0.0,0.0,0.0,20.6217,0.5763,0,0.0,0.0,0.0,0.0,0.0,1.3847,0.0,0.0,2.5412312248783584,0.0,0.0,0.0,0.0
2010-03-31,,,0.0,1.0290670615612438,-4.0478,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612,0.0,0.1056,0.0453,0.23,0.3992
2010-06-30,,,0.0,0.5263803680981595,-3.4414,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0635,0.0244,0.0,0.0
2010-12-31,,,0.0,0.0,0.0,15.369,0.2714,0,0.0,0.0,0.0,0.0,0.3856,1.9276,0.0,0.0773,-8.304167548127777,0.0,0.0,0.0549,0.2024
2011-03-31,,,0.0,-0.1976306325364925,-0.4468,6.8639,0.1136,0,0.0,0.0,0.0,0.0,0.3645,1.9932,,0.0339,-16.717368309710174,0.0741,-0.006,0.0232,0.1221
2011-12-30,,,0.0,0.0,0.0,2.5495,0.0467,0,0.0,0.0,0.0,0.0,0.5004,2.0054,0.0,0.0085,-19.671271419504972,0.0,0.0,0.0057,0.0698
2012-09-28,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0105,0.0,0.0,0.0,-0.0072,-0.155
2012-12-31,,,0.0,-0.010725618785699175,0.0,6.1701,0.1094,0,0.0,0.0,0.0,0.0,0.3916,2.011,,-0.0112,-17.4815739369579,0.0154,-0.0003,-0.0073,-0.0675
2013-03-29,,,0.0,-0.20473873492701503,-0.4528,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0116,0.0,0.0418,-0.0069,-0.0076,-0.0698
2013-06-28,,,0.0,-0.5936957901417389,-0.3004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0254,-0.0206,0.0,0.0
2013-09-30,,,0.0,0.10442140892743812,1.6264,6.6661,0.1244,0,0.0,0.0,0.0,0.0,0.2181,2.1397,3.9575093134636963,-0.0389,-16.758282208588955,0.0504,0.0037,-0.0263,-0.2114
2013-12-31,,,0.0,0.22398984556801355,2.0419,7.2604,0.1332,0,0.0,0.0,0.0,0.0,0.2131,2.2154,6.0490294413356205,-0.0131,-15.96854241590861,0.0622,0.0085,-0.0087,-0.0674
2014-03-31,,,0.0,0.36145546858472605,-0.8953,7.6538,0.1394,0,0.0,0.0,0.0,0.0,0.2253,2.2273,7.88964048437633,0.0026,-15.976433255764755,0.0532,0.0125,0.0017,0.0128
2014-06-30,inf,inf,20.8,-1.146715666118421,-0.1427,13.0964,0.1859,1014416000,-84.4572,0.193,8.0816,1.9905,0.3589,2.0818,,-0.0067,-11.837051466065205,0.0338,-0.0332,-0.0045,-0.0275
2014-09-30,-0.24375,-0.24990236921887404,15.73,-0.20729956940742258,-0.4045,8.5517,0.1703,767152100,-28.3531,0.1461,26.5331,1.8393,0.3446,2.3524,,-0.0156,-12.49559155218372,0.0367,-0.0077,-0.0104,-0.0583
2014-12-31,0.10934520025429109,0.06543185000362575,17.45,-0.6080286738351255,1.7659,6.5717,0.1361,851036500,-12.6394,0.1659,45.7177,2.6523,0.3558,2.3042,,-0.0428,-14.611195407012508,0.0024,-0.0264,-0.028,-0.1824
2015-03-31,0.13467048710601728,0.13030408239438404,19.8,0.7718163394812798,0.312,5.0952,0.1133,965646000,-20.6714,0.2017,12.6753,3.8795,0.4055,2.4302,9.414325556938415,-0.0314,-14.899589911831043,0.0725,0.037,-0.0205,-0.1639
2015-06-30,0.3555555555555555,0.35786698672672435,26.84,0.015457909910646737,0.3252,5.8857,0.1257,1309201520,-979.2083,0.2925,13.4074,4.5481,0.5124,2.4098,1.4327499023587427,-0.0009,-15.058366476690312,0.1099,0.0007,-0.0005,-0.0049
2015-09-30,-0.059239940387481364,0.010111703817198149,25.25,1.062585478372696,1.9487,7.0475,0.1493,1231644500,20.2479,0.2934,5.7867,3.5673,0.5065,2.6399,13.008524284965327,0.0395,-13.836504161712247,0.0812,0.0506,0.0264,0.1921
2015-12-31,0.1168316831683168,0.052296279961757855,28.2,0.8758537973654252,3.7807,7.908,0.1722,1375539600,10.2959,0.3463,4.4003,3.5359,0.5341,2.8691,12.523265760462586,0.0851,-11.90795030546558,0.0974,0.048,0.0584,0.3639
2016-03-31,0.30531914893617035,0.2975889566208059,36.81,1.5635211669315079,1.1907,8.5581,0.1801,1736622180,10.059,0.4513,4.8808,4.1339,0.6473,2.9101,17.427973989435085,0.1082,-11.819237780321336,0.1211,0.0858,0.0752,0.4267
2016-06-30,0.1662591687041564,0.14726642332222664,42.93,2.0018806026286646,1.4231,9.6832,0.1961,1992080790,7.4417,0.5257,4.8825,4.2987,0.7153,3.004,21.084605656074665,0.1637,-10.923991983276943,0.1467,0.0987,0.114,0.6059
2016-09-30,0.31749359422315404,0.2844233043720432,56.56,1.432124528864377,2.4587,9.0167,0.1799,2525573680,8.9277,0.6832,5.9008,5.9644,0.8779,2.8228,17.24778897664902,0.1732,-12.045103352518307,0.0964,0.0718,0.1199,0.6379
