date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,13.73,0.24077222218168817,-0.3721,14.2785,0.2411,3709708700,9.9455,0.359,6.6962,0.9478,0.9986,4.196,8.829465994289876,0.0344,-7.535438025093453,0.1146,0.0275,0.0234,0.1017
2003-06-30,0.42097596504005835,0.27204530360614165,19.51,0.23118078337259737,0.8476,12.9608,0.2224,5287814810,15.9752,0.5268,8.6543,1.4971,1.1613,3.7202,8.237305736168018,0.0293,-9.478620526803207,0.1217,0.0249,0.0205,0.0886
2003-09-30,0.011276268580215215,-0.010755512541513877,19.73,0.17174847253486128,0.9062,12.8957,0.2276,5347441630,17.4183,0.5498,6.9809,1.5152,1.2021,3.9249,7.090462641170634,0.0289,-9.02110828650597,0.1306,0.0209,0.0195,0.0866
2003-12-31,0.446021287379625,0.32960204116447034,28.53,0.2994552079950933,1.2086,13.277,0.2432,7830800280,30.2347,0.8016,10.9983,2.1279,1.3422,3.8844,9.531634389072059,0.0252,-8.754863813229573,0.0978,0.0319,0.0168,0.0716
2004-03-31,-0.0683491062039959,-0.08120067504655767,26.58,0.13192706216260544,0.3886,13.1,0.2446,7315879200,31.8081,0.7537,7.9261,1.9912,1.2566,3.1814,6.300151818980564,0.0228,-8.716029646853656,0.1202,0.0158,0.0152,0.0623
2004-06-30,0.11662904439428147,0.1036385671384828,29.68,0.35641221210803564,0.9836,13.3333,0.243,8226999200,30.8127,0.8482,8.4989,2.1991,1.3423,3.1769,10.43520197421978,0.0265,-8.023377466719579,0.1311,0.0396,0.0175,0.0718
2004-09-30,0.08288409703504046,0.10590223327884127,32.14,0.3662404528580978,1.0667,13.3731,0.2424,8839817740,27.3678,0.8817,8.6664,2.3503,0.9348,3.4994,10.6007132100568,0.0413,-8.06061641718871,0.1268,0.04,0.0208,0.0858
2004-12-31,0.14810205351586803,0.06076862592115094,36.9,0.4478938240816385,0.1361,13.0498,0.23,9990527400,27.3713,1.1981,13.8181,2.7431,1.8501,3.48,11.599996349575406,0.0464,-4.657501865216846,0.2123,0.1375,0.0232,0.0983
2005-03-31,0.011111111111111212,0.036962715993399765,37.31,0.45558745471243756,-0.065,13.1288,0.2263,10070454030,22.1816,1.2175,16.8967,2.7734,1.9752,4.1049,11.735537419090726,0.0438,-7.398680315509071,0.1471,0.0555,0.0284,0.1245
2005-06-30,0.016617528812650693,0.007520390479010441,37.93,0.4470061490601968,1.301,13.0613,0.2263,10147564620,21.2737,1.2058,14.9669,2.8234,1.9262,1.6735,11.587630803285988,0.0459,-29.86910074981124,0.1409,0.0461,0.0298,0.1316
2005-09-30,-0.05457421566042711,-0.08603493932357152,35.86,-0.6045904636913935,0.7594,12.0733,0.2065,9493719840,45.2081,1.1506,16.2563,2.8988,1.9084,4.0929,,0.0205,-7.0860907140482885,0.1409,-0.0681,0.0131,0.0609
2005-12-30,0.07334076965978814,0.05748805073670015,38.49,0.4390664999702328,0.4651,12.1524,0.1985,10021602810,49.3675,0.9978,14.9353,3.0684,1.6234,2.3789,11.072527070508343,0.0195,-6.033744416578011,0.1529,0.0436,0.0125,0.0618
2006-03-31,0.21330215640426087,0.1759871457920875,46.7,0.6322635033419642,0.0413,12.4834,0.1951,12151013100,49.5959,1.1678,17.3585,3.6632,1.8367,3.8692,13.466985142859002,0.0226,-5.899466934160412,0.1451,0.0638,0.0146,0.0742
2006-06-30,-0.013062098501070651,0.005990041125564088,46.09,0.2627690526604414,0.316,11.4704,0.1741,11992295370,62.7868,1.1358,28.2171,3.9815,1.8582,3.7736,8.325646407051925,0.0172,-7.336861483591027,0.1546,0.0244,0.0111,0.0601
2006-09-29,-0.050770232154480434,-0.10245502741328547,43.75,0.6599989846169467,0.8318,11.837,0.1743,10965150000,20.9258,0.9977,25.3822,3.6176,1.6924,1.5583,13.358242314632284,0.0463,-39.88716524625746,0.1519,0.0595,0.0301,0.1728
2006-12-29,0.07177142857142858,0.010050371005796768,46.89,0.7618080243778568,0.9297,10.3098,0.1509,11778392880,19.5979,1.025,21.6117,4.4632,1.7041,2.3578,13.46459168980781,0.0528,-9.355393483868912,0.1446,0.0609,0.0343,0.2112
2007-03-30,-0.042439752612497376,-0.04424468558528593,44.9,0.7700013750024554,-0.5107,10.4814,0.1512,11188675900,17.788,0.9464,27.6947,4.1936,1.6309,4.0999,13.562765482766858,0.0552,-9.583010622374003,0.1639,0.0661,0.0356,0.2361
2007-06-29,0.2262806236080179,0.16822424149802095,55.06,0.8300001580952682,0.4387,11.5528,0.1618,13750188860,17.8573,1.1236,31.8291,4.7041,1.7732,1.5204,14.82050450371896,0.0666,-41.6047667290004,0.1545,0.0649,0.0429,0.2744
2007-09-28,0.12985833636033414,0.11429308223183872,62.21,1.0026698542393275,1.6082,12.3583,0.1705,15496262160,18.1031,1.2387,24.6755,4.9304,1.8389,3.8835,16.863654882355977,0.0733,-7.9567716864180875,0.1681,0.0819,0.0468,0.2816
2007-12-31,0.1461179874618228,0.1843626343578028,71.3,1.0019059695592787,1.0958,13.7175,0.1754,17832130000,19.4461,1.3823,26.6151,5.0876,2.0467,3.2132,17.78384084321248,0.0743,-10.959616153538585,0.1567,0.0712,0.0477,0.2757
2008-03-31,-0.2227208976157082,-0.12352176686248709,55.42,0.9076620825147348,0.0982,14.1139,0.173,13805066580,14.5011,1.0425,16.7334,3.8432,1.7505,3.2267,17.15325574520737,0.0713,-13.805755944423703,0.1672,0.0698,0.0467,0.2681
