date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-06-30,,,0.689,0.1181501150389975,0.0192,1.7757,0.0958,141384867,-6.7233,0.0666,-1.6671,0.384,0.3483,1.0382,2.172666813775602,-0.0143,-14.82144997880148,0.1959,0.0478,-0.0054,-0.0604
2003-09-30,1.7619738751814225,1.7399420940596935,1.903,0.19659961339522866,0.0989,2.0262,0.108,390400450,449.7701,0.183,-11.0127,0.9287,0.4266,1.2504,2.9938066194865987,0.0008,-14.467175237631002,0.238,0.0701,0.0002,0.0022
2003-12-31,0.12979506043089853,0.013375814215743853,2.15,-0.11999633863749139,0.0472,1.9358,0.1055,443454700,17.7495,0.2045,-22.6668,1.1035,0.4513,1.2589,,0.023,-14.246860727826315,0.0962,-0.0431,0.0064,0.0607
2004-03-31,0.09767441860465115,0.08482284976208937,2.36,-0.2639748926453868,-1.092,2.3671,0.1484,502316560,-176.1278,0.2308,-2.5356,0.9969,0.1933,0.672,,-0.0021,-4.453731806094547,0.0979,-0.1136,-0.0007,-0.0062
2004-06-30,0.0025423728813560287,-0.010448104374442638,2.366,0.19808448102520193,0.8966,2.6273,0.1691,503593636,36.4105,0.2343,-32.0719,0.922,0.6087,1.0135,3.42193154993551,0.0093,-10.805681102769139,0.2351,0.0803,0.0041,0.0263
2004-09-30,0.6027049873203718,0.6257231235641726,3.792,0.2394923443020936,0.2066,2.8052,0.1838,807112032,35.299,0.3841,119.307,1.3831,0.7313,1.2317,3.8879349654174056,0.0165,-10.410620824445843,0.2425,0.0915,0.0071,0.0404
2004-12-31,0.21255274261603377,0.12521931502131667,4.598,0.08794645859958297,0.2457,2.9403,0.1922,978665908,14.8107,0.4751,20.3418,1.5991,0.8119,1.5497,2.412105278580925,0.0481,-10.167134923841651,0.0675,0.0466,0.0207,0.1105
2005-03-31,0.006959547629404095,0.03281115251169265,4.63,-0.1542899561185082,-0.4748,2.6913,0.1838,985476980,11.0202,0.4897,5.4913,1.7203,0.1462,0.5294,,0.0635,-7.1269368463584,0.0283,-0.0707,0.0283,0.1509
2005-06-30,0.15658747300215994,0.14749033466851968,5.355,0.15271758692678714,-0.0379,2.866,0.1799,1139790330,14.2354,0.5646,-76.8518,1.9086,0.4509,0.7121,3.138151301797584,0.0523,-3.6803275607716377,0.2684,0.0626,0.0248,0.1368
2005-09-30,0.08664799253034537,0.05518726886720096,5.819,0.31599723722456186,0.6637,3.255,0.2052,1238550874,12.8841,0.6057,15.3765,1.825,0.4643,0.7305,4.810701368951709,0.0591,-3.325141181887374,0.2753,0.1141,0.029,0.1506
