date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,13.75,0.41861826697892274,-0.0702,12.2189,0.3739,13962712500,9.0198,1.2073,31.2364,1.115,1.8337,0.7616,10.787049197839332,0.077,-18.631766571144396,-0.4404,0.1567,0.0467,0.1336
2003-06-30,0.05490909090909096,-0.09402157052482576,14.505,0.26499815973500185,0.2834,11.313,0.3622,14764494450,9.6373,1.306,24.2438,1.2008,1.9784,0.8457,8.496010694180892,0.0705,-19.025631453300456,-0.3355,0.0995,0.0454,0.1234
2003-09-30,0.002619786280592794,-0.019411994841136298,14.543,0.2990566037735849,0.2613,11.3924,0.3571,14824407050,10.4988,1.2991,29.5306,1.2275,1.9857,0.7197,8.937690817269537,0.0666,-19.578162554569086,0.2905,0.1072,0.0416,0.1158
2003-12-31,0.19438905315271965,0.07796980693756497,17.37,0.5204004533434077,0.2077,11.6679,0.3688,17984203200,11.3465,1.5569,24.535,1.4557,2.1884,0.8505,11.887711836271412,0.077,-18.400363158708082,0.4306,0.1858,0.047,0.1297
2004-03-31,-0.13903281519861835,-0.15188438404118013,14.955,0.15714285714285714,-0.0371,11.8828,0.3728,15497417850,11.7315,1.3236,20.2316,1.242,1.9552,0.7684,6.529266796026891,0.0648,-18.465264844104336,-0.5212,0.057,0.0394,0.1063
2004-06-30,-0.006151788699431664,-0.01914226595523033,14.863,0.15099388379204892,0.1653,12.0068,0.3676,15409512510,12.9382,1.3011,24.4207,1.2264,1.9225,0.9481,6.420035357977595,0.0578,-18.51326716629532,0.2099,0.0521,0.0352,0.0951
2004-09-30,-0.01433088878422924,0.00868724745957156,14.65,0.1930428134556575,0.3019,12.1301,0.369,15195126500,14.1218,1.2701,22.6792,1.1971,1.8621,0.9501,7.294898552013584,0.0517,-18.54783505751005,-0.457,0.0656,0.0313,0.0852
2004-12-31,0.14764505119453913,0.06031162359982205,16.813,0.07506651463321931,1.2143,12.0248,0.3657,17552603870,29.0606,1.4369,10.1577,1.387,2.0103,0.9075,4.5360492904278065,0.029,-18.816272186515196,2.3512,0.0245,0.0175,0.0476
2005-03-31,0.03640040444893843,0.06225200933122699,17.425,0.12107453651153992,-0.0009,12.115,0.3657,18318379750,32.3075,1.4685,10.3728,1.4302,2.0446,0.9278,5.776638173240969,0.0272,-18.87241146422898,-0.5234,0.0406,0.0162,0.0445
2005-06-30,-0.07030129124820668,-0.07939842958184692,16.2,0.21931475903614459,0.079,12.2223,0.3698,17051310000,26.5596,1.3332,10.1677,1.3131,1.9119,0.6682,7.807338568988917,0.0308,-19.251341979003374,0.2272,0.0696,0.0183,0.0497
2005-09-30,0.10648148148148158,0.07502075781833717,17.925,0.345376263571696,-0.0374,12.5149,0.3801,18982395750,23.464,1.4408,14.3697,1.4196,1.9711,0.7437,9.91941761801981,0.0389,-18.639458351825795,-0.4735,0.1066,0.023,0.0613
