date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2009-03-31,,,0.0,-0.07249791568492406,1.1599,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0305,0.0,0.0522,-0.0055,-0.0141,-0.3626
2009-06-30,,,0.0,-0.015949541450683294,0.6735,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.06,-0.0011,0.0,0.0
2009-12-31,,,0.0,0.0,0.0,3.1391,0.0834,0,0.0,0.0,0.0,0.0,0.4783,1.6323,0.0,0.0,-21.48693225069779,0.0,0.0,0.0,0.0
2010-03-31,,,0.0,0.02609924964657266,1.1954,3.2297,0.0831,0,0.0,0.0,0.0,0.0,0.2839,1.3515,1.3771662202252688,-0.0036,-21.27233842027042,0.0706,0.0019,-0.0016,-0.0195
2010-06-30,,,0.0,0.07177293652807482,-1.0533,2.7128,0.069,0,0.0,0.0,0.0,0.0,0.3038,1.5105,2.093054347072868,0.0049,-21.180266067350562,0.0568,0.0046,0.002,0.0275
2011-12-30,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117,0.0,0.0,0.0,0.0049,0.0721
2012-12-31,,,0.0,0.0,0.0,5.3519,0.0806,0,0.0,0.0,0.0,0.0,0.8924,1.7749,0.0,0.0061,-34.35987636748139,0.0,0.0,0.0041,0.0512
2013-03-29,,,0.0,-0.38568891144379597,-0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0195,0.0,0.0487,-0.0213,-0.0132,-0.1645
2013-06-28,,,0.0,-0.1232464566643709,0.5444,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0557,-0.006,0.0,0.0
2013-09-30,,,0.0,-0.36321455758146953,0.2174,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.058,-0.0191,0.0,0.0
2013-12-31,,,0.0,0.27549207960271144,0.6981,2.7643,0.0613,0,0.0,0.0,0.0,0.0,0.3367,1.6028,4.139409619985674,-0.039,-23.821365135752348,0.0839,0.0157,-0.0264,-0.4316
2014-03-31,,,0.0,-0.020299416391778735,-0.5219,2.4852,0.0534,0,0.0,0.0,0.0,0.0,0.3457,1.6025,,-0.0075,-23.621270888461957,0.0542,-0.0011,-0.005,-0.0881
2014-06-30,,,0.0,0.1413709355856019,-0.3668,2.9347,0.061,0,0.0,0.0,0.0,0.0,0.3477,1.6239,3.0552952238562776,0.001,-23.15873418639214,0.0583,0.0068,0.0007,0.0123
