date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,2.25,0.07677827929465486,0.0342,0.6027,0.4288,10363657500,13.6543,2.4214,7.8275,3.7292,2.684,1.6459,1.0203778961468104,0.1107,-0.47958454821572405,0.3747,0.3189,0.0917,0.2169
2003-06-30,0.09777777777777787,-0.05115288365613886,2.47,0.09890083434565712,0.0312,0.7933,0.4663,11376992900,9.2571,2.5722,11.0671,3.1101,2.5722,1.2142,1.3286480788546755,0.2118,-0.5946501030162372,0.3777,0.3897,0.1337,0.2981
2003-09-30,0.3765182186234816,0.3544864375017525,3.4,0.10150348788106914,-0.0017,0.8413,0.429,15660672000,8.4789,3.2893,29.0012,4.0372,3.6214,1.2063,1.3861402879841305,0.2641,-0.7440166041406141,0.3938,0.3268,0.1735,0.389
2003-12-31,0.43529411764705883,0.3188748714319042,4.88,0.05855970454677066,-0.0173,0.9018,0.4559,22477670400,14.5204,4.2014,105.0358,5.4058,4.61,1.098,1.0922351712273903,0.1629,-0.8134899958315965,0.2869,0.1648,0.1349,0.3051
2004-03-31,-0.06147540983606554,-0.07432697867862731,4.58,0.08783955682015598,0.0366,0.9536,0.4483,21095846400,13.1931,3.6061,93.7593,4.7977,3.9975,1.3684,1.3728384941912384,0.163,-0.8187005002084202,0.3875,0.2515,0.1355,0.2998
2004-06-30,-0.13537117903930132,-0.14836165629509998,3.96,0.10931144848730523,0.0717,0.9838,0.4593,18240076800,11.0747,2.7636,44.272,4.0211,3.1318,1.55,1.5555267815086775,0.1583,-0.7930821870223704,0.4765,0.2625,0.1339,0.295
2004-09-30,0.4191919191919192,0.44221005543572,5.62,0.2022429450347427,0.0555,1.1375,0.4402,25886169600,12.1989,3.5262,38.1239,4.8804,4.2945,1.633,2.275116562834297,0.1854,-0.8671147700430735,0.3727,0.4339,0.1562,0.348
2004-12-31,0.29003558718861205,0.20270215959389498,7.25,0.16252670645152129,0.1555,1.7149,0.4646,33394080000,12.9786,4.1638,23.0462,4.3893,4.4046,1.2793,2.504223153017431,0.2054,-0.9272526747255802,0.5938,0.3111,0.1655,0.3652
2005-03-31,0.08965517241379316,0.11550677729608172,7.9,0.15153883562595527,-0.0494,1.6684,0.5411,36388032000,12.6964,4.2198,34.5893,4.7349,4.4726,1.6407,2.385082042732018,0.2147,-0.7794046130332083,0.4175,0.3154,0.175,0.348
2005-06-30,-0.07341772151898734,-0.0825148598526276,7.32,0.35388008892594136,0.1411,1.9904,0.5784,33716505600,8.446,3.2929,24.5926,3.6776,3.501,1.5436,3.980975496339981,0.2633,-0.7848322217590663,0.5393,0.4609,0.2221,0.3956
2005-09-30,0.4986338797814208,0.4671731561182764,10.97,0.28592642767819926,0.1057,2.4964,0.6175,50528697600,11.5732,4.3896,31.6001,4.3941,4.5457,1.6889,4.007518124258051,0.2453,-0.7485757954703348,0.4574,0.3822,0.2095,0.3497
2005-12-30,-0.06198723792160451,-0.0778399568446925,10.29,0.25965680144504655,0.0631,2.3979,0.5827,47396563200,9.7906,3.7051,39.4971,4.2912,3.914,1.436,3.7428863854202463,0.2517,-1.0147457273864111,0.5672,0.3324,0.2163,0.3606
2006-03-31,0.17881438289601573,0.14149937228384235,12.13,0.25422742651503044,-0.0814,3.7947,0.6296,58984429700,11.0998,4.2376,56.0156,3.3745,4.4601,1.9947,4.658983617316462,0.2423,-0.9531761226810674,0.4541,0.3505,0.2108,0.3464
2006-06-30,-0.009068425391591195,0.009983714235043545,12.02,0.3866204641502062,0.1669,3.751,0.6186,58418642400,10.4993,4.0208,48.0811,3.2027,4.2132,1.7286,5.7122500490714705,0.2244,-1.0141724895681588,0.5012,0.4534,0.1943,0.3115
2006-09-29,-0.1031613976705491,-0.15484619292935414,10.78,0.3927467270418498,0.2786,4.1397,0.6361,52093164200,8.469,3.2688,25.0568,2.5957,3.3769,1.9665,6.048281291701038,0.2352,-0.8070540664143415,0.5111,0.3924,0.2015,0.3211
2006-12-29,0.37940630797773656,0.3176852504121047,14.87,0.3247727932483597,0.2192,3.6713,0.369,71857639300,11.0076,3.6566,25.2132,4.041,4.5051,1.7696,5.179537914397946,0.174,-5.2773058465893685,0.4278,0.215,0.1411,0.3068
2007-03-30,0.24411566913248156,0.242310736159693,18.5,0.4587793860923419,0.2433,5.1415,0.3835,89399215000,11.8034,3.7562,20.3133,3.5981,4.5011,1.6382,7.285143773863352,0.1531,-5.692835222322701,0.4131,0.296,0.1205,0.32
