date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,30.23,-0.1714352697541296,0.2888,17.0857,0.5001,3069675120,19.6926,1.152,12.5648,1.755,1.4112,2.5543,,0.0557,-9.20646222327267,0.1446,-0.0309,0.0448,0.088
2003-06-30,0.22626529937148526,0.07733463793756853,37.07,0.5461972682337113,0.426,17.3463,0.5011,3766645630,25.7049,1.3834,14.5559,2.117,1.5415,1.5682,14.655887393316227,0.0525,-8.638683581178833,0.2223,0.073,0.0415,0.083
2003-09-30,0.07661181548421894,0.05458003436248985,39.91,0.9644375273576188,1.79,18.0566,0.5072,4058807090,24.0359,1.4477,10.8952,2.1864,1.5451,1.771,19.886287456031283,0.0595,-7.5301133737794865,0.25,0.1194,0.0468,0.0928
2003-12-31,0.1919318466549738,0.07551260043981911,47.57,0.5560912203781125,1.0266,18.3801,0.521,4843149270,24.8429,2.0969,13.337,2.5559,2.1774,1.9343,15.248730046357208,0.0678,-6.794894461305753,1.3376,0.3921,0.0534,0.1039
2004-03-31,-0.002732814799243274,-0.01558438364180505,47.44,0.14498428813149625,0.553,18.3023,0.5177,4843813760,21.2918,2.1845,12.3957,2.5589,2.2621,1.9717,7.7735138973206315,0.0792,-6.767433205359241,0.2174,0.0316,0.0623,0.1201
2004-06-30,0.0023187183811129728,-0.010671758874685695,47.55,0.8486477081601485,0.717,18.9505,0.5579,4861797300,18.752,2.3169,11.5415,2.4798,2.4963,2.8934,19.121075214033596,0.0933,-6.103290104258357,0.2732,0.1355,0.0723,0.1345
2004-09-30,0.07150368033648803,0.09452181658028883,50.95,0.9546879672773227,1.1277,19.7012,0.5616,5217687600,20.1392,2.6194,14.7344,2.5549,2.7502,2.842,20.687388060373706,0.0945,-5.117754472306851,0.29,0.1368,0.0724,0.1294
2004-12-31,0.07183513248282623,-0.015498295111890853,54.61,0.8224593486174208,1.6991,19.3433,0.5494,5606207990,19.5076,2.2842,13.1851,2.7836,2.3468,3.3231,19.04928998330692,0.1061,-2.2715884627748175,0.2109,0.1406,0.0787,0.1417
2005-03-31,0.040651895257278865,0.06650350013956742,56.83,0.5195484265667418,0.5603,19.1285,0.5388,5803422770,17.7615,2.3134,13.6034,2.9001,2.2999,1.9609,15.07488305681556,0.1249,-2.9574711855776106,0.171,0.1028,0.0885,0.1627
2005-06-30,0.14358613408411044,0.13448899575047019,64.99,1.1684290465845077,2.6271,20.1168,0.5723,6647762110,18.4408,2.5155,10.6241,3.1766,2.4476,2.0688,23.19487623536849,0.136,-3.534241218508344,0.268,0.1554,0.0978,0.1761
2005-09-30,0.14186797968918294,0.11040725602603853,74.21,1.1706849813691964,-1.9532,20.7274,0.592,7557101140,19.6929,2.7486,24.7846,3.4923,2.7155,2.251,23.601925784621216,0.1407,-2.543462890586641,0.2658,0.1472,0.1049,0.1803
2005-12-30,-0.08705026276782098,-0.10290298169090897,67.75,0.8810603418207186,1.358,20.6036,0.5925,6797086500,17.4709,2.3476,25.3464,3.1963,2.3037,2.0115,20.40917556835949,0.1419,-2.9665390825907543,0.2387,0.1205,0.1074,0.1813
