date,absoluteReturn,relativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,grahamNumber,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
2003-03-31,,,0.0,-0.7449429200881234,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0066,0.0,1.0,-0.1829,-0.0054,-0.0182
2003-06-30,inf,inf,9.13,-0.734927142504322,0.0,11.6877,0.268,924184250,-9.8222,0.472,0.0,0.7811,0.7028,0.2924,,-0.063,-26.967083230427267,0.1845,-0.1829,-0.0426,-0.159
2003-09-30,0.25958378970427154,0.23755200858254244,11.5,1.0422128920721165,0.0,0.0,0.0,1509087500,-94.9529,0.7413,0.0,0.0,0.7413,0.0,0.0,-0.0106,0.0,1.0,0.1626,-0.0072,-0.0268
2003-12-31,0.23739130434782613,0.12097205813267145,14.23,-3.4480182515099444e-05,0.0,9.4211,0.3473,1867331750,-43.1344,0.8847,0.0,1.139,1.0244,0.2704,,-0.0221,-19.786595542008,-2.1682,0.0,-0.0183,-0.0528
2004-03-31,0.03092059030217846,0.018069021459616683,14.67,0.12080093166535182,0.0,0.0,0.0,1925070750,40.8052,0.8108,0.0,0.0,0.8108,0.0,0.0,0.0241,0.0,1.0,0.0239,0.0199,0.0575
2004-06-30,-0.10906612133605996,-0.12205659859185863,13.07,0.12252238521623167,0.0,12.8212,0.3209,1715110750,12.4601,0.6502,0.0,1.0193,0.7936,0.3027,5.945156862524559,0.0602,-22.206126881310727,0.1657,0.0239,0.0525,0.1636
2004-09-30,-0.06273909716908954,-0.03972096092528874,12.25,-0.14093282696415857,0.0,0.0,0.0,1607506250,122.2438,0.5809,0.0,0.0,0.5809,0.0,-0.0,0.0057,0.0,1.0,-0.0244,0.005,0.0156
2004-12-31,0.08081632653061226,-0.00651710106410483,13.24,-0.13676506961924023,0.0,12.2202,0.2234,1737419000,-307.8346,0.5997,0.0,1.0342,0.9405,0.2781,,-0.0019,-37.80555534387502,-2.5735,-0.0241,-0.0015,-0.0067
2005-03-31,-0.1669184290030212,-0.14106682412073265,11.03,-0.4227917860345092,0.0,0.0,0.0,1447411750,-18.1559,0.4379,0.0,0.0,0.4379,0.0,-0.0,-0.0269,0.0,1.0,-0.0538,-0.0212,-0.0949
2005-06-30,-0.005439709882139504,-0.014536848215779757,10.97,-0.4419813297771004,0.0,11.9183,0.1903,1439538250,-9.3599,0.3877,0.0,0.9204,0.6204,0.3324,,-0.0608,-41.64552486187846,0.0936,-0.0538,-0.0374,-0.1966
2005-09-30,-0.12762078395624432,-0.15908150761938872,9.57,-0.4419965707753858,0.0,0.0,0.0,1255823250,-6.5136,0.2991,0.0,0.0,0.2991,0.0,-0.0,-0.0762,0.0,1.0,-0.0458,-0.0469,-0.2465
2005-12-30,-0.010449320794148342,-0.026302039717236332,9.47,-0.4458172006951008,0.0,11.3238,0.1678,1242700750,-5.3451,0.2652,0.0,0.8364,0.5252,0.2179,,-0.0678,-49.30134501809869,-2.8563,-0.0462,-0.0525,-0.3129
2006-03-31,0.012671594508975629,-0.024643416103197743,9.59,-0.37257382358544483,0.0,0.0,0.0,1258447750,-5.6335,0.2574,0.0,0.0,0.2574,0.0,-0.0,-0.0651,0.0,1.0,-0.0381,-0.0504,-0.3007
2006-06-30,-0.20855057351407716,-0.18949843388744242,7.59,-0.38816536483139646,0.0,10.6098,0.1496,995997750,-4.6042,0.1955,0.0,0.7153,0.371,0.2415,,-0.0565,-51.23774433225376,0.1074,-0.0397,-0.0464,-0.3107
2006-09-29,0.23188405797101447,0.18019926271220943,9.35,0.4636109818520242,0.0,0.0,0.0,1226953750,-12.4509,0.2251,0.0,0.0,0.2251,0.0,0.0,-0.0257,0.0,1.0,0.0369,-0.0211,-0.1415
2006-12-29,0.4577540106951873,0.39603295312955544,13.63,0.5081115965788127,0.0,11.4951,0.1603,1788596750,62.8747,0.308,0.0,1.1542,0.4787,0.1719,11.463762746639734,0.0073,-55.31801104972376,-2.6052,0.0421,0.0058,0.0367
2007-03-30,0.11005135730007336,0.1082464243272848,15.13,0.08612042754599881,0.0,0.0,0.0,1985434250,22.4779,0.3248,0.0,0.0,0.3248,0.0,0.0,0.0229,0.0,1.0,0.0069,0.0182,0.1139
2007-06-29,0.5472571050892266,0.4892007229792297,23.41,0.08737981155738496,0.0,13.0038,0.1556,3071977250,20.4615,0.4771,0.0,1.8991,0.6198,0.2084,5.056289732048912,0.0363,-58.48076204991427,-1.001,0.0067,0.0288,0.1856
2007-12-31,0.8637334472447673,0.8870081276602424,43.63,0.0,0.0,14.8005,0.1744,5725346750,63.3643,1.1878,0.0,2.9479,1.3356,0.2058,0.0,0.0106,-60.923040579157934,0.0,0.0,0.0083,0.0507
2008-06-30,-0.6976850790740317,-0.5694059191741081,13.19,0.0,0.0,17.2993,0.1816,1730857750,79.1828,0.5416,0.0,0.7644,0.7736,0.2245,0.0,0.0023,-66.41883787388073,0.0,0.0,0.0018,0.0103
2008-12-31,-0.356330553449583,-0.061994615949583,8.49,0.0,0.0,10.5396,0.1141,1114100250,102.5025,0.6925,0.0,0.8055,1.8515,0.2226,0.0,0.0011,-71.50853876928939,0.0,0.0,0.0008,0.0059
2009-06-30,0.6466431095406361,0.6288517922705351,13.98,0.0,0.0,11.6205,0.11,1834525500,0.0,0.0,0.0,1.2629,0.0,0.2705,0.0,0.0,-78.34614593255858,0.0,0.0,0.0,0.0
2009-12-31,0.10300429184549352,-0.10995742627435652,15.42,0.0,0.0,13.7081,0.1399,2468294820,0.0,0.0,0.0,1.2707,0.0,0.2534,0.0,0.0,-65.72605281406376,0.0,0.0,0.0,0.0
2010-06-30,0.34241245136186765,0.41809177742776066,20.7,0.0,0.0,14.1539,0.1485,4064465700,0.0,0.0,0.0,1.7939,0.0,0.3096,0.0,0.0,-57.04064659716528,0.0,0.0,0.0,0.0
2010-12-31,0.473913043478261,0.2537443613937982,30.51,0.0,0.0,27.4176,0.2722,5990669010,0.0,0.0,0.0,1.314,0.0,0.4906,0.0,0.0,-49.905210566791105,0.0,0.0,0.0,0.0
2011-06-30,-0.11373320222877753,-0.16382702817754166,27.04,0.0,0.0,27.4153,0.2964,5309331040,0.0,0.0,0.0,0.9863,0.0,0.4913,0.0,0.0,-50.61220467428228,0.0,0.0,0.0,0.0
2011-12-30,-0.05880177514792899,-0.01106731430828705,25.45,0.0,0.0,30.307,0.2919,4997132950,0.0,0.0,0.0,0.8397,0.0,0.4387,0.0,0.0,-57.88320915095925,0.0,0.0,0.0,0.0
2012-06-29,-0.1332023575638507,-0.21634489940831414,22.06,0.0,0.0,29.4179,0.271,4331503060,0.0,0.0,0.0,0.7498,0.0,0.3835,0.0,0.0,-63.87260059790885,0.0,0.0,0.0,0.0
2012-12-31,0.1718041704442431,0.12479801432461929,25.85,0.0,0.0,32.4672,0.2789,5075673350,0.0,0.0,0.0,0.7961,0.0,0.3444,0.0,0.0,-70.21722323797688,0.0,0.0,0.0,0.0
2013-06-28,-0.21199226305609284,-0.3382658277911328,20.37,0.0,0.0,33.1103,0.2642,3999669870,0.0,0.0,0.0,0.6152,0.0,0.3678,0.0,0.0,-77.24979246349649,0.0,0.0,0.0,0.0
2013-12-31,-0.030927835051546514,-0.18163627420250475,19.74,0.0,0.0,35.5954,0.2569,3875968740,0.0,0.0,0.0,0.5545,0.0,0.418,0.0,0.0,-85.6811017005261,0.0,0.0,0.0,0.0
2014-06-30,-0.2401215805471124,-0.300645502295997,15.0,0.0,0.0,33.7162,0.232,2945265000,0.0,0.0,0.0,0.4448,0.0,0.4956,0.0,0.0,-91.31061721101497,0.0,0.0,0.0,0.0
2014-12-31,0.5933333333333333,0.5429974427194141,23.9,0.0,0.0,36.6156,0.2345,4692788900,0.0,0.0,0.0,0.6527,0.0,0.5092,0.0,0.0,-96.823586332639,0.0,0.0,0.0,0.0
2015-06-30,1.4410041841004186,1.4389593032039105,58.34,0.0,0.0,40.4843,0.2621,11455117340,0.0,0.0,0.0,1.441,0.0,0.3837,0.0,0.0,-96.79601835488488,0.0,0.0,0.0,0.0
2015-12-31,-0.3460747343160782,-0.33678285699617083,38.15,0.0,0.0,39.1867,0.2668,7490790650,0.0,0.0,0.0,0.9734,0.0,0.2153,0.0,0.0,-96.54365905954133,0.0,0.0,0.0,0.0
2016-06-30,-0.25321100917431194,-0.2800807644460052,28.49,0.0,0.0,40.5999,0.275,5594039990,0.0,0.0,0.0,0.7017,0.0,0.2439,0.0,0.0,-94.26756166253291,0.0,0.0,0.0,0.0
2016-12-30,-0.0975780975780975,-0.16426666353262243,25.71,0.0,0.0,40.46,0.2742,5048184210,0.0,0.0,0.0,0.6354,0.0,0.2026,0.0,0.0,-96.9316733808333,0.0,0.0,0.0,0.0
2017-06-30,0.6102683780630104,0.5278236066675148,41.4,0.0,0.0,43.0652,0.2821,8128931400,0.0,0.0,0.0,0.9613,0.0,0.2442,0.0,0.0,-98.21002184862822,0.0,0.0,0.0,0.0
2017-12-29,0.2516908212560387,0.14844778586929236,51.82,0.0,0.0,47.795,0.2859,10455358660,0.0,0.0,0.0,1.1021,0.0,0.257,0.0,0.0,-103.95757398531941,0.0,0.0,0.0,0.0
2018-06-29,-0.23716711694326514,-0.25390852947808923,39.53,0.0,0.0,49.7102,0.2825,7975691390,0.0,0.0,0.0,0.7952,0.0,0.2366,0.0,0.0,-111.31631171225646,0.0,0.0,0.0,0.0
2018-12-31,-0.2319757146471035,-0.15416437534717978,30.36,0.0,0.0,53.1735,0.3177,7448613480,0.0,0.0,0.0,0.6534,0.0,0.2876,0.0,0.0,-85.50581430894707,0.0,0.0,0.0,0.0
2019-06-28,0.13010540184453237,-0.04338319746022418,34.31,0.0,0.0,44.9511,0.2531,8417718330,0.0,0.0,0.0,0.7632,0.0,0.1992,0.0,0.0,-121.41033573405396,0.0,0.0,0.0,0.0
2019-09-30,-0.12416205187991843,-0.13605288605831115,30.05,1.5463100727344754,0.0,0.0,0.0,7372557150,21.9623,1.1994,0.0,0.0,1.1994,0.0,0.0,0.0182,0.0,0.1246,0.0546,0.0154,0.0608
2019-12-31,0.11813643926788688,0.032794743353593045,33.6,-0.8545675832260055,0.0,45.9547,0.2519,8243524800,63.0899,0.7158,0.0,0.7476,0.8617,0.1752,,0.0071,-123.70158105183356,0.0343,-0.0381,0.0059,0.0237
2020-03-31,-0.35357142857142865,-0.15356092474678962,21.72,-3.0624611839309646,-5.4265,41.1895,0.2356,5593269240,-9.038,0.385,-4.2114,0.5548,0.59,0.1688,,-0.0178,-118.71907874043266,-0.2437,-0.2489,-0.0143,-0.0586
2020-06-30,0.017034990791896916,-0.18249372890258891,22.09,-1.5467367100870786,-0.7545,44.2168,0.2607,6772484740,-6.5703,0.3973,-4.4291,0.5751,0.4506,0.3253,,-0.0288,-94.36652684727939,-0.1258,-0.1636,-0.0234,-0.0943
2020-09-30,0.23087369850611142,0.146136477914666,27.19,0.3670745428973277,0.6293,43.3834,0.2663,8336073340,-6.6051,0.5643,-6.1745,0.6756,0.6684,0.3403,18.929109561663708,-0.0339,-96.29006869198201,-0.0272,0.0269,-0.0275,-0.1046
2020-12-31,0.09047443913203373,-0.026406342419965964,29.65,-1.6671295013627314,-3.4106,41.9398,0.2608,9090274900,-5.7733,0.6701,-3.7738,0.6982,0.8135,0.4074,,-0.0402,-100.88845217981252,0.0321,-0.1243,-0.0327,-0.1241
2021-03-31,0.2377740303541317,0.18004884944091848,36.7,-1.9966510251367822,-1.8835,40.6203,0.2499,11251742900,-7.8121,0.8143,-6.7738,0.8988,0.9941,0.399,,-0.0348,-102.56155675224325,-0.2002,-0.1884,-0.0288,-0.1128
2021-06-30,-0.15340599455040876,-0.23511228800402018,31.07,-0.3441532831613521,-1.4676,46.434,0.2821,10531735760,-9.2804,0.6574,-5.5021,0.7332,0.7249,0.388,,-0.027,-89.43052146515305,0.0292,-0.0225,-0.0224,-0.0844
2021-09-30,-0.10428065658191188,-0.10661690767266231,27.83,-0.6347987196989686,-2.8346,40.3743,0.2808,9433479440,-6.4588,0.5782,-3.0613,0.6701,0.7071,0.3625,,-0.0352,-89.45938849684926,-0.1057,-0.053,-0.0289,-0.1027
2021-12-31,0.0657563780093425,-0.04071741737261968,29.66,-2.849005249566577,-1.4851,40.2144,0.2614,10053820540,-5.3391,0.6368,-4.0011,0.7577,0.8048,0.3411,,-0.0455,-93.02336496847795,-0.0796,-0.2586,-0.0373,-0.1377
2022-06-30,-0.024612272420768726,0.1811710292581238,28.93,0.0,0.0,31.5704,0.2229,9806373170,-7.7351,0.783,-5.0748,0.9163,0.9844,0.2984,0.0,-0.03,-93.29731037351499,0.0,0.0,-0.0256,-0.1057
2022-09-30,-0.07915658486000689,-0.026385192870524328,26.64,-2.506377182958782,-0.6902,27.1677,0.2133,9226657440,-4.5453,0.7698,-5.372,0.98,1.0888,0.246,,-0.0543,-88.06356360402603,-0.1696,-0.2077,-0.044,-0.2018
