ticker,date,absoluteReturn,relativeToSPReturn,nextPeriodRelativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
AMGN,2003-03-31,,,-0.0031443886276612,57.55,0.3654344766278983,0.3797,13.7072,0.7482,74135910000,-59.8063,11.9657,43.6684,4.0066,11.6911,4.1998,-0.0576,0.3336438441235833,0.4724,0.28,-0.0504,-0.0673
AMGN,2003-06-30,0.1457862728062554,-0.0031443886276612,-0.043566509662827,65.94,0.4507795100222717,0.4928,14.0643,0.7463,84976878000,-81.3331,12.0232,46.3215,4.4855,11.7513,4.1304,-0.0479,0.4132071079382323,0.4842,0.2974,-0.0416,-0.0557
AMGN,2003-09-30,-0.0215347285410979,-0.043566509662827,-0.1587317074674795,64.52,0.4540059347181009,0.1932,14.4341,0.7521,83204992000,38.3645,10.701,41.5983,4.2762,10.4498,4.7109,0.0973,0.6843207196029777,0.4647,0.2772,0.0846,0.1129
AMGN,2003-12-31,-0.0423124612523248,-0.1587317074674795,-0.0717607774523692,61.79,0.4074626865671641,0.5768,14.4694,0.7425,79319823000,35.1205,9.4933,35.8913,4.0909,9.2488,3.0138,0.1003,0.5281607852301939,0.3972,0.2327,0.0868,0.1162
AMGN,2004-03-31,-0.0589092086098074,-0.0717607774523692,-0.0745553955705019,58.15,0.5180180180180181,0.0097,14.6931,0.7533,74292440000,30.2592,8.3128,43.4357,3.7959,7.8306,1.4521,0.1088,0.4127269881026925,0.4711,0.2944,0.0942,0.126
AMGN,2004-06-30,-0.0615649183147033,-0.0745553955705019,0.0640663312227269,54.57,0.56752655538695,0.5758,14.7274,0.7448,69052878000,26.5997,7.2832,38.2458,3.5574,6.8548,1.3687,0.1149,0.1477003319108582,0.4588,0.2893,0.0997,0.1331
AMGN,2004-09-30,0.0410481949789261,0.0640663312227269,0.0418691775804282,56.81,0.1787878787878788,0.5871,15.006,0.7388,72148700000,32.4994,7.2242,31.0985,3.6424,6.8599,1.3051,0.0977,-0.1795275590551181,0.2506,0.0869,0.0839,0.1132
AMGN,2004-12-31,0.1292026051751452,0.0418691775804282,-0.066743874462996,64.15,0.5255530129672006,0.6209,15.0305,0.6743,80829000000,34.206,7.6615,34.235,4.1019,7.4841,2.2059,0.099,-0.2746031746031746,0.5727,0.2368,0.0843,0.1196
AMGN,2005-03-31,-0.0925954793452845,-0.066743874462996,0.029556014045676,58.21,0.662015503875969,0.717,14.7596,0.6943,72005770000,28.4945,6.5222,21.9999,3.7818,6.3558,1.5537,0.1057,-0.7728375101050929,0.4793,0.3014,0.0892,0.1304
AMGN,2005-06-30,0.0386531523793162,0.029556014045676,0.2862700073987147,60.46,0.8232,0.8096,15.6648,0.6983,74426260000,26.505,6.4011,21.1078,3.8009,6.2083,1.6287,0.1207,-0.3509341998375304,0.476,0.3244,0.1012,0.1454
AMGN,2005-09-30,0.3177307310618591,0.2862700073987147,-0.026019657544903,79.67,0.7742193755004003,0.9951,16.4371,0.7047,98312780000,27.7798,8.1465,24.6151,4.7887,7.8687,1.8004,0.1474,0.4789303079416531,0.4762,0.3065,0.1238,0.1764
AMGN,2005-12-30,-0.010166938621815,-0.026019657544903,-0.1147940874572152,78.86,0.6629123089300081,0.695,16.4529,0.698,96524640000,26.2723,7.7654,23.8686,4.7198,7.661,2.5688,0.1502,0.3178104575163398,0.4032,0.2519,0.1257,0.1793
AMGN,2006-03-31,-0.0774790768450418,-0.1147940874572152,-0.0843155579678669,72.75,0.8218390804597702,0.7865,14.2783,0.5553,85699500000,22.4285,6.6879,21.0202,4.9278,6.8558,2.0726,0.1505,-2.3488964346349746,0.4516,0.3111,0.126,0.2019
AMGN,2006-06-30,-0.1033676975945016,-0.0843155579678669,0.0448965323511903,65.23,0.0118143459915611,0.9772,14.2101,0.5381,76319100000,27.1985,5.7616,18.0722,4.5322,5.9324,1.6071,0.1075,-4.227350427350427,0.4586,0.0038,0.0896,0.1639
AMGN,2006-09-29,0.0965813276099953,0.0448965323511903,-0.1067371347360498,71.53,0.935483870967742,1.0161,15.0432,0.5438,83403980000,28.359,6.0861,19.9674,4.7065,6.192,1.6946,0.1118,-3.609777015437393,0.4454,0.305,0.092,0.1701
AMGN,2006-12-29,-0.0450160771704179,-0.1067371347360498,-0.1837695062417096,68.31,0.7071307300509337,0.7283,16.0984,0.5612,79649460000,26.9998,5.5823,19.096,4.2,5.6424,1.6679,0.1078,-2.668953687821612,0.631,0.2172,0.0888,0.1608
AMGN,2007-03-30,-0.1819645732689211,-0.1837695062417096,-0.0686147214084938,55.88,0.9439252336448598,0.4825,16.7502,0.6053,64800683200,21.1766,4.3968,17.1385,3.2868,4.5581,2.285,0.1112,-2.0075195750405297,0.4458,0.3013,0.0922,0.1582
AMGN,2007-06-29,-0.0105583392984968,-0.0686147214084938,0.0075854060270481,55.29,0.8985890652557319,0.8712,14.5229,0.4994,60085854600,14.7812,4.0429,16.6396,3.6484,4.4403,2.6474,0.1483,-4.882492592524431,0.3787,0.2733,0.124,0.2246
AMGN,2007-09-28,0.0231506601555435,0.0075854060270481,-0.1408255316438821,56.57,0.1844036697247706,1.1761,15.5091,0.5053,61527794800,19.4462,4.1402,16.6471,3.6396,4.4919,2.7686,0.113,-4.450921260711265,0.3757,0.0556,0.0952,0.1896
AMGN,2007-12-31,-0.1790701785398621,-0.1408255316438821,-0.0011453998238675,46.44,0.7639524245196706,1.1857,16.3485,0.5158,50480280000,15.9444,3.4175,12.211,2.825,3.5546,2.1105,0.1105,-3.4305427782888684,0.4186,0.2229,0.0929,0.182
AMGN,2008-03-31,-0.1003445305770886,-0.0011453998238675,0.1610521631254767,41.78,1.0402930402930404,1.293,17.4789,0.5283,45485886000,14.2544,3.0949,9.1373,2.383,3.1309,2.4398,0.1076,-2.3091760815651696,0.4652,0.3144,0.0901,0.1726
AMGN,2008-06-30,0.1287697462900908,0.1610521631254767,0.345566672809656,47.16,0.8704902867715079,1.345,17.1443,0.5139,49848120000,16.0128,3.3834,9.1565,2.6896,3.4982,2.6758,0.1038,-2.839167455061495,0.3836,0.25,0.0862,0.1654
AMGN,2008-09-30,0.2567854113655642,0.345566672809656,0.1999367915170954,59.27,1.0883458646616542,1.1569,18.639,0.536,62766930000,15.4218,4.1852,11.6385,3.1649,4.2132,3.1549,0.134,-1.459867799811143,0.4518,0.2988,0.1114,0.2121
AMGN,2008-12-31,-0.0256453517799899,0.1999367915170954,-0.0258432278439943,57.75,0.768579492003763,1.1467,19.1777,0.5593,60464250000,14.922,4.0301,11.374,2.9659,4.005,3.1152,0.1316,-0.7984718242597899,0.3761,0.2178,0.1103,0.2015
AMGN,2009-03-31,-0.1425108225108224,-0.0258432278439943,-0.0831547912233622,49.52,0.982642237222758,0.7155,19.2545,0.5341,50132562400,12.7401,3.4108,10.7904,2.5107,3.4128,3.4401,0.127,-1.3206633938184655,0.48,0.308,0.1066,0.195
AMGN,2009-06-30,0.0690630048465265,-0.0831547912233622,-0.0121467720176006,52.94,1.247787610619469,1.5142,21.0029,0.5499,53734100000,12.6047,3.6686,11.3554,2.5156,3.5666,3.8909,0.1327,0.212807881773399,0.4605,0.3417,0.1118,0.2063
AMGN,2009-09-30,0.1377030600680015,-0.0121467720176006,-0.1156541277011883,60.23,1.356164383561644,1.8052,22.3659,0.5583,61193680000,13.6258,4.1959,11.4466,2.6771,3.9575,4.0738,0.1336,1.8622047244094488,0.4923,0.3635,0.1125,0.2031
AMGN,2009-12-31,-0.060767059604848,-0.1156541277011883,0.0090823311795287,56.57,0.9226957383548068,1.664,22.4648,0.5719,56287150000,12.223,3.8442,9.6946,2.4832,3.6501,4.8882,0.1361,1.979899497487437,0.3622,0.2444,0.1143,0.2023
AMGN,2010-03-31,0.0578044900123741,0.0090823311795287,-0.0023673382118915,59.84,1.1811740890688258,0.8289,22.6103,0.5534,57805440000,12.1618,3.8728,9.8258,2.5876,3.5491,3.0187,0.1413,1.84472049689441,0.4824,0.3248,0.1188,0.2112
AMGN,2010-06-30,-0.1209893048128342,-0.0023673382118915,-0.059479314336321,52.6,1.2468879668049793,1.4387,24.0352,0.5678,50390800000,10.7534,3.3555,8.7942,2.1748,3.0089,3.3651,0.136,2.6450939457202507,0.4647,0.3159,0.1154,0.2059
AMGN,2010-09-30,0.0477186311787071,-0.059479314336321,-0.1058435684593565,55.11,1.2848232848232848,1.2214,0.0,0.0,52464720000,11.5662,3.4927,10.3685,0.0,3.4927,0.0,0.2599,0.0,0.4538,0.3238,0.2223,0.3915
AMGN,2010-12-31,-0.0038105606967882,-0.1058435684593565,-0.0806322140077875,54.9,1.0791974656810983,1.9281,25.284,0.5506,51166800000,11.0583,3.3991,9.8265,2.1369,2.9641,3.5203,0.248,3.8487124463519313,0.346,0.266,0.2128,0.3864
AMGN,2011-03-31,-0.0264116575591984,-0.0806322140077875,0.0955889470618737,53.45,1.1955366631243358,0.9883,26.5504,0.5849,49868850000,10.8765,3.2879,9.3773,1.996,2.989,5.1044,0.1252,4.243301178992497,0.4225,0.3035,0.1063,0.1874
AMGN,2011-06-30,0.0916744621141253,0.0955889470618737,0.0851813060861455,58.35,1.2513368983957218,1.5112,27.3946,0.5457,53915400000,11.8417,3.5188,10.0889,2.1049,3.1712,5.5611,0.1207,4.501082251082251,0.4023,0.2955,0.1015,0.1799
AMGN,2011-09-30,-0.0580976863753213,0.0851813060861455,0.0567807138543103,54.96,0.4967177242888402,0.9288,25.7691,0.5146,48309840000,12.8108,3.1268,9.6273,2.0511,2.8812,4.5964,0.0974,2.523321956769056,0.2003,0.1151,0.0813,0.1533
