ticker,date,absoluteReturn,relativeToSPReturn,nextPeriodRelativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CAT,2003-03-31,,,-0.0176298484257867,24.6,0.1859722166158246,0.0446,8.1294,0.1681,16947087600,20.0083,0.8241,-3.9828,3.0053,1.4279,1.4099,0.0358,-18.622279382092767,0.1149,0.0267,0.0255,0.1524
CAT,2003-06-30,0.1313008130081299,-0.0176298484257867,0.2147630446059031,27.83,0.572617680826636,0.7175,8.5103,0.1732,19205371680,18.3607,0.9057,-4.7561,3.2386,1.4836,1.387,0.0436,-18.549593100090423,0.1552,0.0672,0.0308,0.1808
CAT,2003-09-30,0.2367948257276322,0.2147630446059031,0.0895656462892031,34.42,0.3117101937657961,0.2723,8.8345,0.1794,23904036020,22.6578,1.1028,-5.7173,3.7991,1.6921,1.4498,0.0429,-18.379192519305786,0.1302,0.04,0.0304,0.1726
CAT,2003-12-31,0.2059848925043578,0.0895656462892031,-0.060310012591056,41.51,0.4868861607142857,-9.2885,8.4793,0.1655,28539121240,25.9682,1.2513,-4.8102,4.6954,1.8741,1.3174,0.0427,-20.895270565100272,0.1988,0.0536,0.0306,0.1776
CAT,2004-03-31,-0.0474584437484943,-0.060310012591056,-0.0084381252072402,39.54,0.5903851560303627,-3.3764,8.9035,0.1673,27037610160,19.4515,1.1051,-3.2318,4.2686,1.6855,1.3534,0.0518,-19.97355967499459,0.1416,0.0648,0.0372,0.2239
CAT,2004-06-30,0.0045523520485584,-0.0084381252072402,0.0358580153978793,39.72,0.7977448907681466,-3.8646,9.3164,0.1707,27226630080,17.4865,1.0424,-2.3455,4.119,1.5982,1.4053,0.0563,-19.52254239464071,0.148,0.0746,0.0406,0.2405
CAT,2004-09-30,0.0128398791540785,0.0358580153978793,0.1246973951743607,40.23,0.7053824362606232,-1.2762,9.9447,0.1738,27455848560,14.9786,0.9725,-2.1613,3.9105,1.5158,1.4202,0.0639,-20.1282983038132,0.1325,0.065,0.0463,0.2689
CAT,2004-12-31,0.2120308227690778,0.1246973951743607,-0.0364945805155785,48.76,0.8033545520022628,0.8937,10.8868,0.1732,33443216240,16.434,1.1035,-6.1567,4.4788,1.6114,1.2127,0.0675,-23.46786727591365,0.1194,0.0641,0.0487,0.2809
CAT,2005-03-31,-0.062346185397867,-0.0364945805155785,0.0333350576418627,45.72,0.8145240431795878,-0.1303,10.8607,0.1746,31244545080,14.2279,0.9713,-10.0046,4.0331,1.512,1.3676,0.0695,-23.96292594700822,0.1352,0.0696,0.0502,0.2886
CAT,2005-06-30,0.042432195975503,0.0333350576418627,0.2012291630342959,47.66,1.077861296270033,0.5431,10.9275,0.1718,32255191820,13.4958,0.9503,16127.5959,4.1862,1.3954,1.2208,0.0742,-23.82468671364423,0.1488,0.0811,0.0536,0.3093
CAT,2005-09-30,0.2326898866974402,0.2012291630342959,-0.0325335699869177,58.75,0.9385113268608414,0.8625,11.808,0.1829,39962220000,15.6163,1.1333,26.3603,4.7619,1.5308,1.133,0.078,-23.685402112295066,0.1458,0.0743,0.0564,0.3179
CAT,2005-12-30,-0.0166808510638297,-0.0325335699869177,0.2057177053303573,57.77,1.2068473609129815,2.3295,12.0285,0.1773,38755986590,13.5795,1.0665,15.2823,4.5962,1.4674,1.1993,0.0844,-23.754335807246445,0.2275,0.0875,0.0611,0.3392
CAT,2006-03-31,0.2430327159425307,0.2057177053303573,0.0562335906780203,71.81,1.2015448433700473,0.3289,12.8193,0.1868,48086130300,15.4468,1.286,16.8192,5.3655,1.6754,1.1997,0.0902,-22.939533772381765,0.1722,0.0894,0.0651,0.3579
CAT,2006-06-30,0.0371814510513856,0.0562335906780203,-0.1682261486422637,74.48,1.5192447349310094,1.3841,12.5388,0.1729,48840111040,14.3689,1.264,14.2432,5.6573,1.6598,1.1516,0.096,-25.834619396475475,0.1773,0.0986,0.0694,0.3863
CAT,2006-09-29,-0.1165413533834587,-0.1682261486422637,-0.1296541882647199,65.8,1.135558180744241,1.6538,13.3313,0.1788,42805137200,12.2265,1.0654,10.8752,4.7413,1.5032,1.2895,0.0967,-26.684231723476405,0.1422,0.0731,0.0697,0.3964
CAT,2006-12-29,-0.0679331306990881,-0.1296541882647199,0.0911349007138248,61.33,1.3170076153501569,4.4587,10.2418,0.1333,39607404640,11.198,0.954,7.4886,5.7745,1.367,1.1937,0.1002,-32.40436786165548,0.32,0.0801,0.0693,0.4452
CAT,2007-03-30,0.0929398336866134,0.0911349007138248,0.1100772893803804,67.03,1.226698737221888,1.4296,11.2627,0.1433,42925743880,12.2191,1.0186,7.1423,5.7295,1.408,1.2009,0.1018,-32.47677999237972,0.1549,0.0814,0.0677,0.4895
CAT,2007-06-29,0.1681336714903774,0.1100772893803804,-0.0139049731578694,78.3,1.2417018708509355,1.9462,11.815,0.1463,50045836500,15.2115,1.1667,7.8849,6.3907,1.5722,1.2183,0.0936,-33.708568344141874,0.1452,0.0724,0.0622,0.4294
CAT,2007-09-28,0.0016602809706259,-0.0139049731578694,-0.0365991628706909,78.43,1.4045454545454543,2.35,13.0424,0.157,49878342800,14.4658,1.1383,7.3588,5.7944,1.509,1.1826,0.0965,-33.44392729102459,0.1542,0.081,0.0636,0.4194
CAT,2007-12-31,-0.0748438097666709,-0.0365991628706909,0.1781682597499135,72.56,1.5002308047391906,4.9715,13.8421,0.1602,45276424160,12.7863,1.007,6.4468,5.0329,1.3786,1.1452,0.0962,-34.710714663470014,0.3241,0.0802,0.0638,0.4022
CAT,2008-03-31,0.0789691289966924,0.1781682597499135,-0.0248129976492228,78.29,1.445367612478445,0.8245,14.4505,0.1583,48130265010,13.1972,1.0297,7.2946,5.2213,1.3908,1.1065,0.0952,-35.91430277063417,0.1737,0.0781,0.0637,0.4004
CAT,2008-06-30,-0.0570954144846086,-0.0248129976492228,-0.1038494619371056,73.82,1.7403619197482298,1.7765,14.9016,0.1566,44935415120,11.4339,0.9169,6.9808,4.745,1.2609,1.0554,0.0988,-37.98980148377897,0.1676,0.0811,0.0662,0.4205
CAT,2008-09-30,-0.1926307233811974,-0.1038494619371056,-0.0249212124076126,59.6,1.3892445582586428,2.0758,16.1795,0.1573,35952746400,9.2877,0.7113,5.8147,3.5565,1.0606,1.1156,0.0908,-39.11583233040578,0.1513,0.0668,0.062,0.3954
CAT,2008-12-31,-0.2505033557046979,-0.0249212124076126,-0.2574089667838098,44.67,1.080065359477124,1.8562,10.9705,0.099,26870211090,7.5541,0.5235,6.5729,4.0021,0.9151,1.2442,0.0811,-48.51486300698057,0.1906,0.0511,0.0538,0.4228
CAT,2009-03-31,-0.374076561450638,-0.2574089667838098,0.0294703298242455,27.96,-0.1860156120245806,1.4648,10.5231,0.0983,16823811600,6.6681,0.345,3.7857,2.6552,0.7532,1.3432,0.0599,-47.25199847102425,0.0691,-0.0121,0.0381,0.3866
CAT,2009-06-30,0.1816881258941344,0.0294703298242455,0.4037215964858264,33.04,0.5985801871571474,3.1203,12.675,0.1265,20527553760,11.4807,0.4762,3.9107,2.6129,0.9301,1.4049,0.043,-43.22108373813364,0.145,0.0465,0.0282,0.2519
