ticker,date,absoluteReturn,relativeToSPReturn,nextPeriodRelativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
JNJ,2003-03-31,,,-0.2555489437909237,57.87,0.6857710783501739,0.5403,7.9628,0.5723,171809664300,25.1441,4.5967,27.4412,7.148,4.4404,1.7867,0.2485,0.846444293995399,0.3417,0.2107,0.1655,0.2924
JNJ,2003-06-30,-0.106618282357007,-0.2555489437909237,-0.0641981254157329,51.7,0.4012069365695149,0.491,8.1027,0.5352,153491613000,24.0243,3.9728,23.52,6.2811,3.8512,1.6652,0.2165,0.0535553691783797,0.3203,0.1171,0.1457,0.2636
JNJ,2003-09-30,-0.0421663442940038,-0.0641981254157329,-0.07320438353341,49.52,0.688761094305754,0.9284,8.5556,0.5516,146974369600,21.8192,3.6733,20.2751,5.7104,3.5309,1.7325,0.2181,0.4127386303142204,0.3203,0.1981,0.1459,0.2685
JNJ,2003-12-31,0.0432148626817446,-0.07320438353341,-0.0310474650872384,51.66,0.5218971938903235,0.7815,7.6004,0.5567,153325330200,21.304,3.6626,17.6886,5.7064,3.5057,1.7099,0.2326,0.5394259375937088,0.2421,0.1639,0.1516,0.2736
JNJ,2004-03-31,-0.0181958962446766,-0.0310474650872384,0.0851956426180184,50.72,0.829727750782134,0.8027,9.4834,0.583,150514643200,19.7525,3.4521,15.9291,5.2823,3.2824,1.9571,0.2418,1.3445389478224534,0.3425,0.2156,0.1569,0.2752
JNJ,2004-06-30,0.0981861198738171,0.0851956426180184,0.0343287287034057,55.7,0.8178883971650085,0.6282,9.9996,0.5989,165304789000,18.6405,3.6937,16.7719,5.5006,3.5189,2.0441,0.2705,1.5290942357392925,0.3443,0.214,0.179,0.3029
JNJ,2004-09-30,0.0113105924596049,0.0343287287034057,0.0385320082298879,56.33,0.7779993353273513,1.1508,10.4729,0.6049,167211098600,18.3004,3.6469,15.8855,5.306,3.4259,2.175,0.267,2.1021284050100726,0.3283,0.2026,0.1787,0.2968
JNJ,2004-12-31,0.125865435824605,0.0385320082298879,0.084823538026407,63.42,0.2991812944307806,0.3756,10.7183,0.5966,188422088400,23.0344,3.9795,21.2234,5.9228,3.7615,1.9616,0.2351,1.957576859125822,0.2176,0.0696,0.1552,0.2583
JNJ,2005-03-31,0.0589719331441184,0.084823538026407,-0.0412591395248254,67.16,0.938915897741178,0.7656,11.13,0.6181,199625712400,23.4137,4.1057,22.7338,5.9317,3.8755,2.216,0.2398,2.682689687423252,0.3382,0.2212,0.1582,0.2604
JNJ,2005-06-30,-0.0321620011911851,-0.0412591395248254,-0.0579222621246828,65.0,0.8556220451615036,0.5081,11.6272,0.6446,193323000000,22.3339,3.8742,22.9327,5.4969,3.6572,2.4673,0.2332,3.1389953600968328,0.3122,0.2027,0.1588,0.2515
JNJ,2005-09-30,-0.0264615384615384,-0.0579222621246828,-0.06610556342372,63.28,0.8442552059077906,1.0481,12.257,0.6513,188258632800,21.2649,3.7164,23.1902,5.1091,3.4589,2.538,0.2297,3.646710431225441,0.3069,0.2061,0.1593,0.2458
