ticker,date,absoluteReturn,relativeToSPReturn,nextPeriodRelativeToSPReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
UNH,2003-03-31,,,-0.0525083228649814,22.92,0.3234349919743178,0.508,3.5666,0.3076,27167534400,18.6079,1.0545,11.3434,6.1133,1.0297,0.6569,0.2348,-3.90780548712584,0.104,0.0577,0.102,0.3291
UNH,2003-06-30,0.0964223385689353,-0.0525083228649814,-0.0208379888415857,25.13,0.3551779935275081,0.5469,3.7807,0.3149,29653400000,18.8395,1.1076,11.8661,6.3456,1.0671,0.6926,0.2484,-3.71271186440678,0.1104,0.0619,0.1075,0.3452
UNH,2003-09-30,0.0011937922801433,-0.0208379888415857,0.0397810717498691,25.16,0.3857374392220421,0.44,3.846,0.3184,29386880000,17.3169,1.0585,11.8114,6.1919,1.021,0.6987,0.2627,-3.754280821917808,0.1157,0.0657,0.1141,0.3603
UNH,2003-12-31,0.1562003179650238,0.0397810717498691,0.0957768257947706,29.09,0.2761618259131573,0.6547,4.2907,0.2963,33918940000,20.4948,1.1422,12.7947,6.478,1.1422,0.0,0.2821,-10.662092624356776,3.2929,0.0401,0.1016,0.3315
UNH,2004-03-31,0.1086283946373324,0.0957768257947706,-0.0477191594263413,32.25,0.4396825396825397,0.6563,5.7357,0.3465,39603000000,21.9285,1.2831,13.9202,5.4798,1.261,0.7051,0.243,-5.84771986970684,0.1176,0.068,0.0937,0.2898
UNH,2004-06-30,-0.0347286821705426,-0.0477191594263413,0.2074061863562325,31.13,0.4667188723570869,0.7368,5.574,0.3408,37791820000,19.252,1.1634,12.1517,5.3093,1.1247,0.7498,0.205,-5.549423393739703,0.1185,0.0684,0.094,0.2736
UNH,2004-09-30,0.1843880501124317,0.2074061863562325,0.1065911723510384,36.87,0.5205070842654735,0.6539,8.2527,0.3967,48225960000,22.0713,1.3738,14.0028,4.3576,1.355,0.7756,0.1784,-6.60091743119266,0.1208,0.0707,0.0895,0.2403
UNH,2004-12-31,0.1939245999457555,0.1065911723510384,0.1092227997936923,44.02,0.4082668600435098,0.6686,7.7715,0.3844,56609720000,23.4797,1.4974,15.8704,5.2822,1.4669,0.7274,0.1623,-6.93701399688958,0.0574,0.0507,0.0864,0.2213
UNH,2005-03-31,0.0833711949114037,0.1092227997936923,0.0842138283260368,47.69,0.5544776119402985,0.7626,7.8768,0.374,60470920000,23.258,1.4812,16.0741,5.7291,1.469,0.7139,0.176,-7.575709779179811,0.1172,0.0665,0.0926,0.2444
UNH,2005-06-30,0.0933109666596771,0.0842138283260368,0.0464065567357816,52.14,0.5808157099697885,0.8602,7.9524,0.3691,65435700000,23.5974,1.5043,16.5241,6.2148,1.4929,0.6971,0.1874,-7.91394422310757,0.1203,0.0675,0.0977,0.263
UNH,2005-09-30,0.077867280398926,0.0464065567357816,0.0898412312548479,56.2,0.6051437216338881,0.7518,8.4939,0.3781,70587200000,24.552,1.5598,17.3135,6.2861,1.5235,0.7691,0.1885,-7.336783439490445,0.1239,0.0688,0.0987,0.2642
UNH,2005-12-30,0.1056939501779359,0.0898412312548479,-0.1383771284106928,62.14,0.5797317436661699,0.3122,13.2749,0.4314,84386120000,27.3094,1.8369,23.6111,4.7368,1.7896,0.6333,0.1521,-9.51840942562592,0.0774,0.066,0.087,0.2127
UNH,2006-03-31,-0.1010621177985195,-0.1383771284106928,-0.1793008857940598,55.86,0.627906976744186,1.9161,12.4355,0.3914,75019980000,23.1686,1.4329,14.2325,4.2513,1.3964,0.7555,0.1293,-10.279225614296353,0.0927,0.0506,0.0749,0.1826
UNH,2006-06-30,-0.1983530254206945,-0.1793008857940598,0.0470199836603553,44.78,0.7032258064516129,1.1146,12.9304,0.3867,59915640000,17.3668,1.0183,10.5355,3.3216,0.9566,0.8033,0.1364,-9.80642750373692,0.1027,0.0549,0.0752,0.1933
UNH,2006-09-29,0.0987047789191603,0.0470199836603553,0.0303521131660753,49.2,0.7959914101646385,0.1016,13.9584,0.42,66075600000,17.5639,1.0135,13.6661,3.3884,0.9514,0.8307,0.144,-8.881608339538348,0.113,0.0618,0.0808,0.2004
UNH,2006-12-29,0.0920731707317071,0.0303521131660753,-0.0159497310371845,53.73,0.8416905444126075,0.9899,14.9068,0.4306,72266850000,17.376,1.0225,12.464,3.4726,0.9522,0.8673,0.1509,-8.524907063197025,0.0745,0.068,0.0877,0.2063
UNH,2007-03-30,-0.014144798064396,-0.0159497310371845,-0.0926042393877012,52.97,0.6626161543959972,1.6897,15.0593,0.413,70982448500,16.9207,0.9839,13.041,3.3692,0.8816,0.8649,0.1487,-8.607141524569979,0.093,0.0486,0.0844,0.2003
UNH,2007-06-29,-0.0345478572777043,-0.0926042393877012,-0.0685570413791798,51.14,0.8917937545388526,1.0631,15.2977,0.3963,67754363200,15.2531,0.9246,12.6596,3.2164,0.83,0.9084,0.1541,-9.160074874705634,0.1194,0.0646,0.0852,0.2108
UNH,2007-09-28,-0.0529917872506844,-0.0685570413791798,0.2399791090062423,48.43,0.951780415430267,0.2173,15.3301,0.4096,62579308800,13.5658,0.8458,11.3718,3.0282,0.7896,0.8578,0.1582,-10.011918028727091,0.1261,0.0686,0.089,0.221
UNH,2007-12-31,0.2017344621102623,0.2399791090062423,-0.3104228623739267,58.2,0.9219105382865808,0.6709,15.2107,0.3941,72924600000,15.6692,0.9816,14.5674,3.6347,0.9741,0.8405,0.1554,-12.204309656823623,0.0626,0.0692,0.0918,0.2285
UNH,2008-03-31,-0.4096219931271478,-0.3104228623739267,-0.2037478509178155,34.36,0.7777777777777778,0.0532,15.4608,0.369,42091000000,8.9156,0.5571,15.5317,2.1302,0.6161,0.7329,0.1474,-16.340408163265305,0.0954,0.0489,0.0904,0.2371
UNH,2008-06-30,-0.2360302677532013,-0.2037478509178155,0.056019356682187,26.25,0.2706827309236947,0.3188,15.5855,0.3582,31762500000,8.293,0.4134,19.332,1.6369,0.4803,0.6631,0.1168,-17.77603305785124,0.0451,0.0166,0.0711,0.1955
UNH,2008-09-30,-0.0327619047619047,0.056019356682187,0.2732387009969672,25.39,0.7497962510187449,1.2828,16.2061,0.3702,30417220000,8.7733,0.3885,10.4026,1.5296,0.4405,0.66,0.1062,-17.41485809682805,0.0918,0.0456,0.0642,0.1764
UNH,2008-12-31,0.0476565576998818,0.2732387009969672,-0.096490300070014,26.6,0.5980230642504119,1.1598,17.1169,0.3723,32335492000,10.8617,0.4021,9.3807,1.556,0.441,0.7585,0.0898,-16.489527977492966,0.0389,0.0368,0.0543,0.1464
UNH,2009-03-31,-0.2131578947368421,-0.096490300070014,0.0412843539540003,20.93,0.8132231404958677,0.7867,17.6652,0.3811,24896444300,8.3911,0.3031,5.7484,1.1647,0.3321,0.8247,0.0889,-15.625761868332338,0.0864,0.0447,0.053,0.1407
UNH,2009-06-30,0.1935021500238891,0.0412843539540003,-0.1474479105483724,24.98,0.7279661016949153,0.2889,18.2584,0.3854,28751980000,8.2407,0.3443,6.7256,1.3345,0.3749,0.798,0.1051,-16.212858384013902,0.0779,0.0396,0.0623,0.1625
UNH,2009-09-30,0.0024019215372297,-0.1474479105483724,0.1623653280697939,25.04,0.8891752577319587,2.207,19.6718,0.3985,28871120000,8.0108,0.3395,5.4783,1.2608,0.3688,0.8763,0.1034,-14.95836947094536,0.0887,0.0477,0.0635,0.1621
UNH,2009-12-31,0.2172523961661342,0.1623653280697939,0.0231282348679421,30.48,0.8109965635738832,0.8797,20.28,0.3997,34960560000,9.1471,0.4039,7.1552,1.481,0.4073,0.8211,0.104,-15.029642545771578,0.0585,0.0445,0.0656,0.1643
UNH,2010-03-31,0.0718503937007874,0.0231282348679421,-0.0120789822818244,32.67,1.0302768166089966,0.9282,21.0371,0.4084,37015110000,9.1871,0.4227,7.3926,1.522,0.3876,0.8011,0.112,-14.86584289496911,0.0908,0.0517,0.0679,0.1681
UNH,2010-06-30,-0.1307009488827671,-0.0120789822818244,0.1290696601187746,28.4,0.9894273127753304,0.4511,21.8757,0.4109,31666000000,7.3761,0.3557,6.1154,1.2753,0.3215,0.8216,0.1219,-14.899551569506729,0.0865,0.0485,0.0715,0.1746
UNH,2010-09-30,0.2362676056338028,0.1290696601187746,-0.0735510937779485,35.11,1.136120996441281,2.4012,22.7855,0.4063,38585890000,8.5084,0.4246,7.2693,1.5066,0.3924,0.7469,0.1256,-17.43039126478617,0.0958,0.0542,0.0734,0.1798
UNH,2010-12-31,0.0284819139846197,-0.0735510937779485,0.1975102660382567,36.11,0.942186088527552,1.0036,23.3288,0.4095,39215460000,8.4625,0.4192,7.2688,1.5185,0.4173,0.776,0.122,-17.352670349907918,0.0825,0.0436,0.0735,0.1801
UNH,2011-03-31,0.2517308224868458,0.1975102660382567,0.1450649274256244,45.2,1.2247497725204732,0.9199,24.1774,0.4066,48680400000,10.165,0.5082,9.1281,1.832,0.5046,0.808,0.1197,-17.591457753017643,0.0914,0.0533,0.0745,0.1828
UNH,2011-06-30,0.141150442477876,0.1450649274256244,0.0374240099100903,51.58,1.1581352833638026,0.8153,25.0118,0.4138,55139020000,11.1775,0.5641,9.6515,2.015,0.5599,0.8381,0.1209,-17.140318054256316,0.088,0.0505,0.075,0.1829
UNH,2011-09-30,-0.1058549825513765,0.0374240099100903,-0.0126510008927387,46.12,1.1735918744228993,4.3157,25.7359,0.393,48610480000,9.8661,0.4894,6.3229,1.744,0.4453,0.8563,0.1184,-17.580645161290324,0.0873,0.0506,0.0719,0.1784
UNH,2011-12-30,0.0988725065047702,-0.0126510008927387,0.0430168239146352,50.68,1.170232558139535,-0.6288,26.3181,0.4167,52656520000,10.2404,0.5202,8.9233,1.8611,0.5069,0.8506,0.1251,-18.524542829643888,0.0862,0.0488,0.074,0.1831
UNH,2012-03-30,0.1629834254143646,0.0430168239146352,0.0254143862983273,58.94,1.3094339622641509,3.1292,27.2226,0.3969,60885020000,11.7447,0.5907,7.4186,2.1099,0.5829,0.8262,0.1233,-20.46853823814133,0.09,0.0511,0.0737,0.1814
UNH,2012-06-29,-0.007465218866644,0.0254143862983273,-0.1104569195536651,58.5,1.2745471877979029,1.896,28.0028,0.3998,59904000000,11.4015,0.57,6.4385,2.0392,0.5621,0.8227,0.1186,-20.8623046875,0.0876,0.0493,0.0718,0.1804
UNH,2012-09-28,-0.0528205128205128,-0.1104569195536651,-0.0110643721711779,55.41,1.4985563041385948,-0.5957,29.0885,0.4215,56074920000,10.1218,0.5234,13.9802,1.8553,0.5387,0.818,0.1229,-20.895256916996047,0.1024,0.0573,0.0763,0.1859
UNH,2012-12-31,-0.0211153221440172,-0.0110643721711779,-0.0455105122825124,54.24,1.1996142719382834,1.3481,32.1108,0.4116,55270560000,10.0019,0.5027,9.083,1.6598,0.5264,0.7763,0.1129,-26.039254170755644,0.0799,0.0435,0.0724,0.1739
UNH,2013-03-29,0.0547566371681415,-0.0455105122825124,0.1209186924120508,57.21,1.1584062196307094,0.7094,32.9883,0.4083,57953730000,10.8731,0.513,16.5676,1.7072,0.536,0.8357,0.1002,-26.124383020730505,0.0753,0.0395,0.0649,0.1585
UNH,2013-06-28,0.1445551477014508,0.1209186924120508,0.0467565349203421,65.48,1.3996101364522415,1.1423,31.3352,0.4008,65872880000,12.1335,0.5674,24.5702,2.0489,0.6143,0.7808,0.1046,-27.26938369781312,0.0842,0.0475,0.0664,0.1642
UNH,2013-09-30,0.0936163714111178,0.0467565349203421,-0.0476709860508463,71.61,1.533203125,2.9638,32.3691,0.4048,71466780000,13.1324,0.5985,11.2812,2.1561,0.6334,0.7605,0.1081,-27.57815631262525,0.0924,0.0515,0.0671,0.1666
UNH,2013-12-31,0.051529116045245,-0.0476709860508463,0.0758709688387111,75.3,1.4072978303747534,0.7366,32.8639,0.4069,74396400000,13.226,0.611,13.0887,2.2325,0.6577,0.7309,0.1098,-28.52024291497976,0.0846,0.0461,0.0687,0.1692
UNH,2014-03-31,0.0888446215139441,0.0758709688387111,-0.0498684555912079,81.99,1.1034136546184738,1.0592,33.9528,0.3996,80678160000,14.5839,0.6552,13.4262,2.3857,0.697,0.728,0.1071,-28.903455284552845,0.0705,0.0348,0.0664,0.1647
UNH,2014-06-30,-0.0029271862422245,-0.0498684555912079,0.0488935023407589,81.75,1.4207870837537842,0.6569,34.5489,0.4006,79542750000,14.4518,0.6351,14.4939,2.3232,0.6857,0.7424,0.1057,-29.16443987667009,0.0824,0.0435,0.0647,0.1617
UNH,2014-09-30,0.055045871559633,0.0488935023407589,0.1281446207638274,86.25,1.6313645621181263,2.8462,34.613,0.3978,82972500000,14.9878,0.6514,15.8103,2.441,0.6937,0.7376,0.1052,-29.597713097713097,0.0952,0.0491,0.0647,0.1622
UNH,2014-12-31,0.1720579710144928,0.1281446207638274,0.1657790102651201,101.09,1.5503080082135523,2.079,34.7453,0.3917,96439860000,17.1631,0.7435,14.7777,2.8497,0.7957,0.7692,0.1064,-30.38155136268344,0.0895,0.0453,0.0654,0.1656
UNH,2015-03-31,0.1701454149767534,0.1657790102651201,0.0336750291084415,118.29,1.458204334365325,1.9566,34.3962,0.3714,112612080000,18.9806,0.8417,15.286,3.3787,0.8801,0.7654,0.1121,-31.108193277310924,0.0806,0.0396,0.0673,0.1766
UNH,2015-06-30,0.0313635979372727,0.0336750291084415,0.0202532835489418,122.0,1.6407867494824016,0.8488,35.854,0.3788,116144000000,19.0088,0.8446,15.4118,3.3533,0.8851,0.7712,0.1136,-30.695378151260503,0.0848,0.0439,0.0674,0.1797
UNH,2015-09-30,-0.0490983606557376,0.0202532835489418,-0.0504848903197388,116.01,1.6514994829369185,2.5243,35.8769,0.3204,110557530000,18.1093,0.7559,15.3936,3.1867,0.8659,0.7492,0.0997,-45.79643231899266,0.0798,0.0386,0.0611,0.1761
UNH,2015-12-31,0.01405051288682,-0.0504848903197388,0.0879855506292122,117.64,1.2595656670113753,3.1302,36.6711,0.3187,112110920000,19.2862,0.7168,13.6987,3.1615,0.7962,0.7375,0.0847,-46.33158447009444,0.0638,0.028,0.0529,0.1657
UNH,2016-03-31,0.0957157429445767,0.0879855506292122,0.0764300629966581,128.9,1.6659772492244054,1.9576,38.1499,0.313,122970600000,20.4575,0.7446,15.0312,3.3333,0.8307,0.729,0.085,-49.4958071278826,0.0739,0.0363,0.0524,0.1661
UNH,2016-06-30,0.0954228083785879,0.0764300629966581,-0.0415688734205158,141.2,1.813857290589452,1.3391,39.3288,0.3179,134281200000,21.7283,0.7656,15.513,3.5308,0.8561,0.7028,0.0851,-50.76130389064143,0.076,0.0378,0.052,0.1649
UNH,2016-09-30,-0.008498583569405,-0.0415688734205158,0.1106007577003697,140.0,2.0309597523219813,7.0134,40.7543,0.3193,133280000000,20.3449,0.7397,10.2436,3.3749,0.7972,0.7,0.0888,-50.82247899159664,0.0846,0.0426,0.0538,0.169
UNH,2016-12-30,0.1431428571428571,0.1106007577003697,-0.0305305910458616,160.04,1.7396694214876034,-1.9566,41.5175,0.3272,152358080000,21.7127,0.8279,18.8328,3.791,0.8959,0.6878,0.0937,-51.19957983193277,0.073,0.0356,0.0569,0.1761
UNH,2017-03-31,0.0248062984253936,-0.0305305910458616,0.1048543482436352,164.01,2.227692307692308,6.1015,46.8328,0.3329,158269650000,20.8854,0.8411,13.0305,3.4661,0.8772,0.7123,0.0956,-52.33782383419689,0.0767,0.0447,0.0582,0.1765
UNH,2017-06-30,0.1305408206816657,0.1048543482436352,0.0166576218790143,185.42,2.318781725888325,1.7796,47.7086,0.3402,178930300000,22.0683,0.9335,14.1963,3.8075,0.9764,0.7219,0.0976,-51.67357512953368,0.0809,0.0458,0.0589,0.175
UNH,2017-09-29,0.0562506741451839,0.0166576218790143,0.0644315265841064,195.85,2.512639029322548,7.1587,50.0303,0.3523,189778650000,22.0033,0.97,14.7252,3.8354,0.9951,0.7044,0.1041,-51.63157894736842,0.0882,0.0496,0.0619,0.1788
UNH,2017-12-29,0.1256573908603523,0.0644315265841064,-0.0170567564423803,220.46,3.649848637739657,-3.2381,52.4944,0.3741,213625740000,20.2335,1.0674,18.4589,4.1064,1.134,0.7348,0.1235,-51.550051599587206,0.0822,0.0698,0.0755,0.208
UNH,2018-03-30,-0.0293023677764674,-0.0170567564423803,0.1171022097963263,214.0,2.8733535967578523,7.9959,52.6099,0.3337,205868000000,18.345,0.9968,15.2314,3.9646,1.0266,0.7145,0.1247,-57.47401247401248,0.079,0.0516,0.0761,0.2159
UNH,2018-06-29,0.1464485981308411,0.1171022097963263,0.0124141972560646,245.34,2.975560081466395,3.5885,53.5865,0.3403,236017080000,19.9002,1.1108,15.439,4.4851,1.159,0.7515,0.1289,-57.54158004158004,0.0797,0.0524,0.0764,0.2268
UNH,2018-09-28,0.0843727072633896,0.0124141972560646,0.0761166290767543,266.04,3.243133265513733,0.4028,55.3051,0.3598,255930480000,20.3717,1.1709,29.7489,4.7076,1.2542,0.6874,0.1363,-60.25779625779626,0.0857,0.0567,0.0821,0.2348
UNH,2018-12-31,-0.0635994587280108,0.0761166290767543,-0.1381281844665829,249.12,3.1020408163265305,1.8755,57.3744,0.3693,239155200000,19.9528,1.0635,17.5205,4.2533,1.1536,0.7271,0.1264,-59.68958333333333,0.0825,0.0523,0.079,0.2167
