period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2014-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,1.39,30620000,30620000,0,0,0,167334000,155252000,9071000,331657000,0,1254248000,-785487000,468761000,-4999.999999999,15010000,7625000,823048000,232775000,0,24775000,0,0,31989000,0,0,289539000,0,0,0,111445000,5309000.0,406293000,0,0,0,-5214000,0,0,0,421969000.0,416755000,823048000,491391000,116754000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,416755000,401750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9748,0.5063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6105,13.1205,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0183,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1454,0.0,0.0,-572000,0,30620000,0.0,2017-03-06,0.0,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,4,FY2014.FQ4
2015-03-31,310229000,294683000,15546000,11387000,0,0,0,11387000,4159000,0,0,0,647000,4806000,-1745000,3061000,0,0,0,3061000,0,3061000,0.1,0.1,30620000,30620000,8932000,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3061000,8932000,36599000,18975000,0,-37671000,17903000,2478000,0,317000.0,32691000,-26726000,0,-26726000,0,0,0,0,0,0,0,-159000.0,-26885000,0,0,0,0,0,0,-5806000,-5806000,0,0,-26726000,0,0,0,0,13091000,5965000,0.363,2599375,0,0,0.0297,0.0587,0.0587,0.0587,0.0623,0.0641,0.0501,0.0421,0.0134,0.0154,0.0098,0.0192,0.0,0.0,0.0,0.0,10.1315,0.4275,0.1358,0.1569,0.1948,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.928,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,30620000,0.0,2016-07-25,0.0,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,1,FY2015.FQ1
2015-06-30,367441000,315527000,51914000,13208000,0,0,0,13208000,38706000,0,0,0,552000,39258000,-14293000,24965000,0,0,0,24965000,0,24965000,0.81,0.81,30620000,30620000,10457000,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,24966000,10457000,-25258000,18500000,0,-18048000,-24806000,2480000,0,639000.0,13736000,-18526000,0,-18526000,0,0,0,0,0,0,0,-187000.0,-18713000,0,0,0,0,0,0,4977000,4977000,0,0,-18526000,0,0,0,0,49163000,-4790000,0.364,24191250,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1412,0.1337,0.1053,0.1068,0.0679,-0.013,0.0,0.0,0.0,0.0,12.0,1.6055,1.264,1.2821,-0.1564,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1844,2.3393,2.7554,8.3065,7.1685,7.1558,7.15,0.0,0.0,0.0,0.0,0.0,-0.5798,0.3068,-1.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,30620000,0.0,2016-09-07,0.0,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,2,FY2015.FQ2
2015-09-30,335874000,289985000,45889000,14609000,0,0,0,14609000,31280000,0,0,0,815000,32095000,-11684000,20411000,0,0,0,20411000,0,20411000,0.66,0.66,30620000,30620000,7987000,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,20411000,7987000,28834000,-20936000,0,-15625000,-7727000,2671000,0,79000.000000001,23421000,-22646000,0,-22646000,0,0,0,0,0,0,0,-217000.0,-22863000,0,0,0,0,0,0,-558000,-558000,0,0,-22646000,0,0,0,0,39267000,775000,0.364,19550000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1366,0.1169,0.0931,0.0955,0.0607,0.0023,0.0,0.0,0.0,0.0,10.9691,1.2823,1.0215,1.0481,0.0253,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,30620000,0.0,2016-11-10,0.0,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,3,FY2015.FQ3
2015-12-31,315865000,279457000,36408000,13194000,0,0,0,13194000,23214000,0,0,0,863000,24077000,-8739000,15338000,0,0,0,15338000,0,15338000,0.5,0.5,30620000,30620000,9034000,0,0,127545000,150231000,4443000,282219000,0,1335995000,-808453000,527542000,-4999.999999999,15010000,16220000,840986000,192733000,0,25114000,0,0,25207000,0,0,243054000,0,0,0,114910000,3952000.0,361916000,0,0,0,-3739000,0,0,0,482809000.0,479070000,840986000,558767000,118862000,15338000,9034000,-1776000,-11518000,0,18053000,4759000,2284000,0,273000.0,31688000,-29246000,0,-29246000,0,0,0,0,0,0,0,-523000.0,-29769000,0,0,0,0,0,0,-1919000,-1919000,0,0,-29246000,0,0,0,0,32248000,2442000,0.3629,14508750,479070000,464065000,0.1516,0.2662,0.2662,0.2662,0.3256,0.334,0.1152,0.102,0.0734,0.0762,0.0485,0.0077,1.7554,0.5696,0.0,0.0,10.3156,1.0531,0.7581,0.7863,0.0797,15.6456,15.1556,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6395,0.0,0.0,0.1253,0.0217,0.1495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1611,0.0,0.0,0,0,30620000,0.0,2016-09-07,0.0,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,4,FY2015.FQ4
2016-03-31,299830000,245559000,54271000,11378000,0,0,0,11378000,42893000,0,0,0,658000,43551000,-16157000,27394000,0,0,0,27394000,0,27394000,0.89,0.89,30620000,30620000,9788000,0,0,145585000,138243000,3678000,287506000,0,530550000,0,530550000,-4999.999999999,15010000,26479000,859540000,163999000,0,17829000,0,0,20036000,0,0,201864000,0,0,0,125459000,3849000.0,331172000,0,0,0,-2623000,0,0,0,530991000.0,528368000,859540000,572034000,129308000,27394000,9788000,-18033000,11988000,0,-38059000,-44104000,10548000,0,415000.0,4041000,-24626000,0,-24626000,0,0,0,0,0,0,0,-203000.0,-24829000,0,0,0,0,0,0,20788000,20788000,0,0,-24626000,0,0,0,0,52681000,-20585000,0.3709,26808125,528368000,513363000,0.1036,0.1749,0.1749,0.1749,0.2167,0.222,0.181,0.1757,0.143,0.1452,0.0913,-0.0686,1.6267,0.6147,0.0,0.0,9.7919,1.7204,1.4008,1.4223,-0.6722,17.2556,16.7656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0335,2.4909,3.0242,9.3132,8.0617,7.9493,7.95,0.0,0.0,0.0,0.0,0.0,-0.8763,0.0785,-4.4509,0.0,-0.0039,0.0,0.0,0.0,0.0,0.0,0,0.0,1.4242,0.0,0.0,-120000,0,30500000,0.0,2016-07-25,0.0,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,1,FY2016.FQ1
2016-06-30,308418000,273820000,34598000,10876000,0,0,0,10876000,23722000,0,0,0,499000,24221000,-9213000,15008000,0,0,0,15008000,0,15008000,0.49,0.49,30500000,30500000,9869000,0,0,142749000,134304000,6117000,283170000,0,539642000,0,539642000,-4999.999999999,15010000,29390000,867207000,181518000,0,18213000,0,0,2671000,0,0,202402000,0,0,0,139607000,3695000.0,345704000,0,0,0,-1474000,0,0,0,522977000.0,521503000,867207000,584037000,143302000,15008000,9869000,3260000,3939000,0,-8614000,-1415000,14148000,0,202000.0,37812000,-14666000,0,-14666000,0,0,0,0,0,0,0,-125000.0,-14791000,0,0,0,0,0,0,-23021000,-23021000,0,0,-14666000,0,0,0,0,33591000,23146000,0.3803,14826250,521503000,506498000,0.0905,0.1488,0.1488,0.1488,0.1831,0.1874,0.1121,0.1089,0.0769,0.0785,0.0486,0.075,1.6628,0.6013,0.0,0.0,10.112,1.1013,0.7777,0.7941,0.7588,17.0984,16.6064,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1606,-0.3335,-0.3167,-0.3871,-0.383,-0.3988,-0.3963,-0.0039,0.0,0.0,0.0,0.0,1.7527,0.2083,5.8321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.399,0.0,0.0,0,0,30500000,0.0,2016-09-07,0.0,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,2,FY2016.FQ2
2016-09-30,323953000,285091000,38862000,11695000,0,0,0,11695000,27167000,0,0,0,635000,27802000,-11342000,16460000,0,0,0,16460000,0,16460000,0.54,0.54,30483000,30483000,10307000,37964000,0,148583000,136650000,5051000,328248000,0,1316013000,-764435000,551578000,-4999.999999999,15010000,28043000,922874000,190228000,0,15425000,0,0,1705000,0,0,207358000,308230000,0,34935000,130678000,4205000.0,685406000,0,0,0,-5091000,242254000,0,0,305000.00000001,237468000,922874000,594626000,478048000,16459000,10307000,-5344000,-2346000,0,399000,-7291000,4510000,0,629000.0,24614000,-17567000,0,-17567000,0,0,0,0,0,0,0,-133000.0,-17700000,0,0,0,0,310000000,0,-278950000,31050000,0,37964000,-17567000,0,0,310000000,0,37474000,7047000,0.4079,16979375,237468000,222463000,0.0829,0.1955,0.139,0.1441,0.1695,0.1732,0.1199,0.1156,0.0838,0.0858,0.0508,0.0217,3.8863,0.2573,1.2979,0.3339,10.6273,1.2293,0.8912,0.912,0.2311,7.7901,7.2979,505712970,775978970,6.8155,2.1296,2.2732,0.4051,41.9678,4.2265,10.4579,3.2677,3.4881,0.6217,64.3965,6.4853,-0.0354,-0.1531,-0.0456,-0.1314,-0.1337,-0.1935,-0.1904,-0.0044,0.0,0.0,0.0,0.0,0.0509,0.2242,8.0929,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0,0.0,1.583,0.0,0.0,-17000,270266000,30483000,0.0,2016-11-10,16.59,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,3,FY2016.FQ3
2016-12-30,259323000,279152000,-19829000,19760000,0,0,0,19760000,-39589000,0,0,0,-2209000,-41798000,17084000,-24714000,0,0,0,-24714000,0,-24714000,-0.81,-0.81,30483000,30565000,10365000,14199000,0,131671000,128978000,7690000,282538000,0,1346732000,-771357000,575375000,-4999.999999999,15010000,32039000,904957000,222929000,86000,25396000,0,0,25567000,0,0,273978000,264838000,0,33544000,114200000,3035000.0,689595000,0,0,-24714000,-3035000,242806000,0,0,304999.99999998,215362000,904957000,622419000,415617000,-24714000,10365000,16169000,7672000,0,53695000,77536000,-17672000,0,1758000.0,47273000,-27150000,0,-27150000,0,0,0,0,0,0,0,-1911000.0,-29061000,0,0,0,0,-43540000,0,1563000,-41977000,0,-23765000,-27150000,0,0,18000000,-61540000,-29224000,20123000,0.0,-24743125,215362000,200357000,0.0373,0.1508,0.0665,0.0701,0.0804,0.0823,-0.0764,-0.1126,-0.1526,-0.1611,-0.0953,0.0775,4.202,0.2379,1.2297,0.2926,8.4843,-0.9561,-1.2952,-1.3675,0.6583,7.046,6.5551,674893620,925532620,19.7637,3.1337,3.3684,0.5664,22.6999,12.55,27.1035,4.2975,4.6194,0.7767,31.1302,17.2108,-0.179,-1.5446,-1.9062,-2.7053,-2.736,-2.6112,-2.6167,-0.0017,0.0,0.0906,0.076,-0.5504,0.4918,0.0716,7.2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0312,0.0,0.0,0,250639000,30483000,0.0,2017-03-06,22.14,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,4,FY2016.FQ4
2017-03-31,376704000,313896000,62808000,16770000,0,0,0,16770000,46038000,0,0,0,-1797000,44241000,-16948000,27293000,0,0,0,27293000,0,27293000,0.9,0.88,30483000,30894000,11296000,12028000,0,167965000,112037000,5675000,297705000,0,584714000,0,584714000,-4999.999999999,15010000,30602000,928026000,208416000,5238000,22573000,3375000,0,19707000,0,0,259309000,261557000,0,33603000,125906000,3313000.0,683688000,0,0,2579000,-3036000,244490000,0,0,304999.99999998,244338000,928026000,630321000,424379000,27293000,11296000,-36295000,16941000,0,-2101000,-21455000,11706000,1680000,686000.0,31206000,-33214000,0,-33214000,0,0,0,0,0,0,0,-121000.0,-33335000,0,0,0,0,-42000,0,0,-42000,0,-2171000,-33214000,0,0,167500000,-167542000,57334000,-2008000,0.383,28773750,244338000,229333000,0.0371,0.1481,0.0688,0.0706,0.088,0.09,0.1667,0.1521,0.1222,0.1174,0.0724,-0.0053,3.7981,0.2632,1.0842,0.2854,12.1934,1.8558,1.4901,1.432,-0.0649,7.9089,7.4232,832795560,1082324560,24.4601,3.4083,3.6313,0.6565,17.2392,15.2901,31.7891,4.4296,4.7194,0.8533,22.4046,19.8715,0.2563,0.1573,0.0883,0.0733,0.0158,-0.0036,-0.0167,0.0089,0.0,0.102,0.0796,-0.5375,6.7223,-0.3487,0.9024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.148,0.0,0.0,0,252904000,30483000,0.0,2017-05-11,27.32,0,0.15499477447402,0.0948895012326,0.099894017183104,0.085903946010914,0.093238602285331,0.2114945356821,0.14628441169141,2.3302174746802,0.21842948939812,0.50195184361233,0.18295374190947,1,FY2017.FQ1
