period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2019-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96864000,96864000,0,46000000,0,227000000,0,27000000,300000000,1684000000,3571000000,-460000000,3111000000,2195000000,471000000,26000000,7787000000,49000000,0,0,2922000000,15000000,0,0,414000000,3400000000,0,31000000,0,571000000,61000000,4063000000,0,0,501000000,-13000000,3081000000,0,155000000,0,3724000000,7787000000,7487000000,663000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3724000000,1058000000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.091,0.4782,0.7929,0.3792,0.0,0.0,0.0,0.0,0.0,38.4456,10.9225,0,-46000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0123,-0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0882,0.0,0.0,0,2876000000,96864000,0.0,2022-02-25,0.0,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,4,FY2019.FQ4
2020-03-31,169000000,0,169000000,0,0,0,73000000,73000000,96000000,1000000,-27000000,-26000000,30000000,100000000,-26000000,74000000,0,-3000000,0,71000000,0,71000000,0.73,0.73,96864000,96864000,36000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74000000,36000000,7000000,0,0,-16000000,-9000000,25000000,0,7000000,133000000,-136000000,0,-136000000,-15000000,0,-15000000,0,0,0,0,-1000000,-152000000,0,0,0,0,162000000,0,-3000000,159000000,0,140000000,-136000000,0,0,162000000,0,132000000,-3000000,0.26,58750000,0,0,0.0729,0.1525,0.0831,0.0837,0.105,0.1654,1,0.781,0.568,0.5917,0.4201,-0.0177,0.0,0.0,0.0,0.0,1.7447,1.3627,0.991,1.0323,-0.0309,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,96864000,0.0,2021-05-26,0.0,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,1,FY2020.FQ1
2020-06-30,174000000,0,174000000,0,0,0,74000000,74000000,100000000,1000000,-26000000,-25000000,24000000,99000000,-26000000,73000000,0,-2000000,0,71000000,0,71000000,0.73,0.73,96864000,96864000,37000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000000,37000000,7000000,0,0,13000000,20000000,25000000,0,9000000,164000000,-210000000,0,-210000000,-1000000,0,-1000000,0,0,0,0,-136000000,-347000000,0,0,0,0,-191000000,0,259000000,68000000,0,-115000000,-210000000,0,0,0,-191000000,137000000,-46000000,0.2626,61875000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7873,0.5747,0.5689,0.408,-0.2643,0.0,0.0,0.0,0.0,1.7963,1.4143,1.0323,1.022,-0.4748,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.0295,0.0378,0.0416,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,-0.5441,-14.3333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,96864000,0.0,2021-08-06,0.0,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,2,FY2020.FQ2
2020-09-30,203000000,0,203000000,0,0,0,83000000,83000000,120000000,4000000,-29000000,-25000000,49000000,144000000,-39000000,105000000,0,-4000000,0,101000000,0,101000000,1.04,1.04,96864000,96864000,38000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000000,38000000,-30000000,0,0,-2000000,-32000000,37000000,0,9000000,157000000,-94000000,0,-94000000,-14000000,0,-14000000,0,0,0,0,6000000,-102000000,0,0,0,0,315000000,0,-386000000,-71000000,0,-16000000,-94000000,0,0,286000000,29000000,158000000,63000000,0.2708,75000000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7783,0.5911,0.7093,0.4975,0.3103,0.0,0.0,0.0,0.0,2.0957,1.6311,1.2388,1.4866,0.6503,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,96864000,0.0,2021-11-05,0.0,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,3,FY2020.FQ3
2020-12-31,208000000,0,208000000,0,0,0,112000000,112000000,96000000,3000000,-31000000,-28000000,29000000,97000000,-25000000,72000000,0,-3000000,0,69000000,0,69000000,0.71,0.71,96864000,96864000,58000000,42000000,0,400000000,0,41000000,483000000,1691000000,4026000000,-511000000,3515000000,2140000000,473000000,40000000,8342000000,39000000,24000000,0,3175000000,17000000,0,0,33000000,3288000000,0,28000000,0,743000000,55000000,4114000000,0,0,751000000,-11000000,3333000000,0,155000000,0,4228000000,8342000000,7859000000,826000000,72000000,58000000,0,0,0,-10000000,-10000000,24000000,0,-1000000,143000000,-78000000,0,-78000000,-5000000,0,-5000000,0,0,0,0,-30000000,-113000000,0,0,0,0,-33000000,0,-10000000,-43000000,0,-13000000,-78000000,0,0,-33000000,0,154000000,65000000,0.2577,60000000,4228000000,1615000000,0.0748,0.1475,0.0822,0.0827,0.1001,0.1467,1,0.7403,0.4615,0.4663,0.3317,0.3125,1.973,0.5068,0.7575,0.3839,2.1473,1.5898,0.991,1.0014,0.671,43.6488,16.6728,0,-42000000,0.0,0.0,0.0,0.0,0.0,0.0,-0.1346,-0.0099,-0.026,-0.0557,-0.5316,-0.0954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0869,0.1298,0.0712,0.1353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1468,0.0,0.0,0,3133000000,96864000,0.0,2021-05-26,0.0,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,4,FY2020.FQ4
2021-03-31,197000000,0,197000000,0,0,0,98000000,98000000,99000000,3000000,-26000000,-23000000,34000000,110000000,-29000000,81000000,0,-3000000,0,78000000,0,78000000,0.8,0.8,96864000,96864000,45000000,29000000,0,123000000,0,32000000,184000000,1683000000,4040000000,-538000000,3502000000,2125000000,473000000,48000000,8015000000,17000000,0,0,0,18000000,0,0,45000000,80000000,3048000000,24000000,0,771000000,53000000,3976000000,1000000,0,566000000,-10000000,3331000000,0,151000000,0,4039000000,8015000000,7831000000,3896000000,81000000,45000000,14000000,0,0,-10000000,4000000,28000000,0,5000000,163000000,-27000000,0,-27000000,-1000000,0,-1000000,0,0,0,0,11000000,-17000000,0,0,0,0,-154000000,0,-5000000,-159000000,0,-13000000,-27000000,0,0,0,-154000000,144000000,136000000,0.2636,61875000,4039000000,1441000000,0.039,0.0771,0.0429,0.0431,0.0513,0.0757,1,0.7309,0.5025,0.5583,0.3959,0.6903,1.9844,0.5039,0.7605,0.3832,2.0337,1.4866,1.022,1.1356,1.404,41.6976,14.8765,0,3019000000,0.0,0.0,0.0,0.0,0.0,0.0,9.4639,0.7474,2.095,3.8606,13.8486,6.7088,0.1656,0.1656,0.0909,0.0312,0.1,0.0985,0.0982,0.0,0.0,0.0,0.0,0.0,0.2255,0.8014,46.3333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.3,0.0,0.0,0,3019000000,96864000,0.0,2021-05-26,0.0,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,1,FY2021.FQ1
2021-06-30,208000000,0,208000000,0,0,0,104000000,104000000,104000000,1000000,-24000000,-23000000,11000000,92000000,-21000000,71000000,0,-3000000,0,68000000,0,68000000,0.7,0.7,96700000,96700000,46000000,37000000,0,118000000,0,25000000,180000000,1686000000,4071000000,-565000000,3506000000,2111000000,473000000,34000000,7990000000,26000000,21000000,6000000,10000000,17000000,0,0,27000000,107000000,3037000000,20000000,0,791000000,54000000,4009000000,1000000,0,386000000,-10000000,3453000000,0,151000000,0,3981000000,7990000000,7810000000,3902000000,71000000,46000000,4000000,0,0,7000000,11000000,20000000,0,17000000,165000000,-33000000,0,-33000000,-3000000,0,-3000000,0,0,0,0,254000000,218000000,0,0,0,0,26000000,-501000000,100000000,-375000000,0,8000000,-33000000,0,0,3047000000,-3021000000,150000000,132000000,0.2282,63750000,3981000000,1397000000,0.0394,0.0788,0.0437,0.0439,0.0529,0.0787,1,0.7211,0.5,0.4423,0.3269,0.6346,2.007,0.4982,0.7704,0.3838,2.1509,1.5511,1.0754,0.9513,1.365,41.1685,14.4467,3739697780,6739697780,11.8344,0.9393,2.6769,4.5829,9.4436,8.4417,21.3281,1.6929,4.8244,8.2594,17.0194,15.2137,0.1954,0.1954,0.0948,0.04,-0.0707,-0.0422,-0.045,-0.0016,0.0,0.0,0.0,0.0,0.006,0.8428,3.8695,0.0,-0.0013,0.0,0.0,0.0,0.0,0,0,0.0,1.6822,0.0,0.0,-131000,3010000000,96733000,0.0,2021-08-06,38.66,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,2,FY2021.FQ2
2021-09-30,212000000,0,212000000,0,0,0,106000000,106000000,106000000,0,-31000000,-31000000,31000000,106000000,-29000000,77000000,0,-3000000,0,74000000,0,74000000,0.77,0.77,96700000,96900000,46000000,128000000,0,155000000,0,27000000,310000000,1687000000,4116000000,-592000000,3524000000,2097000000,473000000,36000000,8127000000,30000000,16000000,28000000,10000000,17000000,0,0,94000000,195000000,3037000000,25000000,0,828000000,53000000,4138000000,1000000,0,403000000,-10000000,3445000000,0,150000000,0,3989000000,8127000000,7817000000,3943000000,77000000,46000000,-38000000,0,0,20000000,-18000000,28000000,0,3000000,136000000,-36000000,0,-36000000,-7000000,0,-7000000,0,0,0,0,5000000,-38000000,0,0,0,0,-2000000,0,-5000000,-7000000,0,91000000,-36000000,0,0,0,-2000000,152000000,100000000,0.2735,64375000,3989000000,1419000000,0.0358,0.0725,0.0401,0.0405,0.0511,0.0758,1,0.7169,0.5,0.5,0.349,0.4716,2.0373,0.4908,0.7701,0.3779,2.1878,1.5686,1.0939,1.0939,1.0319,41.1661,14.6439,4472933920,7381933920,15.4772,1.1213,3.1521,5.4217,10.3301,11.0442,25.543,1.8505,5.2022,8.9477,17.0483,18.2269,0.0443,0.0443,-0.0379,-0.1166,-0.2638,-0.2673,-0.2617,0.0003,0.0,0.0,0.0,0.0,-0.1337,0.617,0.5873,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.5897,0.7792,0.0,0,2919000000,96733000,0.6,2021-11-05,46.24,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,3,FY2021.FQ3
2021-12-31,223000000,0,223000000,0,0,0,113000000,113000000,110000000,0,-31000000,-31000000,35000000,114000000,-25000000,89000000,0,-2000000,0,87000000,0,87000000,0.89,0.88,96700000,96900000,47000000,132000000,0,178000000,0,50000000,360000000,1691000000,4145000000,-619000000,3526000000,2082000000,473000000,34000000,8166000000,22000000,24000000,0,10000000,16000000,0,0,105000000,177000000,3036000000,21000000,0,856000000,55000000,4145000000,1000000,0,431000000,-10000000,3450000000,0,149000000,0,4021000000,8166000000,7806000000,3968000000,89000000,47000000,-23000000,0,0,-28000000,-51000000,28000000,0,-5000000,108000000,-44000000,0,-44000000,0,0,0,0,0,0,0,4000000,-40000000,0,0,0,0,-3000000,0,-61000000,-64000000,0,4000000,-44000000,0,0,0,-3000000,157000000,64000000,0.2192,67500000,4021000000,1466000000,0.0376,0.0766,0.0424,0.0432,0.0525,0.0774,1,0.704,0.4932,0.5112,0.3901,0.2869,2.0308,0.4924,0.7627,0.3755,2.3013,1.6202,1.1351,1.1764,0.6604,41.4963,15.1289,4641297320,7545297320,15.1182,1.1542,3.1659,5.5253,10.7437,10.9983,24.5775,1.8764,5.1468,8.9824,17.4659,17.8798,0.0721,0.0721,0.0194,0.1458,0.1752,0.2608,0.2359,0.0003,2.1428,0.0031,-0.021,-0.0489,-0.2447,0.4358,-0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0338,0.6818,0.0,1000,2914000000,96734000,0.6,2022-02-25,47.98,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,4,FY2021.FQ4
2022-03-31,215000000,0,215000000,0,0,0,111000000,111000000,104000000,0,-31000000,-31000000,36000000,109000000,-25000000,84000000,0,-3000000,0,81000000,0,81000000,0.84,0.84,96700000,97000000,47000000,281000000,0,124000000,0,37000000,442000000,1679000000,4161000000,-647000000,3514000000,2068000000,473000000,35000000,8211000000,21000000,23000000,26000000,10000000,15000000,0,0,93000000,188000000,3033000000,20000000,0,878000000,54000000,4173000000,1000000,0,446000000,-10000000,3453000000,0,148000000,0,4038000000,8211000000,7769000000,3985000000,84000000,47000000,50000000,0,0,19000000,69000000,22000000,0,12000000,234000000,-20000000,0,-20000000,0,0,0,0,0,0,0,3000000,-17000000,0,-3000000,-3000000,0,-3000000,-58000000,-4000000,-68000000,0,149000000,-20000000,0,0,0,-3000000,151000000,214000000,0.2293,63125000,4038000000,1497000000,0.0378,0.0769,0.0427,0.044,0.0528,0.0775,1,0.7023,0.4837,0.5069,0.3767,0.9953,2.0334,0.4917,0.7585,0.373,2.2164,1.5567,1.0721,1.1237,2.2061,41.6288,15.4329,5248786840,8000786840,16.9315,1.2998,3.5062,6.1174,10.2917,12.4674,25.8089,1.9813,5.3445,9.3249,15.6878,19.0042,0.0913,0.0913,0.0486,0.0505,-0.009,0.0384,0.0434,0.0014,8.6896,0.0034,0.0244,-0.0002,0.4355,0.2592,0.5735,0.0666,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.351,0.7619,0.0,0,2762000000,96734000,0.64,2022-05-05,54.26,0,1,0.51730750882549,0.5011013215859,0.39967884383782,0.038431339505077,0.077053464700495,0.042884347387132,2.0189357543332,0.37430892556364,0.75805621196551,0.044393843087734,1,FY2022.FQ1
