period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2017-03-31,12119000,14910000,-2791000,2617000,0,0,1764000,4381000,-7172000,184000,-6748000,-6564000,8281000,-5455000,1000,-5454000,-1607000,2156000,0,-4905000,0,-4905000,-0.21,-0.21,23282000,23282000,4642000,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-5454000,4642000,-43000,-3982000,0,875000,-3150000,-1000,0,2447000.0,-1516000,-8917000,0,-8917000,-1572000,0,-1572000,0,0,0,0,79000.000000001,-10410000,27002000,0,27002000,0,775000,0,-1572000.0,26205000,-222000,14057000,-8917000,0,0,2750000,-1975000,-2530000,-10433000,0.0,-4024375,0,0,-0.1229,-1.6099,-0.2108,-0.2338,-0.2357,-0.2357,-0.2302,-0.2087,-0.5917,-0.4501,-0.4047,-0.8608,0.0,0.0,0.0,0.0,0.5205,-0.1086,-0.308,-0.2343,-0.4481,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,23282000,0,2018-05-07,0.0,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,1,FY2017.FQ1
2017-06-30,32548000,27637000,4911000,3115000,0,0,-48000,3067000,1844000,641000,-6676000,-6035000,-7714000,-11905000,795000,-11110000,-1640000,2214000,0,-10536000,0,-10536000,-0.45,-0.45,23282000,23282000,8312000,24767000,0,3009000,7229000,30654000.0,65659000,0,243589000,0,243589000,-3000.0000000001,17510000,3109000.0,329864000,41334000,14757000,0,7591000,0,0,0,25072000.0,88754000,155816000,0,0,16621000,34672000,295863000,55000000,0,-20896000,-246000,0,0,-2426000,2569000.0,34001000,329864000,264205000,207109000,-11110000,8312000,-2013000,2420000,0,-6158000,-5751000,-795000,90000,13948000.0,4694000,-7997000,0,-7997000,-1641000,0,-1641000,0,0,0,0,439000.0,-9199000,0,0,0,0,-633000,0,-1950000.0,-2583000,-520000,-7608000,-7997000,0,0,0,-633000,10156000,-3303000,0.0,1911875,34001000,16494000,-0.2555,-2.4789,-0.4322,-0.4951,0.0593,0.0638,0.1508,0.312,0.0566,-0.3657,-0.3237,-0.1014,9.7015,0.103,4.8059,0.4953,1.3979,0.4362,0.0792,-0.5113,-0.1418,1.4603,0.7084,0,131049000,0.0,0.0,0.0,0.0,0.0,0.0,-8.3593,3.8542,7.9452,2.9339,-9.5266,-7.4476,1.6857,2.7595,5.0142,1.2571,-1.1824,-1.148,-1.1469,0.0,0.0,0.0,0.0,0.0,4.0963,0.1031,0.6834,0,2.0541,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7397,0,0.0,47824000,138640000,71106000,0,2017-10-11,0.0,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,2,FY2017.FQ2
2017-09-29,33004000,27473000,5531000,3436000,0,0,580000,4016000,1515000,1206000,-5822000,-4616000,6782000,3681000,15007000,18688000,-905000,549000,0,18332000,0,18332000,0.25,0.25,71106000,71106000,8996000,14916000,0,4661000,8963000,34393000.0,62933000,0,260401000,0,260401000,-3999.9999999978,18310000,3688000.0,345328000,26175000,9329000,0,4513000,0,0,0,27016000.0,67033000,161698000,0,0,17246000,46599000,292576000,55000000,0,-5832000,636000,0,0,193000,2755000.0,52752000,345328000,282395000,225543000,18688000,8996000,-2004000,-870000,0,-1608000,-4482000,-15007000,190000,-1562000.0,6823000,-14929000,0,-14929000,-209000,0,-209000,0,0,0,0,244000.0,-14894000,-6000,0,-6000,0,-629000,0,-1852000.0,-2487000,707000,-9851000,-14929000,0,0,0,-629000,10511000,-8106000,0.0,1478125,52752000,34446000,0.0085,0.0666,0.0139,0.0154,-0.0143,-0.0153,0.1675,0.3184,0.0459,0.1115,0.5554,-0.2456,6.5462,0.1527,3.1507,0.4813,0.4641,0.1478,0.0213,0.0517,-0.1139,0.7418,0.4844,0,146782000,0.0,0.0,0.0,0.0,0.0,0.0,50.772,2.7824,4.2612,1.8897,-6.7201,-10.7304,0.0,0.0,45.7276,7.4468,16.5974,78.6779,26.8,2.0541,0.0,0.0,0.0,0.0,342.15,0.0,-404.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9388,0,0.0,0,151295000,71106000,0,2017-11-14,0.0,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,3,FY2017.FQ3
2017-12-29,70614000,60242000,10372000,9462000,0,0,3266000,12728000,-2356000,247000,-1215000,-968000,18894000,15570000,-242000,15328000,3346000,58000,0,19539000,0,19539000,0.24,0.24,79381000,79381000,16203000,51098000,0,3360000,8478000,34956000.0,97892000,0,312272000,-31611000,280661000,0.0,0,2790000.0,381343000,13331000,6857000,7637000,5601000,0,0,0,21906000.0,55332000,133565000,0,0,16655000,46045000,251597000,113000000,0,14011000,-83000,0,0,-243000,3061000.0,129746000,381343000,283451000,196265000,15328000,16203000,771000,1256000,0,4866000,6893000,242000,600000,-14516000.0,24750000,-32243000,0,-32243000,-1533000,0,-1533000,0,0,0,0,5030000.0,-28746000,56704000,0,56704000,0,41289000,0,-59329000.0,38664000,1561000,36229000,-32243000,0,0,54489000,-13200000,13847000,-7493000,0.0155,1313750,129746000,129746000,0.0617,0.2458,0.0919,0.1063,-0.02,-0.0206,0.1468,0.196,-0.0333,0.2204,0.2767,-0.1061,2.9391,0.3402,1.0726,0.3649,0.8895,0.1744,-0.0296,0.1961,-0.0943,1.6344,1.6344,473110760,555577760,21.0927,3.6464,3.6464,3.1905,-16.1278,250.1907,24.7694,4.282,4.282,3.7466,-18.939,293.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4095,1.7894,0.0732,0.1953,4.3233,0.0,0.0,0.0,0,0.1163,0.0,0.0,0.0,0.0,0.0,0,0.0,1.7691,0,0.0,8275000,88068000,79381000,0,2018-03-28,5.96,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,4,FY2017.FQ4
2018-03-30,39672000,31187000,8485000,7029000,0,0,284000,7313000,1172000,210000,-4531000,-4321000,1699000,-1450000,137000,-1313000,0,-56000,0,-1369000,0,-1369000,-0.02,-0.02,81975000,81975000,10552000,27072000,0,3689000,14969000,29866000.0,75596000,0,294338000,0,294338000,0.0,0,3100000.0,373034000,20494000,5340000,0,9773000,0,0,0,17834000.0,53441000,130172000,0,0,16088000,45367000,245068000,117000000,0,9406000,1014000,0,0,234000,312000.0,127966000,373034000,297438000,191627000,-1313000,10552000,1381000,-5658000,0,-6198000,-10475000,-137000,780000,3489000.0,2896000,-24047000,0,-24047000,0,0,0,0,0,0,0,117000.0,-23930000,1218000,0,1218000,0,-1938000,0,-2375000.0,-3095000,94000,-24035000,-24047000,0,0,0,-1938000,11724000,-21151000,0.0,828750,127966000,127966000,0.0688,0.2015,0.0967,0.1132,0.0065,0.0065,0.2138,0.2955,0.0295,-0.0365,-0.0345,-0.5331,2.9151,0.343,1.0936,0.3751,0.4839,0.143,0.0142,-0.0176,-0.258,1.561,1.561,559098720,662198720,21.5319,4.3691,4.3691,3.1796,-13.9589,94.8267,25.5025,5.1748,5.1748,3.7659,-16.533,112.3132,2.2735,4.0401,5.6339,1.1634,0.7341,0.7208,0.9052,2.5209,0.0,0.0,0.0,0.0,2.9102,-1.6967,-1.0273,0,0.0639,0.0,0.0,0.0,0.0,0.0,0,0.0,1.4145,0,0.0,5075000,112873000,84456000,0,2018-05-07,6.62,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,1,FY2018.FQ1
2018-06-29,61045000,45144000,15901000,6556000,0,0,405000,6961000,8940000,130000,-4804000,-4674000,-23581000,-19315000,1108000,-18207000,0,33000,0,-18174000,0,-18174000,-0.22,-0.22,84459000,84459000,14608000,17092000,0,10185000,7562000,24952000.0,59791000,0,270934000,0,270934000,0.0,0,2361000.0,333086000,26130000,5318000,0,16221000,0,0,0,19408000.0,67077000,124971000,0,0,12185000,37965000,242198000,117000000,0,-7486000,-19161000,0,0,149000,386000.00000001,90888000,333086000,273295000,175121000,-18207000,14608000,-4166000,870000,0,3274000,-22000,-1108000,830000,28575000.0,24676000,-33879000,0,-33879000,0,0,0,0,0,0,0,39999.999999999,-33839000,50000,0,50000,0,3998000,0,-3610000.0,438000,-1262000,-9987000,-33879000,0,0,5275000,-1277000,23548000,-9203000,0.0,5689375,90888000,90888000,0.0519,0.1674,0.0732,0.0803,0.0303,0.0303,0.2604,0.3857,0.1464,-0.3164,-0.2977,-0.1507,3.6647,0.2728,1.5534,0.4238,0.7227,0.2788,0.1058,-0.2286,-0.1089,1.0761,1.0761,612545250,720424250,33.4212,6.7395,6.7395,2.9977,-13.3298,-404.5873,39.3073,7.9265,7.9265,3.5257,-15.6774,-475.8416,0.8755,2.2378,1.3186,3.8481,-0.6224,-0.7249,0.5143,2.6276,-0.3098,0.1122,0.0097,1.673,4.2569,-3.2364,-1.7862,0,0.0003,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8913,0,0.0,33000,124100000,84489000,0,2018-08-13,7.25,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,2,FY2018.FQ2
2018-09-28,47304000,28446000,18858000,6016000,0,0,756000,6772000,12086000,190000,-6452000,-6262000,-530000,5294000,-45000,5249000,0,-71000,0,5178000,0,5178000,0.06,0.06,84505000,88639000,9056000,20493000,0,4929000,9200000,27336000.0,61958000,0,271074000,0,271074000,0.0,0,1782000.0,334814000,29693000,5895000,0,23129000,0,4378000,0,14642000.0,77737000,118521000,0,0,11431000,36066000,243755000,118000000,0,2270000,-29221000,0,0,289000,-279000.0,91059000,334814000,272856000,166018000,5249000,9056000,4152000,-3314000,0,9839000,10677000,45000,890000,5158000.0,31075000,-20261000,0,-20261000,0,0,0,0,0,0,0,30999.999999999,-20230000,306000,0,306000,0,412000,0,-4019000.0,-3301000,-4104000,3440000,-20261000,0,0,4170000,-3758000,21142000,10814000,0.0085,7628125,91059000,91059000,0.0154,0.0568,0.0222,0.0241,0.0705,0.0705,0.3986,0.4469,0.2554,0.1119,0.1094,0.2286,3.6768,0.2719,1.5555,0.423,0.5336,0.2385,0.1363,0.0597,0.122,1.0273,1.0273,763443780,861471780,147.5538,8.384,8.384,3.4918,-28.2411,7711.5533,166.5001,9.4605,9.4605,3.9402,-31.8674,8701.7351,0.4332,2.4095,1.0114,6.9775,0.4381,-0.7175,-0.7674,0.2465,0.3738,0.0409,-0.0304,0.7261,3.5544,-0.3571,2.334,0,0.0017,0.0,0.0,0.0,0.0,0.0,0,0.0,0.797,0,0.0,150000,121157000,84639000,0,2018-11-08,9.02,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,3,FY2018.FQ3
2018-12-31,85084000,46102000,38982000,12154000,0,0,2792000,14946000,24036000,773000,-3008000,-2235000,-3669000,18132000,-6852000,11280000,0,-70000,0,11210000,0,11210000,0.13,0.13,84745000,84745000,11081000,18941000,0,9811000,14645000,7557000.0,50954000,0,390372000,-84005000,306367000,0.0,0,3118000.0,360439000,19007000,11357000,17383000,10602000,0,1916000,0,0.0,60265000,141632000,0,0,15811000,38909000,256617000,118000000,0,10337000,-24755000,0,0,296000,-55999.999999997,103822000,360439000,309485000,196352000,11280000,11081000,-5983000,2877000,0,-2734000,-5840000,6852000,720000,-108000.0,23985000,-22985000,0,-22985000,0,0,0,0,0,0,0,9999.999999998,-22975000,150000,0,150000,0,11647000,0,-12861000.0,-1064000,-1570000,-1624000,-22985000,0,0,132043000,-120396000,35117000,1000000,0.3778,15461875,103822000,103822000,-0.009,-0.0323,-0.0128,-0.014,0.1564,0.1564,0.4581,0.4127,0.2824,0.2131,0.1317,0.0117,3.4717,0.288,1.4662,0.4223,1.004,0.4143,0.2836,0.2139,0.0118,1.2251,1.2251,613510360,736201360,-194.4565,5.9092,5.9092,2.6319,-33.0911,230.5563,-233.3443,7.0909,7.0909,3.1582,-39.7088,276.6634,0.2049,2.7583,1.536,11.202,0.1645,-0.4262,-0.4715,0.0675,-0.6293,0.0915,-0.0548,-0.1998,-0.0309,0.2871,1.1334,0,0.0011,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8454,0,0.0,100000,133293000,84739000,0,2019-03-14,7.24,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,4,FY2018.FQ4
2019-03-29,72041000,39447000,32594000,8252000,0,0,1505000,9757000,22837000,136000,-4683000,-4547000,-76000,18214000,-2731000,15483000,0,-160000,0,15323000,0,15323000,0.18,0.17,84804000,89918000,12139000,19488000,0,20483000,18826000,8531000.0,67328000,0,318293000,0,318293000,0.0,0,2239000.0,387860000,29890000,16330000,0,11255000,3536000,6216000,0,848999.99999999,68076000,143979000,1325000,0,14232000,39970000,267582000,119000000,0,25660000,-24458000,0,0,450000,-374000.0,120278000,387860000,320532000,199506000,15483000,12139000,-11901000,-6759000,0,3358000,-15302000,2731000,1840000,8176000.0,25067000,-22126000,0,-22126000,0,0,0,0,0,0,0,16999.999999999,-22109000,543000,0,543000,0,788000,0,-3305000.0,-1974000,-437000,547000,-22126000,0,0,4674000,-3886000,34976000,2941000,0.1499,14258125,120278000,120278000,0.0361,0.1208,0.0507,0.0546,0.2115,0.2115,0.4524,0.4855,0.317,0.2528,0.2126,0.0408,3.2246,0.3101,1.3016,0.4036,0.8011,0.3889,0.2539,0.2025,0.0327,1.3376,1.3376,992472960,1116963960,73.3155,8.2514,8.2514,3.7384,178.7595,44.4556,82.5119,9.2865,9.2865,4.2074,201.1822,50.0319,0.8159,2.8413,1.9832,18.4854,13.5613,12.1928,9.5,0.0968,-0.2801,0.0813,0.0397,-0.06,7.6557,0.0798,1.139,0,0.0027,0.0,0.0,0.0,0.0,0.0,0,0.0,0.989,0,0.0,233000,135746000,84972000,0,2019-05-07,11.68,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,1,FY2019.FQ1
2019-06-28,76474000,44389000,32085000,8491000,0,0,1368000,9859000,22226000,106000,-3966000,-3860000,-1083000,17283000,-2027000,15256000,0,-145000,0,15111000,0,15111000,0.18,0.17,85033000,90697000,11222000,33481000,0,9768000,18662000,9033000.0,70944000,0,334775000,0,334775000,0.0,0,2286000.0,408005000,31805000,11751000,0,10481000,3282000,6215000,0,1824000.0,65358000,146379000,920000,0,13845000,41386000,267888000,119000000,0,40771000,-20733000,0,0,606000,472999.99999998,140117000,408005000,337061000,202530000,15256000,11222000,11568000,3392000,0,-10950000,4010000,2027000,1290000,3499000.0,37304000,-19494000,0,-19494000,0,0,0,0,0,0,0,0.0,-19494000,590000,0,590000,0,-2455000,0,-2963000.0,-4828000,1011000,13993000,-19494000,0,0,12865000,-15320000,33448000,17810000,0.1172,13866875,140117000,140117000,0.1176,0.3596,0.1626,0.1791,0.2373,0.2373,0.4195,0.4373,0.2906,0.2259,0.1975,0.2328,2.9118,0.3434,1.126,0.3867,0.8431,0.3687,0.245,0.1905,0.1963,1.5448,1.5448,1386844360,1499742360,29.6195,9.8977,9.8977,4.937,42.5869,23.5365,32.0307,10.7035,10.7035,5.339,46.0538,25.4525,0.2527,1.0177,0.4204,1.4861,1.8947,1.8314,1.7727,0.0738,0.9588,0.2356,0.2249,0.5416,0.5117,0.4245,2.9352,0,0.0025,0.0,0.0,0.0249,0.1911,0.0,0,0.0,1.0854,0,0.0,215000,123379000,85187000,0,2019-08-08,16.28,0,0.61700245312659,0.36548755207431,0.51798067292425,0.12238371816029,0.18987679625375,0.39400328035837,0.24300102924122,2.247758348278,0.34678398233431,0.77986944660127,0.30919728294308,2,FY2019.FQ2
