period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2016-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,254907000,254907000,0,966270000,0,102020000,0,9912000,1078202000,184562000,2894858000,-316024000,2578834000,0,0,550557000,4392155000,35831000,0,20757000,0,0,0,0,147815000,204403000,985732000,0,0,0,9354000.0,1199489000,0,0,0,0,0,0,3258966000,-66300000.0,3192666000,4392155000,3313953000,995086000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,3192666000,3192666000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3757,0.7269,0.3087,0.2244,0.0,0.0,0.0,0.0,0.0,12.5248,12.5248,0,19462000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2748,0.0,0.0,0,19462000,254907000,0.0,2019-02-14,0.0,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,4,FY2016.FQ4
2017-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.66,254907000,254907000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,254907000,0.0,2018-10-29,0.0,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,2,FY2017.FQ2
2017-09-29,206293000,22244000,184049000,19302000,0,0,19589000,38891000,145158000,0,-10210000,-10210000,2786000,137734000,-22283000,115451000,0,-33334000,0,82117000,0,82117000,0.32,0.32,254907000,254907000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,65029000,0,-65029000.0,0,0,0,0,0,0,184000000,-118971000,145158000,0,0.1617,69890000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921,0.7036,0.7036,0.6676,0.398,0.0,0.0,0.0,0.0,0.0,0.8092,0.5694,0.5694,0.5403,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,254907000,0.0,2018-12-03,0.0,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,3,FY2017.FQ3
2017-12-29,292378000,38023000,254355000,26023000,0,0,30110000,56133000,198222000,0,-9931000,-9931000,-72107000,116184000,-144045000,-27861000,0,-249644000,0,-277505000,0,-277505000,-1.08,-1.08,254907000,254907000,0,121004000,0,219271000,0,14565000,354840000,460546000,5516527000,-405665000,5110862000,617662000,1384870000,400016000,8328796000,468422000,0,32062000,0,0,0,0,105734000,606218000,1453352000,0,0,0,30462000.0,2090032000,0,0,0,0,0,0,5094995000,1143769000.0,6238764000,8328796000,7973956000,1483814000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,95084000,0,-95084000.0,0,0,0,0,0,0,210084000,-115000000,198222000,0,1.2398,-32138750,6238764000,4236232000,-0.0469,-0.0626,-0.0305,-0.0308,0.0889,0.12,0.8699,0.6779,0.6779,0.3973,-0.9491,0.0,1.335,0.749,0.2329,0.1744,1.1469,0.7776,0.7776,0.4557,0.0,24.4746,16.6187,0,1332348000,0.0,0.0,0.0,0.0,0.0,0.0,-6.8189,0.2135,0.3145,2.6717,0.0,5.2471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853,0.0,0.0,0,1332348000,254907000,0.0,2018-10-29,0.0,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,4,FY2017.FQ4
2018-03-30,371026000,51728000,319298000,27213000,0,0,27172000,54385000,264913000,0,-12102000,-12102000,-5858000,246953000,-23209000,223744000,0,-141015000,0,82729000,0,82729000,0.32,0.32,254907000,254907000,51728000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,223744000,51728000,-20791000,0,0,48511000,27720000,699000,710000,-9879000,294722000,-170589000,0,-170589000,-117019000,0,-117019000,0,0,0,0,1079000.0,-286529000,0,0,0,0,175953000,0,-138837000.0,37116000,0,45309000,-170589000,0,0,304000000,-128047000,316641000,124133000,0.0939,77436250,0,0,-0.027,-0.0361,-0.0176,-0.0177,0.1575,0.2126,0.8605,0.8534,0.714,0.6655,0.2229,0.3345,0.0,0.0,0.0,0.0,1.4555,1.2421,1.0392,0.9687,0.4869,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,254907000,0.0,2019-04-30,0.0,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,1,FY2018.FQ1
2018-06-29,374697000,52558000,322139000,28260000,0,0,43270000,71530000,250609000,0,-19884000,-19884000,-3859000,226866000,-7259000,219607000,0,-118540000,0,101067000,0,101067000,0.39,0.39,254907000,254907000,52558000,1847431000,0,233886000,0,14629000,2095946000,1003299000,5877876000,-476061000,5401815000,596889000,1384870000,580068000,11062887000,115463000,0,41289000,0,0,0,0,751732000,908484000,3713975000,0,0,0,31835000.0,4654294000,0,0,0,0,0,0,5023336000,1385257000.0,6408593000,11062887000,8966941000,3745810000,219607000,52558000,-5658000,0,0,65059000,59401000,-164738000,100000,-12009000,154919000,-212357000,0,-212357000,-65786000,0,-65786000,0,0,0,0,1093000.0,-277050000,0,0,0,0,2117906000,0,-314657000.0,1803249000,0,1681118000,-212357000,0,0,4586359000,-2468453000,303167000,-57438000,0.0319,82543125,6408593000,4426834000,-0.002,-0.0036,-0.0015,-0.0017,0.1691,0.2101,0.8597,0.809,0.6688,0.6054,0.2697,-0.1532,1.7262,0.5792,0.5795,0.3357,1.4699,1.1893,0.9831,0.8899,-0.2253,25.1409,17.3664,0,1866544000,0.0,0.0,0.0,0.0,0.0,0.0,-161.02,0.2912,0.4216,1.4999,27.9862,2.5648,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307,0.0,0.0,-7000,1866544000,254900000,0.0,2018-10-29,0.0,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,2,FY2018.FQ2
2018-09-28,364584000,54109000,310475000,27380000,0,0,48092000,75472000,235003000,0,-36862000,-36862000,751000,198892000,-12926000,185966000,0,-103141000,0,82825000,0,82825000,0.32,0.32,254900000,254900000,54109000,184102000,0,225839000,0,10318000,420259000,1300430000,6138895000,-518718000,5620177000,586502000,1384870000,630546000,9942784000,133569000,0,67314000,0,0,0,0,757369000,958252000,3477296000,0,0,0,31819000.0,4467367000,0,0,0,0,0,0,5217217000,258200000.0,5475417000,9942784000,9522525000,3509115000,185966000,54109000,28642000,0,0,379000,29021000,-294000,490000,-17540000,251752000,-241413000,0,-241413000,-263244000,0,-263244000,0,0,0,0,1109000.0,-503548000,0,0,0,0,-237827000,0,-1173706000.0,-1411533000,0,-1663329000,-241413000,0,0,133673000,-371500000,289112000,10339000,0.0649,82413750,5475417000,3504045000,-0.001,-0.0018,-0.0007,-0.0007,0.0991,0.1249,0.8515,0.7929,0.6445,0.5455,0.2271,0.0283,1.8158,0.5506,0.635,0.3497,1.4303,1.1342,0.9219,0.7802,0.0405,21.4806,13.7467,0,3293194000,0.0,0.0,0.0,0.0,0.0,0.0,-302.572,0.6014,0.9398,2.3477,42.7498,4.1744,0.7673,0.6869,0.9917,0.6189,0.444,0.0086,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4385,0.0,0.0,0,3293194000,254900000,0.0,2018-12-03,0.0,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,3,FY2018.FQ3
2018-12-31,384791000,58973000,325818000,40957000,0,0,44917000,85874000,239944000,0,-46606000,-46606000,-271630000,-78292000,-39748000,-118040000,0,69817000,0,-48223000,0,-48223000,-0.19,-0.19,254271000,254271000,58973000,294172000,0,255496000,0,19171000,568839000,1510289000,6469846000,-602199000,5867647000,576112000,1239270000,761678000,10523835000,210007000,0,164247000,6000000,0,0,0,169202000,549456000,4660244000,0,0,0,54502000.0,5264202000,425000000,0,33932000,-1509000,0,0,4801840000,369999.99999989,5259633000,10523835000,9954996000,4714746000,-118040000,58973000,-38418000,0,0,-308688000,-347106000,189579000,2900000,234011000,20317000,-241523000,0,-241523000,-478448000,0,-478448000,0,0,0,0,1125000.0,-718846000,0,0,0,0,1219300000,0,-410701000.0,808599000,0,110070000,-241523000,0,0,1522468000,-303168000,298917000,-221206000,0.0,193600625,5259633000,3444251000,0.0213,0.0406,0.0151,0.0153,0.1044,0.1305,0.8467,0.7768,0.6235,-0.2034,-0.1253,-0.5748,2.0008,0.4997,0.8871,0.4433,1.5133,1.1755,0.9436,-0.3079,-0.8699,20.6851,13.5455,5090505420,9456577420,23.3083,0.9678,1.4779,3.4047,-35.3085,8.5638,43.2997,1.7979,2.7456,6.325,-65.5923,15.9089,0.316,0.2809,0.5079,0.2104,-1.6738,0.8262,0.8255,-0.0024,1.431,0.148,0.2635,-0.1569,0.0,0.0,0.0,0.0,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0352,0.0,0.0,-629000,4372072000,254271000,0.0,2019-02-14,20.02,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,4,FY2018.FQ4
2019-03-29,389782000,60898000,328884000,32178000,0,0,27883000,60061000,268823000,0,-60949000,-60949000,24142000,232016000,-32450000,199566000,0,-143267000,0,56299000,0,56299000,0.22,0.22,254776000,254827000,60898000,29049000,0,265137000,0,16835000,311021000,1673325000,6658545000,-651032000,6007513000,565725000,1239270000,478518000,10275372000,142546000,0,88347000,6000000,0,0,0,156412000,393305000,5115181000,0,0,0,89837000.0,5598323000,1379000000,0,-13704000,-1804000,0,0,3313884000,-327000.00000023,4677049000,10275372000,9964351000,5205018000,199566000,60898000,-9989000,0,0,-128772000,-138761000,32450000,1110000,-33062000,122201000,-208966000,0,-208966000,-144763000,0,-144763000,0,0,0,0,1141000.0,-352588000,0,-238455000,-238455000,0,452000000,-104251000,-94030000.0,15264000,0,-215123000,-208966000,0,0,684000000,-232000000,329721000,-86765000,0.1398,78472500,4677049000,2872054000,0.0184,0.0386,0.0137,0.0139,0.1,0.1223,0.8437,0.8459,0.6896,0.5952,0.1444,-0.2225,2.1969,0.4551,1.0949,0.4983,1.5295,1.2939,1.0549,0.9104,-0.3404,18.3538,11.2706,5547017520,10633149520,28.8955,1.186,1.9313,3.6641,-15.6223,9.5723,55.3902,2.2734,3.7022,7.0238,-29.9466,18.3494,0.0505,0.03,0.0413,0.0147,-0.0604,-0.3194,-0.323,-0.0003,0.0,0.0,0.0,0.0,-0.5853,-0.2249,-1.6989,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907,1.8636,0.0,413000,5092132000,254684000,0.41,2019-04-30,21.78,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,1,FY2019.FQ1
2019-06-28,406167000,70509000,335658000,27224000,0,0,46556000,73780000,261878000,0,-61713000,-61713000,-58215000,141950000,-11470000,130480000,0,-55959000,0,74521000,0,74521000,0.29,0.29,254917000,254967000,70509000,25501000,0,282805000,0,24968000,333274000,2066330000,8165435000,-785176000,7380259000,868963000,1347140000,440487000,12436453000,181077000,0,150600000,6000000,0,0,0,356223000,693900000,5394118000,0,0,0,103258000.0,6191276000,1382000000,0,-53791000,-1782000,0,0,4918940000,-190000.0,6245177000,12436453000,12103179000,5497376000,130480000,70509000,-2105000,0,0,45979000,43874000,11470000,1510000,42499000,300342000,-273612000,0,-273612000,-1005037000,0,-1005037000,0,0,0,0,1157000.0000002,-1277492000,0,0,0,0,-24825000,-114608000,1063035000.0,923602000,0,-53548000,-273612000,0,0,445000000,-469825000,332387000,26730000,0.0808,128699375,6245177000,4029074000,0.0145,0.0302,0.0111,0.0111,0.0929,0.1141,0.8264,0.8183,0.6447,0.3494,0.1834,0.0658,1.9913,0.5021,0.8646,0.4342,1.593,1.3036,1.0271,0.5567,0.1048,24.494,15.8023,5026641300,10395258300,30.3867,0.8048,1.2475,3.2528,-18.5552,10.1637,62.8408,1.6645,2.58,6.7269,-38.3727,21.0189,0.0839,0.0419,0.0963,0.0449,-0.3743,-0.2626,-0.2676,0.0002,-0.9861,0.3662,0.1241,-0.0254,0.9387,-0.2884,1.4653,0.0975,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4802,1.5517,0.0,346000,5374617000,255030000,0.45,2019-07-30,19.71,0,0.75815834938656,0.29010845207652,0.55305476067987,0.53774706169745,-0.0075814753150733,-0.019923934300893,-0.0064858487641199,2.9621139672166,0.57642686374314,1.692988452314,-0.1117612918244,2,FY2019.FQ2
