period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2003-03-31,73337000,44971000,28366000,22685000,0,0,0,22685000,5681000,0,0,0,-51000,5630000,-1858000,3772000,0,-751000,0,3107000,0,3107000,0.34,0.33,9271000,9509000,1861000,12044000,0,54911000,25669000,14529000,107153000,0,117569000,-67594000,49975000,27947000,0,32249000.0,217324000,29340000,0,6283000,16015000,0,0,0,12711000,64349000,16590000,0,0,1529000,34145000,116613000,10000000,0,111591000,-25570000,720000,-4183000,8489000,-336000.0,100711000,217324000,110171000,52264000,3107000,1861000,-399000,-1389000,-1342000,-6626000,-9756000,0,0,1223000.0,-3565000,-2113000,0,-2113000,0,0,0,0,0,0,0,1760000.0,-353000,86000,0,86000,0,3784000,-1961000,-213000.0,1696000,409000,-1813000,-2113000,0,0,3784000,0,7542000,-5678000,0.33,3135000,100711000,72764000,0.0697,0.1531,0.1098,0.1213,0.1539,0.1853,0.3867,0.1028,0.0774,0.0767,0.0423,-0.0774,2.1578,0.4634,0.3237,0.15,7.7123,0.7931,0.5974,0.592,-0.5971,10.5911,7.6521,190801200,195347200,12.6811,1.8945,2.6221,0.6626,21.6107,8.2022,12.9833,1.9396,2.6846,0.6784,22.1256,8.3976,0.2237,0.1645,0.3362,0.3111,0.266,0.3176,0.289,0.0321,-0.2433,0.1816,0.1277,0.1382,-7.1359,-0.3837,-5.0021,0.0,0.0033,0.0068,-0.0462,0.0148,0.0129,0.0,0.0074,0.0,1.6651,0.6363,-2.7404,31000,20561000,9353000,0.21,2003-05-15,20.4,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,1,FY2003.FQ1
2003-06-30,83453000,54506000,28947000,23223000,0,0,0,23223000,5724000,0,0,0,212000,5936000,-1843000,4093000,0,-787000,0,3475000,0,3475000,0.37,0.36,9324000,9672000,1971000,15098000,0,67964000,28091000,12298000,123451000,0,123125000,-70540000,52585000,29926000,0,31079000.0,237041000,33828000,0,6192000,19987000,0,0,0,13471000,73478000,16620000,0,0,1700000,36006000,127804000,10000000,0,113083000,-21341000,1174000,-2928000,9585000,-336000.00000001,109237000,237041000,113590000,54326000,3475000,1971000,-10981000,-1400000,2546000,3293000,-6542000,0,0,2476000.0,1380000,-2746000,0,-2746000,0,0,0,0,0,0,0,1078000.0,-1668000,1611000,0,1611000,0,3963000,-1963000,-393000.0,3218000,124000,3054000,-2746000,0,0,3963000,0,7695000,-1366000,0.3104,3191250,109237000,79311000,0.0672,0.1456,0.1028,0.1131,0.1438,0.1721,0.3468,0.0922,0.0685,0.0711,0.0416,-0.0163,2.1699,0.4608,0.3351,0.1544,8.6283,0.7955,0.5918,0.6137,-0.1412,11.2941,8.2,236722500,238244500,15.4872,2.167,2.9847,0.784,31.9679,10.0072,15.5868,2.1809,3.0039,0.789,32.1734,10.0716,0.2015,-0.0005,0.0955,0.0072,0.0709,0.0738,0.0285,0.0389,-0.1756,0.116,0.1033,0.1616,-0.6157,0.2227,-24.5517,0.0,0.0103,0.0289,-0.0079,0.0233,0.0159,0.0,0.0024,-0.1195,1.6801,0.5833,-19.4262,97000,21509000,9450000,0.21,2003-08-14,25.05,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,2,FY2003.FQ2
2003-09-30,89713000,58928000,30785000,24459000,0,0,0,24459000,6326000,0,0,0,55000,6381000,-1683000,4698000,0,-777000,0,4136000,0,4136000,0.44,0.42,9411000,9857000,2034000,17981000,0,73953000,30361000,12214000,134509000,0,129739000,-72650000,57089000,35180000,0,32041000.0,258819000,35420000,0,7317000,28991000,0,0,0,15326000,87054000,18222000,0,0,1744000,37004000,144024000,10000000,0,115216000,-19794000,1404000,-1749000,10054000,-336000.0,114795000,258819000,124310000,56970000,4136000,2034000,-3080000,-1573000,383000,190000,-4080000,0,0,1398000.0,3488000,-2961000,0,-2961000,0,0,0,0,0,0,0,-5802000.0,-8763000,1409000,0,1409000,0,8939000,-1985000,-413000.0,7950000,207000,2882000,-2961000,0,0,8939000,0,8360000,527000,0.2637,3602500,114795000,79615000,0.061,0.135,0.0924,0.1027,0.13,0.1565,0.3431,0.0931,0.0705,0.0711,0.0461,0.0058,2.2546,0.4435,0.4112,0.1824,9.1014,0.8481,0.6417,0.6473,0.0534,11.646,8.077,221946920,222187920,14.6673,1.9334,2.7877,0.6971,157.2976,9.7085,14.6833,1.9355,2.7907,0.6978,157.4684,9.719,0.2244,0.0471,0.0198,-0.0561,-0.1106,-0.0356,-0.0666,0.0427,-0.2197,0.2023,0.1834,0.2189,-0.6168,-0.1467,-0.9191,0.0,0.0097,0.034,0.0743,0.0352,0.0223,0.0,0.0024,0.1099,1.5451,0.5,1.9725,92000,29232000,9542000,0.21,2003-11-14,23.26,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,3,FY2003.FQ3
2003-12-31,93689000,60413000,33276000,26835000,0,0,0,26835000,6441000,0,0,0,-270000,6171000,-2104000,4067000,0,-726000,0,4115000,0,4115000,0.43,0.41,9517000,9982000,1771000,21915000,0,78121000,32211000,11277000,143524000,0,136448000,-74057000,62391000,42917000,0,38515000.0,287347000,39240000,0,0,42992000,0,0,0,23573000,105805000,15827000,0,0,2688000,40967000,165287000,10000000,0,117308000,-16027000,2181000,-774000,9708000,-336000.0,122060000,287347000,143823000,59482000,4115000,1771000,-144000,-330000,-2235000,6328000,3619000,0,0,-2431000.0,7074000,-4788000,0,-4788000,0,0,0,0,0,0,0,-8794000.0,-13582000,1222000,0,1222000,0,11325000,-2007000,-1372000.0,9168000,1275000,3935000,-4788000,0,0,11325000,0,8212000,2286000,0.3409,4055625,122060000,79143000,0.0543,0.1252,0.0818,0.0919,0.1136,0.1392,0.3551,0.0876,0.0687,0.0658,0.0439,0.0243,2.3541,0.4247,0.4818,0.2046,9.3857,0.8226,0.6452,0.6182,0.229,12.228,7.9285,295507500,289419500,19.9223,2.421,3.7338,0.8686,-69.8434,12.2525,19.5118,2.3711,3.6569,0.8507,-68.4045,12.0001,0.3036,0.153,-0.1212,-0.1121,0.2557,-0.0677,-0.1086,0.0402,0.5815,0.286,0.3436,0.2752,-0.364,-0.4985,-0.7116,0.0,0.0071,0.0371,-0.0092,0.0455,0.0272,-0.075,0.0024,0.0051,1.3564,0.5121,-21.5007,68000,36904000,9610000,0.21,2004-03-12,30.75,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,4,FY2003.FQ4
2004-03-31,98131000,65676000,32455000,26598000,0,0,0,26598000,5857000,0,0,0,244000,6101000,-1922000,4179000,0,-1019000,0,3309000,0,3309000,0.35,0.33,9571000,9978000,2265000,22894000,0,82063000,33969000,14065000,152991000,0,137402000,-75187000,62215000,42608000,0,38337000.0,296151000,41439000,0,0,50614000,0,0,0,21327000,113380000,15622000,0,0,2749000,41278000,173029000,10000000,0,118546000,-17405000,2307000,-668000,10678000,-335999.99999998,123122000,296151000,143160000,59649000,3309000,2265000,-4316000,-1867000,-2768000,39000,-8912000,0,0,1391000.0,-1947000,-2347000,0,-2347000,0,0,0,0,0,0,0,176000.0,-2171000,232000,0,232000,0,7457000,-2020000,-245000.0,5424000,-327000,979000,-2347000,0,0,7457000,0,8122000,-4294000,0.315,3116875,123122000,80514000,0.0515,0.1226,0.0769,0.0869,0.1063,0.1307,0.3307,0.0827,0.0596,0.0621,0.0337,-0.0437,2.4053,0.4157,0.5379,0.2236,9.8347,0.8139,0.5869,0.6114,-0.4303,12.3393,8.0691,244449600,237177600,16.2587,1.9854,3.0361,0.6697,-85.8621,9.9414,15.775,1.9263,2.9457,0.6498,-83.3079,9.6456,0.338,0.1441,0.0769,0.0309,0.0836,0.065,0.0,0.0493,0.9008,0.2449,0.3627,0.2225,0.4538,-0.1107,0.2437,0.0,0.0014,0.0444,0.1064,0.048,0.0283,0.0,0.0024,0.0,1.3493,0.6363,1.5273,14000,43342000,9624000,0.21,2004-05-07,25.4,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,1,FY2004.FQ1
2004-06-30,98683000,66139000,32544000,27209000,0,0,0,27209000,5335000,0,0,0,-141000,5194000,-1636000,3558000,0,-897000,0,2847000,0,2847000,0.3,0.29,9604000,9984000,2408000,24470000,0,81791000,37850000,14442000,158553000,0,138565000,-76619000,61946000,41902000,0,38480000.0,300881000,42017000,0,6138000,54164000,0,0,0,13305000,115624000,17946000,0,0,2764000,41564000,177898000,10000000,0,119316000,-19278000,2489000,-229000,11021000,-336000.00000001,122983000,300881000,142328000,62274000,2847000,2408000,-508000,-4243000,-550000,-579000,-5880000,0,0,846000.0,221000,-2568000,0,-2568000,0,0,0,0,0,0,0,85000.0,-2483000,484000,0,484000,0,5916000,-2071000,0.0,4329000,-491000,1576000,-2568000,0,0,5916000,0,7743000,-2347000,0.3149,2890000,122983000,81081000,0.0482,0.117,0.0709,0.0803,0.1013,0.1234,0.3297,0.0784,0.054,0.0526,0.0288,-0.0237,2.4465,0.4087,0.5863,0.2396,9.8841,0.7755,0.5343,0.5202,-0.235,12.318,8.121,266671100,260147100,18.5098,2.1683,3.2889,0.7013,-69.6632,11.1825,18.0569,2.1153,3.2084,0.6842,-67.959,10.909,0.1824,0.1242,0.0062,-0.0679,-0.125,-0.1807,-0.1944,0.0322,0.6207,0.178,0.2693,0.1258,-0.8398,0.0648,-0.7181,0.0238,0.0032,0.054,0.0,0.0529,0.0324,0.0,0.0047,-0.2928,1.3712,0.7413,0.0,31000,47640000,9655000,0.215,2004-08-06,27.62,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,2,FY2004.FQ2
2004-09-30,99667000,67976000,31691000,29249000,0,0,0,29249000,2442000,0,0,0,120000,2562000,-807000,1755000,0,-865000,0,1154000,0,1154000,0.12,0.12,9622000,9974000,2462000,29948000,0,85098000,37548000,15332000,167926000,0,141610000,-79399000,62211000,42231000,0,38816000.0,311184000,41576000,0,7724000,58611000,0,0,0,14725000,122636000,17966000,0,0,2861000,42241000,185704000,10000000,0,118390000,-16912000,2486000,-124000,11976000,-335999.99999998,125480000,311184000,143258000,63068000,1154000,2462000,-2491000,720000,-741000,1856000,-656000,0,0,1601000.0,4561000,-1895000,0,-1895000,0,0,0,0,0,0,0,65000.0,-1830000,102000,0,102000,0,4407000,-2079000,0.0,2430000,317000,5478000,-1895000,0,0,4407000,0,4904000,2666000,0.3149,1150625,125480000,83249000,0.0373,0.0919,0.0543,0.0624,0.0825,0.0997,0.3179,0.0492,0.0245,0.0257,0.0115,0.0267,2.4799,0.4032,0.6102,0.246,9.9926,0.4916,0.2448,0.2568,0.2672,12.5807,8.3466,233264850,221282850,20.417,1.8589,2.802,0.5978,-138.1082,11.6469,19.3683,1.7634,2.658,0.5671,-131.0141,11.0486,0.1109,0.0294,-0.4133,-0.6139,-0.5984,-0.7209,-0.7142,0.0118,0.6655,0.0897,0.2023,0.093,0.3076,0.36,4.0588,0.0,0.0004,0.0521,-0.0729,0.049,0.0355,0.0,0.0047,0.2288,1.3693,1.7916,-2.798,4000,46629000,9659000,0.215,2004-11-05,24.15,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,3,FY2004.FQ3
2004-12-31,104214000,70027000,34187000,30480000,0,0,0,30480000,3707000,0,0,0,-107000,3600000,-1134000,2466000,0,-1093000,0,1664000,0,1664000,0.17,0.17,9801000,9949000,2632000,29078000,0,87527000,41298000,13284000,171187000,0,146900000,-84012000,62888000,43427000,0,47391000.0,324893000,39562000,0,9313000,60695000,0,0,0,16048000,125618000,14848000,0,0,5588000,43828000,189882000,10000000,0,117981000,-7695000,2632000,0,12424000,-331000.00000002,135011000,324893000,153706000,64264000,1664000,2632000,1061000,-2169000,3671000,-3341000,-778000,0,0,-2659000.0,859000,-1833000,0,-1833000,0,0,0,0,0,0,0,1479000.0,-354000,142000,0,142000,0,-1212000,-2071000,-1711000.0,-4852000,3477000,-870000,-1833000,0,0,0,-1212000,6339000,-974000,0.315,1815625,135011000,91584000,0.0282,0.0689,0.041,0.0474,0.0683,0.0822,0.328,0.0608,0.0355,0.0345,0.0159,-0.0093,2.4064,0.4155,0.5595,0.2325,10.4748,0.6371,0.3726,0.3618,-0.0978,13.5703,9.2053,240177960,225947960,26.7637,1.7789,2.6224,0.5994,-48.5306,13.7582,25.178,1.6735,2.4671,0.5638,-45.6552,12.9431,0.1123,0.0273,-0.228,-0.4244,-0.4166,-0.5956,-0.5853,-0.0033,0.3268,0.0079,0.1306,0.1061,-0.8785,0.6171,-1.426,0.0,0.001,0.0414,-0.0696,0.0422,0.0368,0.0,0.0023,-0.1332,1.3627,1.2647,-3.8416,10000,46465000,9669000,0.215,2005-03-14,24.84,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,4,FY2004.FQ4
2005-03-31,104161000,73234000,30927000,28217000,0,0,0,28217000,2710000,0,0,0,3202000,5912000,-1921000,3991000,0,-918000,0,3126000,0,3126000,0.32,0.32,9644000,9884000,2574000,18098000,0,89728000,39034000,12608000,159468000,0,145116000,-83872000,61244000,44753000,0,46938000.0,312403000,37733000,0,6198000,62634000,0,0,0,15340000,121905000,14483000,0,0,5592000,43802000,185782000,10000000,0,119029000,-11643000,2623000,0,6943000,-331000.0,126621000,312403000,152935000,63877000,3126000,2574000,-3751000,1599000,391000,-6035000,-7796000,0,0,-711000.0,-2807000,-1628000,3636000,2008000,0,0,0,0,0,0,0,-6700000.0,-4692000,0,0,0,0,1782000,-2079000,-2213000.0,-2510000,-971000,-10980000,2008000,0,0,1782000,0,5284000,-799000,0.3249,1153125,126621000,81868000,0.0275,0.0672,0.0405,0.0454,0.0553,0.0668,0.2969,0.0507,0.026,0.0567,0.03,-0.0076,2.4672,0.4053,0.609,0.2468,10.5383,0.5346,0.2741,0.5981,-0.0808,12.8107,8.2828,198601260,194986260,22.5914,1.5684,2.4258,0.4882,-136.5895,11.5011,22.1802,1.5399,2.3817,0.4794,-134.1033,11.2917,0.0614,-0.047,-0.3494,-0.5373,-0.0309,-0.0553,-0.0303,-0.0094,-0.2094,-0.0156,0.0548,0.0284,-0.4417,1.8555,0.8139,0.0,0.0,0.0358,-0.0335,0.0363,0.03,0.0,0.0023,0.0,1.3081,0.6718,-6.74,0,59019000,9669000,0.215,2005-05-05,20.54,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,1,FY2005.FQ1
2005-06-30,107042000,74333000,32709000,29120000,0,0,0,29120000,3589000,0,0,0,-92000,3497000,-1136000,2361000,0,-719000,0,1795000,0,1795000,0.19,0.18,9676000,9796000,2620000,17107000,0,86738000,41058000,12955000,157858000,0,142426000,-83172000,59254000,44572000,0,46125000.0,307809000,43510000,0,6150000,54904000,0,0,0,15302000,119866000,14133000,0,0,5660000,42894000,182553000,10000000,0,118736000,-13866000,2979000,0,7695000,-287999.99999998,125256000,307809000,149951000,62687000,1795000,2620000,1270000,-2320000,-562000,7371000,5759000,0,0,549000.0,10723000,-1568000,-2966000,-4534000,0,0,0,0,0,0,0,2989000.0,-1545000,0,0,0,0,-7517000,-2084000,189000.0,-9412000,-757000,-991000,-4534000,0,0,0,-7517000,6209000,6189000,0.3248,1889375,125256000,80684000,0.0249,0.0614,0.0375,0.041,0.0501,0.0612,0.3055,0.058,0.0335,0.0326,0.0167,0.0578,2.4574,0.4069,0.5511,0.2242,10.9271,0.6338,0.3663,0.3569,0.6317,12.7864,8.2364,169474400,166500400,21.8987,1.353,2.1004,0.4082,23.9303,10.8839,21.5144,1.3292,2.0636,0.4011,23.5103,10.6929,0.0847,0.005,-0.1981,-0.3272,-0.3267,-0.3695,-0.3793,-0.0188,-0.3008,-0.0434,0.023,0.0184,47.5203,-0.7655,3.6369,0.0,0.0044,0.0406,-0.0895,0.037,0.0272,-0.0244,0.0023,-0.0036,1.3169,1.1944,-2.4451,43000,51930000,9712000,0.215,2005-08-04,17.45,0,0.33352188876711,0.071416875988964,0.09169252362178,0.0069457874017606,0.031197668945962,0.06741805998664,0.03983118316401,2.1901786503914,0.31782209154356,0.69608841479762,0.046458010037675,2,FY2005.FQ2
