period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2007-12-31,0,0,0,159000,0,0,0,159000,-159000,0,-3000,-3000,162000,0,0,0,0,0,0,-179000,0,-179000,-0.01,-0.01,10244000,10244000,0,2002000,0,0,0,0.0,2002000,0,848000,0,848000,0,0,0.0,2850000,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2867000.0,2867000,0,0,-243000,0,0,0,0,226000.0,-17000,2850000,848000,2867000,-179000,0,0,0,0,0,0,0,0,0.0,-179000,-627000,0,-627000,0,0,0,0,0,0,0,0,-627000,0,0,0,0,2809000,0,0.0,2809000,0,2003000,-627000,0,0,2809000,0,-159000,-806000,0,-211250,-17000,-17000,-0.4664,17.9,17.9,0.6878,-0.4463,-0.4463,0.0,0.0,0.0,0.0,0.0,0.0,-167.647,-0.0059,0.0,0.0,0.0,-0.0155,-0.0155,0.0,-0.0786,-0.0016,-0.0016,0,-2002000,0.0,0.0,0.0,0.0,0.0,0.0,2.796,117.7647,117.7647,0.0,0.6209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9545,0.7301,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,-2002000,10244000,0,2009-03-02,0.0,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,4,FY2007.FQ4
2008-03-31,0,0,0,276000,0,0,2000,278000,-278000,0,-24000,-24000,302000,0,0,0,0,0,0,-285000,0,-285000,-0.02,-0.02,10244000,10244000,1000,613000,0,0,0,0.0,613000,0,1562000,0,1562000,0,0,0.0,2175000,198000,0,0,0,0,0,0,0.0,198000,0,0,0,0,1977000.0,2175000,0,0,-519000,0,0,0,0,0.0,-519000,1656000,1562000,1977000,-278000,1000,0,0,0,198000,198000,0,200000,-6000.0,115000,-722000,0,-722000,0,0,0,0,0,0,0,0,-722000,0,0,0,0,-604000,0,-177000.0,-781000,0,-1388000,-722000,0,0,-604000,0,-277000,-607000,0,-351875,-519000,-519000,-0.4537,4.2537,4.2537,0.7235,-0.4607,-0.4607,0.0,0.0,0.0,0.0,0.0,0.0,-4.1907,-0.2386,0.0,0.0,0.0,-0.027,-0.0271,0.0,-0.0592,-0.0506,-0.0506,0,-613000,0.0,0.0,0.0,0.0,0.0,0.0,0.5377,1.1811,1.1811,0.0,0.2524,0.0,0.0,0.0,-0.7421,-0.7484,0.0,-0.5921,-0.5555,0.0,-0.6938,0.8419,-0.2368,-29.5294,1.6424,-0.1515,0.2468,0,0.0,0,0,0.0,0.0,0,0,0,3.0959,0,0,0.0,-613000,10244000,0,2009-06-01,0.0,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,1,FY2008.FQ1
2008-06-30,0,0,0,177000,0,0,132000,309000,-309000,0,0,0,309000,0,0,0,0,0,0,-309000,0,-309000,-0.03,-0.03,10244000,10244000,1000,6000,0,0,0,2247000.0,2253000,0,0,0,0,0,0,0.0,2253000,136000,0,0,0,0,0,0,0.0,136000,0,0,0,0,2259000.0,2395000,0,0,-833000,0,0,0,0,691000.0,-142000,2253000,0,2259000,-314000,1000,0,0,0,190000,190000,0,0,-196000.0,-319000,-683000,0,-683000,0,0,0,0,0,0,0,0,-683000,0,0,0,0,-1828000,0,2222000.0,394000,0,-608000,-683000,0,0,-1828000,0,-308000,-1002000,0,-386250,-142000,-142000,-0.5582,3.7397,3.7397,1.9312,-0.6038,-0.6038,0.0,0.0,0.0,0.0,0.0,0.0,-15.8661,-0.063,0.0,0.0,0.0,-0.03,-0.0301,0.0,-0.0978,-0.0138,-0.0138,0,-6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0422,0.0422,0.0,0.0024,0.0,0.0,0.0,-0.1119,-0.1115,0.0,-0.0842,-0.0714,0.0,-0.9902,-1.0,0.0358,0.7263,-3.7739,0.054,-0.6507,0,0.0,0,0,0.0,0.0,0,0,0,16.5661,0,0,0.0,-6000,10244000,0,2008-08-29,0.0,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,2,FY2008.FQ2
2008-09-30,0,0,0,1477000,0,0,-161000,1316000,-1316000,0,0,0,1316000,0,0,0,0,0,0,-1259000,0,-1259000,-0.12,-0.12,10244000,10244000,0,4829000,0,4000,0,17000.0,4850000,0,2322000,0,2322000,0,0,0.0,7172000,0,0,128000,0,0,0,0,0.0,128000,0,0,0,0,0.0,128000,0,0,-2090000,0,9134000,0,0,0.0,7044000,7172000,2322000,0,-1259000,0,0,0,0,-358000,-358000,0,0,1282000.0,-335000,-212000,0,-212000,0,0,0,0,0,0,0,0,-212000,0,0,0,0,1968000,0,3297000.0,5265000,0,4718000,-212000,0,0,1968000,0,-1316000,-547000,0,-1609375,7044000,7044000,-0.4311,-0.5888,-0.5888,-1.9661,-0.4501,-0.4501,0.0,0.0,0.0,0.0,0.0,0.0,1.0181,0.9821,0.0,0.0,0.0,-0.1284,-0.1284,0.0,-0.0533,0.6876,0.6876,24585600,19756600,-12.0992,3.4902,3.4902,0.0,-8.3003,0.0,-9.7227,2.8047,2.8047,0.0,-6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,112.8095,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,37.8906,0,0,0.0,-4829000,10244000,0,2010-01-28,2.4,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,3,FY2008.FQ3
2008-12-31,0,0,0,706000,0,0,0,706000,-706000,8000,0,8000,698000,0,0,0,0,0,0,-264000,0,-264000,-0.04,-0.04,10244000,10244000,0,4075000,0,4000,0,13000.0,4092000,0,2588000,0,2588000,0,0,0.0,6680000,0,0,0,0,0,0,0,293000.0,293000,0,0,0,0,0.0,293000,0,0,-2082000,0,8469000,0,0,0.0,6387000,6680000,2588000,0,-264000,0,0,0,0,-60000,-60000,0,0,89000.0,-235000,-325000,0,-325000,0,0,0,0,0,0,0,0,-325000,0,0,0,0,0,0,0.0,0,0,-560000,-325000,0,0,0,0,-706000,-560000,0,-601250,6387000,6387000,-0.3056,-0.3152,-0.3152,-0.9352,-0.3885,-0.3885,0.0,0.0,0.0,0.0,0.0,0.0,1.0458,0.9561,0.0,0.0,0.0,-0.0689,-0.0689,0.0,-0.0546,0.6234,0.6234,11165960,7090960,-5.2744,1.7482,1.7482,0.0,-4.1111,0.0,-3.3495,1.1102,1.1102,0.0,-2.6108,0.0,0.0,0.0,-3.4402,-3.4402,0.0,-0.4748,-1.2777,0.0,1.0354,2.0518,1.3438,376.7058,-0.3128,0.4816,0.3052,0,0.0,0,0,0.0,0.0,0,0,0,13.9658,0,0,0.0,-4075000,10244000,0,2009-03-02,1.09,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,4,FY2008.FQ4
2009-03-31,0,0,0,681000,0,0,0,681000,-681000,6000,0,6000,675000,0,0,0,0,0,0,-585000,0,-585000,-0.04,-0.04,10244000,10244000,0,3196000,0,6000,0,19000.0,3221000,0,2889000,0,2889000,0,0,0.0,6110000,0,0,0,0,0,0,0,176000.0,176000,0,0,0,0,0.0,176000,0,0,-2591000,0,8525000,0,0,0.0,5934000,6110000,2889000,0,-575000,0,-2000,0,0,-16000,-18000,0,340000,439000.0,186000,-479000,0,-479000,0,0,0,0,0,0,0,0,-479000,0,0,0,0,0,0,0.0,0,0,-293000,-479000,0,0,0,0,-681000,-293000,0,-787500,5934000,5934000,-0.3779,-0.3923,-0.3923,-0.9572,-0.4889,-0.4889,0.0,0.0,0.0,0.0,0.0,0.0,1.0296,0.9711,0.0,0.0,0.0,-0.0664,-0.0664,0.0,-0.0286,0.5792,0.5792,22536800,19340800,-9.3242,3.7979,3.7979,0.0,-9.3825,0.0,-8.0019,3.2593,3.2593,0.0,-8.0519,0.0,0.0,0.0,-1.4584,-1.4496,0.0,-1.0526,-0.4285,0.0,4.2137,0.8495,1.8091,12.4335,0.6173,0.3365,0.5172,0,0.0,0,0,0.0,0.0,0,0,0,18.3011,0,0,0.0,-3196000,10244000,0,2009-06-01,2.2,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,1,FY2009.FQ1
2009-06-30,0,0,0,677000,0,0,0,677000,-677000,4000,-1000,3000,674000,0,0,0,0,0,0,-881000,0,-881000,-0.08,-0.08,11598000,11598000,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-954000,0,-2000,0,0,3000,1000,0,350000,-3000.0,-606000,-1068000,0,-1068000,0,0,0,0,0,0,0,0,-1068000,4737000,0,4737000,0,0,0,-269000.0,4468000,0,2794000,-1068000,0,0,0,0,-677000,-1674000,0,-971250,0,0,-0.9783,-1.0074,-1.0074,-2.1833,-1.1391,-1.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0583,-0.0583,0.0,-0.1443,0.0,0.0,25712440,25712440,-8.6023,0.0,0.0,0.0,-8.3644,0.0,-8.6023,0.0,0.0,0.0,-8.3644,0.0,0.0,0.0,-1.198,-1.1909,0.0,-1.8511,-1.8666,0.1321,-1.0,0.0,-1.0,1.0,-0.8996,-0.5636,-0.6706,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,10244000,0,2010-08-30,2.51,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,2,FY2009.FQ2
2009-09-30,0,0,0,843000,0,0,409000,1252000,-1252000,6000,-1000,5000,1247000,0,0,0,0,0,0,-1409000,0,-1409000,-0.1,-0.1,13849000,13849000,0,6136000,0,6000,0,112000.0,6254000,0,5035000,0,5035000,0,0,24000.000000001,11313000,0,0,715000,0,0,0,0,0.0,715000,0,0,0,0,0.0,715000,0,0,-5272000,0,15870000,0,0,0.0,10598000,11313000,5059000,0,-1409000,0,-93000,0,0,142000,49000,0,280000,-186000.0,-1266000,-345000,0,-345000,0,0,0,0,0,0,0,0,-345000,887000,0,887000,0,0,0,-50000.0,837000,0,-774000,-345000,0,0,0,0,-1252000,-1611000,0,-1659375,10598000,10598000,-0.5549,-0.5923,-0.5923,-1.4069,-0.6257,-0.6257,0.0,0.0,0.0,0.0,0.0,0.0,1.0674,0.9367,0.0,0.0,0.0,-0.0904,-0.0904,0.0,-0.1163,0.7652,0.7652,65229890,59093890,-20.7804,6.1549,6.1549,0.0,-15.7636,0.0,-18.8257,5.5759,5.5759,0.0,-14.2807,0.0,0.0,0.0,0.0486,0.0486,0.0,-0.1191,0.1219,0.3519,0.2706,1.1683,0.5773,0.5045,-2.7791,-0.6273,-1.9451,0,0.2316,0,0,0.0,0.0,0,0,0,8.7468,0,0,2373000.0,-6136000,12617000,0,2010-01-28,5.17,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,3,FY2009.FQ3
2009-12-31,0,0,0,1259000,0,0,0,1259000,-1259000,9000,0,9000,1250000,0,0,0,0,0,0,-1256000,0,-1256000,-0.09,-0.09,15801000,15801000,0,19985000,0,15000,0,102000.0,20102000,0,6164000,0,6164000,0,0,0.0,26266000,0,0,467000,0,0,0,0,0.0,467000,0,0,0,0,0.0,467000,28000000,0,-6638000,0,4678000,0,0,-241000.0,25799000,26266000,6164000,0,-1256000,0,3000,0,0,5000,8000,0,740000,6000.0,-502000,-1292000,0,-1292000,0,0,0,0,0,0,0,0,-1292000,16541000,0,16541000,0,0,0,-1020000.0,15521000,0,13727000,-1292000,0,0,0,0,-1259000,-1794000,0,-1566250,25799000,25799000,-0.2198,-0.2269,-0.2269,-0.804,-0.2125,-0.2125,0.0,0.0,0.0,0.0,0.0,0.0,1.0181,0.9822,0.0,0.0,0.0,-0.0796,-0.0796,0.0,-0.1135,1.6327,1.6327,113238880,93253880,-27.4119,4.3892,4.3892,0.0,-21.0794,0.0,-22.5741,3.6146,3.6146,0.0,-17.3592,0.0,0.0,0.0,-0.7832,-0.7832,0.0,-3.7575,-1.3414,0.5424,3.9042,1.3817,2.932,3.0392,-1.1361,-2.9753,-2.2035,0,0.2969,0,0,0.0,0.0,0,0,0,43.0449,0,0,3747000.0,-19985000,16364000,0,2010-03-01,6.92,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,4,FY2009.FQ4
2010-03-31,0,0,0,1418000,0,0,0,1418000,-1418000,15000,0,15000,1403000,0,0,0,0,0,0,-1642000,0,-1642000,-0.09,-0.09,16457000,16457000,0,18666000,0,16000,0,107000.0,18789000,0,7509000,0,7509000,0,0,0.0,26298000,0,0,476000,0,0,0,0,0.0,476000,0,0,0,0,0.0,476000,0,0,-8461000,0,34283000,0,0,0.0,25822000,26298000,7509000,0,-1676000,0,-13000,0,0,-24000,-37000,0,600000,240000.0,-873000,-1182000,0,-1182000,0,0,0,0,0,0,0,0,-1182000,833000,-28000,805000,0,0,0,1000.0000000001,806000,-240000,-1489000,-1182000,0,0,0,0,-1418000,-2055000,0,-1903125,25822000,25822000,-0.1973,-0.201,-0.201,-0.8,-0.1784,-0.1784,0.0,0.0,0.0,0.0,0.0,0.0,1.0184,0.9818,0.0,0.0,0.0,-0.0861,-0.0861,0.0,-0.1248,1.569,1.569,111462750,92796750,-21.4847,4.3165,4.3165,0.0,-15.6241,0.0,-17.8868,3.5937,3.5937,0.0,-13.0076,0.0,0.0,0.0,-1.0822,-1.0822,0.0,-1.8068,-1.45,0.6065,4.8404,1.5991,3.304,3.3515,-5.6935,-1.4676,-6.0136,0,0.0091,0,0,0.6134,0.0,0,0,0,39.4726,0,0,149000.0,-18666000,16513000,0,2010-05-31,6.75,0,0,0,0,0,-0.071229843300935,-0.096339434612426,-0.072314979916381,1.3652541772363,0.25056745257195,0.34213793950156,-0.073975135535967,1,FY2010.FQ1
