period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2020-03-31,20719000,14425000,6294000,3084000,0,0,564000,3648000,2646000,0,-803000,-803000,82000,1925000,0,1925000,0,0,0,1925000,0,1925000,0.0,0.0,0,68876000,1271000,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1925000,1271000,-41000,-3860000,-162000,3798000,-265000,0,0,803000,3734000,-618000,0,-618000,0,0,0,0,0,0,0,0,-618000,0,0,0,0,-210000,0,0,-210000,0,2906000,-618000,0,0,0,-210000,3917000,3116000,0.0,1653750,0,0,0.1512,-0.8545,33.8461,-6.6898,0.2823,0.2823,0.3037,0.189,0.1277,0.0929,0.0929,0.1503,0.0,0.0,0.0,0.0,0.3008,0.0568,0.0384,0.0279,0.0452,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,68876000,0,2021-05-13,0.0,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,1,FY2020.FQ1
2020-06-30,30391000,18613000,11778000,5843000,0,0,564000,6407000,5371000,0,-1066000,-1066000,-66460000,-62155000,-336000,-62491000,0,0,0,-62491000,0,-62491000,0.0,0.0,0,68876000,1382000,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-62491000,1382000,228000,-2803000,-729000,-4081000,-7385000,0,0,67002000,-1492000,-4210000,0,-4210000,0,0,0,0,0,0,0,0,-4210000,0,0,0,0,38938000,0,0,38938000,0,33236000,-4210000,0,0,38814000,124000,6753000,-5702000,0.0,3356875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.2222,0.1767,-2.0451,-2.0562,-0.1876,0.0,0.0,0.0,0.0,0.4412,0.098,0.0779,-0.9024,-0.0827,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4668,0.8713,0.724,1.0298,-33.2883,-33.4628,0.0,0.0,0.0,0.0,0.0,0.0,-1.3995,-5.8122,-2.8299,0,1.2637,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,87045000,0,155921000,0,2021-08-09,0.0,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,2,FY2020.FQ2
2020-09-30,41022000,18659000,22363000,5635000,11000,0,563000,6209000,16154000,0,-1713000,-1713000,61000,14502000,125000,14627000,0,0,0,14627000,0,14627000,0.0,0.0,0,155921000,2179000,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,14627000,2179000,-3391000,-1329000,-313000,-1959000,-6992000,0,0,-12374000,-2560000,-4867000,0,-4867000,0,0,0,0,0,0,0,0,-4867000,0,0,0,0,-963000,0,-1579000,-2542000,0,-9969000,-4867000,0,0,0,-963000,18333000,-7427000,0.0,10096250,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5451,0.4469,0.3937,0.3535,0.3565,-0.181,0.0,0.0,0.0,0.0,0.263,0.1175,0.1036,0.093,-0.0476,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3498,0.8987,1.7147,2.0076,1.2333,1.234,0.0,1.2637,0.0,0.0,0.0,0.0,-0.7158,-0.156,-0.3025,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,155921000,0,2021-11-10,0.0,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,3,FY2020.FQ3
2020-12-31,42178000,21438000,20740000,12391000,44000,0,564000,12999000,7741000,0,-1427000,-1427000,-47000,6267000,17847000,24114000,0,0,0,24114000,0,24114000,-0.27,-0.27,79691000,79691000,2099000,519652000,0,3589000,32272000,5533999.9999999,561047000,0,517894000,-14892000,503002000,0,0,10239000.0,1074288000,16159000,0,0,24473000,266000,0,0,2163000,43061000,45341000,736000,0,87473000,43800000,220411000,0,0,-62622000,0,916482000,0,0,16999.0,853877000,1074288000,513241000,177350000,24114000,2099000,-15000,-1232000,2998000,-24757000,-23006000,0,0,388000,3595000,-12675000,0,-12675000,0,0,0,0,0,0,0,0,-12675000,0,0,0,0,-19131000,0,504906000,485775000,0,476695000,-12675000,0,0,0,-19131000,9840000,-9080000,0.0,4838125,853877000,853877000,-0.0406,-0.0511,-0.0472,-0.1078,0.0604,0.0604,0.4917,0.2332,0.1835,0.1485,0.5717,-0.2152,1.2581,0.7948,0.0826,0.0656,0.5292,0.1234,0.0971,0.0786,-0.1139,10.7148,10.7148,5492062400,5017751400,-251.6408,6.4319,6.4319,40.8909,-287.6479,-139.1769,-229.9084,5.8764,5.8764,37.3594,-262.8058,-127.1572,0.0,0.0,0.0,0.0,0.0,0.0,-1.7551,0.157,187.4845,9.7085,9.5535,48.3797,0.0,0.0,0.0,0,0.0949,0.0,0,0.0,0,0.0,0,0.0,13.0291,0,0,14799000,-449838000,170720000,0,2021-03-22,32.17,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,4,FY2020.FQ4
2021-03-31,59971000,24086000,35885000,13458000,125000,0,593000,14176000,21709000,0,-1154000,-1154000,55000,20610000,-4491000,16119000,0,0,0,16119000,0,16119000,0.1,0.09,168923000,179319000,6150000,1181515000,0,13925000,35098000,8583000.0000001,1239121000,0,554515000,-21037000,533478000,0,0,9926999.9999999,1782526000,0,0,27500000,41562000,279000,0,0,3580000,72921000,690315000,687000,0,91635000,51811000,907369000,0,0,-46503000,0,921643000,0,0,17000.0,875157000,1782526000,543405000,834448000,16119000,6150000,-10336000,-2826000,-2231000,6538000,-8855000,0,5670000,-9749000,9335000,-19298000,125000,-19173000,0,0,0,0,0,0,0,0,-19173000,0,0,0,0,689724000,0,-17931000,671793000,0,661955000,-19173000,0,0,690000000,-276000,27859000,-9838000,0.2179,13568125,875157000,875157000,-0.0053,-0.0088,-0.006,-0.0183,0.0363,0.0363,0.5983,0.4645,0.3619,0.3436,0.2687,-0.164,2.0368,0.4909,0.837,0.4109,0.3344,0.1553,0.121,0.1149,-0.0548,4.8804,4.8804,6138318700,5647118700,-804.3924,7.0139,7.0139,35.3667,-191.5411,-295.4523,-740.0234,6.4526,6.4526,32.5366,-176.2136,-271.8097,1.8944,4.7014,6.1123,7.2044,9.7064,7.3735,0.0,1.6035,0.0,0.0,0.0,0.0,1.5,-30.0242,-4.1572,0,0.0001,0.0,0,0.0,0,0.0,0,0.0,16.9926,0,0,26000,-449638000,170746000,0,2021-05-13,35.95,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,1,FY2021.FQ1
2021-06-30,73118000,24621000,48497000,12647000,984000,0,592000,14223000,34274000,0,-2639000,-2639000,1695000,33330000,-6164000,27166000,0,0,0,27166000,0,27166000,0.16,0.15,172678000,193146000,6666000,1196875000,0,8178000,35501000,5558000.0,1246112000,0,589122000,-27622000,561500000,0,0,10344000.0,1817956000,0,0,37730000,45796000,256000,0,0,6505000,90287000,673174000,639000,0,95578000,51653000,911331000,0,0,-19337000,0,925944000,0,0,18000.000000029,906625000,1817956000,571844000,821044000,27166000,6666000,5747000,-2212000,-742000,7743000,10536000,0,4500000,-10234000,38634000,-25393000,0,-25393000,0,0,0,0,0,0,0,0,-25393000,0,0,0,0,-714000,0,-589000,-1303000,0,11938000,-25393000,0,0,0,-714000,40940000,13241000,0.1849,21421250,906625000,906625000,0.0455,0.092,0.0507,0.1917,0.0453,0.0453,0.6632,0.5599,0.4687,0.4558,0.3715,0.181,2.0051,0.4987,0.7937,0.3958,0.3785,0.2119,0.1774,0.1725,0.0685,4.6939,4.6939,6551791280,6028090280,79.8745,7.2265,7.2265,30.2918,-499.984,87.6974,73.4899,6.6489,6.6489,27.8705,-460.019,80.6876,1.4059,3.1175,5.0624,5.3813,1.5362,1.4347,0.0,1.8042,0.0,0.0,0.0,0.0,26.8941,-5.0315,3.3221,0,0.041,0.0,0,0.0,0,0.0,0,0.0,13.8016,0,0,7002000,-477905000,177748000,0,2021-08-09,36.86,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,2,FY2021.FQ2
2021-09-30,99754000,28858000,70896000,14881000,1327000,0,595000,16803000,54093000,0,-2624000,-2624000,97000,51566000,-8803000,42763000,0,0,0,42763000,0,42763000,0.24,0.23,176054000,193215000,6951000,1179371000,0,37095000,34126000,4954000.0,1255546000,0,618079000,-34394000,583685000,0,0,10223000.0,1849454000,27842000,8097000,0,30937000,254000,0,0,3637000,70767000,674050000,625000,0,98444000,51373000,895259000,0,0,23426000,0,930751000,0,0,18000.000000029,954195000,1849454000,593908000,824492000,42763000,6951000,-28917000,1375000,621000,8229000,-18692000,0,4550000,-13077000,22495000,-41729000,0,-41729000,0,0,0,0,0,0,0,2615000,-39114000,0,0,0,0,-717000,0,-163000,-880000,0,-17499000,-41729000,0,0,0,-717000,61044000,-19234000,0.1707,33808125,954195000,954195000,0.06,0.1184,0.067,0.2421,0.0657,0.0657,0.7107,0.6119,0.5422,0.5169,0.4286,-0.1928,1.9382,0.5159,0.7394,0.3815,0.5162,0.3159,0.2799,0.2668,-0.0995,4.9385,4.9385,5728818040,5223497040,52.0035,6.0038,6.0038,20.8304,-229.9714,51.254,47.4165,5.4742,5.4742,18.993,-209.6863,46.733,1.4317,2.1702,2.3297,2.3485,2.5557,1.9235,0.0,0.2391,0.0,0.0,0.0,0.0,9.7871,-7.5738,-1.5897,0,0.0,0.0,0,0.0,0,0.0,0,0.0,17.7419,0,0,0,-474384000,177748000,0,2021-11-10,32.23,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,3,FY2021.FQ3
2021-12-31,99109000,23070000,76039000,16229000,2137000,0,595000,18961000,57078000,0,-2487000,-2487000,98000,54689000,-5700000,48989000,0,0,0,48989000,0,48989000,0.28,0.26,176146000,193458000,4615000,1179297000,0,51009000,38692000,7809000.0,1276807000,0,650999000,-39629000,611370000,0,0,1488999.9999998,1889666000,35734000,3463000,0,16082000,254000,0,0,4010000,59543000,674927000,554000,0,104500000,41410000,880934000,0,0,72415000,0,936299000,0,0,18000.000000029,1008732000,1889666000,612859000,821391000,48989000,4615000,-13914000,-4566000,-1802000,3006000,-17276000,0,8210000,-13031000,31507000,-37450000,0,-37450000,0,0,0,0,0,0,0,1767000,-35683000,0,0,0,0,-728000,0,-2773000,-3501000,0,-7677000,-37450000,0,0,0,-728000,61693000,-5943000,0.1042,35673750,1008732000,1008732000,0.0722,0.1375,0.0803,0.2696,0.0914,0.0914,0.7672,0.6224,0.5759,0.5518,0.4942,-0.0599,1.8733,0.5338,0.6855,0.3659,0.5123,0.3188,0.295,0.2826,-0.0307,5.2142,5.2142,8076448140,7572078140,59.8091,8.0065,8.0065,24.3301,-370.9216,50.4163,56.074,7.5065,7.5065,22.8107,-347.7577,47.2678,1.3497,2.6662,5.2696,6.3734,7.7265,1.0315,1.9629,1.4276,1.2693,0.2154,0.7589,0.1813,7.7641,-1.9546,0.3454,0,0.0003,0.0,0,0.0,0,0.0,0,0.0,21.4434,0,0,69000,-488288000,177817000,0,2022-02-28,45.42,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,4,FY2021.FQ4
2022-03-31,166258000,28433000,137825000,20565000,1818000,0,418000,22801000,115024000,0,-1905000,-1905000,194000,113313000,-27762000,85551000,0,0,0,85551000,0,85551000,0.49,0.45,176356000,193490000,5260000,1233300000,0,37108000,39619000,6447000.0000001,1316474000,0,711885000,-43397000,668488000,0,0,2249000.0,1987211000,41654000,5246000,0,0,0,0,0,4675000,51575000,675804000,0,0,127979000,41485000,896843000,0,0,157966000,0,932384000,0,0,18000.000000029,1090368000,1987211000,670737000,845268000,85551000,5260000,13901000,-927000,694000,18216000,31884000,0,9770000,-11494000,120971000,-54932000,0,-54932000,0,0,0,0,0,0,0,5130000,-49802000,0,0,0,0,-3817000,0,-14094000,-17911000,0,53258000,-54932000,0,0,0,-3817000,120284000,66039000,0.245,71890000,1090368000,1090368000,0.1054,0.1948,0.1179,0.388,0.1377,0.1377,0.8289,0.7234,0.6918,0.6815,0.5145,0.3972,1.8225,0.5486,0.6197,0.34,0.8592,0.6216,0.5944,0.5856,0.3413,5.6352,5.6352,10179340840,9621844840,49.7842,9.3356,9.3356,23.2278,188.1474,40.2507,47.0577,8.8244,8.8244,21.9557,177.843,38.0463,1.7723,2.8407,3.3175,4.2984,4.4979,4.3074,4.0,0.079,0.0438,0.253,0.1148,0.2459,11.9588,-1.865,7.7126,0,-0.0016,0.0,0,0.0,0,0.0,0,0.0,25.5254,0,0,-291000,-557496000,177526000,0,2022-05-06,57.34,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,1,FY2022.FQ1
2022-06-30,143562000,27499000,116063000,18222000,1668000,0,419000,20309000,95754000,0,-1326000,-1326000,2212000,96640000,-23371000,73269000,0,0,0,73269000,0,73269000,0.42,0.38,176528000,193415000,5407000,664457000,599666000,37019000,42244000,5486000.0000001,1348872000,0,798636000,-48788000,749848000,0,0,2518999.9999998,2101239000,62097000,0,0,0,0,0,0,4050000,66147000,676683000,0,0,146606000,41066000,930502000,0,0,231235000,-416000,939900000,0,0,18000.000000029,1170737000,2101239000,752367000,864355000,73269000,5407000,89000,-2625000,743000,14276000,12483000,0,7440000,292000,98891000,-67652000,0,-67652000,0,0,0,0,0,0,0,-599195000,-666847000,0,0,0,0,-671000,0,-202000,-873000,0,-568829000,-67652000,0,0,0,-671000,101161000,31239000,0.2418,59846250,1170737000,1170737000,0.1225,0.2216,0.1386,0.292,0.1621,0.1621,0.8084,0.7046,0.6669,0.6731,0.5103,0.2175,1.7948,0.5571,0.5779,0.322,0.7422,0.523,0.495,0.4996,0.1615,6.0529,6.0529,5695290720,5107850720,22.7291,4.8647,4.8647,11.1961,78.9904,18.0112,20.3847,4.3629,4.3629,10.0413,70.8429,16.1534,0.9634,1.3931,1.4709,1.7937,1.8994,1.697,1.5333,0.0013,-0.4448,0.3354,0.1558,0.2913,1.5596,-1.6641,1.3592,0,0.0,0.0,0,0.3535,0,0.0,0,0.0,20.392,0,0,8000,12226000,177534000,0,2022-08-05,32.08,0,0.68698933633693,0.4863850797407,0.50550655729098,-0.11200511864779,0.052820042027718,0.10523671726208,0.058888221037538,1.8086571244049,0.33105830817418,0.5988959337506,0.10958810658969,2,FY2022.FQ2
