period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2003-03-31,0,0,0,174000,0,0,1000,175000,-175000,0,0,0,175000,0,0,0,0,0,0,-162000,0,-162000,0.0,0.0,23900000,23900000,1000,2825000,453000,22000,0,6000.0000000002,3306000,0,6363000,0,6363000,0,0,1337000.0,11006000,50000,0,0,0,0,0,0,0.0,50000,568000,0,0,0,678000,1296000,0,0,-10180000,455000,19307000,0,128000,0.0,9710000,11006000,7700000,1246000,-162000,1000,25000,0,0,-8000,17000,0,0,6000.0,-138000,-248000,0,-248000,0,0,0,-507000,1440000,933000,0,103000.0,788000,1579000,0,1579000,0,0,0,0.0,1579000,0,2229000,-248000,0,0,0,0,-174000,-386000,0.0,-210625,9710000,9710000,-0.1,-0.1143,-0.1061,-0.1293,-0.0887,-0.0887,0,0,0,0,0,0,1.1334,0.8822,0.0584,0.0516,0,-0.0072,-0.0073,0.0,-0.0161,0.4062,0.4062,40152000,37442000,-39.992,4.1351,4.1351,0,-8.9765,0.0,-37.2928,3.856,3.856,0,-8.3706,0.0,0,0,-0.2985,-0.2962,0.0,-0.2,-0.1666,0.1168,1.26,2.248,1.6099,3.2383,0.2333,-2.1392,-0.4903,0,0.3118,0,0,0.0,0.0,0,0,0.0,66.12,0,0,5682000.0,-2257000,23900000,0,-,1.68,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,1,FY2003.FQ1
2003-06-30,0,0,0,196000,0,0,0,196000,-196000,0,0,0,196000,0,0,0,0,0,0,-171000,0,-171000,0.0,0.0,23100000,23100000,0,1939000,494000,38000,0,8000.0000000005,2479000,0,9600000,0,9600000,0,0,1460000.0,13539000,37000,0,0,0,0,0,0,0.0,37000,0,0,0,0,739000,776000,0,0,-11281000,637000,23266000,0,140000,0.0,12762000,13538000,11060000,739000,-171000,0,-15000,0,0,-6000,-21000,0,0,11000.0,-181000,-2668000,0,-2668000,0,0,0,0,0,0,0,0.0,-2668000,1705000,0,1705000,0,0,0,0.0,1705000,0,-1144000,-2668000,0,0,0,0,-196000,-2849000,0.0,-229375,12762000,12762000,-0.0815,-0.089,-0.0858,-0.1079,-0.0758,-0.0758,0,0,0,0,0,0,1.0608,0.9426,0.0,0.0,0,-0.0084,-0.0084,0.0,-0.1233,0.5524,0.5524,43222560,40789560,-43.1793,3.3868,3.3868,0,-5.8822,0.0,-40.7488,3.1961,3.1961,0,-5.5511,0.0,0,0,-0.2645,-0.2645,0.0,0.0172,0.3636,0.5,-0.1688,3.4077,1.5382,3.5741,-1.4491,-6.0769,-110.5769,0,0.1374,0,0,0.0,0.0,0,0,0.0,67.0,0,0,3284000.0,-1939000,27184000,0,-,1.59,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,2,FY2003.FQ2
2003-09-30,0,0,0,211000,0,0,0,211000,-211000,0,0,0,31000,-180000,0,-180000,0,0,0,-180000,0,-180000,0.0,0.0,24500000,24500000,0,29000,2176000,126000,0,7000.0000000001,2338000,0,10385000,0,10385000,0,0,1448000.0,14171000,55000,0,0,0,0,0,0,0.0,55000,0,0,0,0,733000,788000,0,0,-11370000,557000,24058000,0,139000,-1000.0000000012,13383000,14171000,11833000,733000,-180000,0,-49000,0,0,-17000,-66000,0,0,36000.0,-210000,-863000,0,-863000,0,0,0,-128000,0,-128000,0,-1562000.0,-2553000,868000,0,868000,0,0,0,0.0,868000,0,-1895000,-863000,0,0,0,0,-211000,-1073000,0.0,-131875,13383000,13383000,-0.0544,-0.0577,-0.0571,-0.0617,-0.0527,-0.0527,0,0,0,0,0,0,1.0588,0.9443,0.0,0.0,0,-0.0086,-0.0086,-0.0073,-0.0437,0.5462,0.5462,73396800,71191800,-97.2143,5.4843,5.4843,0,-14.6208,-407.76,-94.2937,5.3195,5.3195,0,-14.1816,-395.51,0,0,0.4866,0.4866,0.0,0.5774,0.72,0.4613,-0.9895,1.0613,0.6472,1.1982,0.5578,0.705,0.6845,0,0.0,0,0,0.0,0.0,0,0,0.0,42.509,0,0,0.0,-29000,27184000,0,-,2.7,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,3,FY2003.FQ3
2003-12-31,0,0,0,214000,0,0,2000,216000,-216000,0,0,0,216000,0,0,0,0,0,0,-475000,0,-475000,-0.01,-0.01,33264000,33264000,0,2346000,766000,102000,0,4000.0,3218000,0,12699000,0,12699000,0,0,1503000.0,17420000,299000,0,0,0,0,0,0,1481000.0,1780000,0,0,0,0,906000,2686000,0,0,-12284000,617000,26257000,0,144000,0.0,14734000,17420000,14202000,906000,-475000,0,-1000,0,0,97000,96000,0,0,317000.0,-62000,-879000,0,-879000,0,0,0,0,0,0,0,2003000.0,1124000,1255000,0,1255000,0,0,0,0.0,1255000,0,2317000,-879000,0,0,0,0,-216000,-941000,0.0,-431875,14734000,14734000,-0.0625,-0.0702,-0.0695,-0.0759,-0.0536,-0.0536,0,0,0,0,0,0,1.1822,0.8458,0.0,0.0,0,-0.0064,-0.0064,0.0,-0.0282,0.4429,0.4429,115029450,111917450,-116.4265,7.807,7.807,0,-21.9145,-639.0525,-113.2767,7.5958,7.5958,0,-21.3216,-621.7636,0,0,-0.4794,-0.4794,0.0,-0.9628,-0.1538,0.8258,3.1522,1.1936,0.9204,0.8767,0.8296,-1.5258,-0.3216,0,0.0147,0,0,0.0,0.0,0,0,0.0,1.8078,0,0,401000.0,-2346000,27585000,0,2004-06-25,4.17,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,4,FY2003.FQ4
2004-03-31,0,0,0,425000,0,0,2000,427000,-427000,0,0,0,72000,-355000,437000,82000,0,-14000,0,82000,0,82000,0.0,0.0,27653000,27653000,1000,721000,257000,98000,0,2999.9999999999,1079000,0,13014000,0,13014000,0,0,1317000.0,15410000,151000,0,0,0,0,0,0,0.0,151000,0,0,0,0,914000,1065000,0,0,-12056000,644000,25601000,0,156000,-1000.0000000012,14344000,15409000,14331000,914000,82000,1000,-8000,0,0,-18000,-26000,0,0,-353000.0,-296000,-2047000,0,-2047000,0,0,0,0,501000,501000,0,170000.0,-1376000,78000,0,78000,0,0,0,0.0,78000,0,-1594000,-2047000,0,0,0,0,-426000,-2343000,0.0,-266875,14344000,14344000,-0.0453,-0.0511,-0.0506,-0.0565,-0.0679,-0.0679,0,0,0,0,0,0,1.0743,0.9308,0.0,0.0,0,-0.0154,-0.0154,-0.0128,-0.0847,0.5187,0.5187,106767600,105789600,-143.5048,7.4433,7.4433,0,-14.8164,-199.5656,-142.1903,7.3751,7.3751,0,-14.6807,-197.7375,0,0,-1.4482,-1.44,0.0,1.5061,1.4285,0.157,-0.7447,1.0452,0.4001,0.4772,-1.1449,-7.254,-5.0699,0,0.0027,0,0,0.0,0.0,0,0,0.0,7.1456,0,0,75000.0,-721000,27660000,0,-,3.86,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,1,FY2004.FQ1
2004-06-30,0,0,0,388000,0,0,1000,389000,-389000,0,0,0,21000,-368000,-13000,-381000,0,0,0,-380000,0,-380000,-0.01,-0.01,28908000,28908000,1000,947000,3467000,130000,0,32000.0,4576000,0,13343000,0,13343000,0,0,1289000.0,19208000,220000,0,0,0,0,0,0,0.0,220000,0,0,0,0,914000,1134000,0,0,-12177000,599000,29498000,0,153000,0.0,18073000,19207000,14632000,914000,-381000,1000,-35000,0,0,-4000,-39000,0,0,46000.0,-373000,-560000,0,-560000,0,0,0,0,0,0,0,-3219000.0,-3779000,4391000,0,4391000,0,0,0,0.0,4391000,0,239000,-560000,0,0,0,0,-388000,-933000,0.0,-242500,18073000,18073000,-0.055,-0.0587,-0.0582,-0.0613,-0.0725,-0.0725,0,0,0,0,0,0,1.0628,0.9409,0.0,0.0,0,-0.0134,-0.0134,-0.0127,-0.0322,0.6251,0.6251,91036050,86622050,-95.5257,5.0371,5.0371,0,-17.209,-100.8151,-90.894,4.7928,4.7928,0,-16.3746,-95.9269,0,0,-0.9795,-0.9846,0.0,-1.2222,-1.1428,0.2514,-0.5116,0.3898,0.4187,0.4161,-1.0607,0.7901,0.6725,0,0.0515,0,0,0.0,0.0,0,0,0.0,20.8,0,0,1425000.0,-947000,29085000,0,-,3.13,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,2,FY2004.FQ2
2004-09-30,0,0,0,326000,0,0,0,326000,-326000,0,0,0,1000,-325000,0,-325000,0,0,0,-325000,0,-325000,0.0,0.0,28281000,28281000,61000,1961000,2326000,99000,0,37000.0,4423000,0,15778000,0,15778000,0,0,1357000.0,21558000,405000,0,0,0,0,0,0,0.0,405000,0,0,0,0,983000,1388000,0,0,-13160000,631000,32699000,0,0,0.0,20170000,21558000,17135000,983000,-325000,61000,35000,0,0,-26000,9000,0,0,-39000.0,-294000,-1675000,0,-1675000,0,0,0,0,0,0,0,1330000.0,-345000,1604000,0,1604000,0,0,0,0.0,1604000,0,965000,-1675000,0,0,0,0,-265000,-1969000,0.0,-203750,20170000,20170000,-0.0538,-0.0574,-0.0571,-0.0618,-0.0676,-0.0676,0,0,0,0,0,0,1.0688,0.9356,0.0,0.0,0,-0.0093,-0.0115,-0.0114,-0.0696,0.7131,0.7131,100014200,95727200,-91.0876,4.9585,4.9585,0,-16.1678,-95.4333,-87.1832,4.746,4.746,0,-15.4748,-91.3427,0,0,-0.2559,-0.545,-0.8055,-0.8055,-0.1428,0.1543,66.6206,0.5193,0.5212,0.5071,-0.4,-0.9409,-0.835,0,0.0173,0,0,0.1772,0.2429,0,0,0.0,10.9209,0,0,505000.0,-1961000,29590000,0,-,3.38,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,3,FY2004.FQ3
2004-12-31,0,0,0,354000,0,0,0,354000,-354000,0,0,0,2971000,2617000,10000,2627000,0,0,0,-328000,0,-328000,0.0,0.0,29781000,29781000,-62000,130000,2289000,229000,0,959000.0,3607000,0,17250000,0,17250000,0,0,1435000.0,22292000,144000,0,0,0,0,0,0,0.0,144000,0,0,0,0,1062000,1206000,0,0,-14236000,676000,34646000,0,0,1000.0000000012,21087000,22293000,18685000,1062000,-328000,-62000,-80000,0,0,-22000,-102000,0,0,95000.0,-397000,-882000,0,-882000,0,0,0,0,0,0,0,206000.0,-676000,90000,0,90000,0,0,0,0.0,90000,0,-983000,-882000,0,0,0,0,-416000,-1279000,0.0,-2068125,21087000,21087000,-0.0433,-0.0461,-0.0461,-0.0485,-0.069,-0.069,0,0,0,0,0,0,1.0571,0.9459,0.0,0.0,0,-0.0139,-0.0118,0.0878,-0.0429,0.708,0.708,107865450,105446450,-113.4231,5.1152,5.1152,0,-16.5336,68.7478,-110.8795,5.0005,5.0005,0,-16.1628,67.2061,0,0,-0.9259,-0.6388,0.0,0.3094,0.4666,-0.1047,-0.9445,0.3583,0.2796,0.4311,-5.4032,-0.0034,-0.3591,0,0.0042,0,0,0.1537,0.2241,0,0,0.0,25.0486,0,0,125000.0,-130000,29715000,0,2005-03-30,3.63,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,4,FY2004.FQ4
2005-03-31,0,0,0,355000,0,0,0,355000,-355000,0,0,0,28000,-327000,675000,348000,0,0,0,348000,0,348000,0.0,0.0,30225000,30225000,1000,70000,2101000,174000,0,1813000.0,4158000,0,18520000,0,18520000,0,0,1438000.0,24116000,573000,0,0,0,0,0,0,0.0,573000,0,0,0,0,1085000,1658000,0,0,-13922000,678000,35701000,0,0,999.0,22458000,24116000,19958000,1085000,348000,1000,68000,0,0,73000,141000,0,0,-654000.0,-164000,-886000,0,-886000,0,0,0,0,194000,194000,0,0.0,-692000,1648000,0,1648000,0,0,0,0.0,1648000,0,792000,-886000,0,0,0,0,-354000,-1050000,0.0,-221875,22458000,22458000,-0.0295,-0.0314,-0.0314,-0.0316,-0.0623,-0.0623,0,0,0,0,0,0,1.0738,0.9312,0.0,0.0,0,-0.0117,-0.0117,-0.0108,-0.0347,0.743,0.743,83421000,81250000,-121.7824,3.7145,3.7145,0,-15.9474,52.236,-118.6131,3.6178,3.6178,0,-15.5324,50.8766,0,0,0.169,0.1686,0.0788,3.2439,1.6666,0.093,-0.9029,0.423,0.5649,0.5656,0.4459,0.5671,0.5518,0,0.0171,0,0,0.1085,0.1394,0,0,0.0,7.2565,0,0,510000.0,-70000,30225000,0,-,2.76,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,1,FY2005.FQ1
2005-06-30,0,0,0,325000,0,0,0,325000,-325000,0,0,0,15000,-310000,0,-310000,0,0,0,-310000,0,-310000,0.0,0.0,38419000,38419000,1000,730000,1475000,139000,0,1234000.0,3578000,0,18554000,0,18554000,0,0,1411000.0,23543000,53000,0,0,0,0,0,0,0.0,53000,0,0,0,0,1086000,1139000,0,0,-13960000,584000,35781000,0,0,0.0,22405000,23544000,19965000,1086000,-310000,1000,31000,0,0,-41000,-10000,0,0,21000.0,-298000,-864000,0,-864000,0,0,0,0,585000,585000,0,-1000.0,-280000,695000,0,695000,0,0,0,0.0,695000,0,117000,-864000,0,0,0,0,-324000,-1162000,0.0,-203125,22405000,22405000,-0.0258,-0.0274,-0.0274,-0.0279,-0.0578,-0.0578,0,0,0,0,0,0,1.0507,0.9516,0.0,0.0,0,-0.0084,-0.0084,-0.008,-0.0302,0.5831,0.5831,78110720,75905720,-127.0093,3.4863,3.4863,0,-14.3059,47.1968,-123.4239,3.3878,3.3878,0,-13.9021,45.8644,0,0,0.1649,0.1645,0.1576,0.1842,0.4666,0.329,-0.2291,0.3905,0.2256,0.2396,0.201,-0.5428,-0.2454,0,0.0094,0,0,0.1,0.1105,0,0,0.0,67.5094,0,0,287000.0,-730000,30512000,0,-,2.56,0,0,0,0,0,-0.0020159371357618,-0.0022049245960017,-0.0021470826028624,1.0756028248403,0.00039145348765225,0.00041786505257557,0.0020994345447885,2,FY2005.FQ2
