period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2019-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,155134000,155134000,0,14180000,24921000,14028000,2723000,2903000,58755000,0,1026923000,-226939000,799984000,86000,0,7640000.0,866465000,888000,0,3821000,0,296000,0,0,999.0,5006000,75063000,1774000,0,2883000,-1000.0000000048,84725000,842000000,0,-59958000,0,0,0,0,-303000.0,781739000,866464000,807710000,79719000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,781739000,781653000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1083,0.9022,0.0982,0.0886,0.0,0.0,0.0,0.0,0.0,5.0391,5.0385,0,35962000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309,0.1387,0.1404,0.3236,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,11.7369,0.0,0,0,60883000,155134000,0.0,2021-05-20,0.0,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,4,FY2019.FQ4
2020-03-31,25887000,18274000,7614000,2363000,0,0,140000,2503000,5111000,0,-2913000,-2913000,-27059000,-24861000,1848000,-23013000,0,0,0,-23013000,0,-23013000,-0.14,-0.14,155134000,155134000,16242000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-23013000,16242000,0,0,0,-1882000,-1882000,-1848000,0,27679000,17178000,-230501000,0,-230501000,0,0,0,0,0,0,0,0,-230501000,0,0,0,0,220493000,0,-3182000,217311000,-134000,3854000,-230501000,0,0,220568000,-75000,21353000,-213323000,0.0,3194375,0,0,-0.2124,-0.2355,-0.2144,-0.218,0.0474,0.0474,0.2941,0.8248,0.1974,-0.9603,-0.8889,-8.2405,0.0,0.0,0.0,0.0,0.1668,0.1376,0.0329,-0.1602,-1.375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,155134000,0.0,2021-05-20,0.0,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,1,FY2020.FQ1
2020-06-30,37370000,24788000,12582000,2481000,0,0,135000,2616000,9966000,0,-2812000,-2812000,10546000,17700000,-5260000,12440000,0,0,0,12441000,0,12441000,0.08,0.08,155134000,155134000,21891000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,12441000,21891000,0,0,0,209000,209000,5260000,0,-9835000,29966000,-13927000,0,-13927000,0,0,0,0,0,0,0,0,-13927000,0,0,0,0,-69000,0,-2610000,-2679000,186000,13546000,-13927000,0,0,0,-69000,31857000,16039000,0.2971,6229375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3366,0.8524,0.2666,0.4736,0.3329,0.4291,0.0,0.0,0.0,0.0,0.2408,0.2053,0.0642,0.114,0.1033,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4435,0.6524,0.4919,0.9499,1.7119,1.5406,1.5405,0.0,0.0,0.0,0.0,0.0,0.7444,0.9395,1.0751,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,155134000,0.0,2021-08-10,0.0,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,2,FY2020.FQ2
2020-09-30,32374000,15655000,16719000,2418000,0,0,133000,2551000,14168000,0,-3917000,-3917000,5124000,15375000,-3580000,11795000,0,0,0,11795000,0,11795000,0.07,0.07,155134000,155134000,13111000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11795000,13111000,0,0,0,-849000,-849000,3580000,0,-2184000,25453000,-732671000,0,-732671000,0,0,0,0,0,0,0,0,-732671000,0,0,0,0,207638000,0,484190000,691828000,-86000,-15476000,-732671000,0,0,224910000,-17272000,27279000,-707218000,0.2328,8855000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5164,0.8426,0.4376,0.4749,0.3643,-21.8452,0.0,0.0,0.0,0.0,0.2086,0.1758,0.0913,0.0991,-4.5587,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,155134000,0.0,2021-11-10,0.0,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,3,FY2020.FQ3
2020-12-31,53797000,24691000,29106000,2331000,0,0,128000,2459000,26647000,0,-3506000,-3506000,47676000,70817000,-1706000,69111000,0,0,0,69111000,0,69111000,0.44,0.44,155134000,155134000,20407000,26434000,22882000,12960000,0,12749000,75025000,0,1872695000,-296636000,1576059000,45000,0,15218000.0,1666347000,993000,689000,3271000,0,323000,0,0,0.0,5276000,352247000,1442000,0,1793000,424999.99999995,361183000,1293000000,0,12854000,-311000,0,0,0,-379000.00000013,1305164000,1666347000,1591322000,355907000,69111000,20407000,0,0,0,-3994000,-3994000,1706000,0,-47879000,39351000,-634000,0,-634000,0,0,0,0,0,0,0,99946000,99312000,0,0,0,0,-124322000,0,-3110000,-127432000,54000,11285000,-634000,0,0,0,-124322000,47054000,38717000,0.024,16654375,1305164000,1305119000,0.0844,0.1077,0.0847,0.0861,0.0672,0.0672,0.541,0.8746,0.4953,1.3163,1.2846,0.7196,1.2767,0.7832,0.2709,0.2122,0.3467,0.3033,0.1717,0.4564,0.2495,8.4131,8.4128,0,302931000,0.0,0.0,0.0,0.0,0.0,0.0,4.307,0.2321,0.2321,2.0272,-0.3498,3.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8641,0.9701,0.9231,0.6695,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,14.22,0.0,0,0,325813000,155134000,0.0,2021-05-20,0.0,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,4,FY2020.FQ4
2021-03-31,44452000,20122000,24330000,3722000,0,0,126000,3848000,20482000,0,-3165000,-3165000,-5645000,11672000,-763000,10909000,0,0,0,10909000,0,10909000,0.07,0.07,155134000,155134000,16504000,5352000,18248000,10116000,0,7574000,41290000,0,1575225000,0,1575225000,35000,0,29481000.0,1646031000,6012000,0,0,0,324000,0,0,0.0,6336000,344391000,1349000,0,1944000,329999.99999998,354350000,1268000000,0,23522000,-243000,0,0,0,402000.00000004,1291681000,1646031000,1604741000,348014000,10909000,16504000,0,0,0,1856000,1856000,763000,0,6178000,36210000,-43575000,0,-43575000,0,0,0,0,3482000,3482000,0,-12570000,-52663000,0,0,0,0,-1360000,0,-2785000,-4145000,11000,-20587000,-43575000,0,0,55304000,-56664000,36986000,-7365000,0.0653,12801250,1291681000,1291646000,0.0629,0.0802,0.0632,0.0638,0.0431,0.0431,0.5473,0.832,0.4607,0.2625,0.2454,-0.1656,1.2743,0.7847,0.2676,0.21,0.2865,0.2384,0.132,0.0752,-0.0474,8.3262,8.326,0,320791000,0.0,0.0,0.0,0.0,0.0,0.0,3.0769,0.2483,0.2483,1.9095,-0.4861,2.7758,0.7171,2.1954,0.7321,3.0074,1.4694,1.474,1.4729,0.0,0.0,0.0,0.0,0.0,1.1079,0.8109,0.9654,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,6.5167,0.0,0,0,339039000,155134000,0.0,2021-05-20,0.0,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,1,FY2021.FQ1
2021-06-30,50027000,21842000,28185000,2675000,0,0,121000,2796000,25389000,0,-2516000,-2516000,2831000,25704000,-3293000,22411000,0,0,0,22410000,0,22410000,0.15,0.15,143534000,143534000,17330000,14321000,18187000,19096000,1740000,11883000,65227000,0,1525335000,0,1525335000,24000,0,5796000.0,1596382000,3871000,1366000,0,0,325000,0,0,999.0,5563000,8554000,1249000,0,2765000,30000.000000001,18161000,1533000000,0,45279000,0,0,0,0,-58999.999999969,1578220000,1596381000,1531155000,12598000,22410000,17330000,0,0,0,-2629000,-2629000,3293000,232000,-611000,40025000,-1843000,0,-1843000,0,0,0,0,0,0,0,0,-1843000,299531000,0,299531000,0,-326379000,0,-2226000,-29074000,9000,9117000,-1843000,0,0,0,-326379000,42719000,38182000,0.1281,15867500,1578220000,1578196000,0.0704,0.0796,0.0708,0.0712,0.0536,0.0536,0.5633,0.8539,0.5075,0.5138,0.4479,0.7632,1.0115,0.9886,0.0062,0.0061,0.3485,0.2976,0.1768,0.179,0.266,10.9954,10.9952,2533450460,2509496460,22.1794,1.6052,1.6052,14.024,-3.9728,20.5024,21.9697,1.59,1.5901,13.8914,-3.9353,20.3086,0.3386,1.2401,0.3409,1.5475,0.4522,0.8013,0.9875,-0.0747,0.0,0.0,0.0,0.0,0.3356,0.8676,1.3805,0.0,0.0068,0.0,0,0.0,0.0,0,0,0.0,11.7251,0.0,0,1059000,-5767000,156193000,0.0,2021-08-10,16.22,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,2,FY2021.FQ2
2021-09-30,47042000,21599000,25443000,5237000,0,0,0,5237000,20206000,0,-626000,-626000,-11392000,8188000,-1690000,6498000,0,0,0,6498000,0,6498000,0.03,0.03,156193000,156193000,17235000,33838000,9056000,20122000,0,9425000,72441000,0,1565863000,0,1565863000,16000,0,6023999.9999999,1644344000,4619000,674000,0,0,335000,0,0,-1000.0000000003,5627000,0,1176000,0,3177000,87000.0,10067000,1589000000,0,44047000,0,0,0,0,1229000.0,1634276000,1644343000,1571903000,4440000,6498000,17235000,0,0,0,1393000,1393000,1690000,710000,9796000,37322000,-90000,0,-90000,0,0,0,0,815000,815000,0,0,725000,0,0,0,0,-8979000,0,-10054000,-19033000,-25000,18989000,-90000,0,0,0,-8979000,37441000,37232000,0.2063,12628750,1634276000,1634260000,0.0672,0.0678,0.0675,0.0686,0.0574,0.0574,0.5408,0.7959,0.4295,0.174,0.1381,0.7914,1.0061,0.9938,0.0007,0.0007,0.3011,0.2397,0.1293,0.0524,0.2383,10.4631,10.463,1796219500,1753325500,16.4899,1.099,1.0991,9.1963,16.8238,15.4339,16.0961,1.0728,1.0728,8.9767,16.4221,15.0653,0.453,0.5218,0.3725,0.4261,-0.4674,-0.449,-0.5,0.0068,0.0,0.0,0.0,0.0,0.4663,0.9998,1.0526,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,12.8738,1.5789,0,0,-33838000,156193000,0.06,2021-11-10,11.5,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,3,FY2021.FQ3
2021-12-31,47347000,20531000,26816000,6179000,0,0,510000,6689000,20127000,0,-771000,-771000,76000,19432000,-2304000,17128000,0,0,0,17128000,0,17128000,0.11,0.11,156248000,156248000,16840000,52060000,13659000,20576000,1756000,4657000,92708000,0,1936522000,-366508000,1570015000,6000,0,5634999.9999998,1668364000,188000,428000,4760000,0,346000,0,0,1106000.0,6828000,0,1097000,0,3116000,206000.0,11247000,1604000000,0,51581000,0,0,0,0,1535000.0000001,1657116000,1668363000,1575656000,4419000,17128000,16840000,0,0,0,448000,448000,2304000,717000,-321000,37116000,-6419000,0,-6419000,0,0,0,0,-378000,-378000,0,0,-6797000,0,0,0,0,-5000,0,-12442000,-12447000,5000,17877000,-6419000,0,0,0,-5000,36967000,30697000,0.1185,12579375,1657116000,1657110000,0.0343,0.0346,0.0345,0.0355,0.0522,0.0522,0.5663,0.7807,0.425,0.4104,0.3617,0.6483,1.0067,0.9932,0.0006,0.0006,0.303,0.2365,0.1288,0.1243,0.1964,10.6056,10.6056,2370202030,2304483030,41.6226,1.4303,1.4303,12.5495,24.003,36.4668,40.4685,1.3906,1.3906,12.2015,23.3374,35.4557,-0.1198,-0.0786,-0.2143,-0.2446,-0.7256,-0.7521,-0.7415,0.0071,0.9694,-0.0038,0.0012,0.2696,-0.0567,-9.1246,-0.2071,0.0166,-0.0009,0.0,0,0.0,0.0,0,0,0.0,13.5776,0.5304,0,-156000,-52060000,156037000,0.061,2022-02-22,15.19,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,4,FY2021.FQ4
2022-03-31,47798000,20523000,27275000,5401000,0,0,123000,5524000,21751000,0,-680000,-680000,1758000,22829000,-2713000,20116000,0,0,0,20115000,0,20115000,0.12,0.12,156027000,156027000,16807000,73595000,2959000,24017000,0,8854000,109425000,0,1545949000,0,1545949000,0,0,4936999.9999999,1660311000,2707000,213000,0,0,356000,0,0,-999.99999999989,3275000,0,1009000,0,3597000,2051000.0,9932000,1586000000,0,61654000,0,0,0,0,2724999.9999999,1650379000,1660311000,1550886000,6657000,20115000,16807000,0,0,0,-4308000,-4308000,2713000,937000,-2894000,33370000,-11581000,5697000,-5884000,0,0,0,-2959000,7923000,4964000,0,0,-920000,0,-285000,-285000,0,-105000,-9382000,-628000,-10400000,54000,22104000,-5884000,0,0,0,-105000,38558000,27486000,0.1188,13593750,1650379000,1650379000,0.0397,0.04,0.0399,0.0415,0.0527,0.0527,0.5706,0.8066,0.455,0.4776,0.4208,0.575,1.006,0.994,0.0006,0.0006,0.3063,0.2471,0.1394,0.1463,0.1761,10.5775,10.5775,2809884180,2733330180,42.4768,1.7025,1.7025,14.6185,21.0325,36.8978,41.3195,1.6561,1.6561,14.2202,20.4595,35.8926,0.0752,0.121,0.0425,0.0619,0.9558,0.8438,0.8142,0.0057,12.7509,-0.0185,0.0086,0.2776,-0.0784,0.8649,4.7319,-0.0163,-0.0001,0.0,0,0.0813,0.1082,0,0,0.0,33.4122,0.4724,0,-19000,-73595000,156018000,0.06,2022-05-10,18.01,0,0.55536385992705,0.45070690690057,0.45133817847552,0.65995448495909,0.039642381491794,0.039948699586821,0.039917729846684,1.007303305142,0.00068635459505033,0.00069078909215639,0.0433397899168,1,FY2022.FQ1
