period_end_date,revenue,cogs,gross_profit,sga,rnd,special_charges,other_opex,total_opex,operating_income,interest_income,interest_expense,net_interest_income_normal,other_nonoperating_income,pretax_income,income_tax,net_income_continuing,net_income_discontinued,income_allocated_to_minority_interest,other_income_statement_items,net_income,preferred_dividends,net_income_available_to_shareholders,eps_basic,eps_diluted,shares_basic,shares_diluted,da_income_statement_supplemental,cash_and_equiv,st_investments,receivables,inventories,other_current_assets,total_current_assets,equity_and_other_investments,ppe_gross,accumulated_depreciation,ppe_net,intangible_assets,goodwill,other_lt_assets,total_assets,accounts_payable,tax_payable,current_accrued_liabilities,st_debt,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,other_current_liabilities,total_current_liabilities,lt_debt,noncurrent_capital_leases,pension_liabilities,noncurrent_deferred_revenue,other_lt_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,aoci,apic,treasury_stock,minority_interest_liability,other_equity,total_equity,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,cfo_net_income,cfo_da,cfo_receivables,cfo_inventory,cfo_prepaid_expenses,cfo_other_working_capital,cfo_change_in_working_capital,cfo_deferred_tax,cfo_stock_comp,cfo_other_noncash_items,cf_cfo,cfi_ppe_purchases,cfi_ppe_sales,cfi_ppe_net,cfi_acquisitions,cfi_divestitures,cfi_acquisitions_net,cfi_investment_purchases,cfi_investment_sales,cfi_investment_net,cfi_intangibles_net,cfi_other,cf_cfi,cff_common_stock_issued,cff_common_stock_repurchased,cff_common_stock_net,cff_pfd_net,cff_debt_net,cff_dividend_paid,cff_other,cf_cff,cf_forex,cf_net_change_in_cash,capex,cff_pfd_issued,cff_pfd_repurchased,cff_debt_issued,cff_debt_repaid,ebitda,fcf,income_tax_rate,nopat,book_value,tangible_book_value,roa,roe,roic,roic_legacy,roce,rotce,gross_margin,ebitda_margin,operating_margin,pretax_margin,net_income_margin,fcf_margin,assets_to_equity,equity_to_assets,debt_to_equity,debt_to_assets,revenue_per_share,ebitda_per_share,operating_income_per_share,pretax_income_per_share,fcf_per_share,book_value_per_share,tangible_book_per_share,market_cap,enterprise_value,price_to_earnings,price_to_book,price_to_tangible_book,price_to_sales,price_to_fcf,price_to_pretax_income,enterprise_value_to_earnings,enterprise_value_to_book,enterprise_value_to_tangible_book,enterprise_value_to_sales,enterprise_value_to_fcf,enterprise_value_to_pretax_income,revenue_growth,gross_profit_growth,ebitda_growth,operating_income_growth,pretax_income_growth,net_income_growth,eps_diluted_growth,shares_diluted_growth,cash_and_equiv_growth,ppe_growth,total_assets_growth,total_equity_growth,cfo_growth,capex_growth,fcf_growth,dividends_per_share_growth,shares_eop_growth,revenue_cagr_10,eps_diluted_cagr_10,total_assets_cagr_10,total_equity_cagr_10,fcf_cagr_10,dividends_per_share_cagr_10,cf_cfo_cagr_10,current_ratio,payout_ratio,peg_ratio,shares_eop_change,net_debt,shares_eop,dividends,original_filing_date,period_end_price,preliminary,gross_margin_median,pretax_margin_median,operating_income_margin_median,fcf_margin_median,roa_median,roe_median,roic_median,assets_to_equity_median,debt_to_assets_median,debt_to_equity_median,roic_5yr_avg,fiscal_quarter_number,fiscal_quarter_key
2016-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,74890000,74890000,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74890000,0.0,2018-02-09,0.0,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,3,FY2016.FQ3
2016-12-30,49547000,37786000,11761000,5599000,0,0,0,5599000,6162000,0,-4964000,-4964000,0,1198000,148000,1346000,0,0,0,1346000,0,1346000,0.12,0.12,74890000,74890000,5299000,8688000,0,32289000,37900000,3713000.0,82590000,0,137251000,-62381000,74870000,3999.9999999996,7820000,44000.000000011,165328000,14002000,1912000,3953000,2568000,1134000,565000,0,0,24134000,242254000,2065000,0,196000,0,268649000,-103000000,0,0,-475000,0,0,0,154000.0,-103321000,165328000,82738000,244515000,1346000,5299000,-11501000,-1902000,94000,840000,-12469000,-46000,0,913000,-4957000,-8327000,0,-8327000,0,0,0,0,0,0,-7000,3488000,-4846000,0,0,0,0,-859000,3000,0,-856000,-257000,-10916000,-8327000,0,0,0,-859000,11461000,-13284000,0.0,3851250,-103321000,-111145000,0.0651,-0.1042,0.075,0.0798,0.3429,0.3626,0.2373,0.2313,0.1243,0.0241,0.0271,-0.2681,-1.6001,-0.6249,-2.3895,1.4933,0.6615,0.153,0.0822,0.0159,-0.1773,-1.3796,-1.4841,0,233566000,0.0,0.0,0.0,0.0,0.0,0.0,43.3815,-2.2605,-2.1014,1.1785,-4.3956,48.7408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4221,0.0,0.0,0,236134000,74890000,0.0,2018-02-09,0.0,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,4,FY2016.FQ4
2017-03-31,58503000,42406000,16097000,6103000,0,0,0,6103000,9994000,0,-4986000,-4986000,0,5008000,-154000,4854000,0,0,0,4854000,0,4854000,0.06,0.06,74890000,74890000,5313000,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4854000,5313000,-8998000,-7648000,-1140000,12849000,-4937000,29000,0,673000,5932000,-8584000,0,-8584000,0,0,0,0,0,0,0,83000,-8501000,0,0,0,0,-961000,0,0,-961000,12000,-3518000,-8584000,0,0,0,-961000,15307000,-2652000,0.0307,6246250,0,0,0.2348,-0.3758,0.2704,0.2879,0.5561,0.5881,0.2751,0.2616,0.1708,0.0856,0.0829,-0.0453,0.0,0.0,0.0,0.0,0.7811,0.2043,0.1334,0.0668,-0.0354,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1807,0.3686,0.3355,0.6218,3.1803,2.6062,-0.4881,0.0,-1.0,-1.0,-1.0,1.0,2.1966,-0.0308,0.8003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74890000,0.0,2018-05-11,0.0,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,1,FY2017.FQ1
2017-06-30,81877000,52470000,29407000,7334000,0,0,0,7334000,22073000,0,-5186000,-5186000,0,16887000,-309000,16578000,0,0,0,16578000,0,16578000,0.0,0.0,74890000,74890000,5589000,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,16578000,5589000,-16998000,-8845000,-108000,3900000,-22051000,54000,0,321000,491000,-7884000,0,-7884000,0,0,0,0,0,0,0,503000,-7381000,0,0,0,0,3817000,0,0,3817000,37000,-3036000,-7884000,0,0,5000000,-1183000,27662000,-7393000,0.0182,13795625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3591,0.3378,0.2695,0.2062,0.2024,-0.0902,0.0,0.0,0.0,0.0,1.0932,0.3693,0.2947,0.2254,-0.0987,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,74890000,0.0,2018-08-02,0.0,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,2,FY2017.FQ2
2017-09-29,96027000,60872000,35155000,7096000,0,0,0,7096000,28059000,0,-5279000,-5279000,0,22780000,-479000,22301000,0,0,0,22301000,0,22301000,0.0,0.0,74890000,74890000,6074000,3224000,0,74132000,62822000,8100000.0,148278000,0,89484000,0,89484000,3999.9999999996,7820000,49000.000000007,245635000,37324000,0,9991000,2568000,3570000,752000,0,2113000,56318000,267641000,6444000,0,364000,0,330767000,-85000000,0,0,-19000,0,0,0,-113000.0,-85132000,245635000,97357000,274449000,22301000,6074000,-14651000,-9137000,-3132000,10495000,-16425000,84000,0,1053000,13087000,-5867000,0,-5867000,0,0,0,0,0,0,0,322000,-5545000,0,0,0,0,-6465000,0,0,-6465000,13000,1090000,-5867000,0,0,0,-6465000,34133000,7220000,0.021,17536875,-85132000,-92956000,0.367,-1.059,0.4707,0.4788,0.6909,0.7202,0.366,0.3554,0.2921,0.2372,0.2322,0.0751,-2.8853,-0.3465,-3.2496,1.1262,1.2822,0.4557,0.3746,0.3041,0.0964,-1.1367,-1.2412,0,264417000,0.0,0.0,0.0,0.0,0.0,0.0,5.8656,-3.1059,-2.8445,0.9246,-16.4142,5.7641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6328,0.0,0.0,-53461000,266985000,21429000,0.0,2018-02-09,0.0,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,3,FY2017.FQ3
2017-12-29,104784000,69403000,35381000,6644000,0,0,0,6644000,28737000,0,-5316000,-5316000,0,23421000,-607000,22814000,0,0,0,22814000,0,22814000,0.0,0.0,21429000,21429000,6295000,7574000,0,84173000,64450000,7732000.0,163929000,0,167571000,-72917000,94654000,3999.9999999996,7820000,49000.000000035,266456000,35080000,1901000,7893000,2568000,4667000,765000,0,0,52874000,241437000,7946000,0,416000,0,302673000,0,0,0,82000,0,0,0,-36299000.0,-36217000,266456000,102527000,249799000,22814000,6295000,-9447000,-2649000,368000,-3635000,-15363000,53000,0,1398000,15197000,-9747000,0,-9747000,0,0,0,0,0,0,0,496000,-9251000,0,0,0,0,-1704000,0,0,-1704000,108000,4350000,-9747000,0,0,0,-1704000,35032000,5450000,0.0259,17960625,-36217000,-44041000,0.2599,-1.0967,0.3268,0.3357,0.4355,0.4529,0.3376,0.3343,0.2742,0.2235,0.2177,0.052,-7.3572,-0.1359,-6.9567,0.9455,4.8898,1.6347,1.341,1.0929,0.2543,-1.69,-2.0552,0,233863000,0.0,0.0,0.0,0.0,0.0,0.0,3.5142,-6.4572,-5.3101,0.6854,89.0906,3.4343,1.1148,2.0083,2.0566,3.6635,18.55,15.9494,-1.0,-0.7138,-0.1282,0.2642,0.6116,0.6494,4.0657,-0.1705,1.4102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1003,0.0,0.0,0,236431000,21429000,0.0,2018-03-19,0.0,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,4,FY2017.FQ4
2018-03-30,115110000,70779000,44331000,9114000,0,0,0,9114000,35217000,0,-2852000,-2852000,-4305000,28060000,-1652000,26408000,0,-22655000,0,3753000,0,3753000,0.14,0.14,26450000,26648000,6621000,7860000,0,84800000,69533000,5563000.0,167756000,0,109492000,0,109492000,3999.9999999996,7820000,73263000.0,358335000,38575000,0,14584000,0,5578000,0,0,0,58737000,0,8809000,0,489000,62989000,131024000,0,0,3753000,321000,83145000,0,139827000,265000.00000001,227311000,358335000,190579000,72287000,26408000,6621000,-419000,-5594000,-56000,4804000,-1265000,963000,830000,5008000,38565000,-16127000,0,-16127000,0,0,0,0,0,0,0,440000,-15687000,469621000,0,469621000,0,-249795000,-26041000,-216425000,-22640000,48000,286000,-16127000,0,0,0,-249795000,41838000,22438000,0.0588,7851250,227311000,219487000,0.2094,0.6849,0.2212,0.2271,0.4424,0.4562,0.3851,0.3634,0.3059,0.2437,0.0326,0.1949,1.5764,0.6343,0.0387,0.0245,4.3196,1.57,1.3215,1.0529,0.842,8.5301,8.2365,712298500,704438500,10.8837,3.1335,3.2452,1.7906,25.7008,7.8147,10.7636,3.099,3.2094,1.7708,25.4172,7.7285,0.9675,1.7539,1.7332,2.5238,4.603,-0.2268,1.1538,-0.6441,0.0,0.0,0.0,0.0,5.5011,-0.8787,9.4607,0.0,0.2343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856,0.0,0.0,5021000,-7860000,26450000,0.0,2018-05-11,26.93,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,1,FY2018.FQ1
2018-06-29,138543000,82205000,56338000,9851000,0,0,0,9851000,46487000,0,-248000,-248000,0,46239000,-4697000,41542000,0,-29208000,0,12334000,0,12334000,0.47,0.46,26450000,26779000,7367000,28403000,0,97569000,77954000,5372000.0,209298000,0,118599000,0,118599000,3999.9999999996,7820000,70354000.0,406075000,44226000,0,17221000,0,6374000,0,0,0,67821000,0,9260000,0,712000,62989000,140782000,0,0,16087000,-269000,84409000,0,164801000,264999.99999999,265293000,406075000,196777000,72961000,41542000,7367000,-12228000,-9349000,2443000,6915000,-12219000,3131000,1260000,1059000,42140000,-16001000,0,-16001000,0,0,0,0,0,0,0,340000,-15661000,0,0,0,0,-1522000,-4234000,0,-5756000,-180000,20543000,-16001000,0,0,0,-1522000,53854000,26139000,0.1015,10799375,265293000,257469000,0.1601,0.2484,0.1501,0.1571,0.4342,0.4451,0.4066,0.3887,0.3355,0.3337,0.089,0.1886,1.5306,0.6533,0.0349,0.0228,5.1735,2.011,1.7359,1.7266,0.9761,9.9067,9.6145,893745500,865342500,14.6032,3.3688,3.4712,1.9665,14.5924,7.4169,14.1391,3.2618,3.3609,1.904,14.1287,7.1812,0.692,0.9158,0.9468,1.106,1.7381,-0.256,0.0,-0.6424,0.0,0.0,0.0,0.0,84.8248,-1.0295,4.5356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.086,0.0,0.0,0,-28403000,26450000,0.0,2018-08-02,33.79,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,2,FY2018.FQ2
2018-09-28,150658000,87474000,63184000,11051000,0,0,0,11051000,52133000,0,-270000,-270000,0,51863000,-8215000,43648000,0,-24976000,0,18672000,0,18672000,0.52,0.52,35821000,36229000,7841000,41981000,0,105941000,85321000,9336000.0,242579000,0,135391000,0,135391000,3999.9999999996,7820000,179878000.0,565672000,44261000,0,17442000,0,7194000,0,0,0,68897000,0,9021000,0,1094000,161797000,240809000,0,0,34759000,-788000,127604000,0,162911000,377000.00000001,324863000,565672000,323093000,171912000,43648000,7841000,-9114000,-7923000,-6222000,3295000,-19964000,7668000,1290000,1162000,41645000,-23592000,0,-23592000,0,0,0,0,0,0,0,533000,-23059000,358547000,0,358547000,0,-1668000,-1573000,-359832000,-4526000,-482000,13578000,-23592000,0,0,0,-1668000,59974000,18053000,0.1583,16973125,324863000,317039000,0.1184,0.1951,0.1229,0.1329,0.3893,0.3968,0.4193,0.398,0.346,0.3442,0.1239,0.1198,1.7412,0.5742,0.0277,0.0159,4.1584,1.6554,1.4389,1.4315,0.4983,8.9669,8.7509,1441127160,1399146160,25.0313,4.4361,4.5455,2.8307,19.9934,9.6342,24.3021,4.3068,4.4131,2.7483,19.411,9.3536,0.5689,0.7972,0.757,0.8579,1.2766,-0.1627,0.0,-0.5162,12.0214,0.513,1.3028,4.8159,2.1821,-3.0211,1.5004,0.0,0.4233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5208,0.0,0.0,11197000,-41981000,37647000,0.0,2018-11-02,38.28,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,3,FY2018.FQ3
2018-12-31,139824000,85447000,54377000,10513000,0,0,0,10513000,43864000,0,-225000,-225000,0,43639000,-4956000,38683000,0,-35407000,0,3276000,0,3276000,0.45,0.44,38770000,39214000,8324000,70841000,0,92269000,99837000,11558000.0,274505000,0,238466000,-96412000,142054000,3999.9999999996,7820000,160361000.0,584744000,42047000,3475000,11065000,0,7353000,1110000,0,9574000,74624000,0,8741000,0,1036000,138015000,222416000,0,0,51683000,-820000,126418000,0,184670000,376999.99999995,362328000,584744000,310239000,147792000,38683000,8324000,13656000,-15361000,-2674000,-2249000,-6628000,3439000,1320000,-308000,44830000,-14333000,0,-14333000,0,0,0,0,0,0,0,586000,-13747000,0,0,0,0,-1818000,0,-264000,-2082000,-141000,28860000,-14333000,0,0,0,-1818000,52188000,30497000,0.1135,5285625,362328000,354504000,0.0661,0.1106,0.0722,0.0809,0.3529,0.3585,0.3888,0.3732,0.3137,0.312,0.0234,0.2181,1.6138,0.6196,0.0241,0.0149,3.5656,1.3308,1.1185,1.1128,0.7777,9.2397,9.0402,1032096140,961255140,27.1354,2.8485,2.9113,1.8967,10.6262,6.0782,25.2729,2.6529,2.7115,1.7665,9.8968,5.661,0.3344,0.5368,0.4897,0.5263,0.8632,-0.8564,0.0,0.8299,8.3531,0.5007,1.1945,11.0043,1.9499,-0.4705,4.5957,0.0,0.0001,0.0,0.0,0.1265,0.0,0.0,0.0,0.0,3.6785,0.0,0.0,7000,-70841000,37654000,0.0,2019-03-15,27.41,0,0.29111200752141,0.17993610696696,0.18895910918885,0.15207205310618,0.054688734002618,0.087262985833342,0.065867711583615,1.6357093994234,0.024241862404478,0.038041535347714,0.082075141259765,4,FY2018.FQ4
