ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
ACM,2004-12-31,Industrials,SP500-20,,,,,0.0,0.3775360280096283,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8242,0.0,1.0,0.0224,0.1019,-0.5946
ACM,2005-03-31,Industrials,SP500-20,,,,,0.0,0.3775360280096283,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0224,0.0,0.0
ACM,2005-06-30,Industrials,SP500-20,,,,,0.0,0.3775360280096283,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0224,0.0,0.0
ACM,2005-09-30,Industrials,SP500-20,,,,,0.0,0.3775360280096283,0.0,-7.1948,-0.1615,0,0.0,0.0,0.0,0.0,0.0675,1.2618,6.6075,-26.034574384944825,-2.8358,0.0224,0.0755,-0.4676
ACM,2005-12-30,Industrials,SP500-20,,,,,0.0,0.3548080461179934,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5462,0.0,1.0,0.0173,0.0748,-0.4633
ACM,2006-03-31,Industrials,SP500-20,,,,,0.0,0.1596449805137541,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0138,0.0,0.0
ACM,2006-06-30,Industrials,SP500-20,,,,,0.0,0.3948085551487792,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0158,0.0,0.0
ACM,2006-09-29,Industrials,SP500-20,,,,,0.0,0.183969524395875,0.0,-3.4912,-0.149,0,0.0,0.0,0.0,0.0,-0.0014,1.2255,-0.9253,-10.8744463096334,-2.6547,0.0158,0.0588,-0.3944
ACM,2006-12-29,Industrials,SP500-20,,,,,0.0,0.3225239131534996,0.4248,-3.879,-0.1631,0,0.0,0.0,0.0,0.0,-0.0093,1.1881,-0.4888,-11.484095954946662,0.0393,0.0271,0.0357,-0.2289
ACM,2007-03-30,Industrials,SP500-20,,,,inf,0.0,0.270778820994305,0.0194,-3.6076,-0.1354,0,0.0,0.0,0.0,0.0,0.0096,1.1874,-0.6485,-12.394628255807657,0.046,0.0195,0.0382,-0.257
ACM,2007-06-29,Industrials,SP500-20,inf,inf,inf,0.3543598118540626,24.81,0.2620467855319056,-0.5181,14.0926,0.5341,2439691350,28.5925,0.6052,-193.5955,1.8809,0.5341,1.6512,0.1307,3.4477754614328573,0.0524,0.0219,0.0378,0.1672
ACM,2007-09-28,Industrials,SP500-20,0.4079000403063281,0.3923347861778327,0.3543598118540626,-0.13085748211945303,34.93,0.2900533088053487,1.0568,12.8039,0.5215,3460235660,34.5002,0.8166,36.7094,2.6728,0.7272,1.6105,0.0728,3.87854071187741,0.0506,0.0263,0.0406,0.0771
ACM,2007-12-31,Industrials,SP500-20,-0.1820784425994846,-0.1438337957035046,-0.13085748211945303,-0.044902925080638825,28.57,0.2857267653482164,-0.4525,13.0472,0.5327,2850086060,27.3339,0.6508,202.7088,2.1202,0.5823,1.6572,0.0748,3.874897251348263,0.0519,0.0273,0.0415,0.0787
ACM,2008-03-31,Industrials,SP500-20,-0.0896044802240111,0.0095946505292099,-0.044902925080638825,0.3566076940282891,26.01,0.3459508573858913,0.2521,13.6339,0.5231,2633252400,22.1467,0.5904,68.1624,1.8669,0.549,1.5143,0.0817,3.1677499012248123,0.0555,0.0307,0.0454,0.0861
ACM,2008-06-30,Industrials,SP500-20,0.2506728181468665,0.2829552349822524,0.3566076940282891,-0.15749904264012138,32.53,0.3674148599408969,0.6198,14.035,0.5033,3334943070,25.0431,0.7126,22.0655,2.2724,0.6882,1.3856,0.0867,2.032793921126816,0.0627,0.0291,0.0473,0.0923
