ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
APA,2003-03-31,Energy,GSPE,,,,-0.010176776712401733,30.87,1.05000046665443,0.5573,17.7475,0.5337,9977276610,12.2784,3.3275,17.7427,1.7489,3.9623,1.3699,0.1095,-12.595848429624724,0.7942,0.3506,0.0799,0.1514
APA,2003-06-30,Energy,GSPE,0.0537738905085843,-0.0951567709253323,-0.010176776712401733,0.06152515503827612,32.53,0.7450003372970851,0.84,18.0948,0.5043,10526545350,11.5592,3.0993,16.4916,1.7838,3.779,1.2821,0.1131,-15.278520990744603,0.7484,0.2317,0.0799,0.1543
APA,2003-09-30,Energy,GSPE,0.0657854288349216,0.0437536477131925,0.06152515503827612,0.023981870868503785,34.67,0.8450000613338894,1.5659,19.0095,0.5144,11228260870,10.7851,2.912,10.7441,1.8113,3.553,1.0482,0.1213,-15.666045000787374,0.7389,0.2507,0.0862,0.1693
APA,2003-12-31,Energy,GSPE,0.1695990770118256,0.0531798307966709,0.023981870868503785,0.018613564454726866,40.55,0.7954302973608347,0.45,19.6704,0.5261,13158353350,11.7287,3.1401,11.844,2.0449,3.6875,1.0959,0.1269,-15.359944776068808,0.7484,0.2456,0.091,0.1748
APA,2004-03-31,Energy,GSPE,0.0646115906288533,0.0517600217862916,0.018613564454726866,-0.06102062606169551,43.17,1.0499998477841943,0.5555,20.6223,0.5375,14040135930,12.4328,3.2101,12.5999,2.0726,3.6973,1.0801,0.126,-15.144470511547247,0.7535,0.3011,0.0896,0.1684
APA,2004-06-30,Energy,GSPE,0.0088024090803797,-0.0041880681754188,-0.06102062606169551,0.0464531464770976,43.55,1.1599990285426318,0.1773,21.7843,0.5489,14197387100,11.1929,3.1134,15.7968,1.9785,3.5727,1.1868,0.1369,-14.778737553757338,0.7732,0.3091,0.0974,0.1793
APA,2004-09-30,Energy,GSPE,0.1506314580941447,0.1736495943379455,0.0464531464770976,-0.03299384482400253,50.11,1.3000012119669615,1.2046,22.9462,0.5246,16359461810,11.505,3.3644,20.8213,2.1601,3.9052,1.3864,0.1431,-16.429967745986627,0.7761,0.3059,0.102,0.1902
APA,2004-12-31,Energy,GSPE,0.0091798044302534,-0.0781536231644636,-0.03299384482400253,0.0400592997230417,50.57,1.5160226413063305,0.4082,24.2381,0.5292,16559500490,9.9232,3.1053,21.3662,2.0428,3.5699,1.0513,0.1574,-18.16811672983017,0.7833,0.3312,0.1107,0.2102
APA,2005-03-31,Energy,GSPE,0.210796915167095,0.2366485200493835,0.0400592997230417,0.03976803095135959,61.23,1.6700013143430674,0.1368,25.467,0.5304,20095012470,10.6723,3.438,31.4794,2.357,3.8504,1.0111,0.1715,-18.416558751207383,0.7716,0.3371,0.1185,0.2237
APA,2005-06-30,Energy,GSPE,0.0550383798791441,0.0459412415455039,0.03976803095135959,-0.013089309453999248,64.6,1.7600007200698469,0.068,27.2973,0.5448,21243516200,10.1769,3.3303,35.2519,2.3349,3.6615,0.8703,0.1828,-18.551718580373244,0.7632,0.3313,0.1259,0.2342
APA,2005-09-30,Energy,GSPE,0.1643962848297214,0.132935561166577,-0.013089309453999248,-0.01176246740129551,75.22,2.049998953433784,1.0625,28.749,0.544,24769494680,10.5674,3.522,44.2028,2.5762,3.8199,0.8335,0.1988,-19.29473661834106,0.7554,0.3333,0.1349,0.2479
APA,2005-12-30,Energy,GSPE,-0.0890720553044403,-0.1049247742275283,-0.01176246740129551,-0.12991592033703564,68.52,2.3482561228205268,0.5747,31.1672,0.5469,22619890920,8.6212,2.9764,36.6959,2.166,3.2347,0.9888,0.2129,-19.897261913056123,0.7675,0.375,0.1413,0.259
APA,2006-03-31,Energy,GSPE,-0.0439287799182719,-0.0812437905304452,-0.12991592033703564,0.003360318062472785,65.51,1.9700004779372229,0.6283,33.3304,0.5628,21640507890,7.9438,2.7436,27.7103,1.9394,2.9572,1.1037,0.2068,-19.32963713034186,0.7386,0.3388,0.1387,0.2499
APA,2006-06-30,Energy,GSPE,0.0418256754693939,0.0608778150960286,0.003360318062472785,-0.05265331134141193,68.25,2.170002373705354,1.6552,35.2495,0.5398,22470630000,7.8575,2.7409,17.1637,1.9154,3.0028,0.6355,0.1978,-24.23254464828089,0.732,0.347,0.1364,0.2477
APA,2006-09-29,Energy,GSPE,-0.0739926739926739,-0.125677469251479,-0.05265331134141193,-0.054948263868380164,63.2,1.9400010817112672,0.4408,37.6695,0.5393,20818901600,7.383,2.5358,18.9164,1.6606,2.7829,0.682,0.1785,-25.532234611263064,0.7307,0.3121,0.1243,0.2305
APA,2006-12-29,Energy,GSPE,0.052373417721519,-0.0093476398441127,-0.054948263868380164,0.04578733182274901,66.51,1.5595839676205747,-0.9791,39.3112,0.5426,21997317870,8.6181,2.7243,37.8041,1.6801,2.9571,0.6533,0.1533,-26.083719087976245,0.6817,0.2649,0.1069,0.1976
APA,2007-03-30,Energy,GSPE,0.0629980454067057,0.0611931124339171,0.04578733182274901,0.010862531700205375,70.7,1.4700020635637447,-0.4245,39.9238,0.5161,23413012000,9.8189,2.8738,101.9952,1.7538,3.2906,0.6602,0.1344,-30.90403732334823,0.7105,0.2436,0.0946,0.179
APA,2007-06-29,Energy,GSPE,0.154031117397454,0.095974735287457,0.010862531700205375,0.009873649723582276,81.59,1.8899998206031323,0.5485,41.8796,0.5237,27088451130,11.8063,3.1846,-196.4611,1.9339,3.634,0.81,0.1221,-30.9815274979142,0.7337,0.2592,0.0866,0.1665
APA,2007-09-28,Energy,GSPE,0.1038117416350042,0.0882464875065088,0.009873649723582276,0.15341771264821744,90.06,1.8299993719851548,0.3859,43.5854,0.5306,29958188820,13.2518,3.3541,-192.5989,2.0555,3.7907,0.8726,0.117,-31.33691871563549,0.744,0.2454,0.0828,0.1571
APA,2007-12-31,Energy,GSPE,0.1940928270042194,0.2323374739001995,0.15341771264821744,0.19875749906732734,107.54,3.198429904086191,2.1037,45.6265,0.537,35802969580,12.7305,3.5939,40.9134,2.3431,3.984,1.0327,0.1437,-31.551724552229167,0.7373,0.3579,0.0999,0.1871
APA,2008-03-31,Energy,GSPE,0.1234889343500091,0.2226880651032303,0.19875749906732734,-0.018720318227517296,120.82,3.0310385709064653,2.243,47.4867,0.5393,40304222980,12.0638,3.6223,22.7456,2.5219,3.9394,1.0175,0.1677,-32.02433233709745,0.8768,0.3204,0.1143,0.2124
APA,2008-06-30,Energy,GSPE,0.1504717761959941,0.1827541930313799,-0.018720318227517296,-0.0003209918390417177,139.0,4.275722882289532,1.4636,48.6148,0.518,46488689000,11.195,3.6946,22.321,2.8318,3.9253,1.0077,0.2036,-33.50668408825209,0.7782,0.3705,0.1346,0.2548
APA,2008-09-30,Energy,GSPE,-0.2497841726618705,-0.1610029112177787,-0.0003209918390417177,-0.0748063133694229,104.28,3.5200536262851663,1.7825,55.2383,0.5687,34899387600,7.3781,2.5949,13.654,1.8698,2.7639,1.4306,0.218,-30.050599097618548,0.7347,0.3538,0.1458,0.2681
APA,2008-12-31,Energy,GSPE,-0.285289604909858,-0.0597074616127727,-0.0748063133694229,-0.01928058355743073,74.53,-8.736842261295955,-0.8927,48.6504,0.5656,24949215620,35.0432,2.0136,16.093,1.5203,2.2425,1.7659,0.0321,-24.57562867060588,0.6005,-1.5207,0.0229,0.0403
APA,2009-03-31,Energy,GSPE,-0.1400778210116731,-0.023410226344845,-0.01928058355743073,0.025195398266827596,64.09,-5.247206837280367,-1.5397,43.6961,0.5606,21482070740,-10.3953,1.9825,76.8776,1.467,2.3069,1.8673,-0.1005,-23.118680374478647,0.6307,-1.0753,-0.0744,-0.1322
APA,2009-06-30,Energy,GSPE,0.1257606490872211,-0.0264571469826677,0.025195398266827596,0.17788490593390238,72.15,1.3154302670623146,-1.7227,44.3878,0.5665,24224146050,-7.8982,2.6829,-30.4561,1.6194,3.1462,1.9272,-0.1549,-23.702808960318336,0.6789,0.2124,-0.1164,-0.2065
APA,2009-09-30,Energy,GSPE,0.2727650727650726,0.1229152406794704,0.17788490593390238,0.07306269254155687,91.83,1.3040322962542028,2.1715,45.4471,0.564,30870858420,-8.0902,3.8605,-46.4934,2.0104,4.3172,2.023,-0.1892,-23.352406789341234,0.668,0.1895,-0.1423,-0.2517
APA,2009-12-31,Energy,GSPE,0.1234890558640967,0.0686019877677564,0.07306269254155687,-0.017024148599552067,103.17,1.7279234860823105,2.2956,46.8095,0.5598,34710205290,-121.7901,4.029,84.453,2.1997,4.3658,1.9164,-0.0138,-23.246551360284396,0.7034,0.229,-0.0102,-0.0183
APA,2010-03-31,Energy,GSPE,-0.0161868760298536,-0.064909034862699,-0.017024148599552067,-0.03819539489266152,101.5,2.079646017699115,0.2359,49.4352,0.5733,34218390500,15.7185,3.5444,33.9813,2.0418,3.837,2.2484,0.102,-22.043235931859503,0.7123,0.2637,0.0758,0.1338
APA,2010-06-30,Energy,GSPE,-0.1705418719211822,-0.0519199053202395,-0.03819539489266152,0.038218592620619996,84.19,2.5368731563421827,2.4395,52.1408,0.5808,28439297810,10.971,2.7,11.7783,1.6089,2.9935,2.0459,0.1164,-24.42194026625301,0.7358,0.2893,0.0868,0.1505
APA,2010-09-30,Energy,GSPE,0.1611830383656017,0.0539850928505734,0.038218592620619996,0.01097107958224866,97.76,2.084468664850136,1.4277,56.4532,0.5942,35626188000,12.1665,3.1771,16.1581,1.7195,3.638,1.6821,0.1144,-29.450523427317005,0.7271,0.2582,0.0869,0.1478
APA,2010-12-31,Energy,GSPE,0.2196194762684124,0.1175864685058441,0.01097107958224866,-0.06487477361269331,119.23,1.7223650385604112,-18.185,59.5115,0.5613,45592598160,15.0371,3.7423,-8.0794,1.9694,4.3957,0.9875,0.0994,-40.71214878972364,0.6859,0.1954,0.0754,0.1309
APA,2011-03-31,Energy,GSPE,0.0980457938438311,0.043825237395242,-0.06487477361269331,-0.006863623589037034,130.92,2.808564231738035,0.7128,60.3803,0.5616,50191847760,14.5021,3.7359,-9.2264,2.0938,4.3145,1.0111,0.105,-40.86567304331496,0.7421,0.2889,0.0783,0.1396
APA,2011-06-30,Energy,GSPE,-0.0575160403299724,-0.053601555382224,-0.006863623589037034,-0.14116379593404768,123.39,3.123425692695214,2.5239,64.0806,0.5731,47361400650,12.2697,3.1998,-8.9955,1.8616,3.6253,1.0927,0.1137,-38.98029101046022,0.7392,0.2902,0.0844,0.1488
APA,2011-09-30,Energy,GSPE,-0.349704189966772,-0.2064251975053051,-0.14116379593404768,-0.04733746989698545,80.24,2.4575,1.64,66.69,0.5876,30814326480,7.5451,1.9175,-6.0031,1.1551,2.3032,1.1371,0.1173,-39.06756556179644,0.7473,0.234,0.0868,0.1496
APA,2011-12-30,Energy,GSPE,0.128863409770688,0.017339902373179,-0.04733746989698545,0.07475330504373869,90.58,2.925,2.335,69.415,0.557,34793408440,7.5901,2.0661,12.102,1.253,2.4515,0.9677,0.1285,-47.52445862990019,0.7345,0.2768,0.0921,0.1611
APA,2012-03-30,Energy,GSPE,0.1088540516670346,-0.0111125498326946,0.07475330504373869,-0.0542816020672275,100.44,1.949874686716792,0.1002,71.3984,0.5581,38617673400,9.0929,2.2229,14.6723,1.3555,2.6373,1.0544,0.115,-48.29317138509955,0.7507,0.1788,0.0806,0.1446
APA,2012-06-29,Energy,GSPE,-0.1249502190362405,-0.0920706138712691,-0.0542816020672275,-0.11717351518476694,87.89,0.8641025641025641,1.4384,75.5025,0.536,34382392220,10.2818,2.0236,15.6925,1.1676,2.5715,0.9058,0.0851,-55.994662549399536,0.7087,0.0899,0.0605,0.1107
APA,2012-09-28,Energy,GSPE,-0.016156559335533,-0.0737929660686853,-0.11717351518476694,-0.04985300941935625,86.47,0.4096692111959287,-2.9312,75.0305,0.5222,33833376310,13.4152,2.008,88.3377,1.1473,2.6224,0.9358,0.0605,-58.91538644373622,0.7102,0.0434,0.0434,0.0821
APA,2012-12-31,Energy,GSPE,-0.0921706950387417,-0.0821197450659024,-0.04985300941935625,-0.13051391990873937,78.5,1.6472081218274113,-1.038,76.406,0.5158,30743818500,15.3642,1.8714,-32.0248,1.0212,2.5528,0.8963,0.0465,-62.41430289474289,0.7516,0.1724,0.0334,0.0645
APA,2013-03-29,Energy,GSPE,-0.0170700636942675,-0.1173372131449216,-0.13051391990873937,0.09828817996220579,77.16,1.71078431372549,-0.3529,75.3921,0.5176,30234683040,15.739,1.8906,-26.4289,0.9829,2.5932,0.8716,0.0435,-63.69116280968957,0.708,0.1783,0.0313,0.0606
APA,2013-06-28,Energy,GSPE,0.0864437532400207,0.0628072979506207,0.09828817996220579,-0.026049871765250643,83.83,2.4901960784313726,-0.0416,77.1911,0.5165,32641809230,12.5545,2.0354,-18.9557,1.0364,2.7907,0.9224,0.0578,-66.44135178655353,0.7005,0.2586,0.0415,0.0803
APA,2013-09-30,Energy,GSPE,0.0156268638912084,-0.0312329725995672,-0.026049871765250643,-0.06799351858389535,85.14,0.7481296758104738,-1.2942,82.2468,0.5475,34389748800,12.6154,2.1249,-31.5792,1.0427,2.7191,1.33,0.0609,-52.58962170726877,0.7248,0.0713,0.0441,0.0829
APA,2013-12-31,Energy,GSPE,0.0093962884660558,-0.0898038136300355,-0.06799351858389535,-0.03667923726430926,85.94,0.4317617866004963,2.3796,87.8238,0.5742,34012731620,15.2386,2.3028,121.9094,0.961,2.8286,1.3544,0.049,-50.22576072647705,0.5195,0.0707,0.0366,0.0652
APA,2014-03-31,Energy,GSPE,-0.0347917151501046,-0.0477653678253377,-0.03667923726430926,0.09856135623615893,82.95,0.5959595959595959,-1.0429,88.8308,0.5755,32356057650,18.4786,2.2475,3235.6057,0.9198,2.8053,1.2541,0.0372,-52.506364291262784,0.7348,0.0647,0.0285,0.0496
APA,2014-06-30,Energy,GSPE,0.2130198915009041,0.1660786221519208,0.09856135623615893,0.024418493533597707,100.62,1.3049095607235142,0.5658,90.1602,0.5704,38470145220,31.507,2.7744,156.3827,1.1025,3.4343,1.1216,0.026,-55.32640565373982,0.6923,0.1454,0.0199,0.0348
