ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
AUY,2002-05-31,Materials,SP500-15,,,,-0.277463024239451,3.34,-0.2790368271954674,-0.2993,1.9716,0.608,7074120,-0.6581,1.4637,18.3267,1.6939,1.4523,0.4049,-1.8291,-1.0859301227573182,0.0,0.0,-1.2638,-2.5411
AUY,2002-08-30,Materials,SP500-15,-0.4161676646706587,-0.27460235435476,-0.277463024239451,-0.3067141419758912,1.95,-0.2789948453608247,-0.0251,0.0,0.0,5676450,-0.5118,3.0339,-630.7166,0.0,3.0339,0.0,-5.3117,0.0,0.0,0.0,-3.2297,-5.3117
AUY,2002-11-29,Materials,SP500-15,-0.2871794871794872,-0.3092738577762222,-0.3067141419758912,1.0255650996688812,1.39,-0.1749318801089918,-0.0414,2.1455,0.5906,4046290,-0.373,17.9039,-15.6227,1.0277,17.7136,0.1874,-5.5097,-0.8807969769838544,-3.7857,-4.5857,-3.2546,-5.5097
AUY,2003-02-28,Materials,SP500-15,0.9064748201438848,1.0081077978891388,1.0255650996688812,-0.3863436921254534,2.65,-0.7193404328409482,-0.0336,1.295,0.5694,7714150,-2.2431,110.2021,-9.1076,2.0461,99.8878,0.7251,-0.8881,-0.6430779800755754,0.0,0.0,-0.5176,-0.8924
AUY,2003-05-30,Materials,SP500-15,-0.2641509433962264,-0.4097135646738004,-0.3863436921254534,-0.3013030443400554,1.95,-0.1255163647918652,-0.1163,1.0724,0.5525,6472050,-1.9956,92.4578,-11.1779,1.9176,88.6864,0.3,-0.8979,-0.7119614341669177,0.0,0.0,-0.5095,-0.9077
AUY,2003-08-29,Materials,SP500-15,-0.1846153846153845,-0.2307138099541296,-0.3013030443400554,0.7630794272617498,1.59,0.0802032520325203,-0.2878,2.355,0.85,63805110,-76.2307,4.7729,-8.3722,1.1013,3.6701,7.1446,-0.0272,0.1945226644072865,0.3621,0.1483,-0.0225,-0.0273
AUY,2003-11-28,Materials,SP500-15,0.8238993710691822,0.7741082569730833,0.7630794272617498,-0.25970775553946523,2.9,0.031269423150916,0.118,0.8947,0.8303,250499100,156.856,11.0561,575.86,4.1432,10.3384,4.4817,0.0269,0.1195197906898667,0.0394,0.2257,0.0226,0.0269
AUY,2004-02-27,Materials,SP500-15,-0.1620689655172413,-0.2440383420403805,-0.25970775553946523,-0.12587536263209856,2.43,0.0067219995581784,-0.0094,0.8548,0.8649,230998230,53.3483,6.9766,-624.3195,2.8426,5.9315,8.1178,0.061,0.2960835673935683,0.2097,0.0611,0.0519,0.0611
AUY,2004-06-30,Materials,SP500-15,-0.1275720164609053,-0.1239910639256118,-0.12587536263209856,0.22019724636048926,2.12,0.0207550940974742,-0.0688,0.8847,0.8728,201531440,30.0883,4.3426,-30.7728,2.396,3.7466,6.9515,0.081,0.2377500999347794,0.2643,0.1483,0.0703,0.081
AUY,2004-09-30,Materials,SP500-15,0.2499999999999999,0.2730181362438006,0.22019724636048926,0.15551661335372274,2.65,6.261936817057515e-05,0.0,0.8916,0.8442,254055500,53.7001,6.058,477.5479,2.9738,5.4865,4.554,0.0558,0.1975279023677897,0.146,0.0006,0.0478,0.0558
AUY,2005-03-31,Materials,SP500-15,0.2490566037735849,0.189832490324351,0.15551661335372274,0.21419457327142394,3.31,0.0023865178089804,-0.1664,1.3136,0.9034,405140690,139.2236,10.0212,-14.5671,2.5207,8.3834,9.5743,0.0236,0.5052328858895906,0.1464,0.0371,0.0208,0.0236
