ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
AXTA,2012-12-31,Materials,SP500-15,,,,,0.0,0.0,0.0,7.4082,0.5895,0,0.0,0.0,0.0,0.0,0.0,1.8076,0.0,0.7547944069254242,0.0,0.0,0.0,0.0
AXTA,2013-06-28,Materials,SP500-15,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXTA,2013-12-31,Materials,SP500-15,,,,,0.0,0.0,0.0,5.2901,0.1798,0,0.0,0.0,0.0,0.0,0.0,1.9489,0.0,-15.583514137661576,0.0,0.0,0.0,0.0
AXTA,2014-03-31,Materials,SP500-15,,,,,0.0,-0.0187716364938075,-0.5125,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.0,0.145,-0.004,-0.0012,-0.007
AXTA,2014-06-30,Materials,SP500-15,,,,,0.0,0.2348637310155455,0.1322,5.4241,0.1857,0,0.0,0.0,0.0,0.0,1.6101,1.9616,0.0189,-15.284477602818365,0.1583,0.0474,0.0147,0.0796
AXTA,2014-09-30,Materials,SP500-15,,,,inf,0.0,-0.0868733874945976,-0.0397,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.0,0.1614,-0.0178,0.0088,0.0476
AXTA,2014-12-31,Materials,SP500-15,inf,inf,inf,0.05746203659152173,26.02,-0.0095735422106179,0.6927,4.8389,0.1802,5979396000,218.2261,1.3615,94.911,5.3771,2.0884,1.9783,0.0114,-13.863359442993907,0.1522,-0.002,0.0088,0.0492
AXTA,2015-03-31,Materials,SP500-15,0.0614911606456572,0.0571247559340239,0.05746203659152173,0.20743788944019864,27.62,0.190295358649789,-0.5493,4.4227,0.1777,6347076000,82.6442,1.4642,126.4357,6.0552,2.2357,2.1939,0.0161,-13.487380330722369,0.1748,0.0452,0.0127,0.0711
AXTA,2015-06-30,Materials,SP500-15,0.1976828385228094,0.1999942696939782,0.20743788944019864,-0.06061240359363146,33.08,-0.1080499354283254,0.3383,4.7877,0.1875,7793648000,-3711.2609,1.8118,79.1233,7.0074,2.556,2.2264,-0.0004,-12.541595925297116,0.2002,-0.0227,-0.0003,-0.0019
AXTA,2015-09-30,Materials,SP500-15,-0.2339782345828294,-0.1646265903781499,-0.06061240359363146,-0.03893688166518379,25.34,0.1457036114570361,0.5047,4.584,0.1872,6020784000,113.8144,1.4367,26.2686,5.4521,2.1747,2.3077,0.0111,-12.118686868686869,0.1982,0.0349,0.0089,0.0477
AXTA,2015-12-31,Materials,SP500-15,0.0516969218626676,-0.0128384813438912,-0.03893688166518379,0.06582812096415346,26.65,0.1511387163561076,0.8351,4.7254,0.1957,6340035000,69.2143,1.5425,23.3346,5.5555,2.2497,2.1117,0.0195,-11.942412778478351,0.1779,0.0362,0.0156,0.0815
AXTA,2016-03-31,Materials,SP500-15,0.0956848030018762,0.0879546106865117,0.06582812096415346,-0.12270054570669042,29.2,0.1269515201314708,-0.2202,4.9342,0.2058,6964200000,89.9767,1.7093,19.9948,5.7986,2.4422,2.4039,0.0165,-11.547589098532494,0.1864,0.0321,0.0132,0.066
AXTA,2016-06-30,Materials,SP500-15,-0.0914383561643835,-0.1104311015463132,-0.12270054570669042,0.033757623799481974,26.53,0.2075317232910356,0.7155,5.1363,0.215,6343323000,41.4055,1.5687,14.2706,5.0552,2.2656,2.3077,0.0325,-10.954412379757423,0.213,0.0473,0.0262,0.1247
AXTA,2016-09-30,Materials,SP500-15,0.0655861289106671,0.0325158390595562,0.033757623799481974,-0.07883376597047936,28.27,-0.0276729559748427,0.4813,5.5798,0.2166,6787627000,60.8755,1.6698,15.5074,5.1004,2.3832,2.2624,0.0232,-11.408163265306122,0.1935,-0.0064,0.0186,0.0862
AXTA,2016-12-30,Materials,SP500-15,-0.037849310222851,-0.0703914096653384,-0.07883376597047936,0.13074175362426008,27.2,-0.1518367346938775,0.7636,5.0881,0.2125,6541600000,173.0582,1.5989,15.4611,5.2475,2.259,2.038,0.0079,-11.224948024948024,0.1718,-0.036,0.0062,0.0293
AXTA,2017-03-31,Materials,SP500-15,0.1838235294117648,0.1284866399405095,0.13074175362426008,-0.031404018935815715,32.2,0.2604632263307598,-0.1503,5.6229,0.2321,7789180000,109.7067,1.8799,17.7147,5.6288,2.5652,2.2729,0.015,-10.91856138900372,0.1901,0.0632,0.012,0.0539
AXTA,2017-06-30,Materials,SP500-15,-0.0049689440993789,-0.0306554165374094,-0.031404018935815715,-0.15257556129060365,32.04,-0.0863428808634288,0.3059,5.7762,0.209,7785720000,-15571.44,1.8683,22.9938,5.5951,2.6701,2.1342,-0.0001,-13.047736625514403,0.1857,-0.019,-0.0001,-0.0003
AXTA,2017-09-29,Materials,SP500-15,-0.0970661672908863,-0.136659219557056,-0.15257556129060365,0.05457212933011295,28.93,0.2233523189585028,0.7424,5.8352,0.2105,7047348000,115.5302,1.6632,17.3451,4.9134,2.4364,2.1099,0.0112,-13.153530377668307,0.1755,0.05,0.009,0.0431
AXTA,2017-12-29,Materials,SP500-15,0.1185620463187003,0.0573361820424544,0.05457212933011295,-0.007418032136259439,32.36,-0.2502034174125305,0.7965,5.7274,0.206,7827884000,213.2938,1.7884,18.8623,5.5603,2.4985,2.1397,0.0067,-12.851591566763124,0.1045,-0.0524,0.0053,0.0258
AXTA,2018-03-30,Materials,SP500-15,-0.0670580964153275,-0.0548124850812404,-0.007418032136259439,-0.0165392829902923,30.19,0.2843775427176566,-0.2461,6.2017,0.2194,7405607000,174.2495,1.6328,18.9159,4.858,2.3647,2.2588,0.0076,-12.71952710966164,0.1808,0.0596,0.0061,0.0289
AXTA,2018-06-29,Materials,SP500-15,0.0039748261013579,-0.0253715622331568,-0.0165392829902923,-0.03648383149363974,30.31,0.3062142273098937,0.437,5.7477,0.2099,7292586000,52.7683,1.5673,17.1711,5.1871,2.2746,2.2715,0.0251,-12.604322527015794,0.1952,0.0617,0.0202,0.0943
AXTA,2018-09-28,Materials,SP500-15,-0.0379412735070933,-0.1098997835144183,-0.03648383149363974,-0.06878815070551733,29.16,-0.0548806032677,0.3753,5.6392,0.1991,6986736000,99.5261,1.4857,21.057,5.1903,2.1797,2.2265,0.013,-13.015442404006675,0.1226,-0.0114,0.0104,0.051
AXTA,2018-12-31,Materials,SP500-15,-0.1968449931412894,-0.0571289053365241,-0.06878815070551733,-0.02037332034787427,23.42,0.3154811715481171,0.9066,5.4832,0.1963,5517752000,26.6429,1.1749,15.6443,4.2104,1.8411,2.2194,0.0389,-12.96943972835314,0.1904,0.0646,0.0308,0.1559
AXTA,2019-03-29,Materials,SP500-15,0.0764304013663535,-0.0542315017900174,-0.02037332034787427,0.12366280046643074,25.21,0.1834319526627219,-0.3313,5.4082,0.1917,5904182000,32.692,1.2715,17.6349,4.614,1.9839,2.2139,0.0344,-13.37403928266439,0.1699,0.0387,0.027,0.1394
AXTA,2019-06-28,Materials,SP500-15,0.180880602935343,0.1430030587916604,0.12366280046643074,0.019519474083612733,29.77,0.4180118946474087,0.4248,5.5526,0.1952,6945341000,34.0291,1.5136,21.1812,5.3135,2.2186,2.3195,0.0391,-13.174882126018003,0.213,0.085,0.0305,0.1578
AXTA,2019-09-30,Materials,SP500-15,0.0127645280483708,0.000873693869978,0.019519474083612733,-0.0498170555286276,30.15,0.2781316348195329,0.825,5.6887,0.2002,7073190000,25.0201,1.5546,16.3504,5.2796,2.2152,2.351,0.0542,-12.434782608695652,0.1897,0.0591,0.0422,0.2136
AXTA,2019-12-31,Materials,SP500-15,0.0082918739635157,-0.077049821950778,-0.0498170555286276,-0.165949637657907,30.4,0.1768447837150127,1.0377,5.9779,0.2067,7140960000,28.6785,1.5931,15.5036,5.0659,2.2117,2.3985,0.0473,-12.06896551724138,0.1769,0.0379,0.0368,0.1811
AXTA,2020-03-31,Materials,SP500-15,-0.4319078947368421,-0.231897390912203,-0.165949637657907,0.05293450078152834,17.27,0.2212802034760491,-0.0996,5.6837,0.2098,4063631000,15.7627,0.9349,7.8828,3.0307,1.5842,2.1736,0.0505,-12.15724606884828,0.1542,0.053,0.039,0.1874
AXTA,2020-06-30,Materials,SP500-15,0.3057324840764332,0.1062037643819474,0.05293450078152834,-0.1441800913081808,22.55,-0.3520408163265306,-0.0909,5.3511,0.1887,5308270000,69.2985,1.3817,13.4693,4.2175,2.1253,2.8809,0.0149,-12.44604927782498,0.0185,-0.1268,0.0117,0.0589
AXTA,2020-09-30,Materials,SP500-15,-0.0168514412416851,-0.1015886618331305,-0.1441800913081808,0.1485298045821552,22.17,0.3495762711864407,0.9305,5.8673,0.1967,5221035000,55.7802,1.388,12.4488,3.7705,2.0977,2.6758,0.0173,-11.895966029723992,0.2162,0.0803,0.0136,0.0708
AXTA,2020-12-31,Materials,SP500-15,0.2877762742444744,0.1708954926924747,0.1485298045821552,-0.04950368595000231,28.55,0.2949640287769784,1.0685,6.2623,0.2067,6703540000,55.1277,1.7935,15.6918,4.53,2.4564,2.4776,0.0222,-11.718483816013627,0.2232,0.0648,0.0171,0.0849
AXTA,2021-03-31,Materials,SP500-15,0.0360770577933449,-0.0216481231198682,-0.04950368595000231,-0.014333155392017377,29.58,0.0647635279079676,0.0332,5.9897,0.2002,6886224000,81.3974,1.8037,15.019,4.8984,2.4699,2.429,0.0157,-11.70189003436426,0.1212,0.0142,0.0119,0.0586
AXTA,2021-06-30,Materials,SP500-15,0.0307640297498309,-0.0509422637037804,-0.014333155392017377,-0.0032187178611845987,30.49,0.5413276231263383,0.3383,6.5751,0.2129,7055386000,24.0142,1.6439,12.6237,4.5954,2.2456,2.5063,0.0546,-11.347882454624028,0.239,0.1121,0.0412,0.1997
AXTA,2021-09-30,Materials,SP500-15,-0.0426369301410297,-0.0449731812317801,-0.0032187178611845987,-0.012332449400832973,29.19,0.2995231902904204,0.4529,6.446,0.2055,6664077000,23.7663,1.5307,15.0159,4.4812,2.2592,1.9691,0.0518,-14.15724923346474,0.1873,0.0634,0.0388,0.1855
AXTA,2021-12-31,Materials,SP500-15,0.1346351490236381,0.0281613536416759,-0.012332449400832973,-0.22944585178923071,33.12,0.2327209098862642,1.0748,6.7309,0.2131,7531488000,28.5391,1.7054,17.2345,4.8947,2.3642,1.9294,0.0489,-13.645118733509236,0.1552,0.0467,0.0365,0.1744
AXTA,2022-03-31,Materials,SP500-15,-0.2578502415458937,-0.2083829510038185,-0.22944585178923071,0.06265211179464623,24.58,0.1842806394316163,-0.3836,6.3108,0.2006,5442012000,18.7526,1.2022,15.8751,3.8291,1.9009,1.8708,0.0542,-14.200542005420054,0.1396,0.0353,0.0405,0.196
AXTA,2022-06-30,Materials,SP500-15,-0.1004882017900731,0.0639627524816237,0.06265211179464623,0.028920087368871764,22.11,0.1991869918699187,-0.0781,6.2005,0.1977,5038869000,24.2369,1.0871,20.4416,3.6705,1.779,1.9334,0.0397,-13.127687582272928,0.1464,0.0357,0.0296,0.1488
AXTA,2022-09-30,Materials,SP500-15,-0.0474898236092266,0.0052815683802559,0.028920087368871764,,21.06,0.2820976491862568,0.2007,5.9647,0.1934,4658472000,23.1534,0.9735,24.9918,3.5307,1.631,1.977,0.0391,-12.799276672694392,0.1598,0.0503,0.0292,0.1494
