ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
BCPC,2003-03-31,Materials,SP500-15,,,,0.24980245646628574,3.37,0.067161498862684,0.0314,1.404,0.6752,83653510,10.9193,1.3798,-91.0266,2.3776,1.5008,3.3867,0.1689,0.0265479595536397,0.2421,0.1135,0.1453,0.2238
BCPC,2003-06-30,Materials,SP500-15,0.3798219584569733,0.2308912970230566,0.24980245646628574,-0.19223083597541943,4.65,0.0671618079275558,0.0365,1.4755,0.7056,113218200,15.8413,1.8928,84.4281,3.0474,1.9971,4.4608,0.1525,0.124075899457861,0.2447,0.1137,0.1364,0.1976
BCPC,2003-09-30,Materials,SP500-15,-0.1354838709677421,-0.1575156520894712,-0.19223083597541943,-0.1052470635520989,4.02,0.0335799217630427,0.0945,1.4784,0.6996,98116140,16.7433,1.6401,33.2822,2.5704,1.7011,4.101,0.1223,0.1787601917482689,0.1462,0.0549,0.1093,0.1555
BCPC,2003-12-31,Materials,SP500-15,0.1194029850746269,0.0029837388594723,-0.1052470635520989,0.17835698955321627,4.5,0.0543431750106974,0.1856,1.5474,0.699,110718000,19.6378,1.7893,12.4067,2.7831,1.7667,3.8897,0.1155,0.2643879044057877,0.1832,0.0851,0.1011,0.1446
BCPC,2004-03-31,Materials,SP500-15,0.1555555555555555,0.1427039867129938,0.17835698955321627,0.024548943819942534,5.2,0.0711097188503406,0.1147,1.6842,0.7222,130904800,22.6832,2.0876,11.8283,3.0433,2.0038,4.5551,0.1136,0.4137205052832287,0.2455,0.116,0.0991,0.1394
BCPC,2004-06-30,Materials,SP500-15,0.0442307692307691,0.0312402919749704,0.024548943819942534,0.05491179516343596,5.43,0.0770356111645813,0.0414,1.7467,0.7375,134788890,22.1655,2.0965,12.0111,2.9708,1.9939,4.961,0.1144,0.5397010836724006,0.2487,0.1216,0.1004,0.1376
BCPC,2004-09-30,Materials,SP500-15,0.0847145488029465,0.1077326850467473,0.05491179516343596,0.08347620961946757,5.89,0.0829620525426332,0.1556,1.8351,0.7392,149823930,20.3178,2.2749,11.6758,3.1357,2.111,4.7563,0.1339,0.6405236466564453,0.2431,0.1244,0.1169,0.1583
BCPC,2004-12-31,Materials,SP500-15,0.1629881154499151,0.075654687855198,0.08347620961946757,-0.007155424029657598,6.85,0.0756060661968193,0.1092,1.8535,0.8316,176277900,21.9633,2.6151,15.9947,3.5091,2.4262,5.1186,0.151,0.7399160643506645,0.2179,0.1141,0.1283,0.1637
BCPC,2005-03-31,Materials,SP500-15,0.0058394160583941,0.0316910209406827,-0.007155424029657598,0.3911180886775252,6.89,0.0948161276030128,0.117,1.9851,0.8414,178988420,20.3905,2.5173,15.8945,3.3289,2.2915,5.98,0.1688,0.8795519285549311,0.243,0.1327,0.1412,0.1688
BCPC,2005-06-30,Materials,SP500-15,0.2917271407837447,0.2826300024501044,0.3911180886775252,-0.09565427487097633,8.9,0.1022203916576178,0.0882,2.132,0.7387,232058600,24.4092,3.1301,18.5039,4.0754,2.8905,2.3488,0.1717,0.6272532024238705,0.254,0.1401,0.1348,0.1717
