ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
BSM,2014-03-31,Energy,GSPE,,,,,0.0,0.3469072408772934,0.1899,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4194,0.0,0.7562,0.5485,0.387,0.6369
BSM,2014-06-30,Energy,GSPE,,,,,0.0,0.0,0.3671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453,0.0,0.0,0.0
BSM,2014-09-30,Energy,GSPE,,,,,0.0,0.0,0.4196,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7405,0.0,0.0,0.0
BSM,2014-12-31,Energy,GSPE,,,,,0.0,0.0,0.5737,4.2802,0.6138,0,0.0,0.0,0.0,0.0,0.6915,1.3685,0.1156,-1.984032964202936,0.7582,0.0,0.1053,0.1716
BSM,2015-03-31,Energy,GSPE,,,,inf,0.0,0.0,0.3214,4.0581,0.6059,0,0.0,0.0,0.0,0.0,0.7434,1.1315,0.0,-2.0684406649602924,0.6758,0.0,0.0,0.0
BSM,2015-06-30,Energy,GSPE,inf,inf,inf,-0.017553484799018387,17.22,-0.5625905299762073,0.2139,5.358,0.916,3293204460,-31.1334,7.1929,11.3137,3.214,7.1928,1.0751,-0.0963,-0.1229273751196122,0.453,-1.6322,-0.0884,-0.1177
BSM,2015-09-30,Energy,GSPE,-0.1986062717770033,-0.1292546275723238,-0.017553484799018387,0.05205543586514191,13.8,0.2662371956097739,0.0568,5.4914,0.9042,2639153400,-50.8625,5.7116,11.8824,2.513,5.7927,2.0213,-0.0487,-0.0919929095444016,0.7505,0.3932,-0.0455,-0.05
BSM,2015-12-31,Energy,GSPE,0.0456521739130434,-0.0188832292935155,0.05205543586514191,-0.06025847122681961,14.43,-0.2684954715639315,0.4224,4.7619,0.8579,2759290170,-27.4569,7.0224,14.2424,3.03,7.1567,1.6433,-0.0969,-0.2467746405953383,0.5937,-0.4858,-0.0904,-0.1025
BSM,2016-03-31,Energy,GSPE,-0.0291060291060291,-0.0368362214213935,-0.06025847122681961,-0.0017333154172338439,14.01,0.0466395823663473,-0.0478,4.4801,0.8213,2690620500,-29.9797,7.3465,21.8026,3.132,7.6495,1.8384,-0.0918,-0.4660505076802916,0.5397,0.1669,-0.0851,-0.1014
BSM,2016-06-30,Energy,GSPE,0.1063526052819414,0.0873598599000117,-0.0017333154172338439,0.13349729307703184,15.5,-0.1153976629246321,-0.4183,4.0566,0.6897,2959337500,-620.1461,8.6527,1267.9252,3.8073,9.4575,1.8152,-0.0046,-1.4175304438915806,0.2541,-0.5127,-0.0043,-0.0058
