ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CEQP,2002-12-31,Energy,GSPE,,,,0.14548500108784584,66.93,4.942985265855221,7.4407,78.8148,0.3967,103272990,8.9336,0.359,6.1278,0.8394,0.7665,1.2094,0.0458,-69.99287103046014,0.1292,0.0703,0.0386,0.0947
CEQP,2003-03-31,Energy,GSPE,0.1453757657253845,0.1813376833733632,0.14548500108784584,0.1477633948713698,76.66,11.185534591194967,18.2974,99.9911,0.5468,130551980,8.5361,0.3792,3.6666,0.8211,0.6219,1.582,0.0597,-41.05284791544334,0.15,0.1121,0.0509,0.1084
CEQP,2003-06-30,Energy,GSPE,0.2117140620923559,0.0627834006584391,0.1477633948713698,0.0560260864143567,92.89,-3.844979448032883,-3.6236,85.7827,0.5167,179556370,12.2513,0.5174,7.9831,1.229,0.8085,1.4513,0.0579,-45.49353336782204,-0.016,-0.1658,0.0511,0.096
CEQP,2003-09-30,Energy,GSPE,0.0602863602110022,0.0382545790892731,0.0560260864143567,0.05582456459482418,98.49,-2.872756071805702,-2.9667,94.5,0.4938,191464560,14.1699,0.5269,6.6209,1.0697,0.8438,1.1424,0.048,-56.30504115226338,0.0227,-0.0979,0.0418,0.0831
CEQP,2003-12-31,Energy,GSPE,0.201441770738146,0.0850225245229913,0.05582456459482418,-0.10701382943619023,118.33,4.737108190091001,-3.7821,91.3063,0.4148,228731890,15.0818,0.5921,23.2877,1.2664,0.9214,1.0948,0.0463,-63.25814795654424,0.1306,0.0706,0.038,0.0843
CEQP,2004-03-31,Energy,GSPE,-0.0610158032620637,-0.0738673721046254,-0.10701382943619023,-0.036252699438718235,111.11,2.369755244755245,17.4134,114.3653,0.6446,254997450,90.973,0.6285,12.3959,0.9745,0.8006,1.4866,0.0081,-20.890196078431373,0.1709,0.0304,0.0066,0.0126
CEQP,2004-06-30,Energy,GSPE,0.033570335703357,0.0205798584475584,-0.036252699438718235,0.03401395588556526,114.84,-4.270152505446623,3.8466,105.3446,0.5662,263557800,-586.9884,0.6046,7.4095,1.0901,0.8423,1.182,-0.0012,-42.80566448801743,-0.038,-0.1405,-0.001,-0.0017
CEQP,2004-09-30,Energy,GSPE,0.1381922675026123,0.1612104037464131,0.03401395588556526,0.009390882916197538,130.71,-4.086956521739131,-9.0831,107.4352,0.5002,316971750,-68.9668,0.6569,15.9442,1.2576,0.8885,0.9914,-0.0123,-47.49113402061856,-0.0124,-0.0938,-0.0098,-0.0186
CEQP,2004-12-31,Energy,GSPE,0.0515645321704535,-0.0357688954242635,0.009390882916197538,-0.044800911187960174,137.45,4.25241592578276,-6.051,178.3656,0.3701,360806250,-121.6884,0.594,30.8197,0.7819,1.4137,1.0827,-0.0041,-189.1173333333333,0.1174,0.0427,-0.0033,-0.0083
CEQP,2005-03-31,Energy,GSPE,0.1259367042560931,0.1517883091383817,-0.044800911187960174,-0.04867691393166147,154.76,16.405671641791045,19.4032,149.3456,0.4282,406245000,8.7229,0.4814,11.0195,0.8119,1.0537,1.2934,0.0456,-177.6727619047619,0.1877,0.1326,0.0385,0.0968
CEQP,2005-06-30,Energy,GSPE,-0.0334065650038768,-0.0425037033375171,-0.04867691393166147,-0.27622214084431973,149.59,-7.3354622871046224,2.5203,145.1116,0.4215,392673750,12.1747,0.4143,10.81,0.8229,0.9515,1.2786,0.0318,-188.7219047619048,-0.0132,-0.1389,0.028,0.0659
CEQP,2005-09-30,Energy,GSPE,-0.098736546560599,-0.1301972702237434,-0.27622214084431973,-0.003168086032472983,134.82,-0.9364529173887928,0.019,191.766,0.4419,463915620,12.0188,0.441,8.0401,0.6987,0.947,1.0654,0.0345,-155.5164196454519,0.1257,-0.0157,0.0293,0.0676
CEQP,2005-12-30,Energy,GSPE,-0.0804776739356178,-0.0963303928587058,-0.003168086032472983,-0.05436658705907994,123.97,2.6293294030950625,-3.6109,164.4016,0.3853,437738070,11.4285,0.3516,7.463,0.654,0.8733,1.0373,0.0289,-191.0144435004248,0.0981,0.0237,0.0236,0.0574
CEQP,2006-03-31,Energy,GSPE,0.0316205533596838,-0.0056944572524895,-0.05436658705907994,-0.07552845850943105,127.89,15.169038272816486,22.0095,172.9394,0.4469,451963260,10.0053,0.3489,5.4215,0.6411,0.8672,1.3444,0.032,-182.44850028296548,0.2032,0.133,0.0272,0.0657
