ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CHK,2003-03-31,Energy,GSPE,,,,,0.0,60.69644405897658,-31.7016,860.9219,0.3641,0,0.0,0.0,0.0,0.0,2.0159,1.0052,0.048,-9.612732691147093,0.6133,0.1963,0.0425,0.1239
CHK,2003-06-30,Energy,GSPE,,,,,0.0,57.77348484848485,-668.628,820.8878,0.3646,0,0.0,0.0,0.0,0.0,1.6135,0.8018,0.0588,-10.267768296411596,0.6184,0.1914,0.051,0.14
CHK,2003-09-30,Energy,GSPE,,,,,0.0,61.6566265060241,-5.7929,906.9804,0.3721,0,0.0,0.0,0.0,0.0,1.338,0.8839,0.0766,-10.611632001404786,0.629,0.1932,0.0652,0.177
CHK,2003-12-31,Energy,GSPE,,,,,0.0,45.60526315789474,-126.6695,862.8728,0.3789,0,0.0,0.0,0.0,0.0,1.176,0.6672,0.0845,-11.518732932319727,0.6135,0.1518,0.0708,0.1887
CHK,2004-03-31,Energy,GSPE,,,,,0.0,69.70761014686248,61.5694,1003.1969,0.4192,0,0.0,0.0,0.0,0.0,0.9573,0.7695,0.0844,-10.97743599494077,0.6421,0.1999,0.0695,0.1733
CHK,2004-06-30,Energy,GSPE,,,,,0.0,56.56624917600527,-6.0184,1037.2735,0.3846,0,0.0,0.0,0.0,0.0,1.1655,0.6714,0.0761,-13.854001400387164,0.5639,0.1691,0.0616,0.1538
CHK,2004-09-30,Energy,GSPE,,,,,0.0,50.612063867534005,-17.327,1166.0881,0.3801,0,0.0,0.0,0.0,0.0,1.22,0.5349,0.0703,-15.13602355052314,0.5742,0.1538,0.0546,0.1428
CHK,2004-12-31,Energy,GSPE,,,,,0.0,143.97046109510086,-1405.1628,1925.0554,0.3836,0,0.0,0.0,0.0,0.0,1.1324,0.5887,0.0871,-16.72428791606153,0.5894,0.2213,0.0657,0.1721
CHK,2005-03-31,Energy,GSPE,,,,,0.0,68.04040978941377,-15.6408,1523.8019,0.339,0,0.0,0.0,0.0,0.0,1.2693,0.5085,0.0785,-17.715696137453467,0.5499,0.1595,0.0599,0.1666
CHK,2005-06-30,Energy,GSPE,,,,,0.0,98.4489010989011,-64.673,1618.5862,0.3613,0,0.0,0.0,0.0,0.0,1.2123,0.4906,0.0809,-19.571090873131727,0.6836,0.1803,0.0619,0.1764
CHK,2005-09-30,Energy,GSPE,,,,,0.0,90.74211099020674,19.2339,1718.6904,0.3401,0,0.0,0.0,0.0,0.0,1.0691,0.6578,0.0844,-19.80980878279597,0.5373,0.1634,0.0607,0.1736
CHK,2005-12-30,Energy,GSPE,,,,,0.0,211.8371414681575,-2073.0024,2235.1492,0.383,0,0.0,0.0,0.0,0.0,1.1639,0.6025,0.0937,-23.66552851238553,0.5596,0.2583,0.0662,0.1817
CHK,2006-03-31,Energy,GSPE,,,,,0.0,280.2784222737819,17.6334,2697.0979,0.4078,0,0.0,0.0,0.0,0.0,1.0159,0.7501,0.1129,-24.85476647305337,0.6599,0.3209,0.0844,0.213
CHK,2006-06-30,Energy,GSPE,,,,,0.0,153.91747797867407,-765.8785,3293.1191,0.4481,0,0.0,0.0,0.0,0.0,0.9374,0.932,0.1098,-22.4771244950773,0.647,0.2209,0.0841,0.196
CHK,2006-09-29,Energy,GSPE,,,,,0.0,216.5631469979296,778.4679,3408.2368,0.4356,0,0.0,0.0,0.0,0.0,1.0905,0.9541,0.1183,-25.861249378655053,0.6874,0.2846,0.0909,0.2059
CHK,2006-12-29,Energy,GSPE,,,,,0.0,183.85093167701865,-1652.1739,3848.0331,0.4607,0,0.0,0.0,0.0,0.0,1.0065,0.6105,0.1087,-26.259525964401423,0.6573,0.2521,0.0834,0.1859
CHK,2007-03-30,Energy,GSPE,,,,,0.0,89.92248062015504,-176.7441,3534.4961,0.4304,0,0.0,0.0,0.0,0.0,1.1833,0.561,0.0855,-29.15335463258786,0.5803,0.1632,0.0649,0.1458
CHK,2007-06-29,Energy,GSPE,,,,,0.0,190.69767441860463,-158.5271,3747.2868,0.4197,0,0.0,0.0,0.0,0.0,1.2209,0.5842,0.0887,-31.20670721405643,0.627,0.246,0.0672,0.1582
CHK,2007-09-28,Energy,GSPE,,,,,0.0,133.84912959381043,-7.7369,3886.2669,0.4016,0,0.0,0.0,0.0,0.0,1.3957,0.5355,0.0737,-35.035415202901575,0.6122,0.1835,0.0562,0.137
CHK,2007-12-31,Energy,GSPE,,,,,0.0,122.22222222222224,-1408.1196,4773.5042,0.3946,0,0.0,0.0,0.0,0.0,1.4035,0.5056,0.0631,-33.66546218602476,0.5471,0.145,0.0478,0.1202
CHK,2008-03-31,Energy,GSPE,,,,,0.0,-57.60649087221096,-59.6348,4263.6916,0.3427,0,0.0,0.0,0.0,0.0,1.5639,0.4611,0.0454,-38.99506871699104,0.2774,-0.0806,0.0331,0.09
CHK,2008-06-30,Energy,GSPE,,,,,0.0,-616.5067178502879,-471.0172,3680.6142,0.2702,0,0.0,0.0,0.0,0.0,2.4685,0.4351,-0.0441,-45.06325213927575,4.3164,3.5098,-0.0294,-0.0967
CHK,2008-09-30,Energy,GSPE,,,,,0.0,1119.3877551020407,1359.5238,5408.8435,0.4099,0,0.0,0.0,0.0,0.0,1.1532,1.1416,0.0693,-33.5449821007416,0.8009,0.4434,0.0486,0.1422
CHK,2008-12-31,Energy,GSPE,,,,,0.0,-348.5217391304348,-3049.3913,5743.3043,0.4409,0,0.0,0.0,0.0,0.0,0.8895,1.1853,0.0196,-28.761080354305093,0.6531,-0.3341,0.0152,0.0358
CHK,2009-03-31,Energy,GSPE,,,,,0.0,-1924.9581239530987,-367.8391,3790.9547,0.3984,0,0.0,0.0,0.0,0.0,0.9493,0.8486,-0.1824,-24.004048181040805,0.5418,-2.8771,-0.1468,-0.3475
CHK,2009-06-30,Energy,GSPE,,,,,0.0,77.70491803278688,-134.754,3782.295,0.3939,0,0.0,0.0,0.0,0.0,0.8402,0.9912,-0.126,-4929.796696315121,0.4877,0.1452,-0.1054,-0.2662
CHK,2009-09-30,Energy,GSPE,,,,,0.0,59.42492012779552,327.7955,3949.8402,0.4316,0,0.0,0.0,0.0,0.0,1.302,0.9976,-0.2455,-4462.302202916538,0.4848,0.106,-0.2093,-0.5075
CHK,2009-12-31,Energy,GSPE,,,,,0.0,-167.93650793650792,-240.6349,3769.8412,0.4125,0,0.0,0.0,0.0,0.0,1.5566,0.9099,-0.2273,-4664.508171446192,0.4936,-0.2358,-0.1954,-0.4631
CHK,2010-03-31,Energy,GSPE,,,,,0.0,226.27511591962903,41.4219,3632.1483,0.4033,0,0.0,0.0,0.0,0.0,1.2218,1.0678,0.0259,-4521.939245167229,0.5611,0.2637,0.0215,0.0528
CHK,2010-06-30,Energy,GSPE,,,,,0.0,74.01574803149606,-246.2992,3700.7874,0.4605,0,0.0,0.0,0.0,0.0,1.0104,0.8257,0.0265,-4404.301075268817,0.4169,0.1267,0.0211,0.0489
CHK,2010-09-30,Energy,GSPE,,,,,0.0,138.44086021505376,-316.3978,3281.7204,0.4448,0,0.0,0.0,0.0,0.0,1.0141,0.7938,0.0394,-4826.352797309692,0.499,0.2161,0.0308,0.0682
CHK,2010-12-31,Energy,GSPE,,,,,0.0,48.39572192513369,1028.3422,3261.7647,0.4105,0,0.0,0.0,0.0,0.0,1.3386,0.7273,0.0649,-5703.058103975535,0.3068,0.1134,0.0496,0.1162
CHK,2011-03-31,Energy,GSPE,,,,,0.0,-64.66876971608833,794.6372,3763.4069,0.4308,0,0.0,0.0,0.0,0.0,1.1083,0.759,0.0331,-4944.055944055944,0.0849,-0.1004,0.0243,0.0578
CHK,2011-06-30,Energy,GSPE,,,,,0.0,124.36750998668442,-276.964,3307.0572,0.4223,0,0.0,0.0,0.0,0.0,1.0476,0.5457,0.0448,-5487.078139252052,0.4285,0.1537,0.0316,0.0741
CHK,2011-09-30,Energy,GSPE,,,,,0.0,233.46613545816732,-513.1474,3515.5378,0.4062,0,0.0,0.0,0.0,0.0,1.0731,0.5601,0.0557,-6171.6191631291695,0.4988,0.2318,0.0389,0.094
CHK,2011-12-30,Energy,GSPE,,,,,0.0,114.09574468085108,2217.0212,3962.5,0.4293,0,0.0,0.0,0.0,0.0,0.8831,0.4486,0.0599,-6277.525022747953,0.3329,0.1734,0.0425,0.1017
CHK,2012-03-30,Energy,GSPE,,,,,0.0,-22.11838006230529,-212.461,4932.0872,0.4144,0,0.0,0.0,0.0,0.0,1.0163,0.5888,0.0582,-6875.30193236715,0.2455,-0.0115,0.0429,0.1018
CHK,2012-06-29,Energy,GSPE,,,,,0.0,247.4034620505992,63.6484,4454.3275,0.4163,0,0.0,0.0,0.0,0.0,1.0633,0.7215,0.066,-7011.47342995169,0.4871,0.2868,0.0502,0.1209
CHK,2012-09-28,Energy,GSPE,,,,,0.0,-638.1987577639752,110.559,4543.1677,0.3873,0,0.0,0.0,0.0,0.0,1.357,0.5593,-0.0163,-7329.022556390977,0.336,-0.6774,-0.0127,-0.0317
CHK,2012-12-31,Energy,GSPE,,,,,0.0,79.93779160186625,1706.9984,4613.9968,0.43,0,0.0,0.0,0.0,0.0,0.9637,0.4704,-0.0221,-6251.354605659241,0.3583,0.0847,-0.0175,-0.0431
CHK,2013-03-29,Energy,GSPE,,,,,0.0,4.608294930875576,216.5898,4593.5483,0.424,0,0.0,0.0,0.0,0.0,1.0071,0.4985,-0.0203,-6471.664167916042,0.3078,0.0169,-0.0162,-0.0379
CHK,2013-06-28,Energy,GSPE,,,,,0.0,141.31578947368422,736.3157,3984.7368,0.4319,0,0.0,0.0,0.0,0.0,0.8475,0.6391,-0.0318,-6105.3105310531055,0.4314,0.124,-0.0253,-0.0593
