ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CNI,2003-03-31,Industrials,SP500-20,,,,-0.029947545362733016,7.16,0.1035395942585284,0.1346,3.6272,0.3468,8248320000,16.4059,2.0734,16.6616,1.9209,2.8339,0.5062,0.0592,-6.278366319444444,0.1424,0.1208,0.0382,0.104
CNI,2003-06-30,Industrials,SP500-20,0.1229050279329607,-0.0260256335009559,-0.029947545362733016,0.03764310389618793,8.04,0.1132359735987795,0.1441,3.9753,0.3582,9151128000,18.4734,2.2598,17.5872,1.9806,3.0721,0.5808,0.0602,-6.50770602706027,0.1451,0.1209,0.0391,0.1111
CNI,2003-09-30,Industrials,SP500-20,0.0783582089552239,0.0563264278334948,0.03764310389618793,0.07276522024978149,8.67,0.1323097435470094,0.1388,4.0268,0.3639,9836982000,18.5942,2.3808,16.5679,2.1204,3.1527,0.5569,0.0632,-6.427473999647453,0.1532,0.1472,0.0412,0.1142
CNI,2003-12-31,Industrials,SP500-20,0.2168396770472896,0.1004204308321349,0.07276522024978149,-0.05391153017645355,10.55,0.2981617455152854,0.1675,5.5877,0.4146,11991446500,16.0029,2.7936,17.6441,1.8669,3.5114,0.57,0.0819,-7.223047957558748,1.1197,0.2968,0.053,0.1354
CNI,2004-03-31,Industrials,SP500-20,-0.0682464454976303,-0.0810980143401921,-0.05391153017645355,0.02914622141041945,9.83,0.1431011781011781,0.1182,4.3624,0.3875,11190472000,14.1302,2.5653,17.0406,2.222,3.2901,0.7697,0.086,-6.21203882642305,0.1979,0.1523,0.0556,0.1382
CNI,2004-06-30,Industrials,SP500-20,0.1088504577822991,0.0958599805265004,0.02914622141041945,0.11773525424160576,10.9,0.2161098615916955,0.2116,4.4887,0.3741,12439080000,13.6667,2.7602,16.9526,2.3971,3.4884,0.6793,0.1058,-6.831284612688398,0.2773,0.2027,0.0677,0.178
CNI,2004-09-30,Industrials,SP500-20,0.1128440366972477,0.1358621729410485,0.11773525424160576,0.16729455558566902,12.13,0.2462159834653806,0.1567,4.9166,0.3822,13896128000,13.3149,2.8929,18.3872,2.4339,3.706,0.805,0.1117,-7.174879539106145,0.2804,0.2146,0.0724,0.1915
CNI,2004-12-31,Industrials,SP500-20,0.2621599340478153,0.1748265064530982,0.16729455558566902,0.05437431388068673,15.31,0.2324024942805105,0.2244,6.5312,0.4151,17337044000,17.8373,3.4292,21.0175,2.2761,4.1495,0.7569,0.0892,-8.23816937477923,0.8972,0.1926,0.0584,0.1458
CNI,2005-03-31,Industrials,SP500-20,0.0339647289353363,0.0598163338176249,0.05437431388068673,-0.051735144762298624,15.83,0.2121136442742777,0.3073,5.2431,0.3795,17761260000,16.9071,3.3042,17.0521,2.9477,4.0319,0.8744,0.0948,-7.566705882352942,0.2204,0.1736,0.0613,0.154
CNI,2005-06-30,Industrials,SP500-20,-0.0897030953885028,-0.098800233722143,-0.051735144762298624,0.21243503378212827,14.41,0.2959600424328147,0.332,5.1919,0.3773,15874056000,13.98,2.8238,13.5377,2.7028,3.5221,0.7885,0.1119,-7.794156681190995,0.3022,0.2264,0.0722,0.1908
CNI,2005-09-30,Industrials,SP500-20,0.2317834836918806,0.2003227600287362,0.21243503378212827,0.08207568695304439,17.75,0.3130473797559224,0.2454,5.557,0.3859,19262300000,16.0728,3.307,15.2378,3.1104,3.961,0.6013,0.1174,-8.177523958717288,0.3794,0.2272,0.0758,0.1986
CNI,2005-12-30,Industrials,SP500-20,0.1267605633802817,0.1109078444571937,0.08207568695304439,0.06685893916658033,20.0,0.3379223938937076,0.2409,7.2452,0.4168,21469600000,16.5302,3.5518,16.9436,2.6961,4.2092,0.5868,0.1141,-9.455851063829789,0.937,0.2282,0.0739,0.1835
CNI,2006-03-31,Industrials,SP500-20,0.132,0.0946849893878266,0.06685893916658033,-0.028949020635959426,22.64,0.2866363969913777,0.367,7.287,0.4122,24120656000,17.638,3.8683,18.3551,3.0362,4.5172,0.6286,0.1101,-9.6583724422752,0.2496,0.1959,0.0712,0.1719
CNI,2006-06-30,Industrials,SP500-20,-0.0335689045936396,-0.0145167649670049,-0.028949020635959426,-0.03571578564061418,21.88,0.6063695450324976,0.0978,7.6751,0.4107,23310952000,13.8277,3.5865,22.3309,2.82,4.2871,0.9264,0.1316,-9.797243288905577,0.33,0.3747,0.0855,0.2079
CNI,2006-09-29,Industrials,SP500-20,-0.0415904936014625,-0.0932752888602675,-0.03571578564061418,-0.02712017599371733,20.97,0.4194832138815541,0.3965,7.8118,0.4084,22341438000,12.5389,3.317,18.761,2.697,3.9952,0.7842,0.1362,-10.013794818847382,0.3454,0.2511,0.0881,0.2153
CNI,2006-12-29,Industrials,SP500-20,0.0262279446828803,-0.0354931128827514,-0.02712017599371733,0.019730497319223966,21.52,0.417450917734486,0.5019,8.1749,0.4092,22051974400,11.9497,3.2183,15.2175,2.5885,3.8773,0.6319,0.1397,-10.86902178155984,0.944,0.2495,0.0898,0.2196
CNI,2007-03-30,Industrials,SP500-20,0.0255576208178439,0.0237526878450553,0.019730497319223966,0.06163905317462803,22.07,0.2679606025492468,0.0495,8.1122,0.4135,22361324000,12.3516,3.2456,20.3233,2.6617,3.9288,0.6206,0.1351,-10.84038097118042,0.2038,0.1699,0.088,0.2139
CNI,2007-06-29,Industrials,SP500-20,0.1540552786588128,0.0959988965488158,0.06163905317462803,0.06542325800238707,25.47,0.4728303728284208,0.3867,8.9804,0.4226,25587162000,15.5848,3.6292,18.3934,2.7808,4.2894,0.5939,0.1179,-11.482540314553056,0.6531,0.2545,0.078,0.1865
CNI,2007-09-28,Industrials,SP500-20,0.1189634864546525,0.1033982323261571,0.06542325800238707,-0.1252702675901438,28.5,0.4664168641390205,0.0923,9.2886,0.4217,28186500000,16.8845,3.8881,26.4882,2.9961,4.5772,0.9303,0.1138,-11.62016885743175,0.4611,0.2397,0.0757,0.1794
