ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CNQ,2003-03-31,Energy,GSPE,,,,0.11016697983783745,4.25,0.043009506427459,0.0019,0.5322,0.3771,4562035000,8.0568,1.2507,-21.7249,1.3089,1.8963,0.7621,0.0968,-4.843529093924093,0.7755,0.2292,0.0628,0.1693
CNQ,2003-06-30,Energy,GSPE,0.1741176470588235,0.0251869856249068,0.11016697983783745,0.029807862475899574,4.99,0.0642434429117011,0.0312,0.7003,0.4202,5382513400,6.2678,1.283,-32.4617,1.2874,1.7917,0.6498,0.1373,-4.863822705949975,0.638,0.3462,0.0876,0.2194
CNQ,2003-09-30,Energy,GSPE,0.034068136272545,0.0120363551508159,0.029807862475899574,0.07725101091094161,5.16,0.0249954573880989,0.0288,0.7184,0.4245,5526308400,5.95,1.2232,117.7162,1.3024,1.6674,0.6002,0.1423,-4.926359723246716,0.6888,0.1392,0.0914,0.2164
CNQ,2003-12-31,Energy,GSPE,0.2228682170542634,0.1064489708391087,0.07725101091094161,0.05701306732825072,6.31,0.1837704502776554,0.0806,4.2758,0.4171,6750753500,6.6383,1.5141,14.798,1.4757,1.948,0.6287,0.1529,-5.467239332616722,0.6095,0.1914,0.0953,0.2266
CNQ,2004-03-31,Energy,GSPE,0.1030110935023772,0.0901595246598154,0.05701306732825072,0.0048896085360856795,6.96,0.044601137000649,-0.0573,1.0863,0.3969,7446156000,8.0344,1.6749,38.2898,1.5798,2.1888,0.523,0.132,-6.0931420292564376,0.6965,0.1585,0.0798,0.1962
CNQ,2004-06-30,Energy,GSPE,0.0747126436781609,0.0617221664223623,0.0048896085360856795,0.22737249052199038,7.48,0.0883169535915595,-0.125,2.2234,0.3985,8002478000,10.9191,1.6995,-30.6984,1.676,2.2614,0.7037,0.0994,-6.117994111324017,0.7224,0.1387,0.0604,0.1519
CNQ,2004-09-30,Energy,GSPE,0.3315508021390375,0.3545689383828382,0.22737249052199038,0.031119523436506924,9.96,0.1110796682091641,0.1005,2.4274,0.4019,10678116000,12.9292,2.0328,-50.0875,2.0306,2.5207,0.6341,0.1043,-6.609934707583248,0.6854,0.1499,0.0648,0.162
CNQ,2004-12-31,Energy,GSPE,0.0732931726907629,-0.0140402549039541,0.031119523436506924,0.15854208521076438,10.69,0.2183471816337915,-0.1784,2.7749,0.3986,11467376800,10.4122,1.7847,-16.7192,1.9084,2.2329,0.648,0.1266,-7.531413602804087,0.1612,0.2145,0.0777,0.1941
CNQ,2005-03-31,Energy,GSPE,0.3292797006548177,0.3551313055371062,0.15854208521076438,0.26481409864434774,14.21,-0.1626960080547424,-0.2261,2.6365,0.3488,15250740400,27.3884,2.2325,-16.5344,2.6963,2.6887,0.5635,0.0617,-8.5649342178823,0.5103,-0.2129,0.0355,0.0954
CNQ,2005-06-30,Energy,GSPE,0.2800844475721323,0.270987309238492,0.26481409864434774,0.06495530731056187,18.19,0.1641257786166662,0.2118,5.3175,0.3575,19533331500,36.0147,2.7121,-45.8032,3.4222,3.1172,0.5644,0.061,-8.246941379149789,0.5143,0.1009,0.0337,0.0954
CNQ,2005-09-30,Energy,GSPE,0.2424409015942825,0.2109801779311381,0.06495530731056187,0.17509719852261374,22.6,0.1189720547212988,0.0954,5.6585,0.3428,24259518000,56.5518,3.0066,-44.8014,3.9785,3.3458,0.5081,0.0481,-9.166181306652506,0.5826,0.0517,0.0254,0.0726
CNQ,2005-12-30,Energy,GSPE,0.0977876106194689,0.0819348916963809,0.17509719852261374,0.030498147771482145,24.81,0.8732070234774577,-0.2817,6.5177,0.3769,26613687000,29.3929,2.8457,-57.6496,3.7527,3.1499,0.5363,0.0955,-9.281447748671576,0.4709,0.2721,0.0494,0.1372
CNQ,2006-03-31,Energy,GSPE,0.1164852881902459,0.0791702775780725,0.030498147771482145,-0.03882636823724596,27.7,0.046013137835589,-1.2836,6.6832,0.3545,29764758000,22.8271,2.9709,-21.9562,4.145,3.3443,0.4727,0.1248,-10.676165615053884,0.347,0.0214,0.0667,0.1827
CNQ,2006-06-30,Energy,GSPE,-0.0003610108303248,0.0186911287963099,-0.03882636823724596,-0.15561982839243613,27.69,0.8676470314561618,-0.2618,7.7715,0.3806,29747643900,14.4391,2.7033,-15.9551,3.5616,3.1104,0.5588,0.1732,-11.00290884381603,0.4622,0.3415,0.0976,0.2652
CNQ,2006-09-29,Energy,GSPE,-0.1769591910436981,-0.2286439863025031,-0.15561982839243613,0.0607344833947433,22.79,0.9300575850747824,-0.293,8.6659,0.4124,24496743100,8.3565,2.1655,-10.734,2.6305,2.6002,0.6115,0.2164,-10.987946673613116,0.6242,0.3588,0.1316,0.3319
CNQ,2006-12-29,Energy,GSPE,0.1680561649846425,0.1063351074190106,0.0607344833947433,0.01960371166022062,26.62,0.2534486164534693,-0.6693,8.6374,0.3223,28638062200,12.7092,2.7883,-10.6306,3.0894,3.7187,0.7291,0.1362,-16.307782043297607,0.3786,0.111,0.0877,0.2425
CNQ,2007-03-30,Energy,GSPE,0.0368144252441773,0.0350094922713887,0.01960371166022062,0.059005327346229514,27.6,0.2133979105197721,-0.4121,8.708,0.3195,29762736000,12.2285,2.7987,-16.9217,3.1711,3.7078,0.6674,0.1284,-16.77793686709448,0.392,0.0861,0.0837,0.2609
CNQ,2007-06-29,Energy,GSPE,0.2021739130434781,0.1441175309334812,0.059005327346229514,0.04771350543637798,33.18,0.7317104150596333,0.1677,10.341,0.343,35793588600,15.626,3.2949,-27.6073,3.209,4.241,0.6966,0.1131,-18.082568109977103,0.5167,0.2666,0.074,0.223
CNQ,2007-09-28,Energy,GSPE,0.1416515973477999,0.1260863432193045,0.04771350543637798,-0.07525800770341495,37.88,0.6315176813829255,0.0469,11.3484,0.3563,40878959600,20.7232,3.6924,-43.9079,3.3384,4.6307,0.7131,0.0894,-18.64813328761919,0.5393,0.2276,0.0589,0.1686
CNQ,2007-12-31,Energy,GSPE,-0.0345828933474129,0.003661753548567,-0.07525800770341495,0.008547208414337648,36.57,0.7245013853816097,-0.2368,12.088,0.3688,39475852200,15.8071,3.3412,-83.4277,2.9696,4.2634,0.612,0.1065,-19.054513367795007,0.0865,0.2494,0.0709,0.1955
CNQ,2008-03-31,Energy,GSPE,-0.0667213563029805,0.0324777744502405,0.008547208414337648,0.299603686414461,34.13,0.6711994046847755,-0.0113,12.9834,0.3726,36904427700,12.3321,2.8169,-893.8943,2.6308,3.6696,0.6293,0.117,-19.382067715414,0.461,0.1833,0.0812,0.219
CNQ,2008-06-30,Energy,GSPE,0.4687957808379724,0.5010781976733583,0.299603686414461,-0.06771216328249749,50.13,-0.3196923425587487,-0.1076,12.5345,0.3413,54218101500,29.119,3.574,-160.8039,4.0507,4.2884,0.5133,0.0727,-20.832631870925987,0.5006,-0.0678,0.0484,0.1358
CNQ,2008-09-30,Energy,GSPE,-0.3171753441053263,-0.2283940826612344,-0.06771216328249749,-0.2055260569842508,34.23,2.4701388363854964,-0.0494,14.381,0.4144,37026933300,9.5933,2.2429,-83.8808,2.3739,2.908,0.6635,0.1518,-18.47579573083359,1.0395,0.6185,0.1004,0.2663
CNQ,2008-12-31,Energy,GSPE,-0.4160093485246859,-0.1904272052276006,-0.2055260569842508,0.08527947857480281,19.99,1.326182205403047,-0.3446,13.7669,0.4308,21628780200,4.8089,1.409,-39.0554,1.4522,2.0727,0.9918,0.1728,-15.645278101258803,1.1266,0.7048,0.1245,0.295
CNQ,2009-03-31,Energy,GSPE,-0.0355177588794395,0.0811498357873885,0.08527947857480281,0.2609492720011832,19.28,0.2228189878633018,0.1782,13.673,0.4318,20897013600,5.2065,1.5923,-59.958,1.4118,2.3707,1.0105,0.1585,-15.736706431583125,0.4995,0.1395,0.1165,0.2703
CNQ,2009-06-30,Energy,GSPE,0.3615145228215767,0.2092967267516878,0.2609492720011832,0.1851198331688298,26.25,0.1326766888438702,0.6404,15.2234,0.445,28458150000,6.3257,2.7009,61.7692,1.7245,3.7088,0.9526,0.1719,-17.11579529941335,0.3298,0.0589,0.126,0.2874
CNQ,2009-09-30,Energy,GSPE,0.28,0.1301501679143978,0.1851198331688298,0.02040697001079332,33.6,0.561074045859257,0.8288,16.2566,0.4666,36438528000,15.007,4.1334,25.7877,2.0672,5.2391,0.8225,0.0885,-17.00976136028327,0.5912,0.233,0.0648,0.1422
CNQ,2009-12-31,Energy,GSPE,0.0708333333333331,0.0159462652369929,0.02040697001079332,0.0280676746231867,35.98,0.3981268825908691,0.7253,16.9978,0.4735,39025707000,27.3827,3.93,15.1695,2.1168,4.8518,0.7862,0.0509,-17.243043378048217,0.5221,0.137,0.0371,0.079
CNQ,2010-03-31,Energy,GSPE,0.0289049471928851,-0.0198172116399602,0.0280676746231867,0.029969383565527627,37.02,0.6567920937604546,0.2636,18.1113,0.4907,40259990400,21.1612,3.4406,15.0895,2.0318,4.1857,0.7898,0.0666,-17.105884029718993,0.5044,0.2053,0.0479,0.0994
CNQ,2010-06-30,Energy,GSPE,-0.1023770934629931,0.0162448731379496,0.029969383565527627,-0.081736639545764,33.23,0.5723751311408111,0.2312,18.5156,0.4983,36195445200,15.1691,2.8404,16.2509,1.7833,3.545,0.8955,0.0817,-16.896193676324778,0.5298,0.1801,0.0588,0.1189
CNQ,2010-09-30,Energy,GSPE,0.0412278061992177,-0.0659701393158105,-0.081736639545764,0.07516663221557035,34.6,0.5270085487260946,0.634,18.9404,0.5109,37649298000,15.9888,2.8165,18.6132,1.8156,3.4294,0.7831,0.0803,-16.587513440489648,0.5214,0.1783,0.0579,0.1147
CNQ,2010-12-31,Energy,GSPE,0.2838150289017341,0.1817820211391658,0.07516663221557035,-0.05013353458844702,44.42,-0.2793532487937895,-0.2965,18.4138,0.4741,48455557000,29.9775,3.4676,53.213,2.3982,4.0402,0.569,0.0559,-18.62077187514324,0.4407,-0.0815,0.0388,0.0789
