ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
COP,2003-03-31,Energy,GSPE,,,,-0.04143475924252303,20.43,0.8941858148881572,1.4185,23.1221,0.394,27726165900,26.9709,0.3583,8.2444,0.8781,0.5777,0.842,0.0203,-26.423408221762102,0.2545,0.0451,0.013,0.0333
COP,2003-06-30,Energy,GSPE,0.022515907978463,-0.1264147534554536,-0.04143475924252303,-0.005217669679843181,20.89,0.8674516361000193,0.7709,23.9371,0.4057,28404133000,15.2382,0.3071,6.0101,0.8671,0.4747,0.7927,0.0367,-26.765462969772745,0.2493,0.0464,0.0231,0.0579
COP,2003-09-30,Energy,GSPE,-0.0009573958831976,-0.0229891770049267,-0.005217669679843181,0.051795347761805,20.87,0.9515302442358105,1.0892,24.6013,0.412,28403026500,8.6436,0.2778,5.3742,0.8411,0.433,0.796,0.0629,-26.76292295822771,0.1506,0.0569,0.0403,0.0987
COP,2003-12-31,Energy,GSPE,0.1974125539051268,0.0809933076899721,0.051795347761805,0.018827904198022383,24.99,0.7547301259238187,0.9862,25.5505,0.4269,34125594300,7.1782,0.3056,5.8374,0.9692,0.4476,0.7988,0.0887,-26.402894029599363,0.4585,0.0288,0.0578,0.1378
COP,2004-03-31,Energy,GSPE,0.0648259303721489,0.0519743615295871,0.018827904198022383,0.022999212133385016,26.61,1.1641779002149697,0.7499,26.4864,0.4354,36500138700,7.0887,0.3179,7.3737,0.9927,0.4487,0.8787,0.0947,-25.32897854440208,0.2619,0.0534,0.0617,0.143
COP,2004-06-30,Energy,GSPE,0.0928222472754603,0.0798317700196616,0.022999212133385016,-0.018208572965052613,29.08,1.4842398760534528,1.1423,27.8064,0.4544,40057700000,6.6353,0.3308,7.2938,1.0304,0.4428,0.9487,0.1094,-23.870780399274047,0.2743,0.065,0.071,0.1596
COP,2004-09-30,Energy,GSPE,0.0859697386519945,0.1089878748957953,-0.018208572965052613,0.005958079688112704,31.58,1.4293531856192534,2.0606,29.0737,0.4594,43595242600,6.471,0.3393,6.3282,1.0684,0.4261,1.0543,0.1193,-23.196447586691487,0.1424,0.0662,0.0772,0.1691
COP,2004-12-31,Energy,GSPE,0.0481317289423686,-0.0392016986523484,0.005958079688112704,0.07095422745624877,33.1,1.7198388216841125,-1.0437,30.9938,0.4719,45994105000,5.658,0.3608,11.3453,1.0494,0.4626,0.9637,0.1386,-24.47698895325825,0.1456,0.0692,0.0894,0.1921
COP,2005-03-31,Energy,GSPE,0.2416918429003021,0.2675434477825906,0.07095422745624877,0.05115300873644892,41.1,2.0501671393128,1.6573,32.5302,0.4768,57223530000,6.0714,0.4202,10.6621,1.2384,0.5044,1.0063,0.1553,-23.415930474754003,0.2659,0.0748,0.0993,0.2093
COP,2005-06-30,Energy,GSPE,0.0664233576642335,0.0573262193305932,0.05115300873644892,0.03834830943519332,43.83,2.2109677528450886,-0.0958,34.1805,0.4977,61009606800,5.817,0.4153,16.7885,1.2576,0.4977,1.0256,0.1676,-23.140032759562057,0.1553,0.0736,0.1079,0.2214
COP,2005-09-30,Energy,GSPE,0.215833903718914,0.1843731800557695,0.03834830943519332,-0.09045171815802984,53.29,2.6802163357775024,1.9537,36.0206,0.4893,73943605300,6.0204,0.4446,21.0545,1.4478,0.5022,0.9628,0.1896,-23.564937264426295,0.1572,0.0765,0.1216,0.2466
COP,2005-12-30,Energy,GSPE,-0.1677613060611746,-0.1836140249842626,-0.09045171815802984,-0.0005305451538257788,44.35,2.612150654138189,1.2695,38.2982,0.5041,61107647500,4.5167,0.3332,9.0182,1.1328,0.3798,0.9182,0.2027,-24.274775919004245,0.153,0.0705,0.128,0.2576
COP,2006-03-31,Energy,GSPE,0.0854565952649379,0.0481415846527646,-0.0005305451538257788,-0.0006589594011047473,48.14,2.3428423354671164,0.2071,52.2743,0.4599,79461809600,5.7133,0.413,16.8601,1.0821,0.5329,0.7903,0.1593,-38.339674308147146,0.15,0.0686,0.1043,0.2183
COP,2006-06-30,Energy,GSPE,0.0378063980058163,0.0568585376324511,-0.0006589594011047473,-0.0703339760196747,49.96,3.089764633336213,0.8996,46.8427,0.4855,82324088000,5.1594,0.4152,12.946,1.047,0.5377,0.8045,0.1475,-37.35647530040053,0.2304,0.1069,0.0992,0.2098
COP,2006-09-29,Energy,GSPE,-0.0916733386709367,-0.1433581339297417,-0.0703339760196747,0.10136055728185045,45.38,2.312871343846276,1.6773,48.7499,0.4989,74685042600,4.6584,0.3768,11.6695,0.9141,0.4933,0.8993,0.1456,-34.89308955686396,0.2156,0.0781,0.0984,0.2
COP,2006-12-29,Energy,GSPE,0.2086822388717496,0.1469611813061178,0.10136055728185045,-0.06734745013819553,54.85,1.90929048687206,1.1066,50.0751,0.5088,90178885000,5.7992,0.4783,13.9487,1.0755,0.5964,0.9483,0.1395,-33.980293169515235,0.2035,0.0751,0.0946,0.1878
COP,2007-03-30,Energy,GSPE,-0.0501367365542388,-0.0519416695270273,-0.06734745013819553,0.0059676906943059715,52.1,2.124820310070366,3.2171,51.5223,0.4964,85152240000,5.3876,0.468,7.3769,0.9903,0.584,0.9154,0.1417,-38.23115516397455,0.1681,0.0858,0.0935,0.1861
COP,2007-06-29,Energy,GSPE,0.1491362763915546,0.0910798942815576,0.0059676906943059715,0.02365001565497185,59.87,0.1815441384464043,1.8926,51.9348,0.5039,97419865300,8.9212,0.5328,7.3965,1.1313,0.6438,1.0194,0.0988,-37.10629981747675,0.2117,0.006,0.0634,0.1269
COP,2007-09-28,Energy,GSPE,0.1175881075663938,0.1020228534378984,0.02365001565497185,-0.034696934711703625,66.91,2.23382212256282,2.5987,53.588,0.508,107026559600,9.9866,0.5907,7.314,1.2146,0.7015,0.9817,0.0968,-38.5574783065343,0.1894,0.0766,0.0622,0.123
