ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CP,2003-03-31,Industrials,SP500-20,,,,-0.08176252590232888,4.22,0.0872319296040226,-0.1075,2.9576,0.3515,3344350000,11.2757,1.3976,51.8576,1.4214,2.1402,0.8269,0.0861,-4.499713564668769,0.0221,0.1164,0.046,0.1314
CP,2003-06-30,Industrials,SP500-20,0.0710900473933648,-0.0778406140405518,-0.08176252590232888,0.003532682551583455,4.52,0.0318392969240426,-0.066,3.2469,0.3692,3582100000,16.9428,1.4512,-138.5993,1.385,2.3689,0.6703,0.0439,-4.968619558359621,0.101,0.0373,0.0308,0.0856
CP,2003-09-30,Industrials,SP500-20,0.0442477876106195,0.0222160064888904,0.003532682551583455,0.04872215337198346,4.72,0.083948557089084,0.0197,3.2664,0.3578,3742960000,15.7979,1.4681,-543.1664,1.4377,2.3555,1.0057,0.0472,-4.961673392181589,0.1173,0.1009,0.0331,0.0913
CP,2003-12-31,Industrials,SP500-20,0.1927966101694915,0.0763773639543368,0.04872215337198346,-0.12598480048699368,5.63,0.1645917085427135,-0.1971,3.4972,0.367,4466188920,15.2598,1.67,-15.9827,1.6043,2.5884,0.7586,0.0557,-5.353829145677967,-0.1082,0.178,0.0393,0.1086
CP,2004-03-31,Industrials,SP500-20,-0.1403197158081705,-0.1531712846507323,-0.12598480048699368,-0.06110919504956564,4.84,0.0222498430634023,-0.0328,3.468,0.3576,3840540000,15.9355,1.3981,-17.4514,1.3903,2.3026,0.9145,0.0445,-5.378383112791431,0.0113,0.0265,0.0314,0.0869
CP,2004-06-30,Industrials,SP500-20,0.018595041322314,0.0056045640665153,-0.06110919504956564,0.05154436156058529,4.93,0.0779672750157331,0.0616,3.4703,0.3584,3911955000,14.0926,1.3918,-33.0292,1.4188,2.1922,0.7744,0.0509,-5.324347826086957,0.1109,0.0833,0.036,0.1005
CP,2004-09-30,Industrials,SP500-20,0.0466531440162272,0.069671280260028,0.05154436156058529,0.238467954871187,5.16,0.173125786163522,0.0402,3.8036,0.3699,4094460000,11.7549,1.4023,-40.0714,1.354,2.1698,0.7633,0.0624,-5.502563327032136,0.1117,0.1783,0.0439,0.1205
CP,2004-12-31,Industrials,SP500-20,0.3333333333333332,0.2459999057386162,0.238467954871187,0.06546772448023418,6.88,0.1301635220125786,0.0472,4.1096,0.3792,5462011360,17.0271,1.8135,59.1369,1.6717,2.554,0.77,0.0546,-5.711437377896629,0.1259,0.125,0.0382,0.1019
CP,2005-03-31,Industrials,SP500-20,0.0450581395348837,0.0709097444171723,0.06546772448023418,-0.002365846313990505,7.19,0.0828976279650437,-0.0652,4.155,0.3816,5712455000,15.4615,1.7977,86.1841,1.7163,2.5239,0.7946,0.061,-5.715395846444305,0.0633,0.0795,0.0426,0.112
CP,2005-06-30,Industrials,SP500-20,-0.0403337969401947,-0.0494309352738349,-0.002365846313990505,0.22557908632213164,6.9,0.1234420921544209,0.1542,4.1382,0.3921,5471700000,13.4558,1.6462,38.7591,1.6466,2.3654,0.8026,0.0681,-5.637464060529634,0.1407,0.1114,0.0473,0.1222
CP,2005-09-30,Industrials,SP500-20,0.2449275362318839,0.2134668125687395,0.22557908632213164,-0.0679677635052349,8.59,0.21594375,0.049,4.5034,0.3992,6756035000,15.2934,1.9361,45.5151,1.8752,2.6383,0.763,0.0736,-5.963870311506676,0.12,0.1843,0.0504,0.1275
CP,2005-12-30,Industrials,SP500-20,-0.0232828870779975,-0.0391356060010855,-0.0679677635052349,0.12556215728338593,8.39,0.1463168301962354,0.0465,4.7238,0.4025,6635491590,14.5773,1.8089,44.8192,1.7579,2.4776,0.8004,0.0727,-6.110438865012562,-0.8708,0.1161,0.0494,0.1234
CP,2006-03-31,Industrials,SP500-20,0.1907032181168056,0.1533882075046322,0.12556215728338593,0.032647911985708176,9.99,0.1196304619225967,-0.0362,4.806,0.4072,7922070000,16.3471,2.0889,46.2481,2.0578,2.7218,0.7112,0.0757,-6.135725094577554,0.099,0.0999,0.0514,0.1271
CP,2006-06-30,Industrials,SP500-20,0.0280280280280279,0.0470801676546627,0.032647911985708176,-0.025284006742170174,10.27,0.4216381784154709,0.227,5.264,0.4305,8072220000,11.1581,2.0617,35.1913,1.9132,2.6764,0.7227,0.1091,-6.13368320610687,0.1415,0.3337,0.0751,0.1793
CP,2006-09-29,Industrials,SP500-20,-0.0311587147030185,-0.0828435099618235,-0.025284006742170174,0.00695338686109092,9.95,0.182708780795957,0.0627,5.3964,0.4298,7756025000,11.155,1.9353,32.3445,1.8158,2.5338,0.7511,0.1015,-6.233412443874278,0.1533,0.1404,0.0704,0.1637
CP,2006-12-29,Industrials,SP500-20,0.0603015075376885,-0.0014195500279432,0.00695338686109092,0.06431505659616665,10.55,0.1631009019375191,0.1451,5.3961,0.4254,8202983700,11.6243,2.0312,25.9702,1.9478,2.6086,0.811,0.103,-6.1947104563916175,0.9579,0.1226,0.0711,0.1663
CP,2007-03-30,Industrials,SP500-20,0.0701421800947865,0.068337247121998,0.06431505659616665,0.1263614538780828,11.29,0.1399402795425667,0.0352,5.3748,0.4342,8761040000,12.1684,2.171,23.5124,2.0711,2.7487,0.7811,0.1067,-6.103385309278351,0.0964,0.1152,0.0733,0.1705
CP,2007-06-29,Industrials,SP500-20,0.2187776793622675,0.1607212972522706,0.1263614538780828,-0.03173790287087011,13.76,0.3079519870384425,0.2472,5.9784,0.4259,10533280000,16.9061,2.5295,27.4205,2.2512,3.1286,1.1561,0.0874,-6.692335728282169,0.5488,0.2111,0.0601,0.1398
CP,2007-09-28,Industrials,SP500-20,0.0218023255813954,0.0062370714528999,-0.03173790287087011,-0.029148883047706672,14.06,0.2746663020187647,0.1701,6.4845,0.4373,10769960000,15.5782,2.5095,23.0927,2.1425,3.0899,1.1097,0.0895,-6.851129242819844,0.3701,0.184,0.0615,0.1424
CP,2007-12-31,Industrials,SP500-20,-0.0803698435277383,-0.0421251966317583,-0.029148883047706672,0.03928778870872421,12.93,0.4428654405148696,0.0974,7.0613,0.4083,9908866710,10.9412,2.2318,23.1373,1.8193,3.0788,0.8683,0.1022,-8.775759544958094,0.3549,0.288,0.0729,0.1729
CP,2008-03-31,Industrials,SP500-20,-0.0054137664346481,0.093785364318573,0.03928778870872421,0.13470626001828112,12.86,0.11684496124031,0.0369,7.107,0.4135,9857190000,11.1261,2.13,22.97,1.7919,3.0319,0.7645,0.09,-9.00508806262231,0.2793,0.079,0.0665,0.1618
CP,2008-06-30,Industrials,SP500-20,0.0287713841368585,0.0610538009722444,0.13470626001828112,-0.09474657204434137,13.23,0.1962269503546099,-0.0688,7.1869,0.4142,10173870000,12.7634,2.1707,55.8316,1.8254,2.9968,0.6693,0.0803,-8.933370611183355,0.3099,0.1267,0.0595,0.1439
CP,2008-09-30,Industrials,SP500-20,-0.1859410430839002,-0.0971597816398084,-0.09474657204434137,-0.12939856173751918,10.77,0.2080103159252095,0.0486,7.0741,0.4131,8282130000,11.1093,1.7528,94.0616,1.5096,2.5613,0.6935,0.0748,-8.735544863459038,0.3343,0.1349,0.0557,0.1348
CP,2008-12-31,Industrials,SP500-20,-0.3760445682451253,-0.15046242494804,-0.12939856173751918,0.1001423204486215,6.72,0.198081841432225,0.1788,5.9801,0.3806,5167680000,9.2474,1.1252,33.8351,1.105,1.9314,0.8577,0.0603,-8.711676202860858,0.279,0.147,0.0437,0.1099
CP,2009-03-31,Industrials,SP500-20,-0.1175595238095238,-0.0008919291426957,0.1001423204486215,0.1622532075578947,5.93,0.0562208436724565,0.0197,6.382,0.4055,4981200000,9.6967,1.1513,35.5774,0.9683,1.9224,1.1928,0.0579,-7.56755,0.227,0.0516,0.0411,0.1046
CP,2009-06-30,Industrials,SP500-20,0.3423271500843171,0.1901093540144282,0.1622532075578947,-0.03777693831326148,7.96,0.1428681710213776,0.0347,6.9657,0.4294,6690380000,13.8856,1.6553,30.0392,1.1407,2.4556,0.8712,0.051,-8.021850089232599,0.2953,0.1313,0.0365,0.0875
CP,2009-09-30,Industrials,SP500-20,0.1746231155778894,0.0247732834922872,-0.03777693831326148,0.10734820540245552,9.35,0.2294131594546532,0.374,7.3933,0.4402,7863350000,15.2977,2.0264,15.7088,1.2608,2.7616,1.0095,0.0517,-7.8796147443519615,0.4154,0.1871,0.0369,0.0849
CP,2009-12-31,Industrials,SP500-20,0.1550802139037434,0.1001931458074031,0.10734820540245552,-0.08286518165121493,10.8,0.1640059101654846,-0.3473,5.2254,0.329,9097390800,18.2726,2.3256,135.9402,2.0579,3.1648,1.0221,0.0524,-8.85007912378569,0.2534,0.1278,0.036,0.0934
CP,2010-03-31,Industrials,SP500-20,0.0416666666666665,-0.0070554921661787,-0.08286518165121493,0.08083035902198021,11.25,0.1167817859254878,0.1185,5.5413,0.3381,9483750000,17.2027,2.2715,62.7099,2.0241,3.0442,1.0934,0.0607,-8.858005931198102,0.2809,0.0865,0.0404,0.121
CP,2010-06-30,Industrials,SP500-20,-0.047111111111111,0.0715108554898316,0.08083035902198021,0.0006124716365354943,10.72,0.1897907801418439,0.0415,5.5615,0.3553,9040690560,15.2827,2.0321,57.5429,1.9214,2.8524,1.1293,0.0658,-8.805818001584163,0.3219,0.1349,0.0436,0.1259
CP,2010-09-30,Industrials,SP500-20,0.1371268656716416,0.0299289201566134,0.0006124716365354943,-0.04871585309234648,12.19,0.2256314235085647,-0.475,5.8,0.3748,10306645000,17.4971,2.2116,-18.386,2.0992,3.0677,1.0037,0.0656,-8.443769367238321,0.3588,0.1533,0.0447,0.1225
CP,2010-12-31,Industrials,SP500-20,0.0631665299425759,-0.0388664778199923,-0.04871585309234648,-0.08890510157774616,12.96,0.2174381625441696,0.1652,5.6371,0.3527,10962540000,17.2664,2.2562,-86.672,2.2905,3.006,0.9335,0.0695,-8.96817260233486,0.351,0.1438,0.0476,0.1309
