ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CRC,2012-12-31,Energy,GSPE,,,,,0.0,0.0,0.0,256.1038,0.7163,0,0.0,0.0,0.0,0.0,0.0,0.4446,0.0,-95.03896103896103,0.0,0.0,0.0,0.0
CRC,2013-03-29,Energy,GSPE,,,,,0.0,5.636363636363637,9.6363,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.6135,0.207,0.1261,0.176
CRC,2013-06-28,Energy,GSPE,,,,,0.0,5.324675324675325,1.7922,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952,0.1952,0.0,0.0
CRC,2013-09-30,Energy,GSPE,,,,,0.0,6.103896103896104,7.3506,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6142,0.2122,0.0,0.0
CRC,2013-12-31,Energy,GSPE,,,,,0.0,5.5064935064935066,2.1818,259.4545,0.6986,0,0.0,0.0,0.0,0.0,0.0,0.3686,0.1739,-105.2987012987013,0.5959,0.1964,0.1215,0.1739
CRC,2014-03-31,Energy,GSPE,,,,,0.0,4.505050505050505,14.9494,201.5959,0.6907,0,0.0,0.0,0.0,0.0,0.0,0.3251,0.0876,-85.43434343434343,0.5914,0.1989,0.0608,0.0876
CRC,2014-06-30,Energy,GSPE,,,,,0.0,4.96969696969697,10.0202,86.3434,0.2898,0,0.0,0.0,0.0,0.0,0.0,0.0416,0.1285,-205.93939393939397,0.6149,0.2157,0.0627,0.1285
CRC,2014-09-30,Energy,GSPE,,,,,0.0,4.875012965460015,16.3624,281.8431,0.6941,0,0.0,0.0,0.0,0.0,-0.0236,1.0528,0.1147,-100.89720983300488,0.5705,0.1721,0.0571,0.1147
CRC,2014-12-31,Energy,GSPE,,,,,0.0,-54.221553780728144,13.0691,67.7056,0.21,0,0.0,0.0,0.0,0.0,1.5189,0.7603,-0.1445,-236.4121979047817,0.326,-2.5345,-0.1021,-0.2127
CRC,2015-03-31,Energy,GSPE,,,,,0.0,-0.2617115938236063,0.3009,6.5846,0.2051,0,0.0,0.0,0.0,0.0,1.7751,0.8897,-0.1953,-235.59585492227976,0.2824,-0.1733,-0.1423,-0.6853
