ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CSX,2003-03-31,Industrials,SP500-20,,,,-0.0972970177401383,1.584,0.0256812536187221,-0.0274,1.6402,0.3016,6121162080,12.2914,0.7682,-107.3888,0.968,1.5504,0.7234,0.0373,-3.367689946873617,0.1671,0.0491,0.0237,0.0792
CSX,2003-06-30,Industrials,SP500-20,0.0555555555555554,-0.0933751058783612,-0.0972970177401383,-0.06882515290592597,1.672,0.0329241919184848,-0.1057,1.6685,0.2988,6432066960,13.1266,0.8207,-11.7588,0.9993,1.5726,0.6958,0.0359,-3.3977743291403795,0.2301,0.0653,0.023,0.0768
CSX,2003-09-30,Industrials,SP500-20,-0.0281100478468899,-0.050141828968619,-0.06882515290592597,0.08484862012556887,1.625,-0.0267449801230269,0.0418,1.6389,0.2878,6260052500,24.0771,0.8168,-24.4533,0.9917,1.5662,0.787,0.0185,-3.4355742224206587,0.0329,-0.0547,0.0119,0.0407
CSX,2003-12-31,Industrials,SP500-20,0.2289230769230769,0.1125038307079223,0.08484862012556887,-0.1429009384594942,1.997,0.0318212792775172,-0.03,1.6694,0.2965,7730946160,31.4266,0.992,-16.4838,1.198,1.8284,0.861,0.0176,-3.4624206980636894,-1.7224,0.0629,0.0112,0.0385
CSX,2004-03-31,Industrials,SP500-20,-0.157235853780671,-0.1700874226232328,-0.1429009384594942,0.002292198565731679,1.683,0.0074113601328115,-0.0148,1.6018,0.2937,6503515920,36.743,0.8449,-15.3747,1.003,1.6924,0.8588,0.0127,-3.5083224644432023,-0.4911,0.0156,0.008,0.0273
CSX,2004-06-30,Industrials,SP500-20,0.0819964349376113,0.0690059576818126,0.002292198565731679,0.017521640388948975,1.821,0.0293987873864873,0.0234,1.6475,0.297,7041169650,41.6637,0.9083,88.0146,1.0558,1.7046,0.9155,0.0118,-3.467859775257652,0.2313,0.0595,0.0075,0.0256
CSX,2004-09-30,Industrials,SP500-20,0.0126304228445909,0.0356485590883917,0.017521640388948975,0.11283527229707267,1.844,0.0303730701988324,0.0101,1.688,0.2805,7130618920,18.0521,0.9126,-178.2654,1.043,1.7403,1.1477,0.0276,-3.934387227076777,-0.4307,0.0633,0.0168,0.0584
CSX,2004-12-31,Industrials,SP500-20,0.2077006507592189,0.1203672231645018,0.11283527229707267,0.05947559302797283,2.227,0.0165148044129529,0.0702,1.6788,0.2768,8643343320,25.4965,1.075,23.9427,1.269,1.7453,0.9053,0.0239,-3.810974038689464,-0.3362,0.0307,0.0138,0.0496
CSX,2005-03-31,Industrials,SP500-20,0.0390660080826224,0.064917612964911,0.05947559302797283,0.06216846920874529,2.314,0.1421756259410847,0.0348,1.8387,0.2984,9020203400,10.1578,1.0962,16.0216,1.2046,1.6292,1.1688,0.0617,-3.597906672481465,-0.333,0.2746,0.0357,0.1242
CSX,2005-06-30,Industrials,SP500-20,0.024200518582541,0.0151033802489008,0.06216846920874529,0.07010302688349648,2.37,0.0403013662895924,-0.0473,1.8604,0.3207,9255489900,9.9095,1.1022,33.7791,1.2151,1.6841,0.8784,0.0661,-3.5667188184171645,0.2954,0.0761,0.0382,0.1236
CSX,2005-09-30,Industrials,SP500-20,0.0894514767932488,0.0579907531301044,0.07010302688349648,0.04787902752318886,2.582,0.0398870127400091,-0.2441,1.8878,0.3231,10096394600,10.3552,1.1768,-13.0951,1.3007,1.6289,0.7792,0.0711,-3.5322098048743062,-0.1331,0.0771,0.0408,0.1267
CSX,2005-12-30,Industrials,SP500-20,0.0925639039504261,0.0767111850273381,0.04787902752318886,0.11245553611801591,2.821,0.0572533467842462,-0.0188,1.9214,0.3282,11142272960,9.7312,1.2929,-9.8256,1.4008,1.814,0.7962,0.0825,-3.520720246293445,-0.6602,0.1068,0.0474,0.1457
CSX,2006-03-31,Industrials,SP500-20,0.1775965969514356,0.1402815863392622,0.11245553611801591,0.1825247605380534,3.322,0.0586225939612507,0.0186,1.98,0.3388,13249963100,16.3378,1.4986,-11.06,1.6012,1.9886,0.8283,0.0574,-3.434080054155019,0.3037,0.1051,0.0333,0.0999
CSX,2006-06-30,Industrials,SP500-20,0.1779048765803731,0.1969570162070079,0.1825247605380534,-0.06184826673887045,3.913,0.0921581888222041,-0.0243,2.0329,0.3497,15619835140,15.077,1.7172,-14.11,1.8156,2.1443,0.7346,0.0719,-3.407001387852036,0.3568,0.161,0.0422,0.1227
CSX,2006-09-29,Industrials,SP500-20,-0.0677229746997188,-0.1194077699585238,-0.06184826673887045,-0.004554261027474887,3.648,0.0782672583480502,0.0448,2.0623,0.3474,14287866240,11.9065,1.5217,168.0925,1.6531,1.9772,0.8423,0.0821,-3.495607192918402,0.2923,0.1356,0.0485,0.1391
CSX,2006-12-29,Industrials,SP500-20,0.0487938596491227,-0.012927197916509,-0.004554261027474887,0.15726749228810252,3.826,0.0831790206689079,0.0613,2.1434,0.3558,15040541640,11.4813,1.5722,35.8962,1.682,2.0387,1.0594,0.0886,-3.4379340344022347,0.7262,0.1448,0.0523,0.1489
CSX,2007-03-30,Industrials,SP500-20,0.1630946157867224,0.1612896828139339,0.15726749228810252,0.03320175204390516,4.45,0.0575735069750303,0.0405,2.1873,0.3658,17508124500,13.4161,1.8129,34.3296,1.9201,2.2525,0.9822,0.0871,-3.354759671716979,0.2857,0.099,0.0521,0.1445
CSX,2007-06-29,Industrials,SP500-20,0.1256179775280899,0.0675615954180929,0.03320175204390516,-0.10564643727638212,5.009,0.0784445320892611,0.0198,2.2371,0.3685,19791059900,15.9734,2.0265,28.4763,2.1418,2.5304,1.1739,0.0818,-3.356027435397737,0.33,0.128,0.0495,0.1349
CSX,2007-09-28,Industrials,SP500-20,-0.0521062088241166,-0.067671462952612,-0.10564643727638212,0.08049644489452182,4.748,0.1014979805143827,0.0927,2.1888,0.3427,17965624840,13.6309,1.8241,20.4387,2.0468,2.3766,1.3745,0.0852,-3.659783869782733,0.4014,0.1627,0.052,0.1463
CSX,2007-12-31,Industrials,SP500-20,0.0292754844144901,0.0675201313104701,0.08049644489452182,0.319512277467907,4.887,0.0953185284072717,-0.0553,2.268,0.3401,17939101860,13.4274,1.7885,43.6474,2.0655,2.3624,0.9326,0.0844,-3.911430268226372,0.407,0.1416,0.0522,0.153
CSX,2008-03-31,Industrials,SP500-20,0.2748107223245347,0.3740098530777558,0.319512277467907,0.22615959498254612,6.23,0.0939283735940849,0.077,2.3393,0.3278,22702120000,15.689,2.1996,42.8341,2.5969,2.7616,1.2625,0.0879,-3.980515916575192,0.3955,0.1293,0.0554,0.166
CSX,2008-06-30,Industrials,SP500-20,0.1202247191011235,0.1525071359365093,0.22615959498254612,-0.040056424504215316,6.979,0.1030511711966355,0.0382,2.4285,0.3386,25604415620,16.979,2.3933,43.3238,2.822,2.9466,1.3208,0.0886,-3.932097318454636,0.4031,0.1324,0.0564,0.1692
CSX,2008-09-30,Industrials,SP500-20,-0.1312508955437742,-0.0424696340996824,-0.040056424504215316,-0.15826905204426583,6.063,0.1039067298376063,0.1229,2.3319,0.3218,21524983860,14.5144,1.9291,32.0789,2.5107,2.5023,0.9724,0.0884,-4.313253826523427,0.3968,0.129,0.0555,0.168
CSX,2008-12-31,Industrials,SP500-20,-0.404915058551872,-0.1793329152547866,-0.15826905204426583,0.013710713437746158,3.608,0.0693616036627419,0.0817,2.2656,0.3069,12964590320,9.4978,1.1518,11.043,1.6069,1.7531,0.9945,0.0842,-4.4051551642088445,0.4173,0.0923,0.0515,0.164
