ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
CVE,2009-03-31,Energy,GSPE,,,,,0.0,0.5420228906042055,0.0315,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2421,0.0,0.3556,0.1882,0.1788,0.4262
CVE,2009-06-30,Energy,GSPE,,,,,0.0,0.1890404578120841,0.3591,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.0557,0.0,0.0
CVE,2009-09-30,Energy,GSPE,,,,inf,0.0,0.1242746872504658,1.1049,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2383,0.0327,0.0,0.0
CVE,2009-12-31,Energy,GSPE,inf,inf,inf,0.03924209250966674,25.2,0.0530476443971253,-0.4521,12.1351,0.4416,18932986800,27.7381,1.8478,24.1458,2.0763,2.4175,1.2363,0.0903,-12.245243967528673,0.142,0.0148,0.0661,0.1497
CVE,2010-03-31,Energy,GSPE,0.0400793650793651,-0.0086427937534801,0.03924209250966674,0.11632205886751344,26.21,0.6821464646464647,0.521,12.8646,0.4463,19691808890,24.9727,1.7363,17.0875,2.0344,2.2176,1.3222,0.0514,-12.150723603736944,0.3084,0.1575,0.0372,0.0838
CVE,2010-06-30,Energy,GSPE,-0.0160244181610073,0.1025975484399354,0.11632205886751344,-0.007415783472783169,25.79,0.2339732024409657,0.0664,12.8557,0.4479,19388922000,23.5629,1.6303,20.7894,2.0007,1.9069,1.4539,0.0569,-12.209197924980048,0.193,0.0568,0.0379,0.0849
CVE,2010-09-30,Energy,GSPE,0.1155486622721985,0.0083507167571703,-0.007415783472783169,-0.053278219418176176,28.77,0.3788485009286282,0.285,13.0465,0.4576,21635040000,21.3142,1.7976,68.1867,2.1999,2.0478,1.3832,0.0761,-11.647546542553192,0.2256,0.0955,0.047,0.1039
CVE,2010-12-31,Energy,GSPE,0.1553701772679875,0.0533371695054192,-0.053278219418176176,0.021796640726387734,33.24,0.1023317021557995,-0.1233,13.1483,0.4535,25018917000,23.7694,1.9557,44.3754,2.5166,2.3673,1.1167,0.073,-12.254015345268542,0.0357,0.0224,0.0484,0.1064
CVE,2011-03-31,Energy,GSPE,0.1847172081829121,0.130496651734323,0.021796640726387734,0.0069754233432714335,39.38,0.0634823901859912,-0.1323,11.231,0.4119,29687873160,50.5373,2.2402,415.616,3.4868,2.6277,0.9576,0.0394,-12.004218166768805,0.125,0.0129,0.0275,0.0636
CVE,2011-06-30,Energy,GSPE,-0.0436769933976639,-0.0397625084499155,0.0069754233432714335,0.023994456698683053,37.66,0.8848205804749341,0.3931,11.9295,0.4398,28401025380,26.2542,1.9813,88.9511,3.1408,2.34,1.1816,0.075,-11.216624698498826,0.2558,0.1603,0.0524,0.1232
