ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
DAL,2003-03-31,Industrials,SP500-20,,,,,0.0,-3.809987029831388,-2.902,0.5917,0.0206,0,0.0,0.0,0.0,0.0,0.5992,0.5521,-0.1168,-164.10106758104132,-0.0735,-0.1477,-0.0545,-1.9184
DAL,2003-06-30,Industrials,SP500-20,,,,,0.0,1.3791095549306998,1.7162,1.923,0.0265,0,0.0,0.0,0.0,0.0,0.6117,0.7982,-0.0781,-160.42767744236568,0.1435,0.0526,-0.0388,-1.6402
DAL,2003-09-30,Industrials,SP500-20,,,,,0.0,-1.361536591295891,-0.47,0.5916,0.0192,0,0.0,0.0,0.0,0.0,0.6143,0.7512,-0.0623,-164.44059257579318,0.0612,-0.0448,-0.0315,-1.3758
DAL,2003-12-31,Industrials,SP500-20,,,,,0.0,-2.6846723001657704,-0.8005,-5.3289,-0.0254,0,0.0,0.0,0.0,0.0,0.816,0.0,-0.0646,-214.47232615146436,-0.02,-0.0853,-0.0299,9.5432
DAL,2004-03-31,Industrials,SP500-20,,,,,0.0,-3.124016177076017,-4.4882,-11.6403,-0.0392,0,0.0,0.0,0.0,0.0,0.6621,0.6871,-0.0615,-181.57334537479036,-0.0229,-0.1085,-0.0264,0.818
DAL,2004-06-30,Industrials,SP500-20,,,,,0.0,-15.78301561459929,-1.243,-26.9546,-0.1221,0,0.0,0.0,0.0,0.0,0.6734,0.6267,-0.2683,-185.58679054511293,0.0176,-0.4955,-0.1126,1.4256
DAL,2004-09-30,Industrials,SP500-20,,,,,0.0,-5.160482279173372,-3.7811,-31.5257,-0.152,0,0.0,0.0,0.0,0.0,0.7087,0.559,-0.3532,-183.8251771487741,-0.0289,-0.1668,-0.1391,1.0166
DAL,2004-12-31,Industrials,SP500-20,,,,,0.0,-16.347142022727777,-5.1385,-42.853,-0.2658,0,0.0,0.0,0.0,0.0,0.8536,0.0,-0.6339,-195.4060426682905,-0.501,-0.5694,-0.2293,1.1091
DAL,2005-03-31,Industrials,SP500-20,,,,,0.0,-7.639983527173064,-0.8023,-49.7521,-0.3049,0,0.0,0.0,0.0,0.0,0.7285,0.5641,-0.8033,-170.73102814538416,-0.1737,-0.2889,-0.2703,0.9474
DAL,2005-06-30,Industrials,SP500-20,,,,,0.0,-2.6399945567122542,-2.8032,-50.0306,-0.3239,0,0.0,0.0,0.0,0.0,0.7188,0.547,-0.5921,-156.56418752292186,0.0463,-0.0899,-0.1988,0.6324
DAL,2005-09-30,Industrials,SP500-20,,,,,0.0,-6.730010267123247,-0.2551,-52.2198,-0.4186,0,0.0,0.0,0.0,0.0,0.3281,0.8635,-1.5383,-128.8402528744131,0.0178,-0.2623,-0.2292,0.62
DAL,2005-12-30,Industrials,SP500-20,,,,,0.0,-6.533912483572857,-2.9186,-52.2237,-0.4937,0,0.0,0.0,0.0,0.0,0.3978,0.0,1.8142,-151.69205509440846,-0.0848,-0.2928,-0.1896,0.4159
DAL,2006-03-31,Industrials,SP500-20,,,,,0.0,-10.679992161473644,2.8775,-60.1452,-0.5673,0,0.0,0.0,0.0,0.0,0.2561,0.8088,1.3672,-137.40017026796934,-0.0494,-0.5563,-0.2372,0.4467
DAL,2006-06-30,Industrials,SP500-20,,,,,0.0,-11.18001085044137,0.3752,-70.3047,-0.6686,0,0.0,0.0,0.0,0.0,0.2127,0.9122,1.3736,-145.44229132038757,0.1449,-0.465,-0.3215,0.5201
DAL,2006-09-29,Industrials,SP500-20,,,,,0.0,0.2199996615389822,0.5711,-58.6849,-0.6707,0,0.0,0.0,0.0,0.0,0.2073,0.962,0.9058,-145.29026634775207,0.097,0.0109,-0.2635,0.3934
DAL,2006-12-29,Industrials,SP500-20,,,,,0.0,-10.037189789528083,-0.7448,-68.872,-0.6927,0,0.0,0.0,0.0,0.0,0.2211,0.9334,1.0629,-141.02849961487007,0.0871,-0.4665,-0.3078,0.4517
DAL,2007-03-30,Industrials,SP500-20,,,,inf,0.0,-0.6588950836289914,1.1302,-69.3157,-0.6903,0,0.0,0.0,0.0,0.0,0.1061,0.7668,0.7583,-138.61130254996553,0.2277,-0.0306,-0.2162,0.3127
DAL,2007-06-29,Industrials,SP500-20,inf,inf,inf,-0.14237271576191018,19.7,4.676850763807286,0.8548,27.826,0.2807,4741199000,-10.1524,0.2599,9.4446,0.5005,0.4536,0.8083,-0.0771,-74.84522375036357,0.2506,0.3182,-0.0174,0.2221
DAL,2007-09-28,Industrials,SP500-20,-0.0888324873096446,-0.1043977414381401,-0.14237271576191018,-0.11925257712442512,17.95,0.5568210579600101,-0.6859,24.6722,0.2974,4830614250,-16.1559,0.258,50.3188,0.4955,0.5273,0.842,-0.0166,-64.582055998365,0.2345,0.042,-0.0089,-0.0311
DAL,2007-12-31,Industrials,SP500-20,-0.1704735376044567,-0.1322288907084767,-0.11925257712442512,-0.37772960671022077,14.89,-0.1764112903225806,0.4662,25.4863,0.3119,4351245140,2.6992,0.2271,10.1664,0.4302,0.4986,0.7933,0.0816,-58.413693511186544,0.1614,-0.0149,0.0494,0.1623
DAL,2008-03-31,Industrials,SP500-20,-0.4224311618535931,-0.3232320311003719,-0.37772960671022077,-0.23127442644415874,8.6,-16.149821821214648,-0.7026,9.9855,0.1476,2512662000,-0.5405,0.1276,-34.42,0.6359,0.422,0.7988,-0.2697,-59.81106889824417,0.1288,-1.3407,-0.157,-0.6609
DAL,2008-06-30,Industrials,SP500-20,-0.3372093023255813,-0.3049268854901955,-0.23127442644415874,0.39821201489920804,5.7,-2.636363636363636,1.8358,9.3964,0.1345,1732184400,-0.2378,0.0858,4.7718,0.4655,0.3334,0.8813,-0.5619,-55.16104405512485,0.1809,-0.1898,-0.2677,-1.8988
DAL,2008-09-30,Industrials,SP500-20,0.3070175438596491,0.3957988053037409,0.39821201489920804,0.7849010400646532,7.45,-0.1262626262626262,-3.2146,6.0378,0.0934,2298637900,-0.3042,0.1112,-3.5972,0.9613,0.4108,0.8084,-0.5951,-57.42816213027724,0.1654,-0.0087,-0.2837,-2.4718
DAL,2008-12-31,Industrials,SP500-20,0.5382550335570471,0.7638371768541323,0.7849010400646532,-0.2910241592322561,11.46,-2.102339181286549,-3.2909,1.2777,0.0193,8000650020,-0.8967,0.3524,-2.6018,9.154,0.8346,0.809,-0.5156,-50.47146906695964,-0.014,-0.2142,-0.2524,-5.4652
