ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
DD,2003-03-31,Materials,SP500-15,,,,-0.008583656776838436,39.28,0.2484472049689441,2.0169,25.7567,0.1975,11987509680,-32.6635,0.4073,8.782,1.5214,0.7474,1.2921,-0.017,-66.56050016219882,0.0966,0.0094,-0.0092,-0.0462
DD,2003-06-30,Materials,SP500-15,0.1214358452138491,-0.0274948162200675,-0.008583656776838436,-0.00566864491687144,44.05,1.278880572730231,2.0598,26.7002,0.2026,13485114600,-63.609,0.4428,6.8731,1.6435,0.7478,1.2777,-0.0097,-65.46849071642298,0.1361,0.0476,-0.0052,-0.0263
DD,2003-09-30,Materials,SP500-15,0.0510783200908059,0.0290465389690768,-0.00566864491687144,0.05288774834951604,46.3,1.0750146519316264,3.1797,26.966,0.2066,14206923500,-1775.8654,0.4526,5.7124,1.7059,0.7419,1.3373,-0.0003,-64.31911877332203,0.1237,0.0416,-0.0001,-0.0009
DD,2003-12-31,Materials,SP500-15,0.2775377969762419,0.1611185507610872,0.05288774834951604,-0.008305920186616498,59.15,2.978518756011542,2.3565,30.6219,0.2279,18286163350,10.57,0.5603,6.1631,1.9145,0.8462,1.3637,0.077,-62.55236148265076,0.1238,0.1114,0.042,0.1935
DD,2004-03-31,Materials,SP500-15,-0.0311073541842771,-0.0439589230268389,-0.008305920186616498,-0.009212448338762497,57.31,1.4917302798982188,-0.3085,31.3994,0.2357,17884043980,8.4239,0.5281,7.9378,1.8115,0.8183,1.3859,0.0914,-60.17471111139596,0.1367,0.0503,0.0506,0.2186
DD,2004-06-30,Materials,SP500-15,0.0104693770720641,-0.0025211001837345,-0.009212448338762497,0.08019551954301407,57.91,2.1679547799446777,0.9906,32.6079,0.2442,18134169040,7.5089,0.5113,9.3813,1.76,0.7906,1.5256,0.1035,-58.44914799581024,0.1397,0.0695,0.0574,0.2394
DD,2004-09-30,Materials,SP500-15,0.1099982731825247,0.1330164094263255,0.08019551954301407,0.01631883467981997,64.28,1.9455559654782064,1.8761,34.4713,0.2521,20204682440,7.4832,0.5379,13.069,1.8482,0.7867,1.4564,0.1146,-57.380465317523694,0.1316,0.0612,0.0631,0.2542
DD,2004-12-31,Materials,SP500-15,0.0958307405102675,0.0084973129155504,0.01631883467981997,-0.006038565244212907,70.44,3.177129621314638,2.1335,39.3858,0.2771,22374702480,7.9995,0.5571,14.9164,1.7591,0.7672,1.5124,0.1128,-54.388273591023854,0.1363,0.0938,0.0626,0.2365
DD,2005-03-31,Materials,SP500-15,0.0069562748438388,0.0328078797261274,-0.006038565244212907,-0.007333992187990385,70.93,4.177215189873418,2.4853,42.368,0.2985,22727248740,6.1742,0.5343,9.4618,1.6561,0.7101,1.616,0.1408,-48.2182648914855,0.1882,0.1158,0.0801,0.2784
DD,2005-06-30,Materials,SP500-15,-0.1067249400817708,-0.1158220784154111,-0.007333992187990385,-0.07674431856635709,63.36,3.887523048555624,3.2022,44.1825,0.3202,20372077440,4.781,0.4615,6.5065,1.4169,0.6161,1.6802,0.1619,-44.9010820174852,0.1725,0.1104,0.0937,0.3032
DD,2005-09-30,Materials,SP500-15,-0.0642361111111111,-0.0956968347742555,-0.07674431856635709,-0.05443019526623596,59.29,2.4560532052874136,2.2046,45.9812,0.3278,19074008030,4.2911,0.4208,5.8599,1.2719,0.5699,1.7321,0.1699,-43.17904179890397,0.1324,0.0711,0.098,0.3026
DD,2005-12-30,Materials,SP500-15,0.0516107269354023,0.0357580080123143,-0.05443019526623596,-0.14154097780176572,62.35,3.339427178549665,4.1803,47.7148,0.3409,20100704750,4.4519,0.434,5.1042,1.2835,0.5495,1.6321,0.1706,-39.92121221520853,0.1485,0.0919,0.0985,0.2945
DD,2006-03-31,Materials,SP500-15,-0.0734562951082598,-0.1107713057204331,-0.14154097780176572,-0.02841716371661648,57.77,3.713673906393392,1.2664,50.0122,0.3588,18519328900,4.232,0.397,5.2211,1.1327,0.5203,1.7408,0.1619,-37.28982749477493,0.1691,0.1009,0.0956,0.2734
DD,2006-06-30,Materials,SP500-15,-0.0387744504067855,-0.0197223107801508,-0.02841716371661648,0.010013983069886044,55.53,3.145756457564576,2.3923,52.7613,0.3718,17757383400,4.2954,0.3722,5.4088,1.0349,0.499,1.8119,0.1501,-36.23428607167428,0.1355,0.0817,0.0901,0.2467
DD,2006-09-29,Materials,SP500-15,-0.0012605798667387,-0.0529453751255437,0.010013983069886044,-0.08376329695399287,55.46,1.583668419424683,1.4166,53.0343,0.3681,17658297620,4.5925,0.3618,5.8432,1.0298,0.4853,1.7724,0.1387,-36.27860815271501,0.1272,0.0414,0.0829,0.2241
DD,2006-12-29,Materials,SP500-15,0.0236206274792643,-0.0381004300863674,-0.08376329695399287,0.06556413518035359,56.77,3.0120481927710845,1.8226,53.8461,0.3823,18129499500,4.8682,0.369,8.0935,1.0401,0.4734,1.6233,0.1352,-34.26334742445593,0.122,0.0796,0.0808,0.2154
DD,2007-03-30,Materials,SP500-15,0.1493746697199224,0.1475697367471339,0.06556413518035359,-0.10127908600012267,65.25,2.9910851521672304,0.7377,54.4205,0.3845,20732991750,5.9526,0.4185,10.0353,1.1711,0.5277,1.6344,0.1264,-33.05460004343078,0.129,0.0782,0.076,0.1982
DD,2007-06-29,Materials,SP500-15,-0.0357088122605363,-0.0937651943705333,-0.10127908600012267,-0.06976629467678284,62.92,3.220047975305734,3.0588,56.4639,0.3883,19925883120,5.6947,0.3962,8.7586,1.0936,0.5137,1.5959,0.125,-33.683206709485106,0.1194,0.0783,0.0752,0.1948
DD,2007-09-28,Materials,SP500-15,-0.0262237762237762,-0.0417890303522716,-0.06976629467678284,-0.08013754655455226,61.27,1.2574102964118563,2.5397,57.6224,0.3874,19287734730,5.6895,0.3743,7.3309,1.0443,0.4922,1.5825,0.1193,-34.77774707035283,0.1072,0.0296,0.0716,0.1848
DD,2007-12-31,Materials,SP500-15,-0.0845438224253305,-0.0462991755293504,-0.08013754655455226,-0.02976889355023383,56.09,1.4788542639253557,8.2214,60.7489,0.3973,17581690950,6.0899,0.3285,3.7688,0.9067,0.4377,1.4989,0.1001,-34.32071589223334,0.0994,0.0331,0.0598,0.1525
DD,2008-03-31,Materials,SP500-15,-0.0652522731324657,0.0339468576207553,-0.02976889355023383,-0.09142543915695978,52.43,2.9665825977301385,1.6551,64.9716,0.4068,16260640200,5.6954,0.2908,3.2849,0.789,0.3931,1.5022,0.0944,-31.95976010833817,0.1105,0.0634,0.0574,0.1427
DD,2008-06-30,Materials,SP500-15,-0.0526416173946213,-0.0203592005592355,-0.09142543915695978,0.13964736036390335,49.67,2.433470761625252,3.12,65.0522,0.3905,15314353740,5.9404,0.2596,3.1,0.7518,0.3613,1.4826,0.0813,-33.89962441862728,0.087,0.0466,0.0501,0.1258
DD,2008-09-30,Materials,SP500-15,-0.0895913025971411,-0.0008100411530493,0.13964736036390335,-0.21089728540323927,45.22,1.3747338059248455,1.5353,61.6638,0.3826,13924413720,5.3493,0.2291,3.0244,0.7253,0.3276,1.3906,0.0817,-36.66790072939602,0.072,0.0278,0.0508,0.1315
DD,2008-12-31,Materials,SP500-15,-0.5252100840336135,-0.2996279407365281,-0.21089728540323927,-0.41334669458002915,21.47,-5.00161134386078,5.1563,43.764,0.2986,6615229050,11.4252,0.1152,1.8478,0.4871,0.2065,1.2252,0.0202,-51.389903120588095,0.0142,-0.143,0.0121,0.0353
DD,2009-03-31,Materials,SP500-15,-0.4415463437354447,-0.3248787490686166,-0.41334669458002915,0.7595930222499974,11.99,0.0772533846639155,-0.8948,42.4217,0.2984,3700245890,-10.9474,0.0716,1.3324,0.2807,0.2255,1.6002,-0.013,-49.816759609994456,0.0723,0.0026,-0.0075,-0.0252
DD,2009-06-30,Materials,SP500-15,0.914929107589658,0.7627113115197692,0.7595930222499974,0.4054232755189381,22.96,-1.408018170967013,0.1361,47.0005,0.3056,8752489760,-6.0612,0.1878,4.7387,0.5395,0.6029,1.6521,-0.0408,-72.30211486702727,0.1028,-0.0303,-0.0261,-0.0864
DD,2009-09-30,Materials,SP500-15,0.6154181184668991,0.4655682863812969,0.4054232755189381,-0.009105572094315117,37.09,1.903278135590498,-0.9583,46.1631,0.3169,14140265780,-13.1415,0.3268,13.9864,0.8199,0.7441,1.5426,-0.0239,-70.18639079639703,0.1013,0.066,-0.0161,-0.0518
DD,2009-12-31,Materials,SP500-15,0.0598544081962792,0.004967340099939,-0.009105572094315117,0.04613828490173852,39.31,0.2315061202767429,1.4954,45.5667,0.3199,15071650550,23.2587,0.3358,-558.2092,0.8801,0.6992,1.4911,0.0144,-66.12328999360989,0.0911,0.0137,0.0097,0.0305
DD,2010-03-31,Materials,SP500-15,0.0702111422030017,0.0214889833701563,0.04613828490173852,-0.040596294481085926,42.07,1.2285789612443976,-0.5378,45.0619,0.3122,16195519620,13.7834,0.3288,344.5855,0.9475,0.6519,1.4297,0.0263,-65.31226134256012,0.107,0.041,0.0175,0.0556
DD,2010-06-30,Materials,SP500-15,-0.197765628714048,-0.0791436621131052,-0.040596294481085926,-0.014874132644710214,33.75,1.487387427634397,7.3554,45.113,0.3276,13048357500,6.013,0.2531,4.6617,0.76,0.5447,1.5044,0.0491,-60.38777294383603,0.1169,0.0478,0.0328,0.1027
DD,2010-09-30,Materials,SP500-15,0.1576296296296296,0.0504316841146014,-0.014874132644710214,0.058197117270131354,39.07,1.340900341248661,1.4456,48.7228,0.3424,15116378350,7.6693,0.2886,4.0755,0.8125,0.5713,1.5707,0.0449,-58.74310231193704,0.1224,0.0463,0.0301,0.09
DD,2010-12-31,Materials,SP500-15,0.2431533145636037,0.1411203068010355,0.058197117270131354,0.0651355189887121,48.57,1.1083186338021571,2.8592,48.5006,0.3253,18897227040,8.1806,0.352,4.4505,1.0136,0.6048,1.7364,0.0503,-58.64210223300572,0.107,0.0371,0.034,0.1021
DD,2011-03-31,Materials,SP500-15,0.1058266419600576,0.0516060855114685,0.0651355189887121,-0.03260483678919219,53.71,1.614711702913715,-1.4984,51.2496,0.3482,21046746890,8.5244,0.3827,5.4384,1.0609,0.6648,1.7701,0.0529,-55.17801045784326,0.1441,0.0481,0.0357,0.1062
DD,2011-06-30,Materials,SP500-15,-0.0463600819214299,-0.0424455969736815,-0.03260483678919219,-0.126441810260043,51.22,2.5376906498245324,0.5969,54.3691,0.3658,20167311580,6.9904,0.3512,15.4894,0.9585,0.6349,1.8262,0.0626,-52.59575505601426,0.1222,0.0664,0.0421,0.118
