ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
DVN,2003-03-31,Energy,GSPE,,,,0.04347363804653773,24.11,1.3312883435582823,1.046,16.3711,0.2994,7567019940,15.7646,1.4883,4.5944,1.4178,2.8143,1.1243,0.0381,-34.57977276058295,0.593,0.2609,0.0281,0.096
DVN,2003-06-30,Energy,GSPE,0.1074243052675238,-0.0415063561663928,0.04347363804653773,-0.10163855095020347,26.7,0.7986425339366516,0.8054,21.8348,0.3768,12380149200,13.1703,2.1538,11.8244,1.2827,3.5064,0.8321,0.0593,-30.452298587807004,0.6166,0.1963,0.0432,0.1254
DVN,2003-09-30,Energy,GSPE,-0.0973782771535579,-0.119410058275287,-0.10163855095020347,0.042349598835931146,24.1,0.8506224066390041,0.6597,21.139,0.3924,11384984600,8.8392,1.7081,8.8461,1.1173,2.8696,1.1178,0.068,-29.360338353026844,0.6427,0.2114,0.0499,0.1298
DVN,2003-12-31,Energy,GSPE,0.187966804979253,0.0715475587640983,0.042349598835931146,-0.030280247620162168,28.63,1.1297071129707112,0.7217,23.1276,0.407,13518513400,7.7381,1.8387,9.94,1.2228,2.7405,1.1414,0.0909,-29.103308060485407,0.6276,0.2828,0.0657,0.1644
DVN,2004-03-31,Energy,GSPE,0.0157177785539643,0.0028662097114025,-0.030280247620162168,0.06497751506425214,29.08,0.9979716024340772,0.6977,23.3853,0.4181,13946477200,7.7265,1.7611,10.2321,1.2096,2.5726,0.9981,0.0913,-27.861298192205844,0.651,0.2207,0.0659,0.1598
DVN,2004-06-30,Energy,GSPE,0.1348005502063274,0.1218100729505287,0.06497751506425214,-0.028117705556441122,33.0,1.002008032128514,0.765,24.02,0.4381,15955104000,8.1779,1.9165,11.495,1.3338,2.5968,0.9928,0.099,-26.840376596730422,0.6579,0.2262,0.071,0.166
DVN,2004-09-30,Energy,GSPE,0.076060606060606,0.0990787423044068,-0.028117705556441122,0.05385563827038507,35.51,1.03,1.17,25.308,0.4426,17258641220,8.3942,1.9966,10.4281,1.3638,2.5543,1.0185,0.1051,-26.570813666871047,0.6643,0.228,0.0735,0.167
DVN,2004-12-31,Energy,GSPE,0.096029287524641,0.0086958599299239,0.05385563827038507,0.05613802689921485,38.92,1.3346613545816732,1.0816,27.237,0.4554,18833738280,8.6156,2.0728,10.1639,1.3774,2.5372,1.249,0.1069,-25.787906403889988,0.6536,0.2849,0.0745,0.166
DVN,2005-03-31,Energy,GSPE,0.2268756423432681,0.2527272472255567,0.05613802689921485,0.04609090761671803,47.75,1.1310483870967742,1.9213,27.4858,0.4444,22620846250,10.0314,2.459,9.1879,1.6592,2.8699,1.1609,0.1078,-26.75968632252209,0.6533,0.2394,0.0742,0.1651
DVN,2005-06-30,Energy,GSPE,0.0613612565445026,0.0522641182108623,0.04609090761671803,0.17689483191990996,50.68,1.3800424628450103,3.4331,28.2335,0.4543,22969088240,9.5465,2.4311,6.2112,1.7272,2.7635,1.4069,0.1173,-25.352038092044005,0.6803,0.2645,0.0802,0.1786
DVN,2005-09-30,Energy,GSPE,0.3543804262036306,0.3229197025404862,0.17689483191990996,-0.01155987596631905,68.64,1.6343612334801765,0.6806,30.7114,0.4723,30496752000,11.5825,3.0851,8.9119,2.1872,3.4256,1.2212,0.1309,-26.603646185010128,0.7174,0.2751,0.0895,0.1932
DVN,2005-12-30,Energy,GSPE,-0.0888694638694638,-0.1047221827925518,-0.01155987596631905,-0.10789312059145319,62.54,2.0706638115631693,2.2933,31.8222,0.4909,27731424260,9.4646,2.7656,7.0206,1.866,3.133,1.4335,0.1409,-25.26955317656663,0.6629,0.3873,0.0979,0.2034
DVN,2006-03-31,Energy,GSPE,-0.0219059801726894,-0.0592209907848628,-0.10789312059145319,-0.05088974844828135,61.17,1.55456570155902,0.6503,34.0779,0.4973,26914004790,8.7753,2.6448,8.183,1.7589,3.011,1.2962,0.1413,-26.52123812749013,0.6632,0.28,0.1004,0.2033
DVN,2006-06-30,Energy,GSPE,-0.0124243910413602,0.0066277485852745,-0.05088974844828135,0.0666960916696365,60.41,1.9192825112107623,-4.8497,36.9775,0.492,26643890910,8.1405,2.649,-54.2645,1.6155,3.1057,0.7253,0.1408,-31.697014630961046,0.714,0.3655,0.1018,0.2058
DVN,2006-09-29,Energy,GSPE,0.0453567290183744,-0.0063280662404305,0.0666960916696365,-0.04508890249251202,63.15,1.5727069351230425,1.4384,38.5145,0.5029,27912363150,8.6309,2.8328,-177.7857,1.6213,3.304,0.7673,0.1315,-31.852869111155854,0.6574,0.2821,0.0954,0.1918
