ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
EFX,2003-03-31,Industrials,SP500-20,,,,0.14779775186688762,19.99,0.3201754385964912,0.1827,1.8633,0.1638,2818510040,15.6583,2.4769,12.639,11.0573,3.0639,0.6691,0.154,-7.155522142472127,0.3444,0.1452,0.1175,0.7564
EFX,2003-06-30,Industrials,SP500-20,0.3006503251625814,0.1517196637286646,0.14779775186688762,-0.18417664352057453,26.0,0.3058394160583941,0.5007,2.3781,0.2022,3648242000,20.9068,3.0737,15.1946,11.1977,3.7992,1.3916,0.1434,-6.990599856040252,0.3451,0.1321,0.1102,0.6009
EFX,2003-09-30,Industrials,SP500-20,-0.1434615384615384,-0.1654933195832675,-0.18417664352057453,-0.043939746424809384,22.27,0.375366568914956,0.6488,2.5417,0.2175,3097244790,16.5805,2.566,10.2523,8.9335,3.2354,1.3259,0.152,-6.855195323453914,0.3683,0.1652,0.1166,0.5555
EFX,2003-12-31,Industrials,SP500-20,0.1001347103726987,-0.0162845358424559,-0.043939746424809384,0.06821246634158501,24.5,0.2052785923753665,0.7199,2.7236,0.2391,3383450000,20.5181,2.7946,12.0708,9.1075,3.3097,0.8058,0.1368,-6.487328023171615,0.3953,0.0991,0.1048,0.4592
EFX,2004-03-31,Industrials,SP500-20,0.0538775510204081,0.0410259821778464,0.06821246634158501,-0.12114497998148463,25.82,0.382679496669134,0.2139,2.943,0.2499,3536591220,20.4663,2.9012,12.444,8.8948,3.4123,0.8602,0.1429,-6.461951800016061,0.3526,0.1668,0.1099,0.4493
EFX,2004-06-30,Industrials,SP500-20,-0.0414407436096049,-0.0544312208654036,-0.12114497998148463,0.06994172259486305,24.75,0.5474943904263276,0.4771,3.181,0.2785,3371593500,16.5193,2.7695,12.0672,7.9275,3.2896,1.1151,0.1719,-5.97536446786957,0.3576,0.232,0.1309,0.496
EFX,2004-09-30,Industrials,SP500-20,0.065050505050505,0.0880686412943058,0.06994172259486305,-0.028856273758049084,26.36,0.4015094339622641,0.615,3.4815,0.3051,3560893320,17.2775,2.9009,13.0722,7.7192,3.2184,0.5791,0.1797,-5.742965644362522,0.3576,0.1663,0.1356,0.4649
EFX,2004-12-31,Industrials,SP500-20,0.0660091047040972,-0.0213243228906198,-0.028856273758049084,0.11258040345068845,28.1,0.4336349924585219,0.6711,3.9487,0.3362,3773830000,16.0179,2.986,14.3382,7.2074,3.2601,0.6557,0.2031,-5.465376023827252,0.3694,0.1804,0.1535,0.4784
EFX,2005-03-31,Industrials,SP500-20,0.092170818505338,0.1180224233876266,0.11258040345068845,0.20153914645546456,30.69,0.4425981873111782,0.3021,4.2726,0.3386,3980493000,16.4144,3.0682,14.5114,7.0364,3.3348,0.6374,0.1971,-5.964533538936006,0.3549,0.1706,0.1502,0.4452
EFX,2005-06-30,Industrials,SP500-20,0.1635711958292603,0.15447405749562,0.20153914645546456,-0.04091103742025369,35.71,0.4717407686510927,0.529,4.6872,0.3721,4631587000,19.9723,3.4427,16.5001,7.4462,3.7059,0.6754,0.1806,-5.710871241326137,0.3489,0.1722,0.1387,0.3905
EFX,2005-09-30,Industrials,SP500-20,-0.0215625875105013,-0.0530233111736457,-0.04091103742025369,0.043466239771961485,34.94,0.4716981132075472,0.6664,5.2656,0.4072,4535212000,18.8027,3.2378,15.7746,6.5002,3.5785,1.0283,0.1862,-5.47457627118644,0.3405,0.1665,0.1425,0.3655
EFX,2005-12-30,Industrials,SP500-20,0.0881511161991987,0.0722983972761107,0.043466239771961485,-0.08565657898176271,38.02,0.4793893129770992,0.7106,6.2618,0.4478,4920320280,19.9607,3.4088,16.8735,5.9981,3.7041,0.9521,0.1838,-5.646993370114516,0.3534,0.1738,0.139,0.3247
EFX,2006-03-31,Industrials,SP500-20,-0.020515518148343,-0.0578305287605163,-0.08565657898176271,-0.07325337060730362,37.24,0.4783269961977186,0.4083,6.5201,0.4563,4785340000,19.0803,3.2464,15.6742,5.5812,3.5262,1.0217,0.1794,-5.469260700389105,0.3483,0.1681,0.1351,0.2989
EFX,2006-06-30,Industrials,SP500-20,-0.0778732545649838,-0.0588211149383491,-0.07325337060730362,0.07489043306277023,34.34,0.5337423312883436,0.572,6.8458,0.4739,4371482000,16.9568,2.9176,14.1152,4.8969,3.1749,1.0316,0.1815,-5.251374705420267,0.3015,0.1795,0.137,0.2946
EFX,2006-09-29,Industrials,SP500-20,0.0690157251019218,0.0173309298431168,0.07489043306277023,0.05261755625067011,36.71,0.6144859813084113,0.7242,7.1503,0.4847,4614447000,16.8287,3.0406,14.6769,5.026,3.2786,1.0654,0.1925,-5.043754972155927,0.3573,0.1999,0.1451,0.3028
EFX,2006-12-29,Industrials,SP500-20,0.1059656769272677,0.0442446193616359,0.05261755625067011,-0.10804387226709279,40.6,0.4956794972505892,0.7761,6.5836,0.468,5062820000,18.4437,3.2741,15.8163,6.0408,3.3427,0.593,0.1982,-4.870088211708099,0.3351,0.1617,0.1489,0.3126
EFX,2007-03-30,Industrials,SP500-20,-0.1022167487684728,-0.1040216817412614,-0.10804387226709279,0.126239467245582,36.45,0.5420267085624509,0.3951,7.2867,0.5063,4561134300,16.2549,2.8915,14.402,4.9171,2.9418,0.6578,0.2059,-4.249045023734556,0.764,0.1703,0.1549,0.3178
EFX,2007-06-29,Industrials,SP500-20,0.2186556927297667,0.1605993106197698,0.126239467245582,-0.19536823385523722,44.42,0.5057720057720058,0.5122,12.4617,0.4779,6255402080,22.2532,3.8045,19.9789,3.6217,4.1173,0.8732,0.1302,-8.952309265466114,0.3287,0.1542,0.1032,0.2117
EFX,2007-09-28,Industrials,SP500-20,-0.1418280054029717,-0.1573932595314671,-0.19536823385523722,0.005050970973211132,38.12,0.4829302987197724,0.4637,9.7972,0.3957,5025702680,18.6068,2.8848,17.6155,3.6484,3.5472,0.9429,0.0944,-12.582012909685298,0.3413,0.1378,0.0761,0.1739
EFX,2007-12-31,Industrials,SP500-20,-0.0461699895068205,-0.0079253426108404,0.005050970973211132,-0.007003615373679446,36.36,0.4906646751306945,1.0821,10.4495,0.397,4715892000,17.2933,2.5589,14.2302,3.3704,3.1469,0.7771,0.0978,-13.10485736314572,0.3219,0.1338,0.0778,0.1964
EFX,2008-03-31,Industrials,SP500-20,-0.0517051705170517,0.0474939602361693,-0.007003615373679446,0.08099288052179382,34.48,0.4973504920514761,0.352,10.9235,0.4064,4454816000,16.536,2.2952,13.5983,3.0871,2.9541,1.3526,0.0959,-12.860681114551085,0.3261,0.1305,0.0761,0.1895
EFX,2008-06-30,Industrials,SP500-20,-0.0249419953596287,0.0073404214757571,0.08099288052179382,0.11588215694080833,33.62,0.538403041825095,0.6441,11.2699,0.4178,4323532000,16.0071,2.1744,12.6678,2.9173,2.7481,0.9976,0.0955,-12.6850699844479,0.3301,0.141,0.0761,0.1846
