ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
ENB,2003-03-31,Energy,GSPE,,,,0.13202248714143,7.45,0.0534021871202916,-0.0276,1.891,0.3313,5057060000,13.4719,1.7156,79.5886,2.0308,3.0944,0.9102,0.0479,-6.98928403064231,0.244,0.1075,0.0436,0.1304
ENB,2003-06-30,Energy,GSPE,0.1959731543624161,0.0470424929284993,0.13202248714143,-0.0042602737966455,8.91,0.2497853458737864,0.1831,2.5184,0.3365,6096204180,14.4414,1.8654,46.7303,1.836,3.2682,1.1705,0.0496,-7.344352073522577,0.3062,0.2403,0.0444,0.1329
ENB,2003-09-30,Energy,GSPE,0.0,-0.022031781121729,-0.0042602737966455,0.015998955472839693,8.91,0.0484772213534417,0.0278,2.2006,0.3642,6113569770,12.43,1.8476,61.8638,2.0244,3.2271,1.1831,0.0548,-7.24623440749577,0.2716,0.0927,0.0497,0.1422
ENB,2003-12-31,Energy,GSPE,0.1616161616161615,0.0451969154010068,0.015998955472839693,-0.06338933052195257,10.35,0.0006644469969031,-0.3851,4.4207,0.2952,7118626500,14.4964,1.6935,-329.4287,2.3412,2.8576,0.8835,0.0531,-8.611624187615407,0.1222,0.0052,0.0485,0.1479
ENB,2004-03-31,Energy,GSPE,-0.017391304347826,-0.0302428731903878,-0.06338933052195257,-0.1701180203928127,10.17,0.0615190517742873,0.0699,2.2232,0.3371,6992892000,13.82,1.5239,62.9825,2.2872,2.483,0.8817,0.0533,-7.735029086678301,0.2725,0.0833,0.0478,0.1513
ENB,2004-06-30,Energy,GSPE,-0.1002949852507374,-0.1132854625065361,-0.1701180203928127,0.03352660641573975,9.15,0.1330301047120418,0.3266,2.2905,0.3681,6291540000,17.7283,1.3823,19.7347,1.9973,2.3137,0.8624,0.0383,-7.4451876090750435,0.278,0.1356,0.0347,0.0987
ENB,2004-09-30,Energy,GSPE,0.1377049180327868,0.1607230542765876,0.03352660641573975,0.15859484258051826,10.41,0.0801598957471454,0.1431,1.9453,0.3824,7157916000,16.9175,1.4252,13.5165,2.1141,2.2725,0.9918,0.0464,-7.322363292611984,0.1757,0.1123,0.0421,0.1123
ENB,2004-12-31,Energy,GSPE,0.2007684918347742,0.1134350642400571,0.15859484258051826,-0.1411376154440534,12.5,0.1172684431199972,-0.7916,5.174,0.3014,8657700000,17.1908,1.5426,35.1631,2.4158,2.5093,0.8559,0.0505,-9.55071785809164,0.1789,0.0458,0.0449,0.1328
ENB,2005-03-31,Energy,GSPE,0.0295999999999999,0.0554516048822884,-0.1411376154440534,0.09195575829832271,12.87,0.1309830061074621,0.3482,2.799,0.3039,8911188000,14.9695,1.346,14.0923,2.2985,2.3484,1.1076,0.0527,-10.835215193529752,0.206,0.0869,0.047,0.1553
ENB,2005-06-30,Energy,GSPE,0.1072261072261072,0.098128968892467,0.09195575829832271,-0.05748559428372062,14.25,0.0889933636144953,0.2236,4.5625,0.3092,9866700000,20.2213,1.5109,26.4711,2.5499,2.4622,0.9333,0.0418,-10.514087232813402,0.2378,0.0606,0.0376,0.1227
ENB,2005-09-30,Energy,GSPE,0.12,0.0885392763368556,-0.05748559428372062,0.057259462589861615,15.96,0.0831470248411322,-0.2948,5.7759,0.2957,11050704000,27.2156,1.6535,-137.3748,2.7632,2.6029,0.8795,0.034,-11.053671288272676,0.1887,0.0419,0.0303,0.1005
ENB,2005-12-30,Energy,GSPE,-0.0200501253132832,-0.0359028442363712,0.057259462589861615,-0.16271348312976125,15.64,0.229891442794926,-0.4735,6.3887,0.2882,10916375920,23.225,1.5432,68.5387,2.6221,2.4859,0.9461,0.0371,-11.317113146832709,0.17,0.0658,0.0327,0.1122
ENB,2006-03-31,Energy,GSPE,-0.0767263427109975,-0.1140413533231708,-0.16271348312976125,0.020398908521056698,14.44,0.236390083118372,0.6946,6.1555,0.2959,10076232000,22.2122,1.2813,62.3132,2.3458,2.1356,0.9292,0.0349,-11.497790197764402,0.1494,0.0575,0.0305,0.1045
ENB,2006-06-30,Energy,GSPE,0.0588642659279778,0.0779164055546125,0.020398908521056698,0.07758527501228227,15.29,0.2031814273430782,0.3063,6.407,0.3039,10669362000,20.5141,1.2284,57.4093,2.3864,2.0733,1.0695,0.0398,-11.882287188306105,0.1644,0.0685,0.0347,0.1157
ENB,2006-09-29,Energy,GSPE,0.0562459123610202,0.0045611171022152,0.07758527501228227,-0.042306201713738154,16.15,0.1226225279449699,-0.397,6.4273,0.2916,11269470000,20.5582,1.2201,99.7845,2.5127,2.0366,0.9877,0.0405,-12.525831183720264,0.1674,0.0444,0.0355,0.1194
ENB,2006-12-29,Energy,GSPE,0.065015479876161,0.0032944223105292,-0.042306201713738154,-0.06779210893279397,17.2,0.2258333092334879,-0.4982,6.8644,0.2897,12103364800,22.137,1.2938,128.5499,2.6837,2.0851,0.9473,0.0392,-12.322173020844584,0.1747,0.062,0.0344,0.1186
