ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
ERF,2003-03-31,Energy,GSPE,,,,0.15264641002327267,19.16,0.7756569548985006,1.0303,13.0853,0.6048,1594476040,11.9814,3.2105,9.0043,1.4627,3.8886,0.7484,0.1,-7.655307081315565,0.822,0.3687,0.0789,0.127
ERF,2003-06-30,Energy,GSPE,0.2165970772442588,0.067666415810342,0.15264641002327267,0.11328584374947215,23.31,0.4875514956116783,0.4627,13.9726,0.6113,2072212380,13.2214,3.687,11.438,1.7709,4.3557,0.6791,0.1054,-7.575625998335171,0.5604,0.2449,0.0843,0.1386
ERF,2003-09-30,Energy,GSPE,0.1175461175461176,0.0955143364243885,0.11328584374947215,0.02328874395264738,26.05,0.3666440575778129,0.4374,10.5448,0.6661,2329573350,12.7863,3.6782,10.3745,1.8499,4.1195,0.5309,0.1181,-6.508481778433806,0.7483,0.2627,0.0957,0.1499
ERF,2003-12-31,Energy,GSPE,0.1689059500959692,0.0524867038808145,0.02328874395264738,-0.08343644981944673,30.45,0.4011701236897052,0.6081,15.0471,0.6916,2872927050,15.3568,4.15,12.2672,2.0236,4.437,1.2194,0.1162,-5.358647150473243,0.45,0.206,0.0948,0.1396
ERF,2004-03-31,Energy,GSPE,-0.0374384236453202,-0.050289992487882,-0.08343644981944673,-0.0988233763225597,29.31,0.3636728359217458,0.7327,14.465,0.6612,2775275970,17.6869,3.9671,12.744,2.0256,4.3797,0.5414,0.0939,-6.778227211760854,0.7857,0.1887,0.076,0.1124
ERF,2004-06-30,Energy,GSPE,-0.0290003411804844,-0.041990818436283,-0.0988233763225597,0.03847804818618557,28.46,0.3796948109429667,0.5974,16.0653,0.6388,2951956580,19.4065,4.0066,12.5236,1.9363,4.5952,0.5809,0.0841,-7.615533681054346,0.7598,0.1767,0.0682,0.1051
ERF,2004-09-30,Energy,GSPE,0.1426563598032326,0.1656744960470335,0.03847804818618557,0.07437001618239834,32.52,0.3858336618810881,-2.7395,15.0987,0.629,3378015000,22.7552,4.147,-33.3065,2.1513,4.7043,0.3677,0.0745,-8.12117448856799,0.803,0.1641,0.0608,0.0959
ERF,2004-12-31,Energy,GSPE,0.1165436654366543,0.0292102378419372,0.07437001618239834,-0.17211464656495679,36.31,0.9697791367390698,4.5483,15.9642,0.6274,3780742440,17.8794,4.0541,12.0317,2.2771,4.5759,0.4552,0.1013,-8.526170719526718,0.7772,0.3342,0.0822,0.1309
ERF,2005-03-31,Energy,GSPE,-0.0013770311209034,0.0244745737613851,-0.17211464656495679,0.0382321331461262,36.26,0.5142254502419424,0.9649,15.5161,0.6322,3792288360,16.4245,3.7716,10.9626,2.3326,4.234,0.4735,0.1089,-8.002438184843095,0.5881,0.2109,0.0885,0.1405
ERF,2005-06-30,Energy,GSPE,0.0535024820739107,0.0444053437402705,0.0382321331461262,0.058116499957116985,38.2,0.8404209683415792,0.8416,15.3474,0.6332,4002290400,14.1412,3.7457,10.6014,2.4859,4.1719,0.5071,0.1362,-7.729803764364525,0.7757,0.3303,0.1106,0.1749
ERF,2005-09-30,Energy,GSPE,0.2356020942408376,0.2041413705776932,0.058116499957116985,0.09383501163195826,47.2,0.8349296387245263,0.7786,19.3048,0.6274,5533444800,16.5157,4.7203,7.3942,2.5972,5.1554,0.6099,0.1415,-9.151423648429637,0.8367,0.2646,0.1128,0.1791
ERF,2005-12-30,Energy,GSPE,0.0165254237288134,0.0006727048057254,0.09383501163195826,-0.03471577735081875,47.98,1.1002915451895043,0.1779,18.1433,0.6036,5639521220,15.4768,4.3035,19.0278,2.6267,4.7305,0.6074,0.1353,-10.107428172776697,0.8467,0.2959,0.1048,0.1703
ERF,2006-03-31,Energy,GSPE,0.051271363067945,0.0139563524557716,-0.03471577735081875,0.0765227472719053,50.44,0.9196799326173932,0.2159,19.7131,0.6618,6165382080,14.6901,4.3886,27.9083,2.6342,4.7096,0.6139,0.1523,-8.449882191242882,0.6101,0.3121,0.1183,0.187
ERF,2006-06-30,Energy,GSPE,0.1149881046788264,0.1340402443054611,0.0765227472719053,-0.08445722340848197,56.24,1.0667833448654809,0.5877,19.7945,0.6617,6894011680,14.9032,4.5804,33.657,2.8351,4.9405,0.7034,0.1604,-8.727880112904016,0.6129,0.3569,0.1282,0.1938
ERF,2006-09-29,Energy,GSPE,-0.105796586059744,-0.157481381318549,-0.08445722340848197,-0.24015126997725253,50.29,1.1733589980995078,0.9594,19.8747,0.6599,6178327660,11.9988,4.0687,26.0644,2.5247,4.4163,0.6326,0.173,-8.684796587819688,0.7974,0.3995,0.1394,0.211
ERF,2006-12-29,Energy,GSPE,-0.1328295883873533,-0.1945506459529851,-0.24015126997725253,-0.04908413711067078,43.61,0.6353746585143749,0.4606,19.0643,0.6501,5370615110,11.6032,3.9663,19.699,2.2904,4.3969,0.6127,0.1568,-8.811442862826937,0.7597,0.2836,0.1265,0.1931
ERF,2007-03-30,Energy,GSPE,-0.031873423526714,-0.0336783564995026,-0.04908413711067078,-0.028057264048740857,42.22,0.7579987516516298,0.1293,18.8749,0.6332,5211383480,11.654,3.8928,19.8186,2.2381,4.357,0.4804,0.1521,-9.542111573796523,0.5838,0.2795,0.1227,0.1913
ERF,2007-06-29,Energy,GSPE,0.1151113216485078,0.0570549395385108,-0.028057264048740857,-0.09138923889527917,47.08,0.2932198506451537,0.0477,20.4006,0.6456,6082971400,17.1941,4.5532,30.8965,2.3218,5.0158,0.4265,0.1143,-9.934236291165202,0.593,0.1033,0.0914,0.1429
ERF,2007-09-28,Energy,GSPE,0.0025488530161428,-0.0130164011123525,-0.09138923889527917,-0.19215816520345977,47.2,0.7241619140353318,1.0928,20.9906,0.634,6114854400,20.1798,4.5388,27.7742,2.2512,5.0247,0.3759,0.0916,-10.824827096455476,0.7873,0.2513,0.0726,0.1135
ERF,2007-12-31,Energy,GSPE,-0.1514830508474577,-0.1132384039514777,-0.19215816520345977,0.15891400791332322,40.05,0.7728250063579405,0.673,20.5446,0.6135,5199010650,15.9894,3.5277,20.7258,1.9502,4.0245,0.4639,0.096,-11.578724781031177,0.7829,0.2494,0.0753,0.1208
ERF,2008-03-31,Energy,GSPE,0.083645443196005,0.1828445739492261,0.15891400791332322,-0.10375430640507814,43.4,0.7991299810953836,0.8088,26.0999,0.6011,7123762800,20.3779,4.3576,20.1086,1.8494,5.01,0.5199,0.084,-13.866597214606864,0.6302,0.2379,0.065,0.1072
ERF,2008-06-30,Energy,GSPE,0.0654377880184332,0.0977202048538191,-0.10375430640507814,0.05374518774324394,46.24,0.6697745895415864,1.6364,23.2743,0.5943,7616144160,18.0394,3.8102,12.3329,1.9876,4.3153,0.5222,0.0864,-13.862581886842856,0.667,0.1513,0.0656,0.1098
ERF,2008-09-30,Energy,GSPE,-0.1957179930795848,-0.106936731635493,0.05374518774324394,-0.2630310940470884,37.19,2.666583838885825,4.0205,23.9904,0.7006,6132928520,7.9806,2.7325,5.3819,1.5493,2.9523,0.5614,0.1653,-9.07296189390448,0.8105,0.7115,0.127,0.1972
ERF,2008-12-31,Energy,GSPE,-0.4735143855875235,-0.2479322422904382,-0.2630310940470884,-0.04314556132001693,19.58,0.4214525801615321,-0.1509,21.5524,0.6964,3242252200,4.3938,1.6055,3.1563,0.9094,1.873,0.8569,0.1723,-7.920937254665136,-1.4028,0.3938,0.137,0.1961
ERF,2009-03-31,Energy,GSPE,-0.1639427987742593,-0.0472752041074312,-0.04314556132001693,0.21220200635737052,16.37,0.2474836467208959,0.8001,20.7039,0.6994,2714604360,4.1069,1.4964,2.6091,0.7912,1.8192,1.0923,0.1626,-7.527009913886678,0.549,0.1413,0.1318,0.1889
ERF,2009-06-30,Energy,GSPE,0.312767257177764,0.1605494611078752,0.21220200635737052,-0.02973358702660986,21.49,-0.0184886686233941,1.0226,21.6479,0.703,3567812780,6.5148,2.6459,3.7912,0.9912,3.1017,1.0009,0.133,-8.097481056727421,0.5364,-0.0116,0.1092,0.1557
ERF,2009-09-30,Energy,GSPE,0.0651465798045603,-0.0847032522810418,-0.02973358702660986,-0.04736825934700469,22.89,0.4842468502686932,2.0546,23.9779,0.723,4045601490,21.464,2.5738,6.5187,1.0108,2.9078,0.6593,0.043,-7.810377897601575,0.4794,0.096,0.0353,0.0495
ERF,2009-12-31,Energy,GSPE,0.0030581039755351,-0.051828964120805,-0.04736825934700469,0.03182823265678243,22.96,0.2875658680019797,3.2985,23.2043,0.7066,4003053040,23.8055,1.6992,3.3025,1.0044,1.8811,0.6767,0.0371,-8.143069360879615,0.5594,0.0513,0.03,0.0421
ERF,2010-03-31,Energy,GSPE,0.0326655052264808,-0.0160566536063644,0.03182823265678243,0.04208920161730184,23.71,-1.022521297806779,0.8253,22.9934,0.7077,4205442700,-78.789,1.7087,3.4324,1.0359,1.9006,0.6509,-0.0117,-8.140610024243108,0.6083,-0.4566,-0.0093,-0.0132
ERF,2010-06-30,Energy,GSPE,-0.0902572754112189,0.0283646911897238,0.04208920161730184,0.07082322231250551,21.57,0.4082359293966768,0.1614,21.9927,0.6992,3825870900,171.7562,1.5075,3.5297,0.9785,1.7683,0.6482,0.0048,-8.480955065681908,0.5499,0.2136,0.0039,0.0055
ERF,2010-09-30,Energy,GSPE,0.1937876680574872,0.086589722542459,0.07082322231250551,-0.010978493773542403,25.75,-0.7489338293673298,2.1773,22.1289,0.6889,4586538500,-24.0616,2.29,4.0773,1.1754,2.6192,0.5792,-0.0417,-8.901048742968145,1.6797,-0.4304,-0.0338,-0.0488
ERF,2010-12-31,Energy,GSPE,0.1976699029126213,0.095636895150053,-0.010978493773542403,-0.1363317218015309,30.84,0.3227438948452908,0.9584,18.8382,0.6063,5457014640,-29.8213,4.1205,7.4994,1.6398,4.6325,0.405,-0.0424,-11.099086727024064,0.2107,0.2017,-0.0328,-0.0506
