ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
ET,2005-02-28,Energy,GSPE,,,,,0.0,0.0735165855974996,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1147,0.0,0.0991,0.0269,0.1084,0.387
ET,2005-05-31,Energy,GSPE,,,,,0.0,0.1510874708966666,0.116,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511,0.0392,0.0,0.0
ET,2005-08-31,Energy,GSPE,,,,,0.0,0.0253788959318932,-0.4753,2.082,0.2291,0,0.0,0.0,0.0,0.0,0.422,1.1678,0.0234,-4.262860763341445,0.0501,0.0074,0.0223,0.0975
ET,2005-11-30,Energy,GSPE,,,,inf,0.0,0.0726049674477615,-0.223,2.3754,0.2434,0,0.0,0.0,0.0,0.0,0.3036,1.3055,0.0352,-4.063404254539928,0.0818,0.0163,0.0336,0.1421
ET,2006-02-28,Energy,GSPE,inf,inf,inf,0.15772137781965723,5.5,0.0464655031433385,0.423,3.435,0.3696,3003544500,19.0634,0.344,-31.7721,1.6627,0.5567,1.3121,0.0305,-3.327832499235486,0.1041,0.0099,0.0308,0.1015
ET,2006-05-31,Energy,GSPE,0.2145454545454544,0.2227990644632071,0.15772137781965723,-0.012460423086440648,6.68,0.079236548684396,-0.4353,3.2336,0.3482,3647941320,30.1462,0.4492,-9.2687,2.0657,0.7131,1.3259,0.0226,-3.8411533439907415,0.1032,0.0304,0.0243,0.0677
ET,2006-08-31,Energy,GSPE,0.0149700598802396,-0.0115870985703153,-0.012460423086440648,-0.026332861386062667,6.78,-0.0002594634234256,-0.3503,2.307,0.2506,3441039840,32.1172,0.4378,-9.494,2.3173,0.842,1.2762,0.0184,-6.1800097728598224,0.0673,-0.0001,0.0194,0.0659
ET,2006-11-30,Energy,GSPE,0.070796460176991,-0.0034546347455027,-0.026332861386062667,0.2204429229063668,7.26,0.0501838993120953,-0.2322,2.5992,0.2182,6325500060,64.1661,0.926,-16.4538,3.9343,1.5442,1.441,0.0139,-4.853368775400818,0.1016,0.0223,0.0148,0.0637
ET,2007-02-28,Energy,GSPE,0.1611570247933884,0.1567376268191404,0.2204429229063668,0.00957852175671342,8.43,0.0999813712551734,0.1216,1.9267,0.2204,7344957840,44.9953,1.2049,-14.7341,4.278,1.9956,1.2256,0.0197,-5.6643681538136645,0.1466,0.0519,0.0215,0.0981
ET,2007-05-31,Energy,GSPE,0.2064056939501779,0.1184057696139562,0.00957852175671342,-0.1222603166421258,10.17,0.0999813712551734,-0.1612,2.105,0.2323,9064653210,43.359,1.4184,-22.4149,4.8324,2.1837,1.2091,0.024,-5.616848402300875,0.1314,0.0519,0.0263,0.1163
ET,2007-08-31,Energy,GSPE,-0.0963618485742379,-0.0593637660563908,-0.1222603166421258,-0.10900148538012283,9.19,0.0581437839922162,-0.157,2.344,0.221,8191230800,31.3722,1.271,-25.6752,3.917,2.1799,1.1307,0.0275,-6.694724678005654,0.1382,0.0318,0.0297,0.1316
ET,2007-11-30,Energy,GSPE,-0.060935799782372,-0.0657865955553647,-0.10900148538012283,-0.08704772931530741,8.63,0.0577390836063366,-0.4328,2.0193,0.1958,7692091600,27.3233,1.1508,-13.7068,4.2735,1.9933,0.8727,0.0282,-6.878544181663151,0.1688,0.0316,0.0301,0.1447
ET,2008-03-31,Energy,GSPE,-0.0950173812282735,0.0119543175372679,-0.08704772931530741,-0.2408950393658929,7.81,0.1421543328995198,-0.199,2.3932,0.2136,6961209200,21.8128,0.9149,-8.2185,3.2632,1.7124,1.1316,0.0314,-7.102920387739532,0.1635,0.048,0.0332,0.1622
