ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
FANG,2010-09-30,Energy,GSPE,,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANG,2010-12-31,Energy,GSPE,,,,,0.0,-0.014461347956837,-0.6354,4.6717,0.6123,0,0.0,0.0,0.0,0.0,1.2235,1.2512,-0.0173,-1.850433398195648,0.5297,-0.0393,-0.0151,-0.0247
FANG,2011-03-31,Energy,GSPE,,,,,0.0,0.1260834954891208,-0.6969,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1516,0.0,0.6189,0.2361,0.1322,0.2159
FANG,2011-06-30,Energy,GSPE,,,,,0.0,0.1535910136210861,-0.4055,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6907,0.3031,0.0,0.0
FANG,2011-09-30,Energy,GSPE,,,,,0.0,0.0923845745621793,-0.7774,5.0866,0.4996,0,0.0,0.0,0.0,0.0,1.7934,0.9991,0.0829,-3.649212807358925,0.5917,0.1904,0.0702,0.1406
FANG,2011-12-30,Energy,GSPE,,,,,0.0,-0.3890854413585706,-0.6047,5.7065,0.4895,0,0.0,0.0,0.0,0.0,1.5808,0.7284,-0.0018,-4.5873430037148415,0.6305,-0.5918,-0.0015,-0.0031
FANG,2012-03-30,Energy,GSPE,,,,,0.0,0.065319299486998,-0.5577,5.3292,0.4512,0,0.0,0.0,0.0,0.0,1.4159,0.5158,-0.0081,-5.260613833362816,0.7029,0.0903,-0.0066,-0.014
FANG,2012-06-29,Energy,GSPE,,,,,0.0,0.6025119405625332,-0.9092,5.4782,0.4377,0,0.0,0.0,0.0,0.0,1.7585,0.4876,0.0367,-3.812200956937799,0.6217,0.8499,0.0305,0.0686
FANG,2012-09-28,Energy,GSPE,,,,inf,0.0,0.0128730918204602,-0.4448,3.5486,0.4048,0,0.0,0.0,0.0,0.0,1.8576,0.4478,0.0273,-4.450415812257917,0.6079,0.0268,0.0228,0.0543
FANG,2012-12-31,Energy,GSPE,inf,inf,inf,0.2903218341620971,19.12,-1.407900072998621,-2.1077,12.4927,0.7616,707191440,-19.3639,9.4339,-5.5794,1.5304,9.0849,0.6345,-0.1018,-2.551112553059183,0.4617,-2.0209,-0.0798,-0.1245
FANG,2013-03-29,Energy,GSPE,0.4037656903765689,0.3034985409259149,0.2903218341620971,0.2532751271692789,26.84,0.1450303714454658,-1.5306,12.5795,0.7217,992731080,-30.45,11.3429,-5.8024,2.121,11.6987,0.4521,-0.0674,-3.944980668883662,0.671,0.1866,-0.0519,-0.0701
FANG,2013-06-28,Energy,GSPE,0.2414307004470939,0.2177942451576939,0.2532751271692789,0.2380351490974425,33.32,0.3643344495077922,-0.7965,15.8012,0.7858,1404837840,-44.2398,12.019,-7.7118,2.2383,11.3194,1.1954,-0.056,-1.2924908685546226,0.7533,0.3187,-0.0438,-0.0579
FANG,2013-09-30,Energy,GSPE,0.2797118847539016,0.2328520482631258,0.2380351490974425,0.1627602867586792,42.64,0.3265470490849702,-14.5341,18.411,0.5613,2004975440,-113.8479,12.7008,-2.4564,2.4363,15.2156,0.8397,-0.0185,-11.719082962931456,0.8106,0.2525,-0.0155,-0.0242
FANG,2013-12-31,Energy,GSPE,0.2401500938086304,0.140949991712539,0.1627602867586792,0.2709944748600768,52.88,0.4241274658573596,-0.966,17.8203,0.5556,2490965280,45.6329,11.9756,-3.1769,2.946,14.1124,0.5107,0.0423,-13.03666199634866,0.8081,0.2651,0.0365,0.0654
FANG,2014-03-31,Energy,GSPE,0.2728819969742814,0.2599083442990483,0.2709944748600768,0.20481051836770153,67.31,0.4827183989195162,-6.7063,22.1603,0.559,3412617000,46.8894,12.3156,-3.2351,3.1513,14.3426,0.584,0.0489,-15.055917159763313,0.8064,0.2406,0.042,0.0754
FANG,2014-06-30,Energy,GSPE,0.3192690536324468,0.2723277842834635,0.20481051836770153,-0.06638031063729946,88.8,0.5426655195338469,-0.7082,24.4874,0.6116,4511750400,52.4244,12.5778,-4.2586,3.6026,13.8574,0.6792,0.0484,-13.390666824122183,0.8126,0.2185,0.0432,0.0737
FANG,2014-09-30,Energy,GSPE,-0.1578828828828828,-0.1640352521017569,-0.06638031063729946,-0.08794946619449587,74.78,0.7889145413224631,-11.5308,34.0147,0.6686,4238530400,36.7912,9.632,-4.0402,2.2475,10.8804,0.7298,0.0501,-13.963443895553988,0.7826,0.3143,0.0473,0.0734
FANG,2014-12-31,Energy,GSPE,-0.2005883926183471,-0.2445017428690125,-0.08794946619449587,0.32089007554090526,59.78,1.715353591544399,-1.5287,34.511,0.6413,3400764640,17.5518,6.8602,-3.1166,1.713,8.158,0.9436,0.0691,-15.092058079032483,0.6956,0.7498,0.0655,0.1001
FANG,2015-03-31,Energy,GSPE,0.2853797256607561,0.2810133209491229,0.32089007554090526,0.006893894315457012,76.84,0.0997680210145669,-0.9281,36.102,0.6844,4534174720,25.7601,9.0844,-5.5438,2.1422,10.2463,1.1703,0.0601,-12.889642082429502,0.6026,0.0576,0.0568,0.0858
