ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
FCX,2003-03-31,Materials,SP500-15,,,,0.3060883526400276,8.53,0.1299450085495345,0.0503,1.2194,0.093,2480378990,11.3555,1.2144,6.9891,5.3671,2.146,2.7562,0.0733,-10.583514166921724,0.5016,0.1121,0.0476,0.5087
FCX,2003-06-30,Materials,SP500-15,0.4361078546307152,0.2871771931967984,0.3060883526400276,0.294273443155588,12.25,0.1501963453583957,0.5309,1.4137,0.1091,3592680000,13.2896,1.6011,7.5597,6.6526,2.3533,2.2795,0.0811,-10.14528777959629,0.5169,0.1098,0.0545,0.5395
FCX,2003-09-30,Materials,SP500-15,0.3510204081632653,0.3289886270415362,0.294273443155588,0.048461733850615474,16.55,0.1218668793578099,0.3902,2.4634,0.1997,5657104450,22.3721,2.4205,10.4825,5.9083,3.1154,1.8193,0.0751,-7.610627261796448,0.6013,0.0846,0.0519,0.3377
FCX,2003-12-31,Materials,SP500-15,0.2731117824773413,0.1566925362621866,0.048461733850615474,-0.049339050102956264,21.07,0.0006435181902959,0.1618,2.6273,0.2042,7727085380,42.5359,3.4929,17.8501,8.0194,4.2218,1.7413,0.053,-7.238734341511831,0.314,0.0053,0.0381,0.1891
FCX,2004-03-31,Materials,SP500-15,-0.0721404841006169,-0.0849920529431787,-0.049339050102956264,-0.17159998397860166,19.55,-0.0493866766361183,-0.6563,3.3318,0.2664,6922674550,66.9213,3.3806,44.9626,5.2484,4.1495,2.9737,0.0292,-6.6388826916614185,0.1917,-0.0538,0.0213,0.0906
FCX,2004-06-30,Materials,SP500-15,-0.151918158567775,-0.1649086358235737,-0.17159998397860166,0.19154827169221447,16.58,-0.1521415280647481,-0.0112,3.2505,0.241,5762229780,-3317.3458,2.9939,-109.1662,5.059,3.895,2.3611,-0.0004,-7.345389464840119,0.188,-0.0786,-0.0003,-0.0014
FCX,2004-09-30,Materials,SP500-15,0.2213510253317251,0.2443691615755259,0.19154827169221447,-0.13531437496624998,20.25,0.0476432802202385,0.2572,3.4131,0.2566,7230404250,-314.7896,3.8191,-64.5883,5.8908,4.6774,2.1396,-0.0066,-6.917615394740896,0.3437,0.0537,-0.0048,-0.0194
FCX,2004-12-31,Materials,SP500-15,-0.0558024691358024,-0.1431358967305195,-0.13531437496624998,0.023093026020734726,19.12,0.5609537837752225,0.981,0.7472,0.2718,6844577600,33.8393,2.8857,34.162,24.1774,3.4432,2.0929,0.0578,-6.268369741326331,0.5812,0.2461,0.0409,0.1549
FCX,2005-03-31,Materials,SP500-15,0.0360878661087864,0.061939470991075,0.023093026020734726,0.044368232093679516,19.81,0.3257822571779779,0.3397,3.408,0.2847,7118881980,19.3885,2.5291,11.9405,5.2188,2.9789,1.5679,0.1067,-6.282350747722327,0.5161,0.1812,0.0743,0.2673
FCX,2005-06-30,Materials,SP500-15,-0.0550227158001009,-0.0641198541337412,0.044368232093679516,0.28556871562167724,18.72,0.3983067412155098,0.9664,0.7207,0.2858,6639703200,11.1445,2.0547,6.4754,20.9375,2.3651,1.6449,0.1772,-6.224686693826917,0.5411,0.2108,0.1222,0.4284
