ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
GGB,2003-03-31,Materials,SP500-15,,,,0.549467677496492,0.78,0.1073680234318554,0.0356,2.0182,0.3103,1041448200000,3551.0009,256.7523,4260.9831,773.4977,256.8489,0.9089,0.0804,-0.0009701068761749,0.1524,0.0739,0.0711,0.2353
GGB,2003-06-30,Materials,SP500-15,0.6794871794871795,0.5305565180532628,0.549467677496492,0.16462708079384938,1.31,0.1016319651655506,0.0527,2.4386,0.3351,1749098900,5.9375,0.3676,14.5655,1.0754,0.5406,1.1468,0.0724,-1.0176581610107924,0.0909,0.0656,0.0641,0.1981
GGB,2003-09-30,Materials,SP500-15,0.2213740458015267,0.1993422646797976,0.16462708079384938,0.18159995137327406,1.6,0.1218685796235327,0.3789,2.519,0.3367,2136304000,7.5173,0.3821,7.5947,1.2708,0.5215,1.2031,0.0648,-0.9993184490596844,0.1997,0.0707,0.0577,0.1718
GGB,2003-12-31,Materials,SP500-15,0.4062499999999999,0.2898307537848452,0.18159995137327406,0.17391254510877174,2.25,0.1328641339992936,-0.1122,1.2575,0.3496,2943427500,7.4603,0.6659,17.8465,1.7892,0.88,1.206,0.0941,-1.0124133344544752,0.1749,0.137,0.0813,0.2372
GGB,2004-03-31,Materials,SP500-15,0.151111111111111,0.1382595422685492,0.17391254510877174,0.018928213199212035,2.59,0.1964910649757244,0.3165,2.654,0.3416,3439804900,7.5773,0.7045,9.7647,1.9433,0.9151,1.3622,0.1109,-0.9905053045304982,0.1831,0.0915,0.0918,0.2658
GGB,2004-06-30,Materials,SP500-15,0.0386100386100386,0.0256195613542399,0.018928213199212035,0.3196396255426455,2.69,0.4258333934627318,0.3698,2.9102,0.3706,3572615900,5.3365,0.6474,6.3442,1.8453,0.8113,1.48,0.1565,-0.8206601862797509,0.3233,0.1697,0.1286,0.3612
GGB,2004-09-30,Materials,SP500-15,0.3494423791821561,0.3724605154259569,0.3196396255426455,0.02241646882519986,3.63,0.6861405346272501,0.631,3.8562,0.4338,4821039300,4.6145,0.7754,6.6022,1.8786,0.8932,1.7657,0.2248,-0.4295050861750909,0.3044,0.2469,0.1875,0.4641
GGB,2004-12-31,Materials,SP500-15,0.1019283746556474,0.0145949470609303,0.02241646882519986,-0.09549484008805179,4.0,0.1093832824672717,0.0454,1.554,0.4618,7968640000,7.3184,1.2244,8.2353,2.5739,1.3705,1.9406,0.1992,-0.1790754758653923,0.219,0.1397,0.1725,0.3846
GGB,2005-03-31,Materials,SP500-15,-0.0825,-0.0566483951177114,-0.09549484008805179,-0.017775264640279398,3.67,0.205032539784399,0.1652,2.4795,0.4723,7311227200,5.9393,1.008,7.4858,2.213,1.1363,2.1326,0.2011,-0.1148115613203758,0.2494,0.1255,0.1797,0.3847
GGB,2005-06-30,Materials,SP500-15,-0.1171662125340598,-0.1262633508677001,-0.017775264640279398,0.5245288295817911,3.24,0.2352730141169813,0.0546,2.9611,0.5198,6454598400,5.1179,0.8371,8.0328,1.636,0.9362,2.4505,0.1889,0.0418811742028752,0.227,0.1474,0.1729,0.3479
GGB,2005-09-30,Materials,SP500-15,0.5370370370370371,0.5055763133738926,0.5245288295817911,0.010424941252176828,4.98,0.2344209459944058,-0.4958,3.1524,0.4668,9905568600,8.8574,1.2396,-35.3546,2.3474,1.31,3.0345,0.1463,0.0912265531127612,0.2029,0.1473,0.1345,0.2739
GGB,2005-12-30,Materials,SP500-15,0.116465863453815,0.100613144530727,0.010424941252176828,0.28263474176692577,5.56,0.1210502977767544,-0.0157,1.8237,0.3809,11059229200,9.6908,1.2166,-27.5124,3.0486,1.0033,2.9596,0.1778,-0.4026308777468867,0.1996,0.0905,0.1229,0.2908
