ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
GGG,2003-03-31,Industrials,SP500-20,,,,-0.01342949637261684,6.24,0.0844512110212683,0.0662,0.9768,0.6657,1282132800,16.3802,2.5701,14.6951,6.0923,2.4535,2.6917,0.328,0.4712512775587677,0.2634,0.152,0.2329,0.3434
GGG,2003-06-30,Industrials,SP500-20,0.1394230769230769,-0.0095075845108398,-0.01342949637261684,0.13228067553168116,7.11,0.1177776172937579,0.0951,1.124,0.6923,1465371000,18.0419,2.8597,17.7345,6.2765,2.745,2.9447,0.3546,0.5342115477923338,0.2805,0.1671,0.2486,0.3659
GGG,2003-09-30,Industrials,SP500-20,0.1729957805907172,0.1509639994689881,0.13228067553168116,-0.07572913305650088,8.34,0.1088891019801505,0.1913,1.2327,0.7113,1718874000,20.6008,3.3031,18.902,6.685,3.1186,3.3223,0.3327,0.6552644347404173,0.287,0.1697,0.2388,0.3401
GGG,2003-12-31,Industrials,SP500-20,0.0683453237410072,-0.0480739224741474,-0.07572913305650088,0.10299933731893207,8.91,0.1011079479515515,0.0976,0.8043,0.4273,1845982710,21.2884,3.4498,19.524,10.8708,3.2402,1.3626,0.3977,0.1376863708544702,0.2705,0.1577,0.2285,0.4062
GGG,2004-03-31,Industrials,SP500-20,0.0886644219977552,0.0758128531551934,0.10299933731893207,-0.012693927093529109,9.7,0.1059527538130083,0.114,0.8592,0.5735,2019860100,22.2338,3.6696,19.3632,11.1555,3.6266,1.8374,0.4981,0.1888125321154668,0.2818,0.1654,0.2547,0.5178
GGG,2004-06-30,Industrials,SP500-20,0.0670103092783505,0.0540198320225518,-0.012693927093529109,0.08411827068445467,10.35,0.1433332058367916,0.1007,0.9616,0.601,2155211550,22.3657,3.8198,20.4049,10.7147,3.7623,2.0884,0.4812,0.2934117070781288,0.3088,0.1871,0.2963,0.5042
GGG,2004-09-30,Industrials,SP500-20,0.0792270531400966,0.1022451893838974,0.08411827068445467,0.019727280445642384,11.17,0.1366667299009751,0.1906,1.0339,0.6146,2316613320,22.6081,3.9976,21.8732,10.6257,3.9005,2.2481,0.4726,0.3805280719010974,0.3186,0.1933,0.2972,0.4889
GGG,2004-12-31,Industrials,SP500-20,0.1145926589077886,0.0272592313130715,0.019727280445642384,0.10073087008591264,12.45,0.1333494628858995,0.101,1.1169,0.621,2576378100,23.7058,4.2582,24.2619,11.161,4.1581,2.348,0.4717,0.4172699069286453,0.2756,0.1713,0.2992,0.4842
GGG,2005-03-31,Industrials,SP500-20,0.0803212851405622,0.1061728900228508,0.10073087008591264,-0.1174223839462865,13.45,0.1282551156900133,0.1048,1.1897,0.5691,2791816500,24.6207,4.3554,26.7779,11.1307,4.3362,1.4728,0.4252,0.1196849255672785,0.2741,0.1581,0.2791,0.4708
GGG,2005-06-30,Industrials,SP500-20,-0.1553903345724907,-0.1644874729061309,-0.1174223839462865,-0.013186478078766398,11.36,0.1700002385097908,0.0864,1.2342,0.5861,2341432320,19.6673,3.4481,23.1108,9.0494,3.4376,1.5541,0.3948,0.1624311054184133,0.3049,0.1797,0.2699,0.4672
GGG,2005-09-30,Industrials,SP500-20,0.0061619718309859,-0.0252987518321584,-0.013186478078766398,0.01918214019568487,11.43,0.146666793248144,0.2757,1.2915,0.6296,2350339470,19.4029,3.3247,19.7174,8.638,3.3045,1.8013,0.4073,0.2389011277592168,0.2981,0.1746,0.2773,0.4563
GGG,2005-12-30,Industrials,SP500-20,0.0638670166229221,0.0480142976998341,0.01918214019568487,0.17992472864026454,12.16,0.1533167409208788,0.1636,1.3664,0.6455,2494757760,19.8226,3.4095,18.7919,8.6718,3.384,1.9169,0.4308,0.2727223985065388,0.2935,0.1739,0.2867,0.4496
GGG,2006-03-31,Industrials,SP500-20,0.2450657894736842,0.2077507788615108,0.17992472864026454,0.017169421606293127,15.14,0.1699997600364744,0.134,1.4909,0.6616,3107818080,23.1517,4.1273,22.4237,10.0041,4.0912,2.1306,0.4394,0.3876125336139366,0.3144,0.1842,0.2933,0.4487
GGG,2006-06-30,Industrials,SP500-20,0.0125495376486129,0.0316016772752476,0.017169421606293127,-0.14481022354600098,15.33,0.2,0.1312,1.5437,0.6735,3120237540,22.2979,4.0345,21.1389,9.7797,4.0107,2.2683,0.4368,0.4315852568070827,0.3208,0.189,0.2967,0.4444
GGG,2006-09-29,Industrials,SP500-20,-0.1506849315068493,-0.2023697267656543,-0.14481022354600098,-0.038755186728824914,13.02,0.1800002888322991,0.1911,1.5657,0.6395,2626511580,17.9372,3.2886,20.326,8.0753,3.2771,1.8102,0.4349,0.2678742273049487,0.3063,0.1849,0.2981,0.4545
GGG,2006-12-29,Industrials,SP500-20,0.0145929339477727,-0.047128123617859,-0.038755186728824914,-0.01793915983472895,13.21,0.1732614025529265,0.1319,1.6101,0.6469,2647468940,17.6773,3.2425,21.7178,7.9982,3.2353,1.8536,0.4298,0.2913169738641013,0.2926,0.175,0.2936,0.4564
GGG,2007-03-30,Industrials,SP500-20,-0.012112036336109,-0.0139169693088975,-0.01793915983472895,-0.06329745153782469,13.05,0.1660636491176253,0.0493,1.6821,0.6341,2604258000,17.5869,3.1691,25.044,7.621,3.1633,1.8385,0.4088,0.3111144517939467,0.2989,0.1708,0.2819,0.4402
GGG,2007-06-29,Industrials,SP500-20,0.02911877394636,-0.0289376081636368,-0.06329745153782469,-0.0825796923390861,13.43,0.2200001991853319,0.108,1.6675,0.6047,2630372940,17.4284,3.152,26.6907,7.8548,3.1464,1.6577,0.3894,0.2628383829100675,0.323,0.1909,0.2762,0.4461
GGG,2007-09-28,Industrials,SP500-20,-0.0290394638868205,-0.044604718015316,-0.0825796923390861,0.0036749482100930583,13.04,0.2,0.3184,1.4254,0.5175,2460374160,16.1024,2.9305,20.272,8.7918,3.0209,2.1292,0.3903,-0.0241362313771007,0.3151,0.1894,0.2792,0.4971
GGG,2007-12-31,Industrials,SP500-20,-0.0475460122699385,-0.0093013653739585,0.0036749482100930583,0.01813150683419358,12.42,0.1884891477867405,0.2446,1.2933,0.4558,2308778640,15.1062,2.7441,16.4297,9.4361,2.8655,1.9767,0.4056,-0.2324898328061455,0.3023,0.1737,0.2836,0.5827
GGG,2008-03-31,Industrials,SP500-20,-0.0265700483091787,0.0726290824440423,0.01813150683419358,0.155562667444698,12.09,0.1914713783505876,0.144,1.2015,0.3733,2196910170,14.2041,2.5908,13.9692,9.8432,2.7934,2.0426,0.3905,-0.5520078365334345,0.2927,0.1742,0.2726,0.6611
GGG,2008-06-30,Industrials,SP500-20,0.0496277915632754,0.0819102083986612,0.155562667444698,0.026576661740898525,12.69,0.2311750677860899,0.0916,1.3247,0.394,2286331920,14.9486,2.6715,15.0021,9.397,2.8865,2.3758,0.3504,-0.4477820700679366,0.3151,0.1774,0.2517,0.6557
GGG,2008-09-30,Industrials,SP500-20,-0.0646178092986603,0.0241634521454314,0.026576661740898525,-0.08696814682011073,11.87,0.1809657914354344,0.2648,1.2948,0.386,2119257930,14.4703,2.4764,15.3745,9.0376,2.6944,2.3302,0.3274,-0.5281143055578893,0.29,0.1581,0.2391,0.613
GGG,2008-12-31,Industrials,SP500-20,-0.3336141533277169,-0.1080320100306315,-0.08696814682011073,-0.06295555144349813,7.91,0.0561646277603226,0.2428,0.9338,0.289,1413018670,11.6895,1.7289,10.4556,8.4291,1.9343,2.1508,0.2989,-0.8487659331493476,0.1656,0.0604,0.2036,0.6012
GGG,2009-03-31,Industrials,SP500-20,-0.2806573957016434,-0.1639898010348153,-0.06295555144349813,0.10990848278113466,5.69,0.0154026787751309,0.1254,0.9371,0.3054,1022288160,11.6062,1.3611,7.8087,6.0703,1.5635,2.2565,0.2454,-0.8244055570398077,0.1059,0.02,0.1557,0.5242
GGG,2009-06-30,Industrials,SP500-20,0.289982425307557,0.1377646292376682,0.10990848278113466,0.053267521040729154,7.34,0.0644368010900088,0.2122,0.9606,0.3244,1319526480,23.046,2.0007,8.6579,7.6077,2.1978,2.1367,0.1674,-0.7802772400596311,0.1822,0.0787,0.1054,0.3349
GGG,2009-09-30,Industrials,SP500-20,0.26566757493188,0.1158177428462778,0.053267521040729154,-0.022974204410868074,9.29,0.0958097069779266,0.224,1.0188,0.3708,1671419640,39.9669,2.7876,11.5279,9.0662,2.9582,1.8682,0.1311,-0.6428889037106205,0.2405,0.1176,0.081,0.2337
GGG,2009-12-31,Industrials,SP500-20,0.0247578040904198,-0.0301292640059204,-0.022974204410868074,-0.003733528990150392,9.52,0.0948989540129219,0.1896,1.1547,0.44,1713571440,34.9944,2.9584,12.6147,8.1733,3.098,1.8204,0.1596,-0.4321572026200436,0.2231,0.1177,0.1005,0.2485
GGG,2010-03-31,Industrials,SP500-20,0.1207983193277311,0.0720761604948858,-0.003733528990150392,0.0089161655407764,10.67,0.1129082733516709,0.0727,1.2655,0.4561,1939934040,29.0565,3.2009,15.3289,8.416,3.3137,1.8924,0.2111,-0.2894748421446329,0.2506,0.1248,0.136,0.3033
GGG,2010-06-30,Industrials,SP500-20,-0.1190253045923148,-0.0004033379913721,0.0089161655407764,-0.010982479141489199,9.4,0.1353077057182705,0.0489,0.0,0.0,1698993600,21.2464,2.6121,17.4763,0.0,2.6121,0.0,0.4927,0.0,0.2496,0.1292,0.3165,0.6938
GGG,2010-09-30,Industrials,SP500-20,0.1255319148936169,0.0183339693785887,-0.010982479141489199,0.1310287700841702,10.58,0.1673209729919943,0.1702,0.0,0.0,1900527720,20.4223,2.7421,21.6853,0.0,2.7421,0.0,0.0,0.0,0.2716,0.1601,0.0,0.0
GGG,2010-12-31,Industrials,SP500-20,0.2429111531190926,0.1408781453565243,0.1310287700841702,0.07089105389331438,13.15,0.1483336628660559,0.1733,1.4505,0.4978,2368893600,23.0347,3.1837,27.9482,8.9692,3.2652,2.1077,0.6004,-0.0774491517896793,0.2345,0.1368,0.3877,0.7787
GGG,2011-03-31,Industrials,SP500-20,0.1528517110266159,0.0986311545780268,0.07089105389331438,0.12620941171188338,15.16,0.2023739678400695,0.0532,1.6635,0.4672,2758316520,23.0767,3.4607,33.9213,9.0075,3.5203,3.1251,0.2951,0.1721655207285638,0.3008,0.1711,0.2015,0.4191
GGG,2011-06-30,Industrials,SP500-20,0.1141160949868074,0.1180305799345558,0.12620941171188338,-0.11110396981638787,16.89,0.2046023307018957,0.1303,1.8405,0.495,3083269500,23.2189,3.6723,31.9165,8.996,3.7089,3.4392,0.2726,0.3703314160503971,0.287,0.1623,0.197,0.4092
GGG,2011-09-30,Industrials,SP500-20,-0.3262285375962107,-0.1829495451347438,-0.11110396981638787,0.03996844937691557,11.38,0.1983880159570137,0.3124,1.8104,0.3972,2037645900,14.6686,2.3234,16.5387,6.1087,2.3521,4.399,0.2419,0.3303510094663651,0.2884,0.1607,0.1813,0.4108
