ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
GWW,2003-03-31,Industrials,SP500-20,,,,-0.0628758833190038,42.9,0.5660096127882487,0.3234,18.552,0.689,3928610400,17.123,0.8434,26.4538,2.2872,0.8238,2.6385,0.1256,8.246876910981044,0.102,0.0459,0.093,0.1355
GWW,2003-06-30,Industrials,SP500-20,0.0899766899766899,-0.0589539714572267,-0.0628758833190038,-0.023820323194194328,46.76,0.6061816607123525,0.419,19.0226,0.6907,4266569440,18.4757,0.9203,23.8305,2.4281,0.9101,2.6884,0.1229,8.366544649511201,0.1,0.0477,0.0917,0.1329
GWW,2003-09-30,Industrials,SP500-20,0.0168947818648417,-0.0051369992568873,-0.023820323194194328,-0.1474393358721663,47.55,0.6142838614845878,1.2847,19.5353,0.6958,4348209750,19.0869,0.9385,24.865,2.4056,0.9051,2.7835,0.1182,8.907310405161573,0.097,0.0473,0.0886,0.1278
GWW,2003-12-31,Industrials,SP500-20,-0.0033648790746581,-0.1197841252898128,-0.1474393358721663,0.02720682922706414,47.39,0.6703511476905036,1.4389,20.0344,0.7029,4313485190,19.0045,0.9242,13.4777,2.3377,0.8389,2.3115,0.115,9.38102196196482,0.1098,0.0534,0.0869,0.1242
GWW,2004-03-31,Industrials,SP500-20,0.0128719139058873,2.034506332553032e-05,0.02720682922706414,0.118212430294787,48.0,0.6854053224940563,0.9121,20.3577,0.6918,4336416000,18.2873,0.9118,11.6146,2.3337,0.8214,2.2845,0.1185,9.831872218901507,0.1035,0.0509,0.0893,0.128
GWW,2004-06-30,Industrials,SP500-20,0.1979166666666666,0.184926189410868,0.118212430294787,0.007499913196531909,57.5,0.7262984605991889,0.534,21.1129,0.7034,5233305000,21.1231,1.0815,13.6412,2.7023,0.982,2.416,0.1212,10.590590458610762,0.1044,0.053,0.0911,0.1305
GWW,2004-09-30,Industrials,SP500-20,0.0026086956521738,0.0256268318959746,0.007499913196531909,0.06072872387957108,57.65,0.7382294881722307,1.2558,21.3528,0.7279,5193227300,20.0816,1.0514,13.6695,2.6524,0.9727,2.6115,0.1277,10.75885304500344,0.1022,0.052,0.095,0.1328
GWW,2004-12-31,Industrials,SP500-20,0.1555941023417173,0.0682606747470002,0.06072872387957108,-0.044886122049546055,66.62,0.9788163686756156,0.3349,22.4767,0.736,6035572140,21.0355,1.1952,21.6942,2.9185,1.1102,2.6488,0.1418,11.182599865337703,0.1168,0.0711,0.1043,0.1425
GWW,2005-03-31,Industrials,SP500-20,-0.0652957069948964,-0.0394441021126078,-0.044886122049546055,-0.08215409851463414,62.27,0.7872809863724854,-0.0458,22.9474,0.7436,5646954950,19.0033,1.095,29.6103,2.6615,1.0233,2.7541,0.1412,11.613078237856316,0.1012,0.0545,0.1049,0.1418
GWW,2005-06-30,Industrials,SP500-20,-0.1201220491408383,-0.1292191874744786,-0.08215409851463414,0.12903629183144136,54.79,0.8957949055775143,0.8035,23.031,0.7454,4882117740,15.6414,0.9257,22.7168,2.3274,0.8639,2.7508,0.1472,11.395113684824816,0.1111,0.0594,0.1101,0.1479
GWW,2005-09-30,Industrials,SP500-20,0.1483847417411937,0.1169240180780493,0.12903629183144136,0.08532148085184714,62.92,0.9668495555799408,1.5651,24.0758,0.7347,5627313120,16.9219,1.0419,23.2157,2.5648,0.9592,2.6833,0.1542,12.176304843687106,0.1137,0.0616,0.1146,0.1549
GWW,2005-12-30,Industrials,SP500-20,0.1300063572790844,0.1141536383559964,0.08532148085184714,-0.0053660959951637235,71.1,1.13253274871023,1.1853,24.9661,0.7364,6378807600,18.4186,1.1541,19.9184,2.7867,1.0564,2.8554,0.1538,13.003187837175084,0.1246,0.0746,0.1136,0.1545
GWW,2006-03-31,Industrials,SP500-20,0.0597749648382559,0.0224599542260826,-0.0053660959951637235,0.0030273159417546626,75.35,0.9323998486241012,-0.0355,25.4422,0.7471,6764094150,18.8014,1.2055,21.059,2.8746,1.1183,2.8872,0.1543,13.610633960498614,0.1138,0.0607,0.1149,0.155
GWW,2006-06-30,Industrials,SP500-20,-0.0015925680159255,0.0174595716107091,0.0030273159417546626,-0.10325728725382674,75.23,1.0177516720229307,0.5206,25.5783,0.7544,6663572480,17.9169,1.1647,22.5148,2.8285,1.0863,2.9908,0.1573,13.851325415462428,0.1161,0.0632,0.1185,0.1579
GWW,2006-09-29,Industrials,SP500-20,-0.109131995214675,-0.1608167904734801,-0.10325728725382674,-0.009779036821032143,67.02,1.1651613478735978,1.9802,25.3846,0.7384,5766199740,14.8498,0.9921,17.4242,2.5328,0.9171,2.7669,0.1669,13.212675941745992,0.119,0.0687,0.1251,0.1676
GWW,2006-12-29,Industrials,SP500-20,0.0435690838555655,-0.0181519737100662,-0.009779036821032143,0.09854805522600114,69.94,1.126491619602842,0.8851,24.7952,0.7148,5879715920,15.3357,0.9993,19.5997,2.7,0.9387,2.6363,0.1714,11.819158300423467,0.1244,0.0676,0.1251,0.1721
GWW,2007-03-30,Industrials,SP500-20,0.104375178724621,0.1025702457518325,0.09854805522600114,0.12379299253756568,77.24,1.1732154589149253,0.5698,25.5126,0.7202,6454174400,16.1777,1.0736,18.2982,2.9158,1.0203,2.7711,0.1809,12.0826950694112,0.1244,0.0658,0.1303,0.1817
GWW,2007-06-29,Industrials,SP500-20,0.2162092180217504,0.1581528359117535,0.12379299253756568,-0.08281423313610627,93.94,1.2076174013252663,0.6359,27.227,0.7294,7927784480,19.3358,1.2934,22.0244,3.3555,1.2306,2.9255,0.1782,13.334000853161436,0.1232,0.0654,0.1299,0.1791
GWW,2007-09-28,Industrials,SP500-20,-0.0292740046838407,-0.0448392588123361,-0.08281423313610627,0.010975319510627086,91.19,1.286175527903469,1.1625,23.3813,0.6484,7226260360,17.4269,1.1528,25.7146,3.6418,1.1361,2.027,0.1836,8.871447680581495,0.1249,0.0658,0.1316,0.1907
GWW,2007-12-31,Industrials,SP500-20,-0.0402456409694045,-0.0020009940734245,0.010975319510627086,-0.08246937721494572,87.52,1.2758582759927155,0.8331,25.6426,0.6781,6910929280,16.4498,1.0768,25.4591,3.2938,1.0567,2.1791,0.1932,10.193214629451395,0.1275,0.0647,0.1365,0.2058
GWW,2008-03-31,Industrials,SP500-20,-0.127170932358318,-0.0279718016050969,-0.08246937721494572,0.1767556639426871,76.39,1.425622722507862,-0.2504,24.8368,0.6306,5844369730,13.5107,0.8946,28.9404,2.9365,0.8774,1.8666,0.1906,9.00460088619342,0.1308,0.0687,0.1384,0.2116
GWW,2008-06-30,Industrials,SP500-20,0.0708207880612645,0.1031032048966503,0.1767556639426871,0.15439740502488902,81.8,1.432409856605875,0.4684,25.8971,0.6034,6236023000,14.1419,0.9323,33.934,3.0475,0.9692,3.0582,0.18,9.097763494457926,0.1241,0.0644,0.1347,0.2184
GWW,2008-09-30,Industrials,SP500-20,0.0632029339853301,0.1519841954294218,0.15439740502488902,0.15316549598673695,86.97,1.7887683797697975,2.3861,27.1859,0.6017,6615633960,14.0211,0.963,24.3314,3.1087,0.9823,2.9547,0.1806,10.030117789346374,0.1453,0.0761,0.1362,0.226
GWW,2008-12-31,Industrials,SP500-20,-0.0934805105208692,0.1321016327762161,0.15316549598673695,0.10785912482638484,78.84,1.4222172434697804,1.9107,26.8036,0.5785,5895734040,12.4028,0.8606,16.9072,2.8988,0.8741,2.8147,0.1822,8.859162086626283,0.1377,0.0677,0.1348,0.2284
GWW,2009-03-31,Industrials,SP500-20,-0.1098427194317604,0.0068248752350676,0.10785912482638484,-0.0133597789470552,70.18,1.2826115887253466,0.1877,26.4416,0.6075,5138018160,11.2307,0.7721,13.4191,2.5859,0.8055,3.3362,0.1801,8.477667595476152,0.1316,0.0657,0.1348,0.2275
GWW,2009-06-30,Industrials,SP500-20,0.1667141635793671,0.0144963675094783,-0.0133597789470552,-0.12104685408655874,81.88,1.2401722126101478,2.2344,28.3088,0.6197,6028251240,13.8015,0.9374,11.763,2.856,0.9453,3.4817,0.1692,9.914537576572538,0.1231,0.0603,0.1308,0.2131
