ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
HAL,2003-03-31,Energy,GSPE,,,,0.04501751021392235,10.37,0.0493119266055045,-0.1444,4.1777,0.2894,9063380000,-9.2767,0.7169,8.8337,2.4878,0.7364,1.7858,-0.1873,-4.008009153318078,0.0874,0.0139,-0.0768,-0.2687
HAL,2003-06-30,Energy,GSPE,0.1089681774349084,-0.0399624839990082,0.04501751021392235,0.05052233489900674,11.5,0.0298165137614678,-0.3061,4.1766,0.2597,10074000000,-22.2384,0.7745,17.6427,2.766,0.8141,2.0425,-0.0788,-4.115296803652968,0.0544,0.0072,-0.034,-0.1243
HAL,2003-09-30,Energy,GSPE,0.0547826086956522,0.0327508275739231,0.05052233489900674,-0.06565018223565501,12.13,0.0663615560640732,-0.2391,4.1956,0.2661,10625880000,-21.7298,0.7497,-69.4501,2.8977,0.8306,2.1393,-0.0785,-3.9840182648401834,0.081,0.0139,-0.0351,-0.1338
HAL,2003-12-31,Energy,GSPE,0.0799670239076668,-0.0364522223074878,-0.06565018223565501,0.11430731733732385,13.1,-1.0761363636363637,-0.3988,3.0079,0.1707,11501800000,-14.0265,0.7061,-12.069,4.3452,0.8043,1.2064,-0.1327,-5.618451025056948,0.0799,-0.1733,-0.056,-0.2597
HAL,2004-03-31,Energy,GSPE,0.1603053435114503,0.1474537746688886,0.11430731733732385,-0.07442829829996994,15.2,-0.0738636363636363,-0.3113,2.934,0.1573,13376000000,-14.4137,0.7138,-12.1489,5.1804,0.8206,1.338,-0.1446,-5.1840909090909095,0.0555,-0.0117,-0.0581,-0.3549
HAL,2004-06-30,Energy,GSPE,-0.0046052631578946,-0.0175957404136933,-0.07442829829996994,0.009503116010183582,15.13,-0.7631578947368421,0.2597,2.1189,0.1193,13314400000,-8.2136,0.6623,-21.9347,7.1892,0.7454,1.3948,-0.2579,-4.7,0.0197,-0.1343,-0.1015,-0.7311
HAL,2004-09-30,Energy,GSPE,0.1136814276272307,0.1366995638710315,0.009503116010183582,0.12221804214040272,16.85,-0.0497737556561085,0.9106,2.0271,0.1122,14895400000,-8.645,0.7178,36.598,8.3121,0.7611,1.3923,-0.2928,-4.91289592760181,0.0959,-0.0091,-0.1094,-0.9456
HAL,2004-12-31,Energy,GSPE,0.1643916913946587,0.0770582637999416,0.12221804214040272,-0.0682911322636253,19.62,-0.2301587301587301,-0.1269,4.5804,0.2546,17344080000,-17.7161,0.8722,26.8484,4.293,0.9117,1.4063,-0.1403,-2.0294117647058822,0.0889,-0.0441,-0.0615,-0.3357
HAL,2005-03-31,Energy,GSPE,0.102446483180428,0.1282980880627166,-0.0682911322636253,0.09013880502505876,21.63,0.3578431372549019,-0.9411,4.3647,0.3224,21846300000,-39.7928,1.1413,-546.1575,4.907,1.2091,1.5848,-0.0659,-1.1346534653465346,0.1463,0.0763,-0.037,-0.1292
HAL,2005-06-30,Energy,GSPE,0.1054091539528433,0.096312015619203,0.09013880502505876,0.25538768049670585,23.91,0.3820662768031189,0.0653,4.6861,0.3638,24244740000,47.5387,1.2659,-121.2237,5.0425,1.3457,1.9096,0.0599,-0.4349112426035503,0.1453,0.0788,0.0377,0.1101
HAL,2005-09-30,Energy,GSPE,0.4328732747804265,0.4014125511172821,0.25538768049670585,-0.01842888261641143,34.26,0.4752380952380952,0.6419,5.219,0.4001,35150760000,33.3815,1.8193,-106.1956,6.4143,1.8553,2.0063,0.1197,0.2690058479532163,0.1621,0.1005,0.0782,0.2047
HAL,2005-12-30,Energy,GSPE,-0.0957384705195562,-0.1115911894426442,-0.01842888261641143,0.09251511910350861,30.98,1.043560606060606,0.6278,6.1714,0.433,31847440000,13.5061,3.1457,71.7284,4.8868,3.1874,2.1201,0.2487,0.8317120622568094,-0.0835,-0.2396,0.164,0.393
HAL,2006-03-31,Energy,GSPE,0.1785022595222723,0.1411872489100989,0.09251511910350861,-0.022031503668219356,36.51,0.4269662921348314,-0.0252,6.5758,0.4629,37678320000,15.3851,4.551,27.3626,5.3649,4.6132,2.3399,0.2428,1.5426356589147288,0.2753,0.1552,0.162,0.3617
HAL,2006-06-30,Energy,GSPE,0.0164338537387017,0.0354859933653365,-0.022031503668219356,-0.2120209175966496,37.11,0.5523364485981308,0.7644,6.9355,0.4588,38186190000,14.4207,5.947,17.9446,5.1456,5.8067,2.2361,0.2523,1.8445092322643344,0.2814,0.1896,0.1689,0.3666
