ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
HBM,2003-03-31,Materials,SP500-15,,,,,0.0,-0.0458333333333333,-0.04,0.8224,0.8325,0,0.0,0.0,0.0,0.0,-5.4523,1.1395,-0.2928,0.023076923076923,-2.6585,-3.4878,-0.236,-0.2935
HBM,2003-06-30,Materials,SP500-15,,,,,0.0,-0.0538289009932713,-0.081,0.9404,0.8527,0,0.0,0.0,0.0,0.0,-2.7236,1.4142,-0.2746,0.0672861262415892,1.0294,-4.9411,-0.2317,-0.2748
HBM,2003-09-30,Materials,SP500-15,,,,,0.0,-0.2702091577162238,-0.2249,1.3015,0.1754,0,0.0,0.0,0.0,0.0,228.2784,1.792,-0.1182,-5.270209157716224,-228.0,-239.0,-0.1096,-0.4315
HBM,2003-12-31,Materials,SP500-15,,,,,0.0,-0.3740191804707933,-0.3642,1.0781,0.7725,0,0.0,0.0,0.0,0.0,-10.2345,4.6384,-0.2342,0.2156349898285382,-1395.0,-1287.0,-0.2142,-0.6388
HBM,2004-03-31,Materials,SP500-15,,,,,0.0,-0.2582407897056231,-0.267,1.7734,0.7507,0,0.0,0.0,0.0,0.0,-66.0666,6.4783,-0.531,0.2540102238674422,-222.2,-293.0,-0.4488,-0.5906
HBM,2004-06-30,Materials,SP500-15,,,,,0.0,-0.2344949793266391,-0.415,1.3552,0.7277,0,0.0,0.0,0.0,0.0,-96.0909,4.5746,-0.6077,0.0044300059066745,0.0,0.0,-0.5061,-0.6843
HBM,2004-09-30,Materials,SP500-15,,,,,0.0,-0.3780877651845394,-0.1467,1.2683,0.713,0,0.0,0.0,0.0,0.0,-126.0,1.8944,-0.7978,-0.0110650604898581,0.0,0.0,-0.6622,-0.919
HBM,2004-12-31,Materials,SP500-15,,,,,0.0,-0.0342410039896192,-0.0643,1.6407,0.2376,0,0.0,0.0,0.0,0.0,26449.0,2.325,-0.0498,-2.492530761384617,0.0,0.0,-0.0303,-0.1223
HBM,2005-03-31,Materials,SP500-15,,,,,0.0,0.0991922413342395,0.13,1.8435,0.2589,0,0.0,0.0,0.0,0.0,0.8423,2.5986,0.0022,-2.100800158545346,0.191,0.0605,0.0013,0.0055
HBM,2005-06-30,Materials,SP500-15,,,,,0.0,0.0897872394284195,0.1871,1.9621,0.273,0,0.0,0.0,0.0,0.0,0.3214,2.5304,0.0275,-1.85522307830138,0.2205,0.0549,0.0169,0.0636
HBM,2005-09-30,Materials,SP500-15,,,,,0.0,0.2408331239756427,0.0819,2.2119,0.3094,0,0.0,0.0,0.0,0.0,0.1881,2.6579,0.0888,-1.701983608504573,0.2035,0.1382,0.0552,0.1892
HBM,2005-12-30,Materials,SP500-15,,,,,0.0,0.4004207944345178,0.3391,2.378,0.3584,0,0.0,0.0,0.0,0.0,0.078,2.6318,0.1876,-1.3225559210914193,3.5138,0.2534,0.1186,0.3547
HBM,2006-03-31,Materials,SP500-15,,,,,0.0,0.6025050841190608,-0.0069,2.7058,0.4183,0,0.0,0.0,0.0,0.0,0.091,2.9405,0.3025,-0.761361658680342,0.3703,0.3653,0.1963,0.5033
HBM,2006-06-30,Materials,SP500-15,,,,,0.0,1.170361079826627,0.3305,4.2531,0.5976,0,0.0,0.0,0.0,0.0,-0.0551,3.2018,0.5049,1.0217098867865244,0.4484,0.5839,0.3394,0.6581
HBM,2006-09-29,Materials,SP500-15,,,,,0.0,1.19189760432463,1.0147,5.5745,0.6749,0,0.0,0.0,0.0,0.0,-0.2605,4.0715,0.5877,2.524283436300552,0.4626,0.4892,0.4157,0.6488
HBM,2006-12-29,Materials,SP500-15,,,,,0.0,0.9920165905228198,0.7348,6.4492,0.7312,0,0.0,0.0,0.0,0.0,-0.3352,4.2674,0.5979,3.3471421995777977,0.5428,0.5348,0.441,0.6263
HBM,2007-03-30,Materials,SP500-15,,,,,0.0,0.4263990267639903,0.8918,6.9004,0.7333,0,0.0,0.0,0.0,0.0,-0.4049,4.7136,0.5396,3.801417990256268,0.4368,0.1806,0.4027,0.5499
HBM,2007-06-29,Materials,SP500-15,,,,,0.0,0.505679650578865,0.4876,7.9354,0.7605,0,0.0,0.0,0.0,0.0,-0.4441,5.7469,0.4122,4.549410348598447,0.3957,0.1929,0.313,0.4186
HBM,2007-09-28,Materials,SP500-15,,,,,0.0,0.5201302131891354,1.177,8.9944,0.7651,0,0.0,0.0,0.0,0.0,-0.5877,5.9772,0.2857,5.385565925087984,0.3797,0.2078,0.2199,0.2883
HBM,2007-12-31,Materials,SP500-15,,,,,0.0,0.2273366865423336,0.439,9.3514,0.7677,0,0.0,0.0,0.0,0.0,-0.63,5.6118,0.1814,5.655924051230783,0.2979,0.1181,0.1401,0.1828
HBM,2008-03-31,Materials,SP500-15,,,,,0.0,0.1641540644574582,0.2637,9.0902,0.7571,0,0.0,0.0,0.0,0.0,-0.6484,5.3267,0.1526,5.527837072877631,0.2612,0.0793,0.1175,0.1541
HBM,2008-06-30,Materials,SP500-15,,,,,0.0,0.2557787605068373,0.3934,9.466,0.7861,0,0.0,0.0,0.0,0.0,-0.6437,6.3574,0.1257,5.088183672501304,0.3049,0.1168,0.0976,0.1265
HBM,2008-09-30,Materials,SP500-15,,,,inf,0.0,0.0190018596641026,0.1098,10.6261,0.8127,0,0.0,0.0,0.0,0.0,-0.7787,5.9166,0.0636,4.58371842217066,0.321,0.0112,0.0511,0.0638
HBM,2008-12-31,Materials,SP500-15,inf,inf,inf,0.8719496491554155,2.56,0.0386031448139242,-0.099,8.3527,0.8126,391731200,6.307,0.4748,4.6743,0.3056,0.4748,4.9372,0.045,3.2110900535877662,0.5441,0.123,0.0367,0.0451
HBM,2009-03-31,Materials,SP500-15,0.8437499999999999,0.960417594666828,0.8719496491554155,0.21542662652474612,4.72,-0.0204391649606863,-0.2295,8.3813,0.8364,722254400,18.9887,1.0481,48.2951,0.5618,1.0481,5.9763,0.0296,2.7368709972552607,0.0961,-0.0244,0.0244,0.0296
