ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
HL,2003-03-31,Materials,SP500-15,,,,0.15569478372359818,3.29,0.0551316135705795,0.0276,1.547,0.6706,359662800,24.1578,3.307,20.3084,2.1094,2.304,4.7327,0.1112,0.5549304793267472,0.4354,0.2547,0.0718,0.1227
HL,2003-06-30,Materials,SP500-15,0.2857142857142858,0.136783624280369,0.15569478372359818,0.1820237205715188,4.23,0.0170919201831861,0.0329,1.5763,0.6812,463108860,36.5429,4.1987,30.3339,2.6695,3.2004,4.6329,0.0694,0.5818399371586197,0.3465,0.084,0.0497,0.0736
HL,2003-09-30,Materials,SP500-15,0.2387706855791961,0.216738904457467,0.1820237205715188,0.3574110200755639,5.24,-0.1643879115595032,-0.0108,1.4462,0.6049,578930920,-91.6029,5.235,78.659,3.6316,4.2176,4.4784,-0.0363,0.4346551053103192,-0.2484,-0.6218,-0.0243,-0.0379
HL,2003-12-31,Materials,SP500-15,0.5820610687022898,0.4656418224871351,0.3574110200755639,0.037276705408999786,8.29,-0.070554850535815,0.0127,1.5097,0.6162,957785150,-159.2592,8.2317,138.2484,5.5908,7.1913,4.7315,-0.035,0.4715367637512442,0.1354,0.0686,-0.0221,-0.0363
HL,2004-03-31,Materials,SP500-15,0.014475271411339,0.0016237025687773,0.037276705408999786,-0.3419172594179609,8.41,-0.0426873966484256,-0.0156,1.539,0.6336,994549780,-151.4004,7.8582,485.62,5.5083,6.9275,5.0579,-0.0362,0.5081178440359214,0.3848,0.1686,-0.0233,-0.0373
HL,2004-06-30,Materials,SP500-15,-0.3222354340071343,-0.335225911262933,-0.3419172594179609,0.2754604042552262,5.7,0.0219672931413229,0.0078,1.5353,0.6374,674150400,-105.9818,5.2638,-1040.3555,3.6955,4.4315,4.3337,-0.0342,0.4073829816017316,0.5092,0.0866,-0.0222,-0.035
HL,2004-09-30,Materials,SP500-15,0.3052631578947368,0.3282812941385376,0.2754604042552262,-0.29590975529281316,7.44,-0.0966310183032506,-0.1065,1.4512,0.6062,880092480,-4560.0646,6.582,-72.9701,5.1267,5.885,3.6416,-0.001,0.2366432218577756,-0.0972,-0.3348,-0.0006,-0.001
HL,2004-12-31,Materials,SP500-15,-0.2163978494623656,-0.3037312770570827,-0.29590975529281316,-0.07302914540537589,5.83,-0.0330271197613393,-0.1197,1.4306,0.6059,689939690,-112.4779,5.2737,-24.9192,4.0755,4.6561,3.4692,-0.0359,0.1559872573789746,-0.5088,-0.1311,-0.0218,-0.0359
HL,2005-03-31,Materials,SP500-15,-0.0600343053173241,-0.0341827004350355,-0.07302914540537589,-0.06849226378505177,5.48,-0.0290080333837355,-0.1417,1.4006,0.6045,648799120,-41.563,5.47,-15.2164,3.9128,4.9353,3.3225,-0.0931,0.0696403533962869,0.0421,-0.1348,-0.0563,-0.0931
HL,2005-06-30,Materials,SP500-15,-0.1678832116788322,-0.1769803500124725,-0.06849226378505177,-0.051981891665772224,4.56,-0.0538972717830936,-0.1116,1.3525,0.5928,540104640,-21.9527,4.8157,-9.5117,3.3717,4.3484,2.6762,-0.1509,-0.0660227618114889,-0.2773,-0.2472,-0.0903,-0.1509
HL,2005-09-30,Materials,SP500-15,-0.0394736842105262,-0.0709344078736706,-0.051981891665772224,-0.17910028293223193,4.38,-0.073706154417474,-0.0959,1.3299,0.5919,519310320,-23.7063,4.7703,-9.3503,3.2955,4.3773,2.6231,-0.1378,-0.1184845315610134,-0.2588,-0.2824,-0.0816,-0.1378
HL,2005-12-30,Materials,SP500-15,-0.0730593607305936,-0.0889120796536816,-0.17910028293223193,0.5599941350404845,4.06,-0.062051178314959,-0.0792,1.3594,0.5927,481491640,-18.9862,4.3707,-9.4832,2.9852,3.9698,2.5954,-0.1575,-0.1438437020422618,-0.1914,-0.2404,-0.0941,-0.159
HL,2006-03-31,Materials,SP500-15,0.6280788177339904,0.5907638071218171,0.5599941350404845,-0.1953915786653529,6.61,0.320702836831869,-0.0686,1.5425,0.6281,787204730,48.206,6.2716,-18.6638,4.278,5.8402,2.9289,0.0917,0.0033335292586466,0.2929,0.9649,0.0577,0.0945
HL,2006-06-30,Materials,SP500-15,-0.2057488653555219,-0.1866967257288872,-0.1953915786653529,0.10460789626995813,5.25,0.0758483534297627,0.1889,1.6286,0.643,627212250,19.7298,3.9898,-98.7735,3.2181,3.476,3.1119,0.1645,0.1078606165616185,0.2069,0.1618,0.1066,0.1677
HL,2006-09-29,Materials,SP500-15,0.0933333333333333,0.0416485380745283,0.10460789626995813,0.2271108490859065,5.74,0.0071995261493797,0.0427,1.6454,0.6412,685924260,16.5738,3.8711,67.6787,3.4776,3.3877,3.169,0.211,0.1765537786927087,0.141,0.0198,0.1355,0.211
HL,2006-12-29,Materials,SP500-15,0.3344947735191637,0.2727737159535319,0.2271108490859065,0.09895708948131893,7.66,0.1696066597294485,0.1215,1.8704,0.6489,917445860,13.2728,4.2197,26.8659,4.0831,3.7536,3.1645,0.3275,0.3675263628090272,0.19,0.2918,0.2114,0.3275
HL,2007-03-30,Materials,SP500-15,0.1827676240208877,0.1809626910480992,0.09895708948131893,-0.12296541722744517,9.06,0.0664172045865622,0.0704,1.9012,0.6629,1089591840,28.0309,4.7215,21.4372,4.755,4.239,3.6216,0.1712,0.4612186522982771,0.3053,0.1532,0.1123,0.1712
HL,2007-06-29,Materials,SP500-15,-0.0573951434878588,-0.1154515255978558,-0.12296541722744517,0.004466849228492199,8.54,0.2002930026982734,-0.0036,2.1531,0.6288,1028557600,19.0498,4.3968,37.0251,3.9538,3.6246,5.6819,0.2206,0.7689721022915975,1.2668,0.4049,0.1421,0.2206
HL,2007-09-28,Materials,SP500-15,0.0480093676814988,0.0324441135530034,0.004466849228492199,0.04909901330094588,8.95,0.102062409588758,0.0869,2.2896,0.6343,1079987550,16.4941,4.8359,32.5552,3.899,3.9636,5.2962,0.2437,0.8475001864604829,0.3796,0.3136,0.1539,0.2437
HL,2007-12-31,Materials,SP500-15,0.0446927374301676,0.0829373843261476,0.04909901330094588,0.22906626728276674,9.35,0.0625518050734093,0.0442,4.0376,0.7568,1134856250,21.333,4.3929,47.3626,2.3066,2.8489,8.6231,0.1382,2.400626158599382,0.0045,0.0781,0.0978,0.1382
HL,2008-03-31,Materials,SP500-15,0.1935828877005348,0.2927820184537559,0.22906626728276674,-0.2090347178196861,11.16,0.0983408944672047,0.0006,4.2337,0.7666,1421560800,23.4828,5.8582,91.3893,2.7348,4.2726,8.2826,0.1195,2.2268880514994507,0.283,0.4131,0.091,0.1195
HL,2008-06-30,Materials,SP500-15,-0.1702508960573477,-0.1379684792219618,-0.2090347178196861,-0.26536176900439823,9.26,-0.3513348794136504,-0.2154,4.1659,0.4865,1181131520,-247.0986,4.7235,-105.1764,2.2441,4.8402,0.4437,-0.0067,-3.1066075012543903,-0.0294,-0.6071,-0.0054,-0.0091
HL,2008-09-30,Materials,SP500-15,-0.4946004319654428,-0.4058191705213509,-0.26536176900439823,-0.08739660307902752,4.68,-0.0526192085083879,-0.0285,4.9983,0.6472,793274040,-37.7372,2.846,-30.9473,1.1657,2.7866,0.7565,-0.0237,-1.39904308478316,0.1939,-0.0548,-0.0196,-0.0348
HL,2008-12-31,Materials,SP500-15,-0.4017094017094017,-0.1761272584123164,-0.08739660307902752,-0.25751463655887,2.8,-0.2281861893500409,-0.1281,3.6365,0.6568,608109600,-9.1358,2.9712,-11.2844,0.9371,3.3483,0.869,-0.0787,-1.2224033299260528,-0.3427,-1.1951,-0.0652,-0.1
HL,2009-03-31,Materials,SP500-15,-0.2857142857142856,-0.1690466910474575,-0.25751463655887,0.1846639146603394,2.0,0.019584438771672,0.0197,3.6638,0.722,435842000,-5.832,1.9639,-8.7095,0.5965,2.1344,2.2321,-0.0901,-0.7812051156152918,0.5888,0.1336,-0.0746,-0.1082
HL,2009-06-30,Materials,SP500-15,0.3400000000000001,0.1877822039301112,0.1846639146603394,0.4280648585445761,2.68,-0.0040914138757379,0.0647,3.5763,0.7951,633803920,-20.2791,2.7672,-75.3183,0.7967,2.5652,1.7022,-0.037,-0.408949064246873,0.347,0.0334,-0.031,-0.0409
HL,2009-09-30,Materials,SP500-15,0.6380597014925371,0.4882098694069349,0.4280648585445761,0.3387848944246676,4.39,0.0922414534024728,0.0991,3.38,0.7959,1038208660,-668.9488,4.0597,52.6875,1.2571,3.7324,2.0316,-0.0018,-0.2409955432273123,0.4832,0.2725,-0.0015,-0.0019
HL,2009-12-31,Materials,SP500-15,0.407744874715262,0.3528578066189217,0.3387848944246676,-0.13895958869284897,6.18,0.1088567402607761,0.2161,3.2851,0.8268,1472904120,21.7156,4.7125,14.8054,1.7028,4.374,3.9885,0.078,-0.0622487769264981,0.3929,0.3642,0.065,0.0801
HL,2010-03-31,Materials,SP500-15,-0.1148867313915857,-0.1636088902244311,-0.13895958869284897,0.11146549511047579,5.47,0.070573553674717,0.0423,3.3945,0.8318,1325123910,16.0898,3.9239,12.4289,1.4943,3.5794,4.3839,0.0936,0.0465339954510367,0.4398,0.2734,0.0779,0.0939
HL,2010-06-30,Materials,SP500-15,-0.0457038391224862,0.0729181274784564,0.11146549511047579,0.038224207074319255,5.22,0.0513375930083266,0.1346,3.5671,0.8415,1333610820,13.7566,3.7916,10.4128,1.4035,3.2304,6.0411,0.1051,0.3094124416297102,0.4631,0.1927,0.0882,0.1054
HL,2010-09-30,Materials,SP500-15,0.2107279693486591,0.1035300238336308,0.038224207074319255,0.5966893723267805,6.32,0.0605638280568412,0.0732,3.577,0.8221,1618665760,17.829,4.3467,13.0892,1.6728,3.7651,4.0737,0.0943,0.3541102148228551,0.4961,0.1708,0.0786,0.0946
HL,2010-12-31,Materials,SP500-15,0.781645569620253,0.6796125618576847,0.5966893723267805,-0.23429680680793524,11.26,-0.046948054963228,0.2273,3.435,0.696,2910552360,59.4196,6.9495,22.321,3.0264,6.2688,1.684,0.0505,0.0455769364685128,0.5772,-0.0724,0.0382,0.0507
HL,2011-03-31,Materials,SP500-15,-0.1936056838365897,-0.2478262402851787,-0.23429680680793524,-0.13932845530829086,9.08,0.1458898745628603,0.1322,3.4123,0.7133,2535045200,35.9601,5.3335,15.9916,2.5077,4.6567,1.9397,0.0711,0.2350370715283498,0.6019,0.3179,0.0503,0.0714
HL,2011-06-30,Materials,SP500-15,-0.1530837004405286,-0.1491692154927802,-0.13932845530829086,-0.05340771729103558,7.69,0.1121836919622932,0.1608,3.5271,0.7143,2149447280,24.7834,4.2602,12.6276,2.0604,3.5121,2.0601,0.084,0.3761520077849967,0.5633,0.2826,0.0602,0.0844
HL,2011-09-30,Materials,SP500-15,-0.3029908972691807,-0.1597119048077138,-0.05340771729103558,-0.17142253769920782,5.36,0.1890949152542373,0.1251,3.7254,0.725,1498768560,12.199,2.9432,8.0012,1.3637,2.1307,2.1312,0.1142,0.4510927290868711,0.4992,0.4639,0.0825,0.1147
HL,2011-12-30,Materials,SP500-15,-0.0242537313432835,-0.1357772387407925,-0.17142253769920782,-0.22395134187088642,5.23,0.0612498546101058,-0.4692,3.7886,0.8166,1492066700,9.8705,3.1238,-85.0568,1.3087,2.5659,3.3801,0.1343,0.3742402467664482,0.4478,0.1805,0.1038,0.135
HL,2012-03-30,Materials,SP500-15,-0.1166347992351816,-0.236601400734911,-0.22395134187088642,0.08086209482249107,4.62,0.0418754714947731,0.0566,3.8705,0.8222,1318076760,10.9493,3.0481,-33.0146,1.1468,2.404,3.6284,0.1044,0.3680993207102748,0.4942,0.1379,0.0861,0.1051
HL,2012-06-29,Materials,SP500-15,0.0281385281385281,0.0610181333034994,0.08086209482249107,0.3317100563645003,4.75,0.0080837511857975,-0.1253,3.8805,0.8237,1354267750,15.1169,3.549,-10.8801,1.1823,2.9376,3.7001,0.0774,0.3312241984644469,0.2648,0.0376,0.0642,0.078
HL,2012-09-28,Materials,SP500-15,0.3789473684210526,0.3213109616879003,0.3317100563645003,-0.12600555925641038,6.55,-0.0035832877979067,0.0213,4.0184,0.8173,1869939850,57.0451,5.4531,-12.0409,1.6299,4.776,3.366,0.0283,0.2614269651507774,0.3296,-0.0108,0.0234,0.0285
HL,2012-12-31,Materials,SP500-15,-0.1099236641221373,-0.0998727141492981,-0.12600555925641038,-0.368343855881174,5.83,0.0020163507717124,-0.097,3.7924,0.8256,1662774300,111.1926,5.1776,-38.4954,1.4612,4.5829,2.9782,0.0129,0.1492198730759791,0.3505,0.0091,0.0107,0.013
HL,2013-03-29,Materials,SP500-15,-0.3224699828473413,-0.4227371322979953,-0.368343855881174,-0.22663301473669928,3.95,0.0368685305084061,-0.048,3.8468,0.8283,1126393850,83.5851,3.6757,-15.1662,0.9853,3.1255,2.8684,0.0116,0.074746723803579,0.2757,0.1451,0.0097,0.0118
HL,2013-06-28,Materials,SP500-15,-0.2455696202531646,-0.2692060755425646,-0.22663301473669928,-0.03931376660130782,2.98,-0.0823412371609468,-0.1173,4.3966,0.5873,1021061240,-73.4259,3.1441,-14.0053,0.765,3.7406,3.3807,-0.0092,-1.5719564088046276,0.0798,-0.2913,-0.0076,-0.0112
HL,2013-09-30,Materials,SP500-15,0.0536912751677852,0.0068314386770095,-0.03931376660130782,-0.11959506906084555,3.14,-0.0250877018894576,-0.1684,3.875,0.5851,1075883320,-50.09,3.0782,-7.8699,0.8103,3.8009,2.1915,-0.0117,-1.609103485311028,0.224,-0.0793,-0.0094,-0.0161
HL,2013-12-31,Materials,SP500-15,-0.019108280254777,-0.1183083823508684,-0.11959506906084555,-0.02625454064920151,3.08,-0.0088827195236109,-0.0477,3.8679,0.5942,1055402040,-41.9976,2.7585,-8.5136,0.7957,3.4866,2.2685,-0.0137,-1.640285061416027,0.2379,-0.0254,-0.0111,-0.0189
