ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
IOSP,2003-03-31,Materials,SP500-15,,,,-0.17139881233551518,7.25,0.4412598170188648,0.174,15.3266,0.5143,172245500,3.862,0.3957,3.4108,0.4549,0.5998,1.0376,0.0829,-8.094115666301878,0.2561,0.1121,0.0601,0.1196
IOSP,2003-06-30,Materials,SP500-15,-0.0413793103448275,-0.1903099717787442,-0.17139881233551518,0.19505159614340167,6.95,0.3852327447833066,0.4293,15.9711,0.536,166021600,4.5485,0.3683,3.9813,0.4171,0.5458,1.0833,0.0661,-7.237943737441393,0.3049,0.0843,0.0493,0.0939
IOSP,2003-09-30,Materials,SP500-15,0.251798561151079,0.2297667800293499,0.19505159614340167,-0.09246614058074881,8.7,0.7325423998726013,1.5009,16.7768,0.5662,207895200,5.6801,0.4531,3.1885,0.4933,0.5209,1.0111,0.0653,-6.277201205222632,0.3195,0.1492,0.0492,0.0893
IOSP,2003-12-31,Materials,SP500-15,0.132183908045977,0.0157646618308223,-0.09246614058074881,0.5385374746067978,9.85,0.5048330920048527,0.9666,17.0938,0.5889,237582000,4.5865,0.5361,3.0695,0.5439,0.6643,1.5859,0.0935,-5.219734660033168,0.3639,0.1185,0.0697,0.1207
IOSP,2004-03-31,Materials,SP500-15,0.5157360406091371,0.5028844717665754,0.5385374746067978,-0.13756528153942674,14.93,0.2776920703486578,0.6286,17.2747,0.6015,369696660,7.686,0.819,4.1353,0.8254,0.8356,1.4243,0.0866,-4.418059930538729,0.1895,0.0682,0.0647,0.1087
IOSP,2004-06-30,Materials,SP500-15,-0.1178834561286001,-0.1308739333843988,-0.13756528153942674,-0.22342462152105966,13.17,0.122577185321382,0.6894,17.1991,0.5981,327169140,7.8457,0.7143,3.3833,0.7286,0.7071,1.5212,0.0741,-3.6470493519040335,0.1652,0.0265,0.0557,0.0929
IOSP,2004-09-30,Materials,SP500-15,-0.193621867881549,-0.1706037316377482,-0.22342462152105966,-0.0992859171298825,10.62,0.3480988447708668,-0.0918,17.3666,0.5563,263875140,8.1442,0.5696,4.6621,0.5812,0.7395,1.2858,0.0555,-6.113414094256852,0.2031,0.0708,0.0413,0.0717
IOSP,2004-12-31,Materials,SP500-15,-0.0197740112994349,-0.107107438894152,-0.0992859171298825,-0.12250492654338323,10.41,-0.5143475906876015,0.8082,17.248,0.5641,256866750,41.4301,0.5169,4.8649,0.5759,0.6392,1.1782,0.0105,-5.876393110435664,0.0589,-0.0933,0.0077,0.0137
IOSP,2005-03-31,Materials,SP500-15,-0.1095100864553314,-0.0836584815730429,-0.12250492654338323,0.0702647343015475,9.27,-0.0968914008881711,0.3391,17.8966,0.5453,230665410,-67.8427,0.4368,5.1373,0.5203,0.5637,1.2725,-0.0058,-5.827271631234176,0.0739,-0.0175,-0.0042,-0.0076
IOSP,2005-06-30,Materials,SP500-15,-0.0291262135922329,-0.0382233519258732,0.0702647343015475,-0.08584154078857932,9.0,-4.22955847929615,-0.6901,13.4756,0.4923,222597000,-1.9981,0.4173,22.7139,0.6666,0.5755,1.4277,-0.2086,-5.52702866615453,-0.6383,-0.833,-0.1494,-0.2866
IOSP,2005-09-30,Materials,SP500-15,-0.0733333333333333,-0.1047940569964777,-0.08584154078857932,-0.13002173754936,8.34,-0.3681527631685411,0.7929,13.1119,0.47,206048040,-1.5898,0.3809,6.4794,0.6357,0.502,1.625,-0.2676,-4.897595725734639,0.1352,-0.0669,-0.1895,-0.3939
IOSP,2005-12-30,Materials,SP500-15,-0.0239808153477217,-0.0398335342708097,-0.13002173754936,0.5068538922450688,8.14,-0.2998865294213,0.9969,12.7532,0.466,201994100,-1.6329,0.3597,5.6899,0.6418,0.4687,1.7067,-0.2607,-4.868023372959903,0.0864,-0.0453,-0.1812,-0.3872
IOSP,2006-03-31,Materials,SP500-15,0.5749385749385748,0.5376235643264015,0.5068538922450688,0.001776943476440574,12.82,0.0233172703248873,-0.3419,12.3387,0.4831,314231020,-2.6034,0.5721,17.171,0.9897,0.6764,1.8159,-0.2618,-3.916608869487169,0.1118,0.0048,-0.1811,-0.3818
IOSP,2006-06-30,Materials,SP500-15,-0.0085803432137285,0.0104717964129062,0.001776943476440574,0.1796459240695908,12.71,0.0390823465040841,0.2853,12.3148,0.4745,305497560,-20.5031,0.5628,7.1545,0.9695,0.6608,1.8668,-0.0322,-3.54884340156432,0.1063,0.0083,-0.0225,-0.0471
IOSP,2006-09-29,Materials,SP500-15,0.168371361132966,0.116686565874161,0.1796459240695908,0.46029284324351055,14.85,0.4200672107537206,0.7361,12.822,0.4698,351603450,74.8092,0.6386,8.4723,1.097,0.7129,2.1043,0.01,-2.7495037378046203,0.1885,0.073,0.0069,0.0147
IOSP,2006-12-29,Materials,SP500-15,0.5676767676767678,0.5059557101111359,0.46029284324351055,0.1541619740514964,23.28,-0.027951922692968,0.4751,8.9885,0.3956,554180400,48.6123,1.0414,19.2423,2.4619,1.0999,2.1364,0.027,-1.621508086536442,0.0697,-0.0048,0.0182,0.0417
IOSP,2007-03-30,Materials,SP500-15,0.2379725085910652,0.2361675756182767,0.1541619740514964,-0.03815875396165433,28.82,0.2372385433553438,0.2807,8.9518,0.4519,692054660,41.1937,1.2512,15.4822,3.0567,1.2879,1.66,0.0497,-1.3242826802148835,0.1431,0.0412,0.0314,0.0744
