ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
IR,2015-12-31,Industrials,SP500-20,,,,,0.0,0.0,0.0,2.1374,0.0908,0,0.0,0.0,0.0,0.0,0.0,2.6835,0.0,-15.280253199249469,0.0,0.0,0.0,0.0
IR,2016-03-31,Industrials,SP500-20,,,,,0.0,-0.0507030969999789,0.1065,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0239,0.0,0.1489,-0.022,-0.0172,-0.1897
IR,2016-06-30,Industrials,SP500-20,,,,,0.0,-0.020555309594586,0.1211,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1626,-0.0084,0.0,0.0
IR,2016-09-30,Industrials,SP500-20,,,,,0.0,-0.0679906394282461,0.0932,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364,-0.0278,0.0,0.0
IR,2016-12-30,Industrials,SP500-20,,,,,0.0,-0.0537600404781481,0.1923,1.4325,0.0629,0,0.0,0.0,0.0,0.0,1.2879,2.387,-0.0239,-15.051230156220353,0.2409,-0.0176,-0.0169,-0.2694
IR,2017-03-31,Industrials,SP500-20,,,,inf,0.0,-0.037421204646554,-0.0996,1.4951,0.0657,0,0.0,0.0,0.0,0.0,1.2758,2.4472,-0.0111,-15.000785318238355,0.1714,-0.0147,-0.0079,-0.1227
IR,2017-06-30,Industrials,SP500-20,inf,inf,inf,0.23666980190134437,21.61,-0.8270209157716224,0.0966,6.8343,0.2733,4234565940,-23.9918,2.0153,80.8123,3.5025,2.839,2.5294,-0.0564,-9.938046684425936,-0.0913,-0.2526,-0.0404,-0.2364
IR,2017-09-29,Industrials,SP500-20,0.2734844979176307,0.2338914456514611,0.23666980190134437,0.1776086415698328,27.52,0.134550696780394,0.2652,6.1114,0.2793,5394222720,-39.7804,2.3574,60.0024,4.2414,3.102,2.5078,-0.0417,-9.578033885853346,0.2216,0.0431,-0.0302,-0.1093
IR,2017-12-29,Industrials,SP500-20,0.2329215116279069,0.171695647351661,0.1776086415698328,-0.07562271911165824,33.93,0.6339955849889625,0.4366,6.52,0.3195,6657676740,365.8064,2.8027,43.7142,4.5081,3.4872,2.6051,0.0053,-8.565982733490301,0.1948,0.2159,0.0039,0.0132
IR,2018-03-30,Industrials,SP500-20,-0.0957854406130268,-0.0835398292789397,-0.07562271911165824,-0.005483953196469993,30.68,0.2020009528346832,0.2529,7.4687,0.3282,6050893680,89.378,2.4075,26.9767,3.8597,3.076,2.4765,0.0189,-8.5906523480677,0.2173,0.0684,0.0144,0.0444
IR,2018-06-29,Industrials,SP500-20,-0.0420469361147326,-0.0713933244492475,-0.005483953196469993,-0.13034532819378022,29.39,0.2876908396946565,0.5896,7.4861,0.3407,5851402050,21.3321,2.2484,17.6886,3.7291,2.8501,2.5299,0.0772,-7.985634998367614,0.2201,0.0902,0.0584,0.1748
IR,2018-09-28,Industrials,SP500-20,-0.0357264375637972,-0.1076849475711222,-0.13034532819378022,-0.10101871418501837,28.34,0.3452893352462936,0.4428,7.7637,0.3594,5637931260,17.7015,2.1338,15.3121,3.4729,2.6934,2.3986,0.0928,-7.467113034648812,0.2427,0.1047,0.0698,0.1995
IR,2018-12-31,Industrials,SP500-20,-0.2784050811573748,-0.1386889933526095,-0.10101871418501837,0.19353061889865875,20.45,0.4552023121387283,0.6093,8.0732,0.3735,4052576500,15.0429,1.5066,10.2389,2.418,2.0431,2.232,0.08,-7.467830650451632,0.2587,0.1325,0.0598,0.1633
IR,2019-03-29,Industrials,SP500-20,0.3599022004889975,0.2292402973326265,0.19353061889865875,0.21358871953527012,27.81,0.2267693789118921,0.3307,8.3663,0.3805,5586027840,20.3795,2.0762,13.578,3.2146,2.5811,2.2692,0.0816,-7.1232276565238175,0.2037,0.0759,0.0605,0.1605
IR,2019-06-28,Industrials,SP500-20,0.2441567781373607,0.2062792339936782,0.21358871953527012,-0.18728027102625633,34.6,0.2149353757778841,0.2431,8.5461,0.3885,7055805000,27.274,2.6611,20.8381,3.9521,3.1537,2.4757,0.0762,-6.596052470270933,0.2185,0.0713,0.0564,0.1468
IR,2019-09-30,Industrials,SP500-20,-0.1823699421965318,-0.1942607763749246,-0.18728027102625633,0.24662396794931155,28.29,0.1976076555023923,0.5028,8.5669,0.3931,5786521470,25.4017,2.2614,16.4811,3.2317,2.7254,2.5077,0.0669,-6.205052238404639,0.2324,0.0692,0.0498,0.1274
IR,2019-12-31,Industrials,SP500-20,0.296571226581831,0.2112295306675372,0.24662396794931155,-0.04976938700602851,36.68,0.1224976167778837,0.4523,8.9127,0.404,7521820880,47.307,3.7282,23.5424,4.0225,4.2726,2.6869,0.0462,-5.922971140998508,0.0239,0.1499,0.0346,0.0868
IR,2020-03-31,Industrials,SP500-20,-0.3238822246455834,-0.1238717208209443,-0.04976938700602851,-0.03017776940310321,24.8,-0.132708258204111,0.2196,31.5741,0.57,10330663200,137.5587,4.9177,33.1429,1.1799,6.2846,2.1074,0.0095,-8.818438684556089,0.1199,-0.0523,0.0075,0.0141
IR,2020-06-30,Industrials,SP500-20,0.1338709677419355,-0.0656577519525503,-0.03017776940310321,0.14607170437227662,28.12,-0.4258992805755395,0.5601,20.7237,0.5599,11724858960,-79.5444,4.6955,23.7105,1.3567,5.754,2.2505,-0.0118,-8.30947001856302,0.1157,-0.1732,-0.0095,-0.0169
IR,2020-09-30,Industrials,SP500-20,0.2660028449502133,0.1812656243587679,0.14607170437227662,0.1278419396799124,35.6,0.0699052132701421,0.4274,20.9239,0.5656,14865990400,-93.3793,4.9342,26.0898,1.6835,5.772,2.4265,-0.0125,-7.952411969807272,0.2076,0.0265,-0.0102,-0.0182
IR,2020-12-31,Industrials,SP500-20,0.2797752808988764,0.1628944993468767,0.1278419396799124,-0.02987333024998927,45.56,0.3619866284622731,0.9529,21.9424,0.5722,19072691680,-572.7535,4.6978,21.8223,2.0754,5.217,2.5771,-0.0025,-7.182988237767183,0.2128,0.1244,-0.0021,-0.0036
IR,2021-03-31,Industrials,SP500-20,0.0801141352063213,0.022388954293108,-0.02987333024998927,-0.049307316377748316,49.21,-0.2122563982155435,0.2761,21.192,0.569,20637148490,-237.4815,4.6004,22.1737,2.2864,5.0872,2.7038,-0.0066,-6.396037856875449,0.1957,-0.08,-0.0054,-0.0095
IR,2021-06-30,Industrials,SP500-20,-0.0081284291810607,-0.0898347226346721,-0.049307316377748316,0.07827561220414991,48.81,0.5480318650421743,0.3052,21.8987,0.5777,20503470270,63.1653,4.3259,24.7806,2.1937,4.3583,3.1335,0.0247,-2.6612421351831967,0.2091,0.1828,0.0202,0.0353
IR,2021-09-30,Industrials,SP500-20,0.0327801679983608,0.0304439169076104,0.07827561220414991,0.14493679973520185,50.41,0.3010752688172043,0.2406,20.843,0.5845,20543133610,48.7844,4.1483,27.4751,2.3551,4.4288,2.469,0.0329,-5.322670488146623,0.2132,0.095,0.027,0.0466
IR,2021-12-31,Industrials,SP500-20,0.2273358460622892,0.120862050680327,0.14493679973520185,-0.15882133990205805,61.87,0.7082426879381194,0.5131,21.927,0.5985,25229657950,44.8527,4.8966,44.9806,2.7812,5.1474,2.8036,0.0452,-4.827053471804995,0.1935,0.2065,0.0374,0.0632
IR,2022-03-31,Industrials,SP500-20,-0.1861968643930822,-0.136729573851007,-0.15882133990205805,-0.012548796736717271,50.35,0.2510288065843621,0.068,21.9397,0.6,20462441400,27.0452,3.8176,43.4078,2.2577,4.0761,2.8797,0.0602,-4.565653881359435,0.2115,0.0775,0.05,0.0834
