ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
ITW,2003-03-31,Industrials,SP500-20,,,,-0.023178473810273492,29.15,0.3174054169969977,0.266,11.2405,0.6379,17930806300,19.2512,1.8723,14.9654,2.5915,1.9063,2.7285,0.1115,0.2017144566443729,0.172,0.0844,0.0867,0.1372
ITW,2003-06-30,Industrials,SP500-20,0.1296740994854202,-0.0192565619484964,-0.023178473810273492,-0.034641615839479334,32.93,0.4479168356537285,0.3531,11.835,0.6477,20255967460,21.5487,2.0869,16.9585,2.7765,2.1087,2.8229,0.1084,0.5772367107663195,0.2066,0.1076,0.085,0.1322
ITW,2003-09-30,Industrials,SP500-20,0.0060734892195567,-0.0159582919021723,-0.034641615839479334,0.12245135062778614,33.13,0.4351221375033981,0.5804,11.9737,0.6854,20416196850,21.1924,2.0754,16.7019,2.759,2.03,2.8948,0.1116,1.6416960786700094,0.1979,0.1062,0.0873,0.1311
ITW,2003-12-31,Industrials,SP500-20,0.2665258074252942,0.1501065612101395,0.12245135062778614,-0.04143248220027225,41.96,0.4583255812448533,0.6812,12.7392,0.7034,25900775080,25.3016,2.5808,22.3025,3.2892,2.5047,3.2125,0.1187,2.371992619149064,0.1946,0.1078,0.0931,0.134
ITW,2004-03-31,Industrials,SP500-20,-0.055767397521449,-0.0686189663640108,-0.04143248220027225,0.13054311345144204,39.62,0.4674413435177459,0.4259,13.2633,0.6998,24544788100,21.9443,2.3527,19.4486,2.9808,2.2753,2.9994,0.1238,2.5236196640866497,0.202,0.107,0.0974,0.1388
ITW,2004-06-30,Industrials,SP500-20,0.2102473498233217,0.197256872567523,0.13054311345144204,-0.02347166045355646,47.95,0.5800159671385986,0.4991,13.2149,0.6928,29705264750,24.6978,2.7326,21.9323,3.6181,2.6762,2.7928,0.1307,2.1928442869710496,0.2196,0.12,0.1018,0.1462
ITW,2004-09-30,Industrials,SP500-20,-0.0283628779979144,-0.0053447417541136,-0.02347166045355646,-0.1002313368223094,46.59,0.5429077594204615,0.6476,12.4081,0.6618,28164679980,22.284,2.4911,20.2707,3.7337,2.4906,2.2004,0.1423,0.9295046334128452,0.203,0.1112,0.1087,0.1604
ITW,2004-12-31,Industrials,SP500-20,-0.0053659583601631,-0.0926993859548802,-0.1002313368223094,-0.013470432318352682,46.34,0.5819744065631531,0.5054,12.3962,0.6719,26852361760,20.0586,2.3182,20.9891,3.5204,2.3401,2.335,0.1546,1.0317707398561429,0.1719,0.1233,0.1176,0.1764
ITW,2005-03-31,Industrials,SP500-20,-0.033880017263703,-0.0080284123814145,-0.013470432318352682,-0.07215043221945135,44.77,0.5318562670299728,0.4269,13.1278,0.642,26002236920,19.1079,2.1764,20.5459,3.3731,2.1693,2.0479,0.1494,0.962506628833532,0.1875,0.1015,0.1165,0.1774
ITW,2005-06-30,Industrials,SP500-20,-0.1101183828456555,-0.1192155211792958,-0.07215043221945135,0.014035084226793802,39.84,0.322209196076065,0.3639,6.4024,0.6386,22786368480,16.5811,1.863,16.5399,3.0679,1.8718,2.0027,0.1481,0.6385241989205294,1.7314,0.1137,0.1162,0.1815
