ticker,date,sector,sectoralIndex,absoluteReturn,relativeToSPReturn,relativeToSectoralIndexReturn,nextPeriodRelativeToSectoralIndexReturn,closePrice,dilutedEarningsPerShare,freeCashFlowPerShare,bookValuePerShare,equityRatio,marketCap,priceToEarningsRatio,priceToSalesRatio,priceToFreeCashFlow,priceToBookRatio,enterpriseValueToSalesRatio,currentRatio,roic,netCurrentAssetValuePerShare,ebitdaMargin,netIncomeMargin,returnOnAssets,returnOnEquity
JBHT,2003-03-31,Industrials,SP500-20,,,,0.26319497499553934,6.73,0.0693622249525298,0.2602,3.7376,0.4586,1059517360,18.2235,0.4588,11.25,1.759,0.4677,1.424,0.067,-1.7534364042888355,0.1074,0.0195,0.0441,0.0974
JBHT,2003-06-30,Industrials,SP500-20,0.4160475482912331,0.2671168868573164,0.26319497499553934,0.3338914007122127,9.53,0.1545182871338269,0.5956,3.8878,0.4727,1506025900,22.216,0.6404,9.5789,2.3818,0.6304,1.2014,0.0765,-1.5854774409922168,0.1395,0.0418,0.0511,0.1098
JBHT,2003-09-30,Industrials,SP500-20,0.3746065057712487,0.3525747246495196,0.3338914007122127,-0.11277674687384398,13.1,0.1978063906586884,0.6801,4.0922,0.5208,2096786000,25.0527,0.8771,7.8525,3.1031,0.8423,1.0433,0.1016,-1.279482693989754,0.154,0.0525,0.0635,0.1279
JBHT,2003-12-31,Industrials,SP500-20,0.0312977099236641,-0.0851215362914905,-0.11277674687384398,0.0565258849732864,13.51,0.1561216769565744,0.4707,4.0601,0.5184,2164585710,22.5477,0.8893,6.5078,3.079,0.8654,0.9867,0.1152,-1.398150055236205,-2.3125,0.0421,0.0723,0.1392
JBHT,2004-03-31,Industrials,SP500-20,0.0421909696521095,0.0293394008095477,0.0565258849732864,0.2903241727190293,14.08,0.1987223527993732,0.0037,4.4471,0.5448,2259558400,19.1819,0.9109,7.7573,3.062,0.8964,1.045,0.1371,-1.3477691924227315,-0.3771,0.0533,0.0869,0.1635
JBHT,2004-06-30,Industrials,SP500-20,0.370028409090909,0.3570379318351103,0.2903241727190293,-0.032433821335890754,19.29,0.2741705776661398,0.1907,4.7105,0.5634,3115682220,22.5297,1.2172,13.7759,3.9746,1.2009,1.0766,0.1597,-1.3550130635594797,-0.3532,0.0671,0.1007,0.1817
JBHT,2004-09-30,Industrials,SP500-20,-0.0373250388802487,-0.0143069026364479,-0.032433821335890754,0.1129967647796415,18.57,0.2860668276010421,0.3785,5.0072,0.5961,3016937910,19.6535,1.1356,17.0239,3.6002,1.1198,1.3426,0.1727,-0.9788136375667076,-0.3612,0.0666,0.1097,0.1892
JBHT,2004-12-31,Industrials,SP500-20,0.2078621432417877,0.1205287156470707,0.1129967647796415,-0.003665314742567545,22.43,0.1191125426251609,0.2019,5.2522,0.5728,3651312410,25.0089,1.3105,28.3427,4.2407,1.2981,1.4883,0.1669,-1.0263718847328105,-0.7289,0.0253,0.1003,0.1718
JBHT,2005-03-31,Industrials,SP500-20,-0.0240748996879179,0.0017767051943706,-0.003665314742567545,-0.08354872365428917,21.89,0.2854352829474367,0.1077,4.8098,0.5412,3468098370,21.6047,1.2052,23.7305,4.3329,1.2282,1.6376,0.1786,-1.4766052526935676,-0.373,0.0669,0.1076,0.1932
JBHT,2005-06-30,Industrials,SP500-20,-0.1215166742804933,-0.1306138126141336,-0.08354872365428917,-0.030788907528057012,19.23,0.3341693020069365,0.1785,5.1126,0.5703,3045762780,17.9658,1.0297,21.2134,3.6439,1.0509,1.6061,0.1778,-1.282064071319435,-0.3587,0.0719,0.1151,0.2072
JBHT,2005-09-30,Industrials,SP500-20,-0.0114404576183046,-0.042901181281449,-0.030788907528057012,0.14626725403041652,19.01,0.2472048841624579,0.5622,4.8946,0.5294,2940086600,18.2049,0.967,17.2086,3.7268,0.9907,1.3621,0.169,-1.7345208845208846,-0.3839,0.0497,0.1092,0.1988
JBHT,2005-12-30,Industrials,SP500-20,0.1909521304576538,0.1750994115345658,0.14626725403041652,-0.1137276332715823,22.64,0.4103784843041441,-0.0614,5.1316,0.5274,3482326320,16.7975,1.1133,27.2171,4.2622,1.1505,1.7193,0.2203,-1.6718937931124158,1.5744,0.0761,0.1364,0.2581
JBHT,2006-03-31,Industrials,SP500-20,-0.0485865724381626,-0.0859015830503359,-0.1137276332715823,0.16107299444978795,21.54,0.3095200480267939,0.4117,5.4375,0.565,3325948320,15.9294,1.0398,18.9874,3.8652,1.0518,1.5855,0.2202,-1.5391495259312988,0.1601,0.0628,0.1359,0.2489
JBHT,2006-06-30,Industrials,SP500-20,0.1564531104921077,0.1755052501187425,0.16107299444978795,-0.1603236059693002,24.91,0.3578732238599396,0.0695,4.6688,0.4673,3670662870,17.5214,1.1199,23.4192,5.0847,1.171,1.4509,0.2212,-2.731061300107901,0.1669,0.066,0.1365,0.2647
JBHT,2006-09-29,Industrials,SP500-20,-0.1661983139301485,-0.2178831091889536,-0.1603236059693002,-0.05334812067659767,20.77,0.3889830508474576,-0.5907,4.729,0.4109,2996944840,13.1741,0.8986,-137.9554,4.2624,0.943,0.9184,0.225,-3.939262051950212,0.1704,0.0673,0.1397,0.3192
